Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
Yuno-obsessed_jodrive,31 Flavors,block-service/src/main/java/sanity/nil/block/db/tables/Blocks.java,56,56,"public final TableField<BlocksRecord, String> STATUS = createField(DSL.name(""status""), SQLDataType.VARCHAR(255), this, """");","The STATUS column uses a CHECK constraint to limit values to 'AWAITING_UPLOAD' and 'UPLOADED' (line 100), which embeds business logic in the schema and makes adding new statuses require a schema change. Consider creating a separate lookup table (e.g., 'block_statuses') with a foreign key reference instead."
Yuno-obsessed_jodrive,ID Required,block-service/src/main/java/sanity/nil/block/db/tables/Tasks.java,46,46,"public final TableField<TasksRecord, Integer> ID = createField(DSL.name(""id""), SQLDataType.INTEGER.nullable(false).identity(true), this, """");",The primary key column is generically named 'id' instead of a more descriptive name like 'task_id'. Consider renaming the column to 'task_id' to make it self-documenting and avoid ambiguity in joins.
Yuno-obsessed_jodrive,31 Flavors,block-service/src/main/java/sanity/nil/block/db/tables/Tasks.java,71,71,"public final TableField<TasksRecord, String> STATUS = createField(DSL.name(""status""), SQLDataType.VARCHAR(255), this, """");","The 'status' column uses a CHECK constraint (line 126) to restrict values to 'CREATED', 'FINISHED', 'IN_RETRY', 'FAILED'. This makes adding new statuses require a schema change. Consider creating a separate 'task_statuses' lookup table with a foreign key reference."
Yuno-obsessed_jodrive,Fear of the Unknown,block-service/src/main/java/sanity/nil/block/db/tables/Tasks.java,51,51,"public final TableField<TasksRecord, Short> RETRIES = createField(DSL.name(""retries""), SQLDataType.SMALLINT, this, """");","The 'retries' column is nullable but likely should have a default value (e.g., 0) since a task with no retries is a valid state, not an unknown one. Consider adding a NOT NULL constraint with a default value of 0."
Yuno-obsessed_jodrive,Fear of the Unknown,block-service/src/main/java/sanity/nil/block/db/tables/Tasks.java,56,56,"public final TableField<TasksRecord, OffsetDateTime> UPDATED_AT = createField(DSL.name(""updated_at""), SQLDataType.TIMESTAMPWITHTIMEZONE(6), this, """");","The 'updated_at' column is nullable but should likely have a default value (e.g., CURRENT_TIMESTAMP) since every task should have a known update time. Consider adding a NOT NULL constraint with a default timestamp."
Yuno-obsessed_jodrive,Fear of the Unknown,block-service/src/main/java/sanity/nil/block/db/tables/Tasks.java,61,61,"public final TableField<TasksRecord, String> ACTION = createField(DSL.name(""action""), SQLDataType.VARCHAR(255), this, """");","The 'action' column is nullable but has a CHECK constraint requiring it to equal 'DELETE_BLOCKS', which implies it should always have a value. Consider adding a NOT NULL constraint to this column."
Yuno-obsessed_jodrive,Fear of the Unknown,block-service/src/main/java/sanity/nil/block/db/tables/Tasks.java,71,71,"public final TableField<TasksRecord, String> STATUS = createField(DSL.name(""status""), SQLDataType.VARCHAR(255), this, """");","The 'status' column is nullable but has a CHECK constraint with specific allowed values, implying every task should have a status. Consider adding a NOT NULL constraint with a default value like 'CREATED'."
Yuno-obsessed_jodrive,Implicit Columns,block-service/src/main/java/sanity/nil/block/presentation/scheduled/DeleteBlocksJob.java,48,48,var tasks = dslContext.selectFrom(TASKS),"Using selectFrom(TASKS) fetches all columns from the TASKS table, even though only specific columns like ACTION, STATUS, RETRIES, UPDATED_AT, ID, OBJECT_ID, and METADATA are used. Consider using select() with only the required columns to improve query performance and reduce memory usage."
Yuno-obsessed_jodrive,Implicit Columns,block-service/src/test/java/sanity/nil/block/DeleteBlocksScheduledTaskTest.java,83,83,var executedTask = dslContext.selectFrom(TASKS).where(TASKS.ID.eq(task.getId())),"Using `selectFrom(TASKS)` fetches all columns from the TASKS table, which may retrieve unnecessary data. Consider explicitly selecting only the required columns, such as `dslContext.select(TASKS.STATUS).from(TASKS)`."
Yuno-obsessed_jodrive,Implicit Columns,metadata-service/src/main/java/sanity/nil/meta/cache/SubscriptionQuotaCache.java,42,42,var subscriptions = dslContext.selectFrom(USER_SUBSCRIPTIONS),"Using `selectFrom(USER_SUBSCRIPTIONS)` fetches all columns from the USER_SUBSCRIPTIONS table, which may retrieve unnecessary data. Consider explicitly selecting only the columns needed for the SubscriptionDTO mapping, e.g., `dslContext.select(USER_SUBSCRIPTIONS.ID, USER_SUBSCRIPTIONS.NAME, ...).from(USER_SUBSCRIPTIONS)`."
Yuno-obsessed_jodrive,Keyless Entry,metadata-service/src/main/java/sanity/nil/meta/db/tables/FileIdSequence.java,42,42,"public final TableField<FileIdSequenceRecord, Long> WS_ID = createField(DSL.name(""ws_id""), SQLDataType.BIGINT.nullable(false), this, """");","The column 'ws_id' appears to reference the Workspaces table but lacks a foreign key constraint, which could lead to orphaned records or invalid workspace references. Add a foreign key constraint referencing WORKSPACES_PKEY to ensure referential integrity."
Yuno-obsessed_jodrive,31 Flavors,metadata-service/src/main/java/sanity/nil/meta/db/tables/FileJournal.java,75,75,"public final TableField<FileJournalRecord, String> STATE = createField(DSL.name(""state""), SQLDataType.VARCHAR(50), this, """");","The 'state' column uses a CHECK constraint to restrict values to 'UPLOADED', 'IN_UPLOAD', 'DELETED', 'DELETING' (as seen in line 226). This makes adding new states require a schema change. Consider creating a separate lookup table (e.g., 'file_states') to store allowed state values and reference it via a foreign key."
