Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
ZanottiMatteo_BGTransports,ID Required,Java/BGTransport/src_generated_transportation/transportation/jooq/generated/tables/Funiculartimetable.java,55,55,"public final TableField<FuniculartimetableRecord, Integer> ID = createField(DSL.name(""id""), SQLDataType.INTEGER, this, """");","The primary key is named just 'id', which is a generic name that doesn't convey meaning about the entity it identifies. Consider renaming it to 'funiculartimetable_id' or 'timetable_id' to make it more descriptive and avoid ambiguity in joins."
ZanottiMatteo_BGTransports,Keyless Entry,Java/BGTransport/src_generated_transportation/transportation/jooq/generated/tables/Funiculartimetable.java,60,60,"public final TableField<FuniculartimetableRecord, String> COMPANYNAME = createField(DSL.name(""companyName""), SQLDataType.VARCHAR(255), this, """");","The 'companyName' column appears to reference the Company table (which has a primary key on 'name'), but lacks a foreign key constraint. Add a foreign key constraint referencing Company.name to ensure referential integrity."
ZanottiMatteo_BGTransports,Keyless Entry,Java/BGTransport/src_generated_transportation/transportation/jooq/generated/tables/Funiculartimetable.java,70,70,"public final TableField<FuniculartimetableRecord, String> DEPARTUREFUNICULARSTATION = createField(DSL.name(""departureFunicularStation""), SQLDataType.VARCHAR(255), this, """");","The 'departureFunicularStation' column appears to reference the Funicularstation table (which has a primary key on 'name'), but lacks a foreign key constraint. Add a foreign key constraint referencing Funicularstation.name to ensure referential integrity."
ZanottiMatteo_BGTransports,Keyless Entry,Java/BGTransport/src_generated_transportation/transportation/jooq/generated/tables/Funiculartimetable.java,80,80,"public final TableField<FuniculartimetableRecord, String> ARRIVALFUNICULARSTATION = createField(DSL.name(""arrivalFunicularStation""), SQLDataType.VARCHAR(255), this, """");","The 'arrivalFunicularStation' column appears to reference the Funicularstation table (which has a primary key on 'name'), but lacks a foreign key constraint. Add a foreign key constraint referencing Funicularstation.name to ensure referential integrity."
ZanottiMatteo_BGTransports,ID Required,Java/BGTransport/src_generated_transportation/transportation/jooq/generated/tables/Pullmantimetable.java,55,55,"public final TableField<PullmantimetableRecord, Integer> ID = createField(DSL.name(""id""), SQLDataType.INTEGER, this, """");",The primary key is named just 'id' which is a generic name that doesn't convey meaning about the table it belongs to. Consider renaming it to 'pullmantimetable_id' or 'timetable_id' to make it more descriptive and avoid ambiguity in joins.
ZanottiMatteo_BGTransports,Keyless Entry,Java/BGTransport/src_generated_transportation/transportation/jooq/generated/tables/Pullmantimetable.java,60,60,"public final TableField<PullmantimetableRecord, String> COMPANYNAME = createField(DSL.name(""companyName""), SQLDataType.VARCHAR(255), this, """");","The 'companyName' column appears to reference the Company table (which has a primary key on 'name'), but no foreign key constraint is defined. Add a foreign key constraint referencing Company.NAME to ensure referential integrity."
ZanottiMatteo_BGTransports,Keyless Entry,Java/BGTransport/src_generated_transportation/transportation/jooq/generated/tables/Pullmantimetable.java,70,70,"public final TableField<PullmantimetableRecord, String> DEPARTUREPULLMANSTOP = createField(DSL.name(""departurePullmanStop""), SQLDataType.VARCHAR(255), this, """");","The 'departurePullmanStop' column appears to reference the Pullmanstop table (which has a primary key on 'name'), but no foreign key constraint is defined. Add a foreign key constraint referencing Pullmanstop.NAME to ensure data consistency."
ZanottiMatteo_BGTransports,Keyless Entry,Java/BGTransport/src_generated_transportation/transportation/jooq/generated/tables/Pullmantimetable.java,80,80,"public final TableField<PullmantimetableRecord, String> ARRIVALPULLMANSTOP = createField(DSL.name(""arrivalPullmanStop""), SQLDataType.VARCHAR(255), this, """");","The 'arrivalPullmanStop' column appears to reference the Pullmanstop table (which has a primary key on 'name'), but no foreign key constraint is defined. Add a foreign key constraint referencing Pullmanstop.NAME to maintain referential integrity."
ZanottiMatteo_BGTransports,Keyless Entry,Java/BGTransport/src_generated_transportation/transportation/jooq/generated/tables/Pullmantimetable.java,90,90,"public final TableField<PullmantimetableRecord, String> NEXTSTOP = createField(DSL.name(""nextStop""), SQLDataType.VARCHAR(255), this, """");","The 'nextStop' column appears to reference the Pullmanstop table (which has a primary key on 'name'), but no foreign key constraint is defined. Add a foreign key constraint referencing Pullmanstop.NAME to ensure valid stop references."
ZanottiMatteo_BGTransports,ID Required,Java/BGTransport/src_generated_transportation/transportation/jooq/generated/tables/Traintimetable.java,55,55,"public final TableField<TraintimetableRecord, Integer> ID = createField(DSL.name(""id""), SQLDataType.INTEGER, this, """");","The primary key column is named just 'id', which is a generic name that doesn't convey any meaning about the table it belongs to. Consider renaming it to 'trainTimetable_id' or 'timetable_id' to make it more descriptive and avoid ambiguity in JOIN queries."
ZanottiMatteo_BGTransports,Keyless Entry,Java/BGTransport/src_generated_transportation/transportation/jooq/generated/tables/Traintimetable.java,60,60,"public final TableField<TraintimetableRecord, String> COMPANYNAME = createField(DSL.name(""companyName""), SQLDataType.VARCHAR(255), this, """");","The 'companyName' column appears to reference the Company table (which has a primary key on 'name'), but no foreign key constraint is defined. Add a foreign key constraint referencing Company.NAME to ensure referential integrity."
ZanottiMatteo_BGTransports,Keyless Entry,Java/BGTransport/src_generated_transportation/transportation/jooq/generated/tables/Traintimetable.java,70,70,"public final TableField<TraintimetableRecord, String> DEPARTURETRAINSTATION = createField(DSL.name(""departureTrainStation""), SQLDataType.VARCHAR(255), this, """");","The 'departureTrainStation' column appears to reference the Trainstation table (which has a primary key on 'name'), but no foreign key constraint is defined. Add a foreign key constraint referencing Trainstation.NAME to ensure data consistency."
ZanottiMatteo_BGTransports,Keyless Entry,Java/BGTransport/src_generated_transportation/transportation/jooq/generated/tables/Traintimetable.java,80,80,"public final TableField<TraintimetableRecord, String> ARRIVALTRAINSTATION = createField(DSL.name(""arrivalTrainStation""), SQLDataType.VARCHAR(255), this, """");","The 'arrivalTrainStation' column appears to reference the Trainstation table (which has a primary key on 'name'), but no foreign key constraint is defined. Add a foreign key constraint referencing Trainstation.NAME to maintain referential integrity."
ZanottiMatteo_BGTransports,Keyless Entry,Java/BGTransport/src_generated_transportation/transportation/jooq/generated/tables/Traintimetable.java,90,90,"public final TableField<TraintimetableRecord, String> NEXTSTOP = createField(DSL.name(""nextStop""), SQLDataType.VARCHAR(255), this, """");","The 'nextStop' column appears to reference the Trainstation table (which has a primary key on 'name'), but no foreign key constraint is defined. Add a foreign key constraint referencing Trainstation.NAME to ensure valid station references."
ZanottiMatteo_BGTransports,ID Required,Java/BGTransport/src_generated_transportation/transportation/jooq/generated/tables/Tramtimetable.java,55,55,"public final TableField<TramtimetableRecord, Integer> ID = createField(DSL.name(""id""), SQLDataType.INTEGER, this, """");",The primary key is named generically 'id' instead of a more descriptive name. Consider renaming it to 'tram_timetable_id' or 'timetable_id' to make it self-documenting and avoid ambiguity in joins.
ZanottiMatteo_BGTransports,Keyless Entry,Java/BGTransport/src_generated_transportation/transportation/jooq/generated/tables/Tramtimetable.java,60,60,"public final TableField<TramtimetableRecord, String> COMPANYNAME = createField(DSL.name(""companyName""), SQLDataType.VARCHAR(255), this, """");","The 'companyName' column appears to reference the Company table but lacks a foreign key constraint, which could lead to orphaned records or invalid references. Add a foreign key constraint referencing Company.NAME."
ZanottiMatteo_BGTransports,Keyless Entry,Java/BGTransport/src_generated_transportation/transportation/jooq/generated/tables/Tramtimetable.java,70,70,"public final TableField<TramtimetableRecord, String> DEPARTURETRAMSTATION = createField(DSL.name(""departureTramStation""), SQLDataType.VARCHAR(255), this, """");","The 'departureTramStation' column appears to reference the Tramstop table but lacks a foreign key constraint, risking referential integrity issues. Add a foreign key constraint referencing Tramstop.NAME."
ZanottiMatteo_BGTransports,Keyless Entry,Java/BGTransport/src_generated_transportation/transportation/jooq/generated/tables/Tramtimetable.java,80,80,"public final TableField<TramtimetableRecord, String> ARRIVALTRAMSTATION = createField(DSL.name(""arrivalTramStation""), SQLDataType.VARCHAR(255), this, """");","The 'arrivalTramStation' column appears to reference the Tramstop table but lacks a foreign key constraint, which could allow invalid station references. Add a foreign key constraint referencing Tramstop.NAME."
ZanottiMatteo_BGTransports,Keyless Entry,Java/BGTransport/src_generated_transportation/transportation/jooq/generated/tables/Tramtimetable.java,90,90,"public final TableField<TramtimetableRecord, String> NEXTSTOP = createField(DSL.name(""nextStop""), SQLDataType.VARCHAR(255), this, """");","The 'nextStop' column appears to reference the Tramstop table but lacks a foreign key constraint, which could lead to data integrity issues. Add a foreign key constraint referencing Tramstop.NAME."
