Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
ZebdaYacine_demofx,ID Required,src/main/java/com/example/demofx/com/example/demofx/tables/Diagnostic.java,61,61,"public final TableField<DiagnosticRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");","The primary key column is named just 'id', which is a generic name that doesn't convey any meaning about the table it belongs to. Consider renaming it to 'diagnostic_id' to make it more descriptive and avoid ambiguity in queries with joins."
ZebdaYacine_demofx,ID Required,src/main/java/com/example/demofx/com/example/demofx/tables/Follow.java,61,61,"public final TableField<FollowRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");",The primary key column is generically named 'id' instead of a more descriptive name like 'follow_id'. Consider renaming the column to 'follow_id' to make it self-documenting and avoid ambiguity in queries with joins.
ZebdaYacine_demofx,ID Required,src/main/java/com/example/demofx/com/example/demofx/tables/Patient.java,57,57,"public final TableField<PatientRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");",The primary key is named generically 'id' rather than a more descriptive name like 'patient_id'. Consider renaming the primary key to 'patient_id' to make it self-documenting and easier to identify in queries and joins.
ZebdaYacine_demofx,Rounding Errors,src/main/java/com/example/demofx/com/example/demofx/tables/Patient.java,122,122,"public final TableField<PatientRecord, Double> WIEGHT = createField(DSL.name(""wieght""), SQLDataType.FLOAT, this, """");","The 'wieght' column uses SQLDataType.FLOAT which can cause precision loss for weight measurements. Consider using SQLDataType.DECIMAL or SQLDataType.NUMERIC with appropriate precision and scale (e.g., DECIMAL(5,2)) to store weight values accurately."
ZebdaYacine_demofx,ID Required,src/main/java/com/example/demofx/com/example/demofx/tables/Role.java,56,56,"public final TableField<RoleRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");","The table uses a generic 'id' as the primary key name, which is non-descriptive and can cause ambiguity in queries with joins. Consider renaming it to 'role_id' for clarity and to avoid confusion when joining with other tables."
ZebdaYacine_demofx,ID Required,src/main/java/com/example/demofx/com/example/demofx/tables/Role.java,56,56,"public final TableField<RoleRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");","The 'role' table has a synthetic auto-increment primary key, but the 'name' column appears to be a natural key that could uniquely identify roles. Consider using 'name' as the primary key instead, or at minimum adding a unique constraint on it to prevent duplicate role names."
ZebdaYacine_demofx,Beware of the Unknown,src/main/java/com/example/demofx/com/example/demofx/tables/Role.java,61,61,"public final TableField<RoleRecord, String> NAME = createField(DSL.name(""name""), SQLDataType.VARCHAR(20), this, """");","The 'name' column is marked as NULLABLE, but a role without a name is likely meaningless in this domain. Consider adding a NOT NULL constraint to ensure every role has a valid name."
ZebdaYacine_demofx,ID Required,src/main/java/com/example/demofx/com/example/demofx/tables/Service.java,56,56,"public final TableField<ServiceRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");",The primary key is named just 'id' which is generic and doesn't convey meaning about the table it belongs to. Consider renaming it to 'service_id' to make it more descriptive and avoid ambiguity in queries with joins.
ZebdaYacine_demofx,Beware of the Unknown,src/main/java/com/example/demofx/com/example/demofx/tables/Service.java,61,61,"public final TableField<ServiceRecord, String> NAME = createField(DSL.name(""name""), SQLDataType.VARCHAR(20), this, """");",The 'name' column is nullable but a service should always have a name - a service without a name has no practical meaning. Consider adding a NOT NULL constraint to this column to ensure data integrity.
ZebdaYacine_demofx,ID Required,src/main/java/com/example/demofx/com/example/demofx/tables/Type.java,56,56,"public final TableField<TypeRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");",The table uses a generic 'id' column as the primary key instead of a more descriptive name. Consider renaming it to 'type_id' to make foreign key relationships clearer and avoid ambiguity when joining tables.
ZebdaYacine_demofx,ID Required,src/main/java/com/example/demofx/com/example/demofx/tables/User.java,60,60,"public final TableField<UserRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");",The primary key column is generically named 'id' instead of a more descriptive name like 'user_id'. Consider renaming the column to 'user_id' to make it self-documenting and avoid ambiguity in queries with multiple joined tables.
ZebdaYacine_demofx,Implicit Columns,src/main/java/com/example/demofx/controller/LoginController.java,39,39,Result<Record> result = context.select().from(USER).fetch();,"Using `select()` without specifying columns fetches all columns from the USER table, which wastes resources if only ID and FIRSTNAME are needed. Replace with `context.select(USER.ID, USER.FIRSTNAME).from(USER).fetch()` to explicitly select only the required columns."
ZebdaYacine_demofx,Implicit Columns,src/main/java/com/example/demofx/controller/LoginController.java,88,88,"UserRecord userRecord = context.fetchOne(USER, USER.ID.eq(id));","Using `fetchOne(USER, ...)` fetches all columns of the USER table into a UserRecord, even though only the record's existence and delete capability are needed. Consider using `context.deleteFrom(USER).where(USER.ID.eq(id)).execute()` directly if you only need to delete the record."
ZebdaYacine_demofx,Implicit Columns,src/main/java/com/example/demofx/controller/LoginController.java,102,102,"UserRecord userRecord = context.fetchOne(USER, USER.ID.eq(id));","Using `fetchOne(USER, ...)` fetches all columns of the USER table into a UserRecord, but the record data is never used—only its existence is checked. Consider using `context.fetchExists(selectFrom(USER).where(USER.ID.eq(id)))` to check existence, or remove the check entirely since the update will simply affect zero rows if the ID doesn't exist."
ZebdaYacine_demofx,Implicit Columns,src/main/java/com/example/demofx/controller/UsersController.java,48,48,Result<Record> result = context.select().from(User.USER).fetch();,"Using `select()` without specifying columns fetches all columns from the USER table, which can retrieve unnecessary data and impact performance. Specify only the required columns explicitly, e.g., `context.select(USER.ID, USER.FIRSTNAME, USER.LASTNAME, ...).from(User.USER).fetch()`."
ZebdaYacine_demofx,ID Required,src/main/java/com/example/demofx/databaseManger/jooq/tables/Diagnostic.java,61,61,"public final TableField<DiagnosticRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");","The primary key is named just 'id' which is a generic, non-descriptive name that doesn't convey any meaning about the table it belongs to. Consider renaming it to 'diagnostic_id' to make it more descriptive and to avoid ambiguity in queries with joins."
ZebdaYacine_demofx,ID Required,src/main/java/com/example/demofx/databaseManger/jooq/tables/Follow.java,61,61,"public final TableField<FollowRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");","The primary key is named just 'id', which is a generic name that doesn't convey any meaning about the table it belongs to. Consider renaming it to 'follow_id' to make it more descriptive and avoid ambiguity in queries with joins."
