Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
ZsgsDesign_openvsx,ID Required,server/src/main/jooq-gen/org/eclipse/openvsx/jooq/tables/AdminStatistics.java,52,52,"public final TableField<AdminStatisticsRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false), this, """");","The table uses a generic 'id' column as the primary key, but the combination of YEAR and MONTH columns would form a natural unique identifier for admin statistics records. Consider using a composite primary key of (year, month) instead of a synthetic 'id' column."
ZsgsDesign_openvsx,ID Required,server/src/main/jooq-gen/org/eclipse/openvsx/jooq/tables/AzureDownloadCountProcessedItem.java,53,53,"public final TableField<AzureDownloadCountProcessedItemRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false), this, """");",The primary key column is generically named 'id' instead of a more descriptive name like 'azure_download_count_processed_item_id'. Consider renaming the primary key to include the table name for better clarity when used in joins and foreign key references.
ZsgsDesign_openvsx,ID Required,server/src/main/jooq-gen/org/eclipse/openvsx/jooq/tables/Download.java,53,53,"public final TableField<DownloadRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false), this, """");","The primary key is named just 'id' which is a generic, non-descriptive name that doesn't convey the table context. Consider renaming it to 'download_id' to make it more meaningful and to avoid ambiguity in queries with joins."
ZsgsDesign_openvsx,Keyless Entry,server/src/main/jooq-gen/org/eclipse/openvsx/jooq/tables/Download.java,58,58,"public final TableField<DownloadRecord, Long> FILE_RESOURCE_ID_NOT_FK = createField(DSL.name(""file_resource_id_not_fk""), SQLDataType.BIGINT.nullable(false), this, """");","The column 'file_resource_id_not_fk' appears to reference the FileResource table (which has FILE_RESOURCE_PKEY) but lacks a foreign key constraint, as indicated by its name. Add a foreign key constraint referencing FileResource.ID to ensure referential integrity and prevent orphaned records."
ZsgsDesign_openvsx,ID Required,server/src/main/jooq-gen/org/eclipse/openvsx/jooq/tables/EntityActiveState.java,53,53,"public final TableField<EntityActiveStateRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false), this, """");",The primary key column is generically named 'id' instead of a more descriptive name like 'entity_active_state_id'. Consider renaming the primary key to 'entity_active_state_id' to make it self-documenting and avoid ambiguity in joins.
ZsgsDesign_openvsx,ID Required,server/src/main/jooq-gen/org/eclipse/openvsx/jooq/tables/Extension.java,55,55,"public final TableField<ExtensionRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false), this, """");","The primary key is named just 'id' which is a generic, non-descriptive name. Consider renaming it to 'extension_id' to make it more meaningful and to avoid ambiguity when joining tables."
ZsgsDesign_openvsx,Rounding Errors,server/src/main/jooq-gen/org/eclipse/openvsx/jooq/tables/Extension.java,60,60,"public final TableField<ExtensionRecord, Double> AVERAGE_RATING = createField(DSL.name(""average_rating""), SQLDataType.DOUBLE, this, """");","The 'average_rating' column uses DOUBLE which can cause rounding errors for fixed-precision values like ratings. Consider using DECIMAL or NUMERIC with appropriate precision (e.g., DECIMAL(3,2)) to ensure accurate storage of rating values."
ZsgsDesign_openvsx,ID Required,server/src/main/jooq-gen/org/eclipse/openvsx/jooq/tables/ExtensionReview.java,55,55,"public final TableField<ExtensionReviewRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false), this, """");",The primary key column is generically named 'id' instead of a more descriptive name like 'extension_review_id'. Consider renaming the primary key to 'extension_review_id' to make it self-documenting and avoid ambiguity in joins.
ZsgsDesign_openvsx,ID Required,server/src/main/jooq-gen/org/eclipse/openvsx/jooq/tables/ExtensionVersion.java,54,54,"public final TableField<ExtensionVersionRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false), this, """");","The primary key is named generically 'id' instead of a more descriptive name like 'extension_version_id'. Additionally, there's a unique constraint 'UNIQUE_EXTENSION_VERSION' on (extension_id, target_platform, version) that could serve as a natural composite primary key. Consider renaming the column to 'extension_version_id' or using the natural key as the primary key."
ZsgsDesign_openvsx,ID Required,server/src/main/jooq-gen/org/eclipse/openvsx/jooq/tables/FileResource.java,54,54,"public final TableField<FileResourceRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false), this, """");","The primary key column is named just 'id' which is a generic, non-descriptive name that doesn't convey the table context. Consider renaming it to 'file_resource_id' to make it more meaningful and to avoid ambiguity in queries with joins."
ZsgsDesign_openvsx,ID Required,server/src/main/jooq-gen/org/eclipse/openvsx/jooq/tables/Namespace.java,52,52,"public final TableField<NamespaceRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false), this, """");","The table uses a generic 'id' column as the primary key while having a unique constraint on 'public_id' which could serve as a natural key. Consider using 'namespace_id' as the primary key name for clarity, or evaluate whether 'public_id' could be used as the primary key instead."
ZsgsDesign_openvsx,ID Required,server/src/main/jooq-gen/org/eclipse/openvsx/jooq/tables/NamespaceMembership.java,54,54,"public final TableField<NamespaceMembershipRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false), this, """");",The primary key is named just 'id' which is a generic name that doesn't convey meaning about the entity. Consider renaming it to 'namespace_membership_id' to make it more descriptive and avoid ambiguity in queries with joins.
ZsgsDesign_openvsx,ID Required,server/src/main/jooq-gen/org/eclipse/openvsx/jooq/tables/PersistedLog.java,55,55,"public final TableField<PersistedLogRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false), this, """");","The primary key column is named just 'id', which is a generic name that doesn't convey any meaning about the entity it identifies. Consider renaming it to something more descriptive like 'persisted_log_id' or 'log_id' to improve clarity when joining tables."
ZsgsDesign_openvsx,ID Required,server/src/main/jooq-gen/org/eclipse/openvsx/jooq/tables/PersonalAccessToken.java,53,53,"public final TableField<PersonalAccessTokenRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false), this, """");","The table uses a generic 'id' column as the primary key while having a unique constraint on 'VALUE' (UKJEUD5MSSQBQKID58RD2K1INOF). Since the token value is unique and immutable by nature, it could serve as a natural primary key. Consider renaming the primary key to something more descriptive like 'personal_access_token_id' or using the VALUE column as the primary key."
ZsgsDesign_openvsx,ID Required,server/src/main/jooq-gen/org/eclipse/openvsx/jooq/tables/UserData.java,52,52,"public final TableField<UserDataRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false), this, """");","The primary key column is generically named 'id' instead of a more descriptive name like 'user_data_id' or 'user_id'. Consider renaming the primary key to something more meaningful that identifies the entity, such as 'user_data_id', which would make queries with joins more readable and self-documenting."
