Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
aabarmin_telegram-bots,ID Required,src/main/java/dev/abarmin/bots/entity/jooq/tables/ArticleSources.java,65,65,"public final TableField<ArticleSourcesRecord, Integer> SOURCE_ID = createField(DSL.name(""SOURCE_ID""), SQLDataType.INTEGER.nullable(false).identity(true), this, """");","The table has a synthetic auto-increment primary key (SOURCE_ID) even though it has unique constraints on SOURCE_URL and SOURCE_NAME that could serve as natural keys. Consider using SOURCE_URL as the primary key since URLs are inherently unique identifiers for article sources, or evaluate if the synthetic key is truly necessary."
aabarmin_telegram-bots,ID Required,src/main/java/dev/abarmin/bots/entity/jooq/tables/ArticleSubscriptions.java,64,64,"public final TableField<ArticleSubscriptionsRecord, Integer> ID = createField(DSL.name(""ID""), SQLDataType.INTEGER.nullable(false).identity(true), this, """");","The primary key column is named just 'ID', which is a generic name that doesn't convey any meaning about the table it belongs to. Consider renaming it to 'SUBSCRIPTION_ID' or 'ARTICLE_SUBSCRIPTION_ID' to make it more descriptive and avoid ambiguity in joins."
aabarmin_telegram-bots,Beware of the Unknown,src/main/java/dev/abarmin/bots/entity/jooq/tables/Episodes.java,79,79,"public final TableField<EpisodesRecord, LocalDateTime> CREATED_AT = createField(DSL.name(""CREATED_AT""), SQLDataType.LOCALDATETIME(6), this, """");",The CREATED_AT column is marked as NULLABLE but likely should never be NULL since it represents when the record was created. Consider adding a NOT NULL constraint with a default value like CURRENT_TIMESTAMP.
aabarmin_telegram-bots,Beware of the Unknown,src/main/java/dev/abarmin/bots/entity/jooq/tables/Episodes.java,84,84,"public final TableField<EpisodesRecord, LocalDateTime> UPDATED_AT = createField(DSL.name(""UPDATED_AT""), SQLDataType.LOCALDATETIME(6), this, """");",The UPDATED_AT column is marked as NULLABLE but likely should never be NULL since it represents when the record was last modified. Consider adding a NOT NULL constraint with a default value like CURRENT_TIMESTAMP.
aabarmin_telegram-bots,ID Required,src/main/java/dev/abarmin/bots/entity/jooq/tables/EpisodesArticles.java,64,64,"public final TableField<EpisodesArticlesRecord, Integer> ID = createField(DSL.name(""ID""), SQLDataType.INTEGER.nullable(false).identity(true), this, """");","This junction table uses a synthetic auto-increment 'ID' primary key, but a composite primary key of (EPISODE_ID, ARTICLE_ID) would be more appropriate since this combination is naturally unique for a many-to-many relationship. Consider removing the ID column and using a composite primary key on the two foreign key columns instead."
aabarmin_telegram-bots,ID Required,src/main/java/dev/abarmin/bots/entity/jooq/tables/TelegramChats.java,65,65,"public final TableField<TelegramChatsRecord, Integer> ID = createField(DSL.name(""ID""), SQLDataType.INTEGER.nullable(false).identity(true), this, """");","The table uses a generic 'ID' column as the primary key while a unique constraint already exists on CHAT_ID, which is a natural key suitable for identifying Telegram chats. Consider using CHAT_ID as the primary key instead of introducing a synthetic ID column."
aabarmin_telegram-bots,ID Required,src/main/java/dev/abarmin/bots/entity/jooq/tables/TelegramUpdates.java,64,64,"public final TableField<TelegramUpdatesRecord, Integer> ID = createField(DSL.name(""ID""), SQLDataType.INTEGER.nullable(false).identity(true), this, """");","The table uses a generic 'ID' column as the primary key while having a unique constraint on 'UPDATE_ID', which is a natural identifier for Telegram updates. Consider using 'UPDATE_ID' as the primary key instead of introducing a synthetic 'ID' column."
aabarmin_telegram-bots,Beware of the Unknown,src/main/java/dev/abarmin/bots/entity/jooq/tables/TelegramUpdates.java,79,79,"public final TableField<TelegramUpdatesRecord, LocalDateTime> CREATED_AT = createField(DSL.name(""CREATED_AT""), SQLDataType.LOCALDATETIME(6), this, """");",The 'CREATED_AT' column is nullable but should logically always have a value representing when the record was created. Consider adding a NOT NULL constraint with a default value of the current timestamp.
aabarmin_telegram-bots,Beware of the Unknown,src/main/java/dev/abarmin/bots/entity/jooq/tables/TelegramUpdates.java,84,84,"public final TableField<TelegramUpdatesRecord, LocalDateTime> UPDATED_AT = createField(DSL.name(""UPDATED_AT""), SQLDataType.LOCALDATETIME(6), this, """");",The 'UPDATED_AT' column is nullable but should logically always have a value representing when the record was last modified. Consider adding a NOT NULL constraint with a default value of the current timestamp.
aabarmin_telegram-bots,Implicit Columns,src/main/java/dev/abarmin/bots/service/ArticleProvider.java,35,36,"fields.addAll(Arrays.asList(ARTICLES.fields()));
fields.addAll(Arrays.asList(ARTICLE_SOURCES.fields()));","Using `fields()` fetches all columns from both ARTICLES and ARTICLE_SOURCES tables, which retrieves unnecessary data and can impact performance. Instead, explicitly select only the required columns: ARTICLES.ARTICLE_ID, ARTICLES.ARTICLE_TITLE, ARTICLES.ARTICLE_URL, ARTICLES.ARTICLE_ADDED, ARTICLE_SOURCES.SOURCE_ID, and ARTICLE_SOURCES.SOURCE_NAME."
