Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
aerius_emission-service,31 Flavors,source/rest-service/src/main/generated/nl/aerius/emissionservice/db/generated/i18n/tables/Messages.java,63,63,"public final TableField<MessagesRecord, LanguageCodeType> LANGUAGE_CODE = createField(DSL.name(""language_code""), SQLDataType.VARCHAR.nullable(false).asEnumDataType(nl.aerius.emissionservice.db.generated.i18n.enums.LanguageCodeType.class), this, """");","The LANGUAGE_CODE column uses an ENUM type (LanguageCodeType) to restrict allowed values, which makes adding new language codes require a schema change. Consider using a separate lookup table for language codes that can be modified without altering the table structure."
aerius_emission-service,31 Flavors,source/rest-service/src/main/generated/nl/aerius/emissionservice/db/generated/i18n/tables/SystemInfoMessages.java,58,58,"public final TableField<SystemInfoMessagesRecord, LanguageCodeType> LANGUAGE_CODE = createField(DSL.name(""language_code""), SQLDataType.VARCHAR.nullable(false).asEnumDataType(nl.aerius.emissionservice.db.generated.i18n.enums.LanguageCodeType.class), this, """");","The LANGUAGE_CODE column uses an ENUM type (LanguageCodeType) to restrict allowed values, which makes adding or removing language codes difficult without schema changes. Consider using a separate lookup table for language codes that can be modified without altering the table structure."
aerius_emission-service,31 Flavors,source/rest-service/src/main/generated/nl/aerius/emissionservice/db/generated/public_/tables/Constants.java,73,73,"public final TableField<ConstantsRecord, ConstantType> TYPE = createField(DSL.name(""type""), SQLDataType.VARCHAR.asEnumDataType(nl.aerius.emissionservice.db.generated.public_.enums.ConstantType.class), this, """");","The TYPE column uses an ENUM type (ConstantType) to restrict allowed values, which makes adding or removing valid types difficult without schema changes. Consider creating a separate lookup table (e.g., constant_types) with a foreign key reference instead."
aerius_emission-service,Beware of the Unknown,source/rest-service/src/main/generated/nl/aerius/emissionservice/db/generated/public_/tables/Constants.java,73,73,"public final TableField<ConstantsRecord, ConstantType> TYPE = createField(DSL.name(""type""), SQLDataType.VARCHAR.asEnumDataType(nl.aerius.emissionservice.db.generated.public_.enums.ConstantType.class), this, """");",The TYPE column is marked as NULLABLE (no .nullable(false) specified) but likely should always have a value for a constants table. Consider adding a NOT NULL constraint or providing a meaningful default value if the type is always required.
aerius_emission-service,31 Flavors,source/rest-service/src/main/generated/nl/aerius/emissionservice/db/generated/public_/tables/I18nDatasets.java,65,65,"public final TableField<I18nDatasetsRecord, LanguageCodeType> LANGUAGE_CODE = createField(DSL.name(""language_code""), SQLDataType.VARCHAR.nullable(false).asEnumDataType(nl.aerius.emissionservice.db.generated.i18n.enums.LanguageCodeType.class), this, """");","The LANGUAGE_CODE column uses an ENUM type (LanguageCodeType) to restrict allowed values, which makes adding or removing language codes require schema changes. Consider using a separate lookup table for language codes that can be modified without altering the table structure."
aerius_emission-service,ID Required,source/rest-service/src/main/generated/nl/aerius/emissionservice/db/generated/template/tables/EmissionDiurnalVariations.java,62,62,"public final TableField<EmissionDiurnalVariationsRecord, Integer> EMISSION_DIURNAL_VARIATION_ID = createField(DSL.name(""emission_diurnal_variation_id""), SQLDataType.INTEGER.nullable(false), this, """");","The table has a synthetic primary key 'emission_diurnal_variation_id' even though it has unique constraints on 'code' and 'name' columns (as seen in getUniqueKeys()), which could serve as natural primary keys. Consider using 'code' as the primary key since it's already unique and immutable by nature."
aerius_emission-service,Rounding Errors,source/rest-service/src/main/generated/nl/aerius/emissionservice/db/generated/template/tables/FarmAdditionalLodgingSystemEmissionFactors.java,78,78,"public final TableField<FarmAdditionalLodgingSystemEmissionFactorsRecord, Float> EMISSION_FACTOR = createField(DSL.name(""emission_factor""), nl.aerius.emissionservice.db.generated.public_.Domains.POSREAL.getDataType().nullable(false), this, """");","The EMISSION_FACTOR column uses a Float type (POSREAL domain based on floating-point), which can cause precision loss when storing fixed-precision emission values. Consider using DECIMAL or NUMERIC types instead to ensure accurate calculations and comparisons."
aerius_emission-service,ID Required,source/rest-service/src/main/generated/nl/aerius/emissionservice/db/generated/template/tables/FarmAdditionalLodgingSystems.java,66,66,"public final TableField<FarmAdditionalLodgingSystemsRecord, Integer> FARM_ADDITIONAL_LODGING_SYSTEM_ID = createField(DSL.name(""farm_additional_lodging_system_id""), SQLDataType.INTEGER.nullable(false), this, """");","This table has a synthetic primary key (farm_additional_lodging_system_id) even though it has unique constraints on 'code' and 'name' columns that could serve as natural keys. Consider using the 'code' column as the primary key since it's already unique and immutable by nature, which would eliminate the need for a surrogate key."
aerius_emission-service,ID Required,source/rest-service/src/main/generated/nl/aerius/emissionservice/db/generated/template/tables/FarmAnimalCategories.java,63,63,"public final TableField<FarmAnimalCategoriesRecord, Integer> FARM_ANIMAL_CATEGORY_ID = createField(DSL.name(""farm_animal_category_id""), SQLDataType.INTEGER.nullable(false), this, """");",The table has a synthetic primary key 'farm_animal_category_id' even though it has unique constraints on 'code' and 'name' columns which could serve as natural keys. Consider using the 'code' column as the primary key since it's unique and likely immutable for category identifiers.
aerius_emission-service,ID Required,source/rest-service/src/main/generated/nl/aerius/emissionservice/db/generated/template/tables/FarmlandCategories.java,61,61,"public final TableField<FarmlandCategoriesRecord, Short> FARMLAND_CATEGORY_ID = createField(DSL.name(""farmland_category_id""), SQLDataType.SMALLINT.nullable(false), this, """");","The table has a synthetic primary key 'farmland_category_id' while it also has unique constraints on 'code' and 'name' columns (FARMLAND_CATEGORIES_CODE_KEY, FARMLAND_CATEGORIES_NAME_KEY). The 'code' column would be a suitable natural key as it is unique and likely immutable. Consider using 'code' as the primary key instead of introducing a synthetic ID."
