Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
aleksseii_TradingOperations,Implicit Columns,controller/src/main/java/ru/aleksseii/dao/OrganizationDAO.java,41,41,"final OrganizationRecord record = context.fetchOne(ORGANIZATION, ORGANIZATION.ORG_ID.equal(id));",Using fetchOne with a table reference fetches all columns from the ORGANIZATION table into the record. Consider selecting only the specific columns needed using context.select(...).from(ORGANIZATION).where(...).fetchOne().
aleksseii_TradingOperations,Implicit Columns,controller/src/main/java/ru/aleksseii/dao/OrganizationDAO.java,59,59,"Result<OrganizationRecord> orgRecords = context.fetch(ORGANIZATION, ORGANIZATION.NAME.equal(name));",Using fetch with a table reference retrieves all columns from the ORGANIZATION table. Consider explicitly selecting only the required columns using context.select(...).from(ORGANIZATION).where(...).fetch().
aleksseii_TradingOperations,Implicit Columns,controller/src/main/java/ru/aleksseii/dao/OrganizationDAO.java,81,81,"final OrganizationRecord record = context.fetchOne(ORGANIZATION, ORGANIZATION.INN.equal(inn));",Using fetchOne with a table reference fetches all columns from the ORGANIZATION table. Consider selecting only the specific columns needed using context.select(...).from(ORGANIZATION).where(...).fetchOne().
aleksseii_TradingOperations,Implicit Columns,controller/src/main/java/ru/aleksseii/dao/OrganizationDAO.java,100,100,final Result<OrganizationRecord> orgRecords = context.fetch(ORGANIZATION);,Using fetch with just a table reference retrieves all columns and all rows from the ORGANIZATION table. Consider explicitly selecting only the required columns using context.select(...).from(ORGANIZATION).fetch().
aleksseii_TradingOperations,Implicit Columns,controller/src/main/java/ru/aleksseii/dao/OrganizationDAO.java,120,120,"OrganizationRecord orgRecord = context.fetchOne(ORGANIZATION, ORGANIZATION.ORG_ID.equal(orgId));",Using fetchOne with a table reference fetches all columns from the ORGANIZATION table. Consider selecting only the specific columns needed using context.select(...).from(ORGANIZATION).where(...).fetchOne().
aleksseii_TradingOperations,Implicit Columns,controller/src/main/java/ru/aleksseii/dao/OrganizationDAO.java,165,165,"final OrganizationRecord orgRecord = context.fetchOne(ORGANIZATION, ORGANIZATION.ORG_ID.equal(id));",Using fetchOne with a table reference fetches all columns from the ORGANIZATION table before deletion. Consider using context.deleteFrom(ORGANIZATION).where(ORGANIZATION.ORG_ID.equal(id)).execute() to delete directly without fetching.
aleksseii_TradingOperations,Implicit Columns,controller/src/main/java/ru/aleksseii/dao/ProductDAO.java,41,41,"final ProductRecord record = context.fetchOne(PRODUCT, PRODUCT.PRODUCT_ID.equal(id));",Using fetchOne with just the table reference fetches all columns from the PRODUCT table into a ProductRecord. Consider using selectFrom with explicit column selection or select only the columns you need.
aleksseii_TradingOperations,Implicit Columns,controller/src/main/java/ru/aleksseii/dao/ProductDAO.java,59,59,"final Result<ProductRecord> productRecords = context.fetch(PRODUCT, PRODUCT.NAME.equal(name));",Using fetch with just the table reference fetches all columns from the PRODUCT table. Consider selecting only the specific columns needed for creating Product objects.
aleksseii_TradingOperations,Implicit Columns,controller/src/main/java/ru/aleksseii/dao/ProductDAO.java,78,78,final Result<ProductRecord> productRecords = context.fetch(PRODUCT);,Using fetch with just the table reference fetches all columns from the PRODUCT table. Consider selecting only the specific columns needed for creating Product objects.
aleksseii_TradingOperations,Implicit Columns,controller/src/main/java/ru/aleksseii/dao/ProductDAO.java,98,98,"final ProductRecord productRecord = context.fetchOne(PRODUCT, PRODUCT.PRODUCT_ID.equal(productId));",Using fetchOne with just the table reference fetches all columns from the PRODUCT table. Consider selecting only the columns needed for the update operation.
