Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
alexxiuccia_TrackMe,Rounding Errors,codice/TM_db/src-generated/it/trackme/jooq/generated/tables/Alimento.java,71,71,"public final TableField<AlimentoRecord, Float> CARBO = createField(DSL.name(""carbo""), SQLDataType.REAL.nullable(false), this, """");","The 'carbo' column uses SQLDataType.REAL (floating-point), which can cause precision loss when storing nutritional values that require exact decimal representation. Consider using SQLDataType.DECIMAL or SQLDataType.NUMERIC with appropriate precision and scale instead."
alexxiuccia_TrackMe,Rounding Errors,codice/TM_db/src-generated/it/trackme/jooq/generated/tables/Alimento.java,76,76,"public final TableField<AlimentoRecord, Float> PROTEINE = createField(DSL.name(""proteine""), SQLDataType.REAL.nullable(false), this, """");","The 'proteine' column uses SQLDataType.REAL (floating-point), which can introduce rounding errors for nutritional data that needs precise values. Consider changing to SQLDataType.DECIMAL or SQLDataType.NUMERIC with fixed precision."
alexxiuccia_TrackMe,Rounding Errors,codice/TM_db/src-generated/it/trackme/jooq/generated/tables/Alimento.java,81,81,"public final TableField<AlimentoRecord, Float> GRASSI = createField(DSL.name(""grassi""), SQLDataType.REAL.nullable(false), this, """");","The 'grassi' column uses SQLDataType.REAL (floating-point), which may cause inaccurate calculations when summing or comparing fat content values. Consider using SQLDataType.DECIMAL or SQLDataType.NUMERIC for accurate fixed-precision storage."
alexxiuccia_TrackMe,Keyless Entry,codice/TM_db/src-generated/it/trackme/jooq/generated/tables/Composizionericetta.java,55,55,"public final TableField<ComposizionericettaRecord, Integer> IDRICETTA = createField(DSL.name(""idRicetta""), SQLDataType.INTEGER.nullable(false), this, """");",The column 'idRicetta' appears to reference the Ricetta table (which has primary key RICETTA__PK_RICETTA on IDRICETTA) but lacks a foreign key constraint. Add a foreign key constraint referencing the Ricetta table to ensure referential integrity.
alexxiuccia_TrackMe,Keyless Entry,codice/TM_db/src-generated/it/trackme/jooq/generated/tables/Composizionericetta.java,60,60,"public final TableField<ComposizionericettaRecord, Integer> IDALIMENTO = createField(DSL.name(""idAlimento""), SQLDataType.INTEGER.nullable(false), this, """");",The column 'idAlimento' appears to reference the Alimento table (which has primary key ALIMENTO__PK_ALIMENTO on IDALIMENTO) but lacks a foreign key constraint. Add a foreign key constraint referencing the Alimento table to ensure referential integrity.
alexxiuccia_TrackMe,Keyless Entry,codice/TM_db/src-generated/it/trackme/jooq/generated/tables/Creazionepasto.java,55,55,"public final TableField<CreazionepastoRecord, Integer> IDPASTO = createField(DSL.name(""idPasto""), SQLDataType.INTEGER.nullable(false), this, """");",The column 'idPasto' appears to reference the Pasto table (which has primary key PASTO.IDPASTO) but lacks a foreign key constraint. Add a foreign key constraint referencing the Pasto table to ensure referential integrity.
alexxiuccia_TrackMe,Keyless Entry,codice/TM_db/src-generated/it/trackme/jooq/generated/tables/Creazionepasto.java,60,60,"public final TableField<CreazionepastoRecord, Integer> IDRICETTA = createField(DSL.name(""idRicetta""), SQLDataType.INTEGER.nullable(false), this, """");",The column 'idRicetta' appears to reference the Ricetta table (which has primary key RICETTA.IDRICETTA) but lacks a foreign key constraint. Add a foreign key constraint referencing the Ricetta table to ensure referential integrity.
alexxiuccia_TrackMe,Keyless Entry,codice/TM_db/src-generated/it/trackme/jooq/generated/tables/Pasto.java,66,66,"public final TableField<PastoRecord, Integer> IDUTENTE = createField(DSL.name(""idUtente""), SQLDataType.INTEGER.nullable(false), this, """");","The column 'idUtente' appears to reference the User table but lacks a foreign key constraint, which could lead to orphaned records or invalid references. Add a foreign key constraint referencing the User table's primary key (USER.IDUSER)."
alexxiuccia_TrackMe,31 Flavors,codice/TM_db/src-generated/it/trackme/jooq/generated/tables/Pasto.java,71,71,"public final TableField<PastoRecord, String> TIPO = createField(DSL.name(""tipo""), SQLDataType.CLOB.nullable(false), this, """");","The 'tipo' column uses a CHECK constraint to limit values to 'colazione', 'pranzo', 'cena', 'spuntino', which makes adding new meal types require a schema change. Consider creating a separate lookup table (e.g., 'tipo_pasto') to store allowed meal types and reference it via a foreign key."
alexxiuccia_TrackMe,Rounding Errors,codice/TM_db/src-generated/it/trackme/jooq/generated/tables/User.java,87,87,"public final TableField<UserRecord, Float> PESO = createField(DSL.name(""peso""), SQLDataType.REAL.nullable(false), this, """");",The 'peso' (weight) column uses REAL (floating-point) type which can cause precision loss when storing weight values. Consider using SQLDataType.DECIMAL or SQLDataType.NUMERIC with appropriate precision and scale to ensure accurate weight storage.
