Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
alvin-qh_study-java,ID Required,springboot/jooq/src/jooq/java/alvin/study/springboot/jooq/infra/model/public_/tables/Department.java,59,59,"public final TableField<DepartmentRecord, Long> ID = createField(DSL.name(""ID""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");",The primary key column is generically named 'ID' instead of a more descriptive name like 'department_id'. Consider renaming it to 'department_id' to make foreign key relationships clearer and avoid ambiguity in queries with multiple tables.
alvin-qh_study-java,Keyless Entry,springboot/jooq/src/jooq/java/alvin/study/springboot/jooq/infra/model/public_/tables/Department.java,64,64,"public final TableField<DepartmentRecord, Long> ORG_ID = createField(DSL.name(""ORG_ID""), SQLDataType.BIGINT.nullable(false), this, """");","The ORG_ID column appears to reference the Org table but lacks a foreign key constraint, which could lead to orphaned records or invalid references. Add a foreign key constraint referencing Org.ID to ensure referential integrity."
alvin-qh_study-java,Keyless Entry,springboot/jooq/src/jooq/java/alvin/study/springboot/jooq/infra/model/public_/tables/Department.java,74,74,"public final TableField<DepartmentRecord, Long> PARENT_ID = createField(DSL.name(""PARENT_ID""), SQLDataType.BIGINT, this, """");",The PARENT_ID column appears to be a self-referencing foreign key to the Department table but lacks a foreign key constraint. Add a foreign key constraint referencing Department.ID to maintain hierarchical data integrity.
alvin-qh_study-java,Keyless Entry,springboot/jooq/src/jooq/java/alvin/study/springboot/jooq/infra/model/public_/tables/Department.java,84,84,"public final TableField<DepartmentRecord, Long> CREATED_BY = createField(DSL.name(""CREATED_BY""), SQLDataType.BIGINT, this, """");",The CREATED_BY column likely references a User table but lacks a foreign key constraint. Add a foreign key constraint referencing User.ID to ensure the creator always refers to a valid user.
alvin-qh_study-java,Keyless Entry,springboot/jooq/src/jooq/java/alvin/study/springboot/jooq/infra/model/public_/tables/Department.java,89,89,"public final TableField<DepartmentRecord, Long> UPDATED_BY = createField(DSL.name(""UPDATED_BY""), SQLDataType.BIGINT, this, """");",The UPDATED_BY column likely references a User table but lacks a foreign key constraint. Add a foreign key constraint referencing User.ID to ensure the updater always refers to a valid user.
alvin-qh_study-java,ID Required,springboot/jooq/src/jooq/java/alvin/study/springboot/jooq/infra/model/public_/tables/DepartmentEmployee.java,61,61,"public final TableField<DepartmentEmployeeRecord, Long> ID = createField(DSL.name(""ID""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");","The table uses a generic 'ID' column as primary key, but there's already a unique constraint (UX_DEPARTMENT_EMPLOYEE_ID) on the combination of ORG_ID, EMPLOYEE_ID, and DEPARTMENT_ID which could serve as a natural composite key. Consider using the composite key (ORG_ID, EMPLOYEE_ID, DEPARTMENT_ID) as the primary key instead of a synthetic ID column."
alvin-qh_study-java,Keyless Entry,springboot/jooq/src/jooq/java/alvin/study/springboot/jooq/infra/model/public_/tables/DepartmentEmployee.java,66,66,"public final TableField<DepartmentEmployeeRecord, Long> ORG_ID = createField(DSL.name(""ORG_ID""), SQLDataType.BIGINT.nullable(false), this, """");","The ORG_ID column references the Org table but lacks a foreign key constraint, which could lead to orphaned records or invalid references. Add a foreign key constraint referencing Org.ID (Keys.CONSTRAINT_1)."
alvin-qh_study-java,Keyless Entry,springboot/jooq/src/jooq/java/alvin/study/springboot/jooq/infra/model/public_/tables/DepartmentEmployee.java,71,71,"public final TableField<DepartmentEmployeeRecord, Long> EMPLOYEE_ID = createField(DSL.name(""EMPLOYEE_ID""), SQLDataType.BIGINT.nullable(false), this, """");","The EMPLOYEE_ID column references the Employee table but lacks a foreign key constraint, risking referential integrity violations. Add a foreign key constraint referencing Employee.ID (Keys.UX_EMPLOYEE_ID or Keys.CONSTRAINT_7)."
alvin-qh_study-java,Keyless Entry,springboot/jooq/src/jooq/java/alvin/study/springboot/jooq/infra/model/public_/tables/DepartmentEmployee.java,76,76,"public final TableField<DepartmentEmployeeRecord, Long> DEPARTMENT_ID = createField(DSL.name(""DEPARTMENT_ID""), SQLDataType.BIGINT.nullable(false), this, """");","The DEPARTMENT_ID column references the Department table but lacks a foreign key constraint, which could allow invalid department references. Add a foreign key constraint referencing Department.ID (Keys.UX_DEPARTMENT_ID or Keys.CONSTRAINT_4)."
alvin-qh_study-java,ID Required,springboot/jooq/src/jooq/java/alvin/study/springboot/jooq/infra/model/public_/tables/Employee.java,61,61,"public final TableField<EmployeeRecord, Long> ID = createField(DSL.name(""ID""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");",The primary key column is generically named 'ID' instead of a more descriptive name like 'employee_id'. Consider renaming the column to 'employee_id' to make it self-documenting and avoid ambiguity in joins.
alvin-qh_study-java,Keyless Entry,springboot/jooq/src/jooq/java/alvin/study/springboot/jooq/infra/model/public_/tables/Employee.java,66,66,"public final TableField<EmployeeRecord, Long> ORG_ID = createField(DSL.name(""ORG_ID""), SQLDataType.BIGINT.nullable(false), this, """");","The ORG_ID column appears to reference the Org table but lacks a foreign key constraint, which could lead to orphaned records or invalid references. Add a foreign key constraint referencing Org.ID (CONSTRAINT_1) to ensure referential integrity."
