Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
anyamilichenko_soa,ID Required,build/generated-src/jooq/main/com/soa_service_a/jooq/tables/Coordinates.java,65,65,"public final TableField<CoordinatesRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");",The primary key column is generically named 'id' instead of a more descriptive name like 'coordinates_id'. Consider renaming it to 'coordinates_id' to make the column self-documenting and avoid ambiguity in joins.
anyamilichenko_soa,Rounding Errors,build/generated-src/jooq/main/com/soa_service_a/jooq/tables/Coordinates.java,75,75,"public final TableField<CoordinatesRecord, Double> Y = createField(DSL.name(""y""), SQLDataType.DOUBLE.nullable(false), this, """");",The column 'y' uses DOUBLE (floating-point) type which can cause precision loss for coordinate values. Consider using DECIMAL or NUMERIC with appropriate precision and scale to ensure exact representation of coordinate values.
anyamilichenko_soa,ID Required,build/generated-src/jooq/main/com/soa_service_a/jooq/tables/Dragon.java,67,67,"public final TableField<DragonRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");",The primary key column is generically named 'id' instead of a more descriptive name like 'dragon_id'. Consider renaming the column to 'dragon_id' to make it self-documenting and avoid ambiguity in joins.
anyamilichenko_soa,ID Required,build/generated-src/jooq/main/com/soa_service_a/jooq/tables/DragonHead.java,61,61,"public final TableField<DragonHeadRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");",The primary key column is generically named 'id' instead of a more descriptive name like 'dragon_head_id'. Consider renaming the column to 'dragon_head_id' to make it self-documenting and avoid ambiguity in joins.
anyamilichenko_soa,ID Required,src/main/generated/com/soa_service_a/jooq/tables/Coordinates.java,65,65,"public final TableField<CoordinatesRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");",The primary key column is generically named 'id' instead of a more descriptive name like 'coordinates_id'. Consider renaming it to 'coordinates_id' to make the column self-documenting and avoid ambiguity in joins.
anyamilichenko_soa,Rounding Errors,src/main/generated/com/soa_service_a/jooq/tables/Coordinates.java,75,75,"public final TableField<CoordinatesRecord, Double> Y = createField(DSL.name(""y""), SQLDataType.DOUBLE.nullable(false), this, """");",The column 'y' uses DOUBLE (floating-point) type which can cause precision loss for coordinate values. Consider using DECIMAL or NUMERIC with appropriate precision and scale to ensure exact representation of coordinate values.
anyamilichenko_soa,ID Required,src/main/generated/com/soa_service_a/jooq/tables/Dragon.java,67,67,"public final TableField<DragonRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");",The primary key column is generically named 'id' instead of a more descriptive name like 'dragon_id'. Consider renaming the column to 'dragon_id' to make it self-documenting and avoid ambiguity in joins.
anyamilichenko_soa,ID Required,src/main/generated/com/soa_service_a/jooq/tables/DragonHead.java,61,61,"public final TableField<DragonHeadRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");",The primary key column is generically named 'id' instead of a more descriptive name like 'dragon_head_id'. Consider renaming the column to 'dragon_head_id' to make it self-documenting and avoid ambiguity in joins.
anyamilichenko_soa,Implicit Columns,src/main/java/coordinates/adapter/jdbc/CoordinatesDAO.java,44,44,CoordinatesRecord record = dsl.selectFrom(COORDINATES),"Using `selectFrom(COORDINATES)` fetches all columns from the COORDINATES table, which can retrieve unnecessary data and impact performance. Consider explicitly selecting only the required columns using `dsl.select(...).from(COORDINATES)`."
anyamilichenko_soa,Implicit Columns,src/main/java/dragon/adapter/jdbc/DragonDAO.java,46,46,var record = dsl.selectFrom(Tables.DRAGON),"Using selectFrom() fetches all columns from the DRAGON table, which retrieves unnecessary data and impacts performance. Consider using an explicit select() with only the required columns, e.g., dsl.select(Tables.DRAGON.ID, Tables.DRAGON.NAME, ...).from(Tables.DRAGON)."
anyamilichenko_soa,Implicit Columns,src/main/java/dragon/adapter/jdbc/DragonDAO.java,84,84,Dragon dragon = dsl.selectFrom(Tables.DRAGON),"Using selectFrom() fetches all columns from the DRAGON table when only id, coordinatesId, and headId are needed for the deletion logic. Consider using dsl.select(Tables.DRAGON.ID, Tables.DRAGON.COORDINATES_ID, Tables.DRAGON.HEAD_ID).from(Tables.DRAGON) instead."
anyamilichenko_soa,Poor Man's Search Engine,src/main/java/dragon/adapter/jdbc/DragonDAO.java,165,165,"conditions.add(Tables.DRAGON.NAME.likeIgnoreCase(""%"" + f.getNameContains() + ""%""));","Using LIKE with wildcards on both sides ('%...%') for text search prevents index usage and causes full table scans, leading to poor performance on large datasets. Consider using a full-text search solution like PostgreSQL's tsvector/tsquery or a dedicated search engine like Elasticsearch."
anyamilichenko_soa,Implicit Columns,src/main/java/dragonHead/adapter/jdbc/DragonHeadDAO.java,44,44,DragonHeadRecord record = dsl.selectFrom(DRAGON_HEAD),"Using `selectFrom(DRAGON_HEAD)` fetches all columns from the DRAGON_HEAD table, which can retrieve unnecessary data and impact performance. Consider using `select()` with only the specific columns needed for the operation."
