Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
artseroff_link-tracker,Implicit Columns,scrapper/src/main/java/edu/java/scrapper/domain/jooq/repository/JooqLinkRepository.java,25,25,.selectFrom(Tables.LINKS),"Using selectFrom() fetches all columns from the LINKS table, which may retrieve unnecessary data. Consider using select() with only the specific columns needed for the LinkDto."
artseroff_link-tracker,Implicit Columns,scrapper/src/main/java/edu/java/scrapper/domain/jooq/repository/JooqLinkRepository.java,34,34,.selectFrom(Tables.LINKS),Using selectFrom() fetches all columns from the LINKS table when only specific fields may be needed. Replace with an explicit select() specifying only the required columns.
artseroff_link-tracker,Implicit Columns,scrapper/src/main/java/edu/java/scrapper/domain/jooq/repository/JooqLinkRepository.java,48,48,.returning(),"Using returning() without arguments returns all columns from the inserted row. Specify only the columns needed, e.g., returning(Tables.LINKS.ID, Tables.LINKS.URL, ...)."
artseroff_link-tracker,Implicit Columns,scrapper/src/main/java/edu/java/scrapper/domain/jooq/repository/JooqLinkRepository.java,67,67,.selectFrom(Tables.LINKS),Using selectFrom() retrieves all columns from the LINKS table for every row. Use select() with explicit column names to fetch only the data required by LinkDto.
artseroff_link-tracker,Implicit Columns,scrapper/src/main/java/edu/java/scrapper/domain/jooq/repository/JooqLinkRepository.java,74,74,.selectFrom(Tables.LINKS),Using selectFrom() fetches all columns from the LINKS table. Explicitly select only the columns needed for LinkDto to improve query efficiency.
artseroff_link-tracker,Implicit Columns,scrapper/src/main/java/edu/java/scrapper/domain/jooq/repository/JooqSubscriptionRepository.java,25,25,.selectFrom(Tables.SUBSCRIPTIONS),"Using selectFrom() fetches all columns from the SUBSCRIPTIONS table, which may retrieve unnecessary data. Consider using an explicit select() with only the required columns for the SubscriptionDto mapping."
artseroff_link-tracker,Implicit Columns,scrapper/src/main/java/edu/java/scrapper/domain/jooq/repository/JooqSubscriptionRepository.java,44,44,.select(Tables.LINKS.fields()),"Using fields() selects all columns from the LINKS table, which may include columns not needed for LinkDto. Consider explicitly listing only the required columns in the select clause."
artseroff_link-tracker,Implicit Columns,scrapper/src/main/java/edu/java/scrapper/domain/jooq/repository/JooqSubscriptionRepository.java,77,77,.selectFrom(Tables.SUBSCRIPTIONS),Using selectFrom() fetches all columns from the SUBSCRIPTIONS table without specifying which columns are actually needed. Consider using select() with explicit column references to fetch only the required data.
artseroff_link-tracker,Implicit Columns,scrapper/src/main/java/edu/java/scrapper/domain/jooq/repository/JooqTgChatRepository.java,23,23,.selectFrom(Tables.CHATS),"Using selectFrom() fetches all columns from the CHATS table, which may retrieve unnecessary data. Consider explicitly selecting only the required columns using select(CHATS.ID, ...).from(Tables.CHATS)."
artseroff_link-tracker,Implicit Columns,scrapper/src/main/java/edu/java/scrapper/domain/jooq/repository/JooqTgChatRepository.java,51,51,.selectFrom(Tables.CHATS),"Using selectFrom() fetches all columns from the CHATS table for every row, which is inefficient if not all columns are needed. Consider using select() with explicit column names to fetch only the required fields."
artseroff_link-tracker,ID Required,scrapper/src/main/java/edu/java/scrapper/domain/jooq/tables/Chats.java,63,64,"public final TableField<ChatsRecord, Long> ID =
    createField(DSL.name(""ID""), SQLDataType.BIGINT.nullable(false), this, """");",The primary key column is generically named 'ID' instead of a more descriptive name like 'chat_id'. Consider renaming the column to 'chat_id' to make it self-documenting and avoid ambiguity in joins.
artseroff_link-tracker,ID Required,scrapper/src/main/java/edu/java/scrapper/domain/jooq/tables/Links.java,67,68,"public final TableField<LinksRecord, Long> ID =
    createField(DSL.name(""ID""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");",The table uses a generic 'ID' column as primary key while having a unique constraint on 'URL' which could serve as a natural primary key. Consider using 'URL' as the primary key or renaming the synthetic key to something more descriptive like 'link_id'.
