Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
atolcd_sdis-remocra,Implicit Columns,api-remocra/api/src/main/java/fr/sdis83/remocra/repository/CommunesRepository.java,30,30,.selectFrom(COMMUNE),"Using selectFrom(COMMUNE) fetches all columns from the COMMUNE table, which may retrieve unnecessary data and impact performance. Consider using select() with only the specific columns needed for ReferentielModel."
atolcd_sdis-remocra,Poor Man's Search Engine,api-remocra/api/src/main/java/fr/sdis83/remocra/repository/CommunesRepository.java,50,50,"condition = condition.and(COMMUNE.NOM.like(""%"" + commune.toUpperCase() + ""%""));",Using LIKE with wildcards on both sides ('%value%') performs a full-text search that cannot use indexes efficiently and will result in slow table scans. Consider using a full-text search index or a dedicated search engine like Elasticsearch for better performance.
atolcd_sdis-remocra,Implicit Columns,api-remocra/api/src/main/java/fr/sdis83/remocra/repository/HydrantIndispoTemporaireRepository.java,22,22,.selectFrom(HYDRANT_INDISPO_TEMPORAIRE),"Using selectFrom() fetches all columns from the HYDRANT_INDISPO_TEMPORAIRE table, which may retrieve unnecessary data. Consider using an explicit select() with only the required columns instead."
atolcd_sdis-remocra,Implicit Columns,api-remocra/api/src/main/java/fr/sdis83/remocra/repository/HydrantVisitesRepository.java,114,115,"context
                .selectFrom(HYDRANT_VISITE)","Using `selectFrom(HYDRANT_VISITE)` fetches all columns from the table, but only the `id`, `date`, `hydrant`, and `anomalies` fields are used. Select only the required columns explicitly, e.g., `.select(HYDRANT_VISITE.ID, HYDRANT_VISITE.DATE, HYDRANT_VISITE.HYDRANT)`."
atolcd_sdis-remocra,Implicit Columns,api-remocra/api/src/main/java/fr/sdis83/remocra/repository/HydrantVisitesRepository.java,127,128,"context
                .selectFrom(HYDRANT_VISITE)","Using `selectFrom(HYDRANT_VISITE)` fetches all columns from the table, but only `id` and `date` fields are used from the result. Select only the required columns explicitly, e.g., `.select(HYDRANT_VISITE.ID, HYDRANT_VISITE.DATE)`."
atolcd_sdis-remocra,Implicit Columns,api-remocra/api/src/main/java/fr/sdis83/remocra/repository/HydrantVisitesRepository.java,297,298,"context
        .select()",Using `select()` without specifying columns fetches all columns from HYDRANT_VISITE. Explicitly list only the columns needed for the HydrantVisite object to improve performance and clarity.
atolcd_sdis-remocra,Implicit Columns,api-remocra/api/src/main/java/fr/sdis83/remocra/repository/HydrantVisitesRepository.java,341,342,"context
            .selectFrom(HYDRANT_VISITE)","Using `selectFrom(HYDRANT_VISITE)` fetches all columns, but only `date` is used from `visitePlusRecenteMemeType`. Select only the required columns explicitly, e.g., `.select(HYDRANT_VISITE.DATE)`."
atolcd_sdis-remocra,Implicit Columns,api-remocra/api/src/main/java/fr/sdis83/remocra/repository/HydrantVisitesRepository.java,363,364,"context
                .selectFrom(HYDRANT_VISITE)","Using `selectFrom(HYDRANT_VISITE)` fetches all columns, but only debit/pression-related fields are used. Select only the required columns explicitly, e.g., `.select(HYDRANT_VISITE.DEBIT, HYDRANT_VISITE.DEBIT_MAX, ...)`."
atolcd_sdis-remocra,Implicit Columns,api-remocra/api/src/main/java/fr/sdis83/remocra/repository/HydrantVisitesRepository.java,467,467,.select(HYDRANT_VISITE.fields()),Using `HYDRANT_VISITE.fields()` fetches all columns from the table. Explicitly list only the columns needed for the HydrantVisite object to improve query performance and maintainability.
atolcd_sdis-remocra,Implicit Columns,api-remocra/api/src/main/java/fr/sdis83/remocra/repository/HydrantVisitesRepository.java,477,478,"context
        .selectFrom(HYDRANT_VISITE)",Using `selectFrom(HYDRANT_VISITE)` fetches all columns from the table. Explicitly select only the columns needed for the HydrantVisite object.
atolcd_sdis-remocra,Implicit Columns,api-remocra/api/src/main/java/fr/sdis83/remocra/repository/HydrantVisitesRepository.java,496,497,"context
        .selectFrom(HYDRANT_VISITE)",Using `selectFrom(HYDRANT_VISITE)` fetches all columns from the table. Explicitly select only the columns needed for the HydrantVisite object.
atolcd_sdis-remocra,Implicit Columns,api-remocra/api/src/main/java/fr/sdis83/remocra/repository/IncomingRepository.java,254,254,context.selectFrom(TOURNEE),"Using selectFrom() fetches all columns from the TOURNEE table into a POJO, which retrieves unnecessary data if only specific fields are needed. Consider using an explicit select() with only the required columns."
atolcd_sdis-remocra,Implicit Columns,api-remocra/api/src/main/java/fr/sdis83/remocra/repository/IncomingRepository.java,260,260,context.selectFrom(TOURNEE),"Using selectFrom() fetches all columns from the TOURNEE table, which may include columns not needed by the caller. Consider selecting only the specific columns required."
atolcd_sdis-remocra,Implicit Columns,api-remocra/api/src/main/java/fr/sdis83/remocra/repository/IncomingRepository.java,264,264,context.selectFrom(NEW_HYDRANT),Using selectFrom() retrieves all columns from NEW_HYDRANT table into a POJO. Specify only the columns you need to improve query performance and reduce data transfer.
atolcd_sdis-remocra,Implicit Columns,api-remocra/api/src/main/java/fr/sdis83/remocra/repository/IncomingRepository.java,273,273,context.selectFrom(HYDRANT_VISITE),Using selectFrom() fetches all columns from HYDRANT_VISITE table. Consider explicitly selecting only the required columns to avoid fetching unnecessary data.
