Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
averbraeck_gamedata-common,Implicit Columns,src/main/java/nl/gamedata/common/SqlUtils.java,22,22,return data.getDSL().selectFrom(Tables.USER).where(Tables.USER.ID.eq(userId)).fetchAny();,"Using selectFrom(Tables.USER) fetches all columns from the USER table, which may retrieve unnecessary data. Consider explicitly selecting only the required columns using select(...).from(Tables.USER)."
averbraeck_gamedata-common,Implicit Columns,src/main/java/nl/gamedata/common/SqlUtils.java,27,27,return data.getDSL().selectFrom(Tables.USER).where(Tables.USER.NAME.eq(username)).fetchAny();,"Using selectFrom(Tables.USER) fetches all columns from the USER table, which may retrieve unnecessary data. Consider explicitly selecting only the required columns using select(...).from(Tables.USER)."
averbraeck_gamedata-common,Implicit Columns,src/main/java/nl/gamedata/common/SqlUtils.java,34,34,"return data.getDSL().selectFrom(table).where(((TableField<R, Integer>) table.field(""id"")).eq(recordId)).fetchOne();","Using selectFrom(table) fetches all columns from the specified table, which may retrieve unnecessary data. Consider explicitly selecting only the required columns if the full record is not needed."
averbraeck_gamedata-common,ID Required,src/main/java/nl/gamedata/data/tables/Dashboard.java,67,67,"public final TableField<DashboardRecord, Integer> ID = createField(DSL.name(""id""), SQLDataType.INTEGER.nullable(false).identity(true), this, """");","The primary key is named just 'id' which is a generic, non-descriptive name that doesn't convey the table context. Consider renaming it to 'dashboard_id' to make it more meaningful and to avoid ambiguity in queries with joins."
averbraeck_gamedata-common,ID Required,src/main/java/nl/gamedata/data/tables/DashboardElement.java,64,64,"public final TableField<DashboardElementRecord, Integer> ID = createField(DSL.name(""id""), SQLDataType.INTEGER.nullable(false).identity(true), this, """");","The table uses a generic 'id' column as the primary key while a unique constraint on 'code' (KEY_DASHBOARD_ELEMENT_CODE_UNIQUE) already exists, which could serve as a natural primary key. Consider using 'code' as the primary key since it's already unique and meaningful, or rename 'id' to something more descriptive like 'dashboard_element_id'."
averbraeck_gamedata-common,ID Required,src/main/java/nl/gamedata/data/tables/DashboardLayout.java,63,63,"public final TableField<DashboardLayoutRecord, Integer> ID = createField(DSL.name(""id""), SQLDataType.INTEGER.nullable(false).identity(true), this, """");","The table uses a generic 'id' column as primary key while having a unique constraint on 'name' (KEY_DASHBOARD_LAYOUT_NAME_UNIQUE). Consider using 'code' or 'name' as a natural primary key, or rename the column to 'dashboard_layout_id' to be more descriptive."
averbraeck_gamedata-common,ID Required,src/main/java/nl/gamedata/data/tables/DashboardRole.java,66,66,"public final TableField<DashboardRoleRecord, Integer> ID = createField(DSL.name(""id""), SQLDataType.INTEGER.nullable(false).identity(true), this, """");",The primary key column is generically named 'id' instead of a more descriptive name like 'dashboard_role_id'. Consider renaming the primary key to include the table name for better clarity when joining tables.
averbraeck_gamedata-common,ID Required,src/main/java/nl/gamedata/data/tables/DashboardSession.java,66,66,"public final TableField<DashboardSessionRecord, Integer> ID = createField(DSL.name(""id""), SQLDataType.INTEGER.nullable(false).identity(true), this, """");","The primary key is named just 'id' which is a generic, non-descriptive name that doesn't convey the table context. Consider renaming it to 'dashboard_session_id' to make it more meaningful and to avoid ambiguity in queries with joins."
averbraeck_gamedata-common,ID Required,src/main/java/nl/gamedata/data/tables/DashboardTemplate.java,71,71,"public final TableField<DashboardTemplateRecord, Integer> ID = createField(DSL.name(""id""), SQLDataType.INTEGER.nullable(false).identity(true), this, """");","The primary key is named just 'id' which is a generic, non-descriptive name that doesn't convey meaning about the entity it identifies. Consider renaming it to 'dashboard_template_id' to make it more descriptive and to avoid ambiguity in queries with joins."
averbraeck_gamedata-common,ID Required,src/main/java/nl/gamedata/data/tables/DashboardToken.java,65,65,"public final TableField<DashboardTokenRecord, Integer> ID = createField(DSL.name(""id""), SQLDataType.INTEGER.nullable(false).identity(true), this, """");",The primary key is named just 'id' which is a generic name that doesn't convey meaning about the entity it identifies. Consider renaming it to 'dashboard_token_id' to make it more descriptive and to avoid ambiguity in queries with joins.
