Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
averbraeck_housinggame-common,Implicit Columns,src/main/java/nl/tudelft/simulation/housinggame/common/CalcHouseGroup.java,147,148,List<HousemeasureRecord> hmList = dslContext.selectFrom(Tables.HOUSEMEASURE),"Using selectFrom() fetches all columns from the HOUSEMEASURE table, but only a few fields (measuretypeId, usedInRound) are actually used. Consider using select() with only the required columns to improve query performance and reduce memory usage."
averbraeck_housinggame-common,Implicit Columns,src/main/java/nl/tudelft/simulation/housinggame/common/CalcPlayerState.java,41,42,dslContext.selectFrom(Tables.GROUPROUND).where(Tables.GROUPROUND.GROUP_ID.eq(group.getId())).fetch();,"Using selectFrom(Tables.GROUPROUND) fetches all columns from the GROUPROUND table, which may retrieve unnecessary data. Consider using select() with only the specific columns needed, such as the ID column used in subsequent operations."
averbraeck_housinggame-common,Implicit Columns,src/main/java/nl/tudelft/simulation/housinggame/common/CalcPlayerState.java,46,48,"dslContext.selectFrom(Tables.PLAYERROUND).where(Tables.PLAYERROUND.PLAYER_ID.eq(playerId))
                        .and(Tables.PLAYERROUND.GROUPROUND_ID.eq(groupRound.getId())).fetchAny();",Using selectFrom(Tables.PLAYERROUND) fetches all columns from the PLAYERROUND table into a record. Consider selecting only the columns that are actually needed for the operation.
averbraeck_housinggame-common,Implicit Columns,src/main/java/nl/tudelft/simulation/housinggame/common/CalcPlayerState.java,65,66,dslContext.selectFrom(Tables.GROUPROUND).where(Tables.GROUPROUND.GROUP_ID.eq(group.getId())).fetch();,"Using selectFrom(Tables.GROUPROUND) fetches all columns from the GROUPROUND table. Consider selecting only the specific columns needed, such as the ID column used to get the last element."
averbraeck_housinggame-common,Implicit Columns,src/main/java/nl/tudelft/simulation/housinggame/common/CalcPlayerState.java,68,69,"dslContext.selectFrom(Tables.PLAYERROUND).where(Tables.PLAYERROUND.PLAYER_ID.eq(playerId))
                .and(Tables.PLAYERROUND.GROUPROUND_ID.eq(groupRound.getId())).fetchAny();",Using selectFrom(Tables.PLAYERROUND) fetches all columns from the PLAYERROUND table. Consider selecting only the columns that are actually used by the caller.
averbraeck_housinggame-common,Implicit Columns,src/main/java/nl/tudelft/simulation/housinggame/common/CalcPlayerState.java,179,180,"dslContext.selectFrom(Tables.PLAYERROUND)
                .where(Tables.PLAYERROUND.FINAL_HOUSEGROUP_ID.eq(houseGroup.getId())).fetch();","Using selectFrom(Tables.PLAYERROUND) fetches all columns from the PLAYERROUND table. Consider selecting only the columns needed, such as GROUPROUND_ID which is used in the loop."
averbraeck_housinggame-common,Implicit Columns,src/main/java/nl/tudelft/simulation/housinggame/common/CumulativeNewsEffects.java,305,305,List<CommunityRecord> communityList = dslContext.selectFrom(Tables.COMMUNITY),"Using selectFrom(Tables.COMMUNITY) fetches all columns from the COMMUNITY table into CommunityRecord objects, even though only id, name, fluvialProtection, and pluvialProtection are used. Consider using select() with only the required columns to improve query performance."
averbraeck_housinggame-common,Implicit Columns,src/main/java/nl/tudelft/simulation/housinggame/common/CumulativeNewsEffects.java,317,317,List<NewsitemRecord> newsItemList = dslContext.selectFrom(Tables.NEWSITEM),"Using selectFrom(Tables.NEWSITEM) fetches all columns from the NEWSITEM table, but only id and roundNumber fields are used. Consider selecting only the necessary columns to reduce data transfer and improve performance."
averbraeck_housinggame-common,Implicit Columns,src/main/java/nl/tudelft/simulation/housinggame/common/CumulativeNewsEffects.java,323,323,List<NewseffectsRecord> newsEffectList = dslContext.selectFrom(Tables.NEWSEFFECTS),"Using selectFrom(Tables.NEWSEFFECTS) retrieves all columns from the NEWSEFFECTS table into records. Consider using select() to specify only the columns that are actually needed (communityId, pluvialProtectionChange, fluvialProtectionChange, taxChange, satisfactionLivingBonus, satisfactionMoveChange, houseDiscountRound1/2/3)."
averbraeck_housinggame-common,Implicit Columns,src/main/java/nl/tudelft/simulation/housinggame/common/FluvialPluvial.java,36,36,dslContext.selectFrom(Tables.HOUSEMEASURE),"Using selectFrom() fetches all columns from the HOUSEMEASURE table, but only HOUSEGROUP_ID, BOUGHT_IN_ROUND, and MEASURETYPE_ID appear to be used. Consider using select() with only the required columns to improve query performance and reduce memory usage."
