Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
averbraeck_trustgame-register,ID Required,src/main/java/org/transsonic/trustgame/data/trustgame/tables/Briefing.java,53,53,"public final TableField<BriefingRecord, Integer> ID = createField(DSL.name(""ID""), SQLDataType.INTEGER.nullable(false).identity(true), this, """");","The primary key is named generically 'ID' instead of a more descriptive name like 'briefing_id'. Consider renaming the primary key to something more meaningful that identifies the entity, such as 'briefing_id'."
averbraeck_trustgame-register,ID Required,src/main/java/org/transsonic/trustgame/data/trustgame/tables/Carrier.java,57,57,"public final TableField<CarrierRecord, Integer> ID = createField(DSL.name(""ID""), SQLDataType.INTEGER.nullable(false).identity(true), this, """");","The primary key column is named just 'ID', which is a generic name that doesn't convey any meaning about the entity it identifies. Consider renaming it to 'carrier_id' to make it more descriptive and avoid ambiguity in queries with joins."
averbraeck_trustgame-register,31 Flavors,src/main/java/org/transsonic/trustgame/data/trustgame/tables/Carrier.java,82,82,"public final TableField<CarrierRecord, CarrierService> SERVICE = createField(DSL.name(""Service""), SQLDataType.VARCHAR(6).nullable(false).asEnumDataType(org.transsonic.trustgame.data.trustgame.enums.CarrierService.class), this, """");","The 'Service' column uses an ENUM type to restrict allowed values, which makes it difficult to add or modify values without altering the table schema. Consider creating a separate lookup table for service types that can be referenced via a foreign key."
averbraeck_trustgame-register,31 Flavors,src/main/java/org/transsonic/trustgame/data/trustgame/tables/Carrier.java,87,87,"public final TableField<CarrierRecord, CarrierSustainability> SUSTAINABILITY = createField(DSL.name(""Sustainability""), SQLDataType.VARCHAR(6).nullable(false).asEnumDataType(org.transsonic.trustgame.data.trustgame.enums.CarrierSustainability.class), this, """");","The 'Sustainability' column uses an ENUM type to restrict allowed values, which makes schema changes necessary when values need to be added or modified. Consider creating a separate lookup table for sustainability levels that can be referenced via a foreign key."
averbraeck_trustgame-register,ID Required,src/main/java/org/transsonic/trustgame/data/trustgame/tables/Carrierreview.java,55,55,"public final TableField<CarrierreviewRecord, Integer> ID = createField(DSL.name(""ID""), SQLDataType.INTEGER.nullable(false).identity(true), this, """");","The primary key is named just 'ID' which is a generic, non-descriptive name that doesn't convey the table context. Consider renaming it to 'carrierreview_id' or similar to make it more meaningful and self-documenting in queries and joins."
averbraeck_trustgame-register,Rounding Errors,src/main/java/org/transsonic/trustgame/data/trustgame/tables/Carrierreview.java,70,70,"public final TableField<CarrierreviewRecord, Double> OVERALLSTARS = createField(DSL.name(""OverallStars""), SQLDataType.FLOAT.nullable(false), this, ""Whole of half numbers from 1.0 to 5.0"");","The OVERALLSTARS column uses FLOAT type for storing star ratings (1.0 to 5.0 in half increments), which can cause precision errors. Since these are fixed-precision values, use DECIMAL(2,1) or NUMERIC(2,1) instead to ensure exact representation of values like 3.5 or 4.0."
averbraeck_trustgame-register,ID Required,src/main/java/org/transsonic/trustgame/data/trustgame/tables/Client.java,55,55,"public final TableField<ClientRecord, Integer> ID = createField(DSL.name(""ID""), SQLDataType.INTEGER.nullable(false).identity(true), this, """");","The primary key column is named just 'ID', which is a generic non-descriptive name that doesn't convey the table context. Consider renaming it to 'client_id' to make it more meaningful and self-documenting when used in joins or foreign key references."
averbraeck_trustgame-register,ID Required,src/main/java/org/transsonic/trustgame/data/trustgame/tables/Fbreport.java,56,56,"public final TableField<FbreportRecord, Integer> ID = createField(DSL.name(""ID""), SQLDataType.INTEGER.nullable(false).identity(true), this, """");","The primary key column is generically named 'ID' instead of a more descriptive name like 'fbreport_id'. Consider renaming the column to something more meaningful that identifies the entity, such as 'fbreport_id'."
averbraeck_trustgame-register,ID Required,src/main/java/org/transsonic/trustgame/data/trustgame/tables/Game.java,53,53,"public final TableField<GameRecord, Integer> ID = createField(DSL.name(""ID""), SQLDataType.INTEGER.nullable(false).identity(true), this, """");","The table uses a generic 'ID' column as the primary key, but there's already a unique constraint on the 'Code' column (KEY_GAME_CODE_UNIQUE) which could serve as a natural primary key since game codes are typically immutable identifiers. Consider using 'Code' as the primary key or renaming the ID column to something more descriptive like 'game_id'."
averbraeck_trustgame-register,ID Required,src/main/java/org/transsonic/trustgame/data/trustgame/tables/Gameplay.java,56,56,"public final TableField<GameplayRecord, Integer> ID = createField(DSL.name(""ID""), SQLDataType.INTEGER.nullable(false).identity(true), this, """");",The primary key column is generically named 'ID' instead of a more descriptive name like 'gameplay_id'. Consider renaming the column to 'gameplay_id' to make it self-documenting and avoid ambiguity in queries with joins.
