Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
aytdm_study,ID Required,005_springboot-jooq/src/main/java/com/aytdm/springbootjooq/domain/db/world/tables/City.java,62,62,"public final TableField<CityRecord, Integer> ID = createField(""ID"", org.jooq.impl.SQLDataType.INTEGER.nullable(false).identity(true), this, """");","The primary key column is named just 'ID', which is a generic name that doesn't convey any meaning about the entity it identifies. Consider renaming it to 'city_id' to make it more descriptive and avoid ambiguity in queries with joins."
aytdm_study,31 Flavors,005_springboot-jooq/src/main/java/com/aytdm/springbootjooq/domain/db/world/tables/Country.java,72,72,"public final TableField<CountryRecord, CountryContinent> CONTINENT = createField(""Continent"", org.jooq.impl.SQLDataType.VARCHAR(13).nullable(false).defaultValue(org.jooq.impl.DSL.inline(""Asia"", org.jooq.impl.SQLDataType.VARCHAR)).asEnumDataType(com.aytdm.springbootjooq.domain.db.world.enums.CountryContinent.class), this, """");","The CONTINENT column uses an ENUM type to restrict allowed values, which makes adding or removing continents require a schema change. Consider creating a separate 'continent' lookup table and referencing it with a foreign key."
aytdm_study,Rounding Errors,005_springboot-jooq/src/main/java/com/aytdm/springbootjooq/domain/db/world/tables/Country.java,82,82,"public final TableField<CountryRecord, Double> SURFACEAREA = createField(""SurfaceArea"", org.jooq.impl.SQLDataType.FLOAT.nullable(false).defaultValue(org.jooq.impl.DSL.inline(""0.00"", org.jooq.impl.SQLDataType.FLOAT)), this, """");",The SURFACEAREA column uses FLOAT which can cause rounding errors for fixed-precision values like geographic measurements. Use DECIMAL or NUMERIC with appropriate precision and scale instead.
aytdm_study,Rounding Errors,005_springboot-jooq/src/main/java/com/aytdm/springbootjooq/domain/db/world/tables/Country.java,102,102,"public final TableField<CountryRecord, Double> GNP = createField(""GNP"", org.jooq.impl.SQLDataType.FLOAT, this, """");",The GNP column uses FLOAT which can cause rounding errors for monetary values. Use DECIMAL or NUMERIC with appropriate precision and scale to accurately store financial data.
aytdm_study,Rounding Errors,005_springboot-jooq/src/main/java/com/aytdm/springbootjooq/domain/db/world/tables/Country.java,107,107,"public final TableField<CountryRecord, Double> GNPOLD = createField(""GNPOld"", org.jooq.impl.SQLDataType.FLOAT, this, """");",The GNPOLD column uses FLOAT which can cause rounding errors for monetary values. Use DECIMAL or NUMERIC with appropriate precision and scale to accurately store financial data.
aytdm_study,Keyless Entry,005_springboot-jooq/src/main/java/com/aytdm/springbootjooq/domain/db/world/tables/Country.java,127,127,"public final TableField<CountryRecord, Integer> CAPITAL = createField(""Capital"", org.jooq.impl.SQLDataType.INTEGER, this, """");","The CAPITAL column appears to reference a city ID but lacks a foreign key constraint to the City table, which could lead to orphaned references or invalid data. Add a foreign key constraint referencing KEY_CITY_PRIMARY."
aytdm_study,31 Flavors,005_springboot-jooq/src/main/java/com/aytdm/springbootjooq/domain/db/world/tables/Countrylanguage.java,72,72,"public final TableField<CountrylanguageRecord, CountrylanguageIsofficial> ISOFFICIAL = createField(""IsOfficial"", org.jooq.impl.SQLDataType.VARCHAR(1).nullable(false).defaultValue(org.jooq.impl.DSL.inline(""F"", org.jooq.impl.SQLDataType.VARCHAR)).asEnumDataType(com.aytdm.springbootjooq.domain.db.world.enums.CountrylanguageIsofficial.class), this, """");","The IsOfficial column uses an ENUM type to restrict values, which makes it difficult to add or remove allowed values without altering the table schema. Consider creating a separate lookup table for official status values and referencing it with a foreign key."
aytdm_study,Rounding Errors,005_springboot-jooq/src/main/java/com/aytdm/springbootjooq/domain/db/world/tables/Countrylanguage.java,77,77,"public final TableField<CountrylanguageRecord, Double> PERCENTAGE = createField(""Percentage"", org.jooq.impl.SQLDataType.FLOAT.nullable(false).defaultValue(org.jooq.impl.DSL.inline(""0.0"", org.jooq.impl.SQLDataType.FLOAT)), this, """");","The Percentage column uses FLOAT type which can cause rounding errors when storing fixed-precision values like percentages. Consider using DECIMAL or NUMERIC type (e.g., DECIMAL(5,2)) to ensure accurate storage and calculations of percentage values."
aytdm_study,Implicit Columns,005_springboot-jooq/src/main/java/com/aytdm/springbootjooq/domain/repository/CityRepository.java,31,31,.select(),"Using `select()` without specifying columns fetches all columns from the CITY table, which can retrieve unnecessary data and cause maintenance issues if the table schema changes. Explicitly list the required columns like in the `findById` method: `.select(CITY.ID, CITY.NAME, CITY.COUNTRYCODE, CITY.POPULATION, CITY.DISTRICT)`."
aytdm_study,Implicit Columns,005_springboot-jooq/src/main/java/com/aytdm/springbootjooq/domain/repository/CountryRepository.java,19,19,.select(),"Using select() without specifying columns fetches all columns from the COUNTRY table, which can retrieve unnecessary data and impact performance. Specify only the required columns explicitly, e.g., .select(COUNTRY.CODE, COUNTRY.NAME, ...)."
