Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
bennofs_wdumper,ID Required,src/generated/jooq/io/github/bennofs/wdumper/jooq/tables/DB_Dump.java,56,56,"public final TableField<DB_DumpRecord, Integer> ID = createField(DSL.name(""id""), org.jooq.impl.SQLDataType.INTEGER.nullable(false).identity(true), this, """");",The primary key column is generically named 'id' instead of a more descriptive name like 'dump_id'. Consider renaming the column to 'dump_id' to make foreign key references more self-documenting and to avoid ambiguity in queries with multiple joined tables.
bennofs_wdumper,Beware of the Unknown,src/generated/jooq/io/github/bennofs/wdumper/jooq/tables/DB_Dump.java,101,101,"public final TableField<DB_DumpRecord, String> DESCRIPTION = createField(DSL.name(""description""), org.jooq.impl.SQLDataType.CLOB.nullable(false).defaultValue(org.jooq.impl.DSL.field(""''"", org.jooq.impl.SQLDataType.CLOB)), this, """");",The 'description' column uses an empty string as a default value to represent missing data instead of allowing NULL. This makes it harder to distinguish between intentionally empty descriptions and missing values. Consider making the column nullable and using NULL to represent missing descriptions.
bennofs_wdumper,ID Required,src/generated/jooq/io/github/bennofs/wdumper/jooq/tables/DB_DumpError.java,55,55,"public final TableField<DB_DumpErrorRecord, Integer> ID = createField(DSL.name(""id""), org.jooq.impl.SQLDataType.INTEGER.nullable(false).identity(true), this, """");",The primary key column is generically named 'id' instead of a more descriptive name like 'dump_error_id'. Consider renaming the column to 'dump_error_id' to make it self-documenting and avoid ambiguity in queries with joins.
bennofs_wdumper,31 Flavors,src/generated/jooq/io/github/bennofs/wdumper/jooq/tables/DB_DumpError.java,75,75,"public final TableField<DB_DumpErrorRecord, DB_DumpErrorLevel> LEVEL = createField(DSL.name(""level""), org.jooq.impl.SQLDataType.VARCHAR(8).nullable(false).asEnumDataType(io.github.bennofs.wdumper.jooq.enums.DB_DumpErrorLevel.class), this, """");","The 'level' column uses an ENUM type to restrict allowed values, which makes it difficult to add or modify error levels without altering the table schema. Consider creating a separate 'error_level' lookup table and referencing it with a foreign key instead."
bennofs_wdumper,ID Required,src/generated/jooq/io/github/bennofs/wdumper/jooq/tables/DB_Run.java,54,54,"public final TableField<DB_RunRecord, Integer> ID = createField(DSL.name(""id""), org.jooq.impl.SQLDataType.INTEGER.nullable(false).identity(true), this, """");","The primary key column is named just 'id', which is a generic name that doesn't convey any meaning about the table it belongs to. Consider renaming it to 'run_id' to make it more descriptive and avoid ambiguity in queries with joins."
bennofs_wdumper,ID Required,src/generated/jooq/io/github/bennofs/wdumper/jooq/tables/DB_Zenodo.java,55,55,"public final TableField<DB_ZenodoRecord, Integer> ID = createField(DSL.name(""id""), org.jooq.impl.SQLDataType.INTEGER.nullable(false).identity(true), this, """");","The primary key is named generically 'id' instead of a more descriptive name like 'zenodo_id'. Consider renaming the primary key to something more meaningful that identifies the entity, such as 'zenodo_id'."
bennofs_wdumper,31 Flavors,src/generated/jooq/io/github/bennofs/wdumper/jooq/tables/DB_Zenodo.java,75,75,"public final TableField<DB_ZenodoRecord, DB_ZenodoTarget> TARGET = createField(DSL.name(""target""), org.jooq.impl.SQLDataType.VARCHAR(7).nullable(false).asEnumDataType(io.github.bennofs.wdumper.jooq.enums.DB_ZenodoTarget.class), this, """");","The 'target' column uses an ENUM type (DB_ZenodoTarget) to restrict allowed values, which makes it difficult to add or modify values without altering the schema. Consider creating a separate lookup table for target types and referencing it with a foreign key."
bennofs_wdumper,Implicit Columns,src/main/java/io/github/bennofs/wdumper/database/Database.java,284,284,.selectFrom(RUN),"Using selectFrom(RUN) fetches all columns from the RUN table, which may retrieve unnecessary data. Consider explicitly selecting only the required columns using .select(RUN.ID, RUN.COUNT, ...).from(RUN)."
bennofs_wdumper,Implicit Columns,src/main/java/io/github/bennofs/wdumper/database/Database.java,292,292,.selectFrom(DUMP),"Using selectFrom(DUMP) fetches all columns from the DUMP table, which may retrieve unnecessary data. Consider explicitly selecting only the required columns using .select(DUMP.ID, DUMP.SPEC, ...).from(DUMP)."
bennofs_wdumper,Implicit Columns,src/main/java/io/github/bennofs/wdumper/database/Database.java,319,319,.selectFrom(DUMP_RUN_ZENODO),"Using selectFrom on a joined table fetches all columns from all joined tables (DUMP, RUN, ZENODO_SANDBOX, ZENODO_RELEASE), which may retrieve unnecessary data. Consider explicitly selecting only the required columns."
