Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
borjom1_cloud-nest,Keyless Entry,auth/auth-impl/src/main/generated-sources/com/cloud/nest/db/auth/tables/Session.java,110,110,"public final TableField<SessionRecord, Long> USER_ID = createField(DSL.name(""user_id""), SQLDataType.BIGINT.nullable(false), this, """");","The USER_ID column references the User table but lacks a foreign key constraint, which could lead to orphaned records or referential integrity issues. Add a foreign key constraint referencing the User table's primary key (USER_ID_PKEY)."
borjom1_cloud-nest,Keyless Entry,auth/auth-impl/src/main/generated-sources/com/cloud/nest/db/auth/tables/SessionHistory.java,60,60,"public final TableField<SessionHistoryRecord, Long> USER_ID = createField(DSL.name(""user_id""), SQLDataType.BIGINT.nullable(false), this, """");","The USER_ID column appears to reference the User table but lacks a foreign key constraint, which could lead to orphaned records or referential integrity issues. Add a foreign key constraint referencing the User.ID primary key (USER_ID_PKEY)."
borjom1_cloud-nest,ID Required,auth/auth-impl/src/main/generated-sources/com/cloud/nest/db/auth/tables/User.java,60,60,"public final TableField<UserRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false), this, """");","The primary key is named just 'id' which is generic and doesn't convey meaning about what it identifies. Additionally, the table has a unique constraint on 'username' which could serve as a natural primary key. Consider renaming to 'user_id' or using 'username' as the primary key if usernames are immutable."
borjom1_cloud-nest,Beware of the Unknown,auth/auth-impl/src/main/generated-sources/com/cloud/nest/db/auth/tables/User.java,65,65,"public final TableField<UserRecord, String> USERNAME = createField(DSL.name(""username""), SQLDataType.VARCHAR(16), this, """");","The 'username' column is marked as NULLABLE but has a unique constraint, suggesting it should always have a value. A user without a username doesn't make semantic sense. Consider adding a NOT NULL constraint to this column."
borjom1_cloud-nest,Keyless Entry,auth/auth-impl/src/main/generated-sources/com/cloud/nest/db/auth/tables/UserRole.java,56,56,"public final TableField<UserRoleRecord, Long> USER_ID = createField(DSL.name(""user_id""), SQLDataType.BIGINT.nullable(false), this, """");","The USER_ID column references the User table but lacks a foreign key constraint, which could lead to orphaned records or referential integrity issues. Add a foreign key constraint referencing the User table's primary key (USER_ID_PKEY)."
borjom1_cloud-nest,Implicit Columns,auth/auth-impl/src/main/java/com/cloud/nest/auth/repository/SessionHistoryRepositoryImpl.java,54,54,return dsl.selectFrom(SESSION_HISTORY),"Using selectFrom(SESSION_HISTORY) fetches all columns from the SESSION_HISTORY table, which may retrieve unnecessary data. Consider using select() with only the specific columns needed for this query."
borjom1_cloud-nest,Implicit Columns,auth/auth-impl/src/main/java/com/cloud/nest/auth/repository/SessionRepositoryImpl.java,40,40,return dsl.selectFrom(SESSION),"Using selectFrom(SESSION) fetches all columns from the SESSION table, which may retrieve unnecessary data. Consider using select() with only the specific columns needed for this operation."
borjom1_cloud-nest,Implicit Columns,auth/auth-impl/src/main/java/com/cloud/nest/auth/repository/SessionRepositoryImpl.java,76,76,return dsl.selectFrom(SESSION),Using selectFrom(SESSION) fetches all columns from the SESSION table into SessionRecord objects. Consider selecting only the columns that are actually needed by the caller to reduce data transfer.
borjom1_cloud-nest,Implicit Columns,auth/auth-impl/src/main/java/com/cloud/nest/auth/repository/UserRepositoryImpl.java,55,55,return dsl.selectFrom(USER),"Using selectFrom(USER) fetches all columns from the USER table, which may retrieve unnecessary data. Consider using select() with only the specific columns needed for this operation."
borjom1_cloud-nest,Implicit Columns,auth/auth-impl/src/main/java/com/cloud/nest/auth/repository/UserRepositoryImpl.java,64,64,return dsl.selectFrom(USER),"Using selectFrom(USER) fetches all columns from the USER table, which may retrieve unnecessary data. Consider using select() with only the specific columns needed for this operation."
borjom1_cloud-nest,Implicit Columns,auth/auth-impl/src/main/java/com/cloud/nest/auth/repository/UserRoleRepositoryImpl.java,30,30,return dsl.selectFrom(USER_ROLE),"Using selectFrom(USER_ROLE) fetches all columns from the USER_ROLE table, which may retrieve more data than needed. Consider using an explicit select() with only the required columns, e.g., dsl.select(USER_ROLE.USER_ID, USER_ROLE.ROLE_ID).from(USER_ROLE)."
borjom1_cloud-nest,ID Required,file-management/fm-impl/src/main/generated-sources/com/cloud/nest/db/fm/tables/File.java,61,61,"public final TableField<FileRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");","The primary key is named just 'id' which is a generic, non-descriptive name. Consider renaming it to 'file_id' to make it more meaningful and to avoid ambiguity when joining tables."
