Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
constZhur_tinkoff-backend-course-2024,ID Required,scrapper/src/main/java/edu/java/repository/jooq/generated/tables/Link.java,71,71,"public final TableField<LinkRecord, Integer> ID = createField(DSL.name(""ID""), SQLDataType.INTEGER.nullable(false).identity(true), this, """");","The table uses a generic 'ID' column as the primary key, but there's already a unique constraint on 'URL' (CONSTRAINT_23) which could serve as a natural primary key since URLs are inherently unique and immutable. Consider using 'URL' as the primary key or renaming the synthetic key to something more descriptive like 'link_id'."
constZhur_tinkoff-backend-course-2024,ID Required,scrapper/src/main/java/edu/java/repository/jooq/generated/tables/UserChat.java,67,67,"public final TableField<UserChatRecord, Long> ID = createField(DSL.name(""ID""), SQLDataType.BIGINT.nullable(false), this, """");","The primary key column is generically named 'ID' instead of a more descriptive name like 'chat_id' or 'user_chat_id'. Consider renaming the column to something more meaningful that reflects the entity it identifies, such as 'chat_id'."
constZhur_tinkoff-backend-course-2024,Implicit Columns,scrapper/src/main/java/edu/java/repository/jooq/JooqLinkRepository.java,29,29,return dslContext.selectFrom(LINK),"Using selectFrom(LINK) fetches all columns from the LINK table, which may retrieve unnecessary data. Consider explicitly selecting only the columns needed for the Link class mapping."
constZhur_tinkoff-backend-course-2024,Implicit Columns,scrapper/src/main/java/edu/java/repository/jooq/JooqLinkRepository.java,36,36,return dslContext.selectFrom(LINK),Using selectFrom(LINK) fetches all columns from the LINK table. Specify only the required columns explicitly to improve query performance and maintainability.
constZhur_tinkoff-backend-course-2024,Implicit Columns,scrapper/src/main/java/edu/java/repository/jooq/JooqLinkRepository.java,43,43,return dslContext.select(LINK.fields()),Using LINK.fields() selects all columns from the LINK table implicitly. Replace with an explicit list of required columns to avoid fetching unnecessary data.
constZhur_tinkoff-backend-course-2024,Implicit Columns,scrapper/src/main/java/edu/java/repository/jooq/JooqLinkRepository.java,54,54,return dslContext.selectFrom(LINK),Using selectFrom(LINK) retrieves all columns from the LINK table. Explicitly list only the columns needed for the Link class to reduce data transfer.
constZhur_tinkoff-backend-course-2024,Implicit Columns,scrapper/src/main/java/edu/java/repository/jooq/JooqLinkRepository.java,60,60,return dslContext.select(LINK.fields()),Using LINK.fields() implicitly selects all columns from the LINK table. Specify the required columns explicitly to improve clarity and performance.
constZhur_tinkoff-backend-course-2024,Implicit Columns,scrapper/src/main/java/edu/java/repository/jooq/JooqLinkRepository.java,75,75,.select(LINK.fields()).from(LINK),Using LINK.fields() fetches all columns from the LINK table. Explicitly select only the columns required for the Link class mapping.
constZhur_tinkoff-backend-course-2024,Implicit Columns,scrapper/src/main/java/edu/java/repository/jooq/JooqUserRepository.java,33,33,return dslContext.selectFrom(USER_CHAT),"Using selectFrom(USER_CHAT) fetches all columns from the USER_CHAT table, which may retrieve unnecessary data. Consider using an explicit select() with only the columns needed to populate the User class."
constZhur_tinkoff-backend-course-2024,Implicit Columns,scrapper/src/main/java/edu/java/repository/jooq/JooqUserRepository.java,47,47,return dslContext.selectFrom(USER_CHAT),Using selectFrom(USER_CHAT) fetches all columns from the USER_CHAT table when retrieving all users. Consider using an explicit select() specifying only the required columns for the User class.
