Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
cooder-org_jooq-mate,ID Required,jooq-mate-generator/src/test/java/org/cooder/jooq/mate/db/tables/HouseLayout.java,54,54,"public final TableField<HouseLayoutRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false).identity(true), this, ""主键id"");","The table uses a generic 'id' column as primary key while a natural unique key 'HOUSE_LAYOUT_CODE' already exists (KEY_HOUSE_LAYOUT_UNIQ_IDX_CODE). Consider using 'house_layout_code' as the primary key, or at minimum rename 'id' to something more descriptive like 'house_layout_id'."
cooder-org_jooq-mate,ID Required,jooq-mate-generator/src/test/java/org/cooder/jooq/mate/db/tables/Space.java,54,54,"public final TableField<SpaceRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false).identity(true), this, ""主键id"");","The table uses a generic 'id' column as primary key while a natural unique key exists on (SPACE_CODE, HOUSE_LAYOUT_CODE) that could serve as the primary key. Consider using the composite unique key as the primary key or renaming the column to 'space_id' to be more descriptive."
cooder-org_jooq-mate,Keyless Entry,jooq-mate-generator/src/test/java/org/cooder/jooq/mate/db/tables/Space.java,69,69,"public final TableField<SpaceRecord, String> HOUSE_LAYOUT_CODE = createField(DSL.name(""house_layout_code""), SQLDataType.VARCHAR(64).nullable(false).defaultValue(DSL.inline("""", SQLDataType.VARCHAR)), this, ""户型code"");","The HOUSE_LAYOUT_CODE column references the house_layout table (which has a unique key on HOUSE_LAYOUT_CODE) but lacks a foreign key constraint, risking referential integrity issues. Add a foreign key constraint referencing KEY_HOUSE_LAYOUT_UNIQ_IDX_CODE to ensure data consistency."
cooder-org_jooq-mate,Fear of the Unknown,jooq-mate-generator/src/test/java/org/cooder/jooq/mate/db/tables/Space.java,59,59,"public final TableField<SpaceRecord, String> SPACE_CODE = createField(DSL.name(""space_code""), SQLDataType.VARCHAR(64).nullable(false).defaultValue(DSL.inline("""", SQLDataType.VARCHAR)), this, ""空间code"");","Using an empty string as default value for SPACE_CODE masks missing data instead of using NULL, making it harder to distinguish between intentionally empty values and missing values. Since this is part of a unique key, consider removing the default value and requiring explicit values."
cooder-org_jooq-mate,Fear of the Unknown,jooq-mate-generator/src/test/java/org/cooder/jooq/mate/db/tables/Space.java,64,64,"public final TableField<SpaceRecord, String> SPACE_NAME = createField(DSL.name(""space_name""), SQLDataType.VARCHAR(128).nullable(false).defaultValue(DSL.inline("""", SQLDataType.VARCHAR)), this, ""空间名称"");",Using an empty string as default value for SPACE_NAME masks missing data instead of using NULL. Consider allowing NULL values or requiring explicit non-empty values for the space name.
cooder-org_jooq-mate,Fear of the Unknown,jooq-mate-generator/src/test/java/org/cooder/jooq/mate/db/tables/Space.java,69,69,"public final TableField<SpaceRecord, String> HOUSE_LAYOUT_CODE = createField(DSL.name(""house_layout_code""), SQLDataType.VARCHAR(64).nullable(false).defaultValue(DSL.inline("""", SQLDataType.VARCHAR)), this, ""户型code"");","Using an empty string as default value for HOUSE_LAYOUT_CODE masks missing data and could cause referential integrity issues. Since this is a foreign key reference and part of a unique constraint, consider removing the default value and requiring explicit values."
cooder-org_jooq-mate,Fear of the Unknown,jooq-mate-generator/src/test/java/org/cooder/jooq/mate/db/tables/Space.java,99,99,"public final TableField<SpaceRecord, String> PERIMETER_UNIT = createField(DSL.name(""perimeter_unit""), SQLDataType.VARCHAR(32).nullable(false).defaultValue(DSL.inline("""", SQLDataType.VARCHAR)), this, ""周长单位"");",Using an empty string as default value for PERIMETER_UNIT masks missing data instead of using NULL. Consider allowing NULL values or setting a meaningful default unit value.
cooder-org_jooq-mate,Fear of the Unknown,jooq-mate-generator/src/test/java/org/cooder/jooq/mate/db/tables/Space.java,109,109,"public final TableField<SpaceRecord, String> GROUND_AREA_UNIT = createField(DSL.name(""ground_area_unit""), SQLDataType.VARCHAR(32).nullable(false).defaultValue(DSL.inline("""", SQLDataType.VARCHAR)), this, ""地面面积单位"");",Using an empty string as default value for GROUND_AREA_UNIT masks missing data instead of using NULL. Consider allowing NULL values or setting a meaningful default unit value.
cooder-org_jooq-mate,Fear of the Unknown,jooq-mate-generator/src/test/java/org/cooder/jooq/mate/db/tables/Space.java,119,119,"public final TableField<SpaceRecord, String> WALL_AREA_UNIT = createField(DSL.name(""wall_area_unit""), SQLDataType.VARCHAR(32).nullable(false).defaultValue(DSL.inline("""", SQLDataType.VARCHAR)), this, ""墙面面积单位"");",Using an empty string as default value for WALL_AREA_UNIT masks missing data instead of using NULL. Consider allowing NULL values or setting a meaningful default unit value.
cooder-org_jooq-mate,Fear of the Unknown,jooq-mate-generator/src/test/java/org/cooder/jooq/mate/db/tables/Space.java,129,129,"public final TableField<SpaceRecord, String> LENGTH_UNIT = createField(DSL.name(""length_unit""), SQLDataType.VARCHAR(32).nullable(false).defaultValue(DSL.inline("""", SQLDataType.VARCHAR)), this, ""长单位"");",Using an empty string as default value for LENGTH_UNIT masks missing data instead of using NULL. Consider allowing NULL values or setting a meaningful default unit value.
