Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
crick77_usrbilancio,ID Required,src/main/java/it/usr/web/usrbilancio/domain/tables/Allegato.java,65,65,"public final TableField<AllegatoRecord, Integer> ID = createField(DSL.name(""id""), SQLDataType.INTEGER.nullable(false).identity(true), this, """");","The primary key column is named just 'id', which is a generic name that doesn't convey any meaning about the entity it identifies. Consider renaming it to 'allegato_id' or 'id_allegato' to make it more descriptive and avoid ambiguity in joins."
crick77_usrbilancio,ID Required,src/main/java/it/usr/web/usrbilancio/domain/tables/AllegatoAppoggio.java,63,63,"public final TableField<AllegatoAppoggioRecord, Integer> ID = createField(DSL.name(""id""), SQLDataType.INTEGER.nullable(false).identity(true), this, """");","The primary key column is named just 'id' which is a generic, non-descriptive name that doesn't convey the table context. Consider renaming it to 'allegato_appoggio_id' or similar to make it self-documenting and avoid ambiguity in joins."
crick77_usrbilancio,ID Required,src/main/java/it/usr/web/usrbilancio/domain/tables/AllegatoCodice.java,65,65,"public final TableField<AllegatoCodiceRecord, Integer> ID = createField(DSL.name(""id""), SQLDataType.INTEGER.nullable(false).identity(true), this, """");","The primary key column is generically named 'id' instead of a more descriptive name like 'allegato_codice_id'. Consider renaming the primary key to something more meaningful that identifies the entity, such as 'allegato_codice_id'."
crick77_usrbilancio,ID Required,src/main/java/it/usr/web/usrbilancio/domain/tables/Anagrafica.java,56,56,"public final TableField<AnagraficaRecord, Integer> ID = createField(DSL.name(""id""), SQLDataType.INTEGER.nullable(false).identity(true), this, """");",The table uses a generic 'id' column as the primary key instead of a more descriptive name. Consider renaming it to 'anagrafica_id' or 'id_anagrafica' to make foreign key relationships more self-documenting and avoid ambiguity in queries with joins.
crick77_usrbilancio,ID Required,src/main/java/it/usr/web/usrbilancio/domain/tables/Capitolo.java,62,62,"public final TableField<CapitoloRecord, Integer> ID = createField(DSL.name(""id""), SQLDataType.INTEGER.nullable(false).identity(true), this, """");","The primary key column is named just 'id', which is a generic name that doesn't convey any meaning about the entity it identifies. Consider renaming it to something more descriptive like 'capitolo_id' to make queries and joins more readable."
crick77_usrbilancio,ID Required,src/main/java/it/usr/web/usrbilancio/domain/tables/Codice.java,68,68,"public final TableField<CodiceRecord, Integer> ID = createField(DSL.name(""id""), SQLDataType.INTEGER.nullable(false).identity(true), this, """");","The table uses a generic 'id' column as primary key despite having a natural unique constraint 'KEY_CODICE_CODICE_CXX_UNQ' on columns (C01, C02, C04, C03, C05, CODICE_) that could serve as a composite primary key. Consider using the existing unique constraint as the primary key or renaming the synthetic key to something more descriptive like 'codice_id'."
crick77_usrbilancio,ID Required,src/main/java/it/usr/web/usrbilancio/domain/tables/Competenza.java,71,71,"public final TableField<CompetenzaRecord, Integer> ID = createField(DSL.name(""id""), SQLDataType.INTEGER.nullable(false).identity(true), this, """");","The table uses a generic 'id' column as primary key while a natural unique constraint (ID_CAPITOLO, ANNO) already exists via KEY_COMPETENZA_UQ_ANNOCAPITOLO. Consider using the composite key (id_capitolo, anno) as the primary key instead, since it uniquely identifies each competenza record by its capitolo and year."
crick77_usrbilancio,ID Required,src/main/java/it/usr/web/usrbilancio/domain/tables/LogOperazioni.java,57,57,"public final TableField<LogOperazioniRecord, Integer> ID = createField(DSL.name(""id""), SQLDataType.INTEGER.nullable(false).identity(true), this, """");",The primary key column is generically named 'id' which doesn't convey any domain meaning. Consider renaming it to something more descriptive like 'log_operazioni_id' or 'operation_log_id' to improve clarity when joining tables.
crick77_usrbilancio,ID Required,src/main/java/it/usr/web/usrbilancio/domain/tables/Modelli.java,57,57,"public final TableField<ModelliRecord, Integer> ID = createField(DSL.name(""id""), SQLDataType.INTEGER.nullable(false).identity(true), this, """");","The primary key column is generically named 'id' instead of a more descriptive name like 'modelli_id' or 'modello_id'. Consider renaming the primary key to something more meaningful that identifies the entity, such as 'modello_id', to improve clarity when joining tables."
crick77_usrbilancio,ID Required,src/main/java/it/usr/web/usrbilancio/domain/tables/MovimentiVirtuali.java,68,68,"public final TableField<MovimentiVirtualiRecord, Integer> ID = createField(DSL.name(""id""), SQLDataType.INTEGER.nullable(false).identity(true), this, """");","The primary key column is named just 'id', which is a generic name that doesn't convey any meaning about the table it belongs to. Consider renaming it to something more descriptive like 'movimento_virtuale_id' or 'id_movimento_virtuale' to make it self-documenting in queries and joins."
crick77_usrbilancio,Keyless Entry,src/main/java/it/usr/web/usrbilancio/domain/tables/MovimentiVirtuali.java,83,83,"public final TableField<MovimentiVirtualiRecord, Integer> ID_TIPO_DOCUMENTO = createField(DSL.name(""id_tipo_documento""), SQLDataType.INTEGER, this, """");","The column 'id_tipo_documento' appears to reference the 'tipo_documento' table but lacks a foreign key constraint, which could lead to orphaned records or invalid references. Add a foreign key constraint referencing 'KEY_TIPO_DOCUMENTO_PRIMARY' to ensure referential integrity."
crick77_usrbilancio,ID Required,src/main/java/it/usr/web/usrbilancio/domain/tables/Ordinativo.java,72,72,"public final TableField<OrdinativoRecord, Integer> ID = createField(DSL.name(""id""), SQLDataType.INTEGER.nullable(false).identity(true), this, """");","The primary key column is named just 'id', which is a generic name that doesn't convey meaning about the entity it identifies. Consider renaming it to 'ordinativo_id' or a similar descriptive name that reflects the table's purpose."
crick77_usrbilancio,ID Required,src/main/java/it/usr/web/usrbilancio/domain/tables/OrdinativoAppoggio.java,71,71,"public final TableField<OrdinativoAppoggioRecord, Integer> ID = createField(DSL.name(""id""), SQLDataType.INTEGER.nullable(false).identity(true), this, """");","The primary key column is generically named 'id' instead of a more descriptive name like 'ordinativo_appoggio_id'. Consider renaming the primary key to something more meaningful that identifies the entity, such as 'ordinativo_appoggio_id'."
