Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
cycastic-cumberland_libmanage-backend,ID Required,src/main/java/com/cycastic/library_management/generated/tables/Authors.java,61,61,"public final TableField<AuthorsRecord, ULong> ID = createField(DSL.name(""id""), SQLDataType.BIGINTUNSIGNED.nullable(false).identity(true), this, """");",The primary key column is generically named 'id' instead of a more descriptive name like 'author_id'. Consider renaming the column to 'author_id' to make it self-documenting and avoid ambiguity in queries with joins.
cycastic-cumberland_libmanage-backend,ID Required,src/main/java/com/cycastic/library_management/generated/tables/BookLocations.java,59,59,"public final TableField<BookLocationsRecord, ULong> ID = createField(DSL.name(""id""), SQLDataType.BIGINTUNSIGNED.nullable(false).identity(true), this, """");","The table uses a generic 'id' column as the primary key, but a natural composite key of (book_id, shelf_id) would be more meaningful since this table represents the relationship between books and their shelf locations. Consider using the composite key (book_id, shelf_id) as the primary key instead of the synthetic 'id' column."
cycastic-cumberland_libmanage-backend,ID Required,src/main/java/com/cycastic/library_management/generated/tables/Books.java,62,62,"public final TableField<BooksRecord, ULong> ID = createField(DSL.name(""id""), SQLDataType.BIGINTUNSIGNED.nullable(false).identity(true), this, """");","The primary key column is named just 'id', which is a generic name that doesn't convey meaning about the entity it identifies. Consider renaming it to 'book_id' to make it more descriptive and to avoid ambiguity in queries with joins."
cycastic-cumberland_libmanage-backend,ID Required,src/main/java/com/cycastic/library_management/generated/tables/Employees.java,59,59,"public final TableField<EmployeesRecord, String> ID = createField(DSL.name(""id""), SQLDataType.VARCHAR(32).nullable(false), this, """");","The primary key column is named just 'id', which is a generic name that doesn't convey meaning about what it identifies. Consider renaming it to 'employee_id' to make the column's purpose clearer and to avoid ambiguity in queries with joins."
cycastic-cumberland_libmanage-backend,ID Required,src/main/java/com/cycastic/library_management/generated/tables/Publisher.java,59,59,"public final TableField<PublisherRecord, ULong> ID = createField(DSL.name(""id""), SQLDataType.BIGINTUNSIGNED.nullable(false).identity(true), this, """");",The primary key column is generically named 'id' instead of a more descriptive name like 'publisher_id'. Consider renaming the column to 'publisher_id' to make it self-documenting and avoid ambiguity in queries with joins.
cycastic-cumberland_libmanage-backend,ID Required,src/main/java/com/cycastic/library_management/generated/tables/PurchaseBatches.java,61,61,"public final TableField<PurchaseBatchesRecord, ULong> ID = createField(DSL.name(""id""), SQLDataType.BIGINTUNSIGNED.nullable(false).identity(true), this, """");","The primary key column is generically named 'id' instead of a more descriptive name like 'purchase_batch_id'. Consider renaming the column to something more meaningful that identifies what entity it represents, such as 'purchase_batch_id'."
cycastic-cumberland_libmanage-backend,Implicit Columns,src/main/java/com/cycastic/library_management/services/BooksService.java,50,50,"var ret = transactionalDSL.select()
                            .from(authors)","Using `select()` without specifying columns fetches all columns from the 'authors' table, which retrieves unnecessary data. Replace with `select(authors.ID)` since only the author ID is needed."
cycastic-cumberland_libmanage-backend,Implicit Columns,src/main/java/com/cycastic/library_management/services/BooksService.java,74,74,"var record = dsl.select(books)
                .from(books)","Selecting the entire 'books' table reference fetches all columns, which may include unnecessary data. Explicitly list only the columns needed for RawBookDetails."
cycastic-cumberland_libmanage-backend,Poor Man's Search Engine,src/main/java/com/cycastic/library_management/services/BooksService.java,133,133,".where(DSL.upper(books.TITLE).like(String.format(""%%%s%%"", pattern).toUpperCase()).or(books.ISBN.eq(pattern)))",Using LIKE with wildcards on both sides (`%pattern%`) for searching book titles performs poorly on large datasets and cannot use indexes. Consider implementing a full-text search solution using database-native features like MySQL FULLTEXT indexes or PostgreSQL's tsvector.
cycastic-cumberland_libmanage-backend,Implicit Columns,src/main/java/com/cycastic/library_management/services/BooksService.java,162,162,"var rawBookDetails = dsl.select()
                .from(books)",Using `select()` without specifying columns fetches all columns from the 'books' table. Explicitly list only the columns required by RawBookDetails to improve query efficiency.
cycastic-cumberland_libmanage-backend,Implicit Columns,src/main/java/com/cycastic/library_management/services/BorrowsService.java,81,81,var arr =  dsl.select(),"Using `select()` without specifying columns fetches all columns from the `borrowedBooks` table, which retrieves unnecessary data and couples the code to the table schema. Explicitly list only the columns needed for `BorrowDetails`, e.g., `dsl.select(borrowedBooks.TICKET_ID, borrowedBooks.MEMBER_ID, ...)`"
cycastic-cumberland_libmanage-backend,Implicit Columns,src/main/java/com/cycastic/library_management/services/EmployeesService.java,42,42,var record = dsl.select(),"Using `select()` without specifying columns fetches all columns from the employees table, which is inefficient and couples the code to the table schema. Specify only the required columns explicitly, e.g., `dsl.select(employees.ID, employees.FULL_NAME, ...)`."
cycastic-cumberland_libmanage-backend,Implicit Columns,src/main/java/com/cycastic/library_management/services/EmployeesService.java,54,54,return dsl.select().from(employees).fetchInto(EmployeeQueryResponse.class);,"Using `select()` without specifying columns fetches all columns from the employees table unnecessarily. List only the columns needed for `EmployeeQueryResponse`, e.g., `dsl.select(employees.ID, employees.FULL_NAME, employees.ROLE)`."
cycastic-cumberland_libmanage-backend,Implicit Columns,src/main/java/com/cycastic/library_management/services/EmployeesService.java,58,58,return dsl.select(),Using `select()` without specifying columns fetches all columns from the employees table. Explicitly specify only the columns required for `EmployeeQueryResponse` to improve performance and maintainability.
cycastic-cumberland_libmanage-backend,Poor Man's Search Engine,src/main/java/com/cycastic/library_management/services/EmployeesService.java,60,60,"DSL.upper(employees.FULL_NAME).like(String.format(""%%%s%%"", pattern).toUpperCase())",Using LIKE with wildcards (`%pattern%`) for full-text search is inefficient as it cannot use indexes and performs poorly on large datasets. Consider using a dedicated full-text search solution like PostgreSQL's `tsvector`/`tsquery` or an external search engine like Elasticsearch.
cycastic-cumberland_libmanage-backend,Implicit Columns,src/main/java/com/cycastic/library_management/services/MembersService.java,34,34,var record = dsl.select(),"Using select() without specifying columns fetches all columns from the 'members' table, which can retrieve unnecessary data and cause maintenance issues if the table schema changes. Explicitly list only the columns needed for MemberDetails, e.g., dsl.select(members.ID, members.FULL_NAME, members.JOIN_DATE)."
cycastic-cumberland_libmanage-backend,Poor Man's Search Engine,src/main/java/com/cycastic/library_management/services/MembersService.java,44,44,"DSL.upper(members.FULL_NAME).like(String.format(""%%%s%%"", pattern).toUpperCase())",Using LIKE with wildcards on both sides (%%%s%%) for searching member names performs a full-text search that cannot use indexes efficiently and will result in slow table scans. Consider using a dedicated full-text search solution like PostgreSQL's tsvector/tsquery or an external search engine like Elasticsearch.
cycastic-cumberland_libmanage-backend,Implicit Columns,src/main/java/com/cycastic/library_management/services/MembersService.java,42,42,return dsl.select(),"Using select() without specifying columns fetches all columns from the 'members' table, which retrieves unnecessary data and impacts performance. Explicitly list only the columns needed for MemberDetails, e.g., dsl.select(members.ID, members.FULL_NAME, members.JOIN_DATE)."
cycastic-cumberland_libmanage-backend,Implicit Columns,src/main/java/com/cycastic/library_management/services/PublishersService.java,33,33,var record = dsl.select(),"Using `select()` without specifying columns fetches all columns from the Publisher table, which retrieves unnecessary data and reduces query performance. Explicitly list only the required columns, e.g., `dsl.select(publisher.ID, publisher.EMAIL, publisher.PUBLISHER_NAME)`."
cycastic-cumberland_libmanage-backend,Implicit Columns,src/main/java/com/cycastic/library_management/services/ShelvesService.java,36,36,var record = dsl.select(),"Using `select()` without specifying columns fetches all columns from the `shelves` table, which can retrieve unnecessary data and cause maintenance issues if the table schema changes. Explicitly list the required columns, e.g., `dsl.select(shelves.ID, shelves.SHELF_NAME)`."
cycastic-cumberland_libmanage-backend,Implicit Columns,src/main/java/com/cycastic/library_management/services/ShelvesService.java,44,44,return dsl.select(),"Using `select()` without specifying columns fetches all columns from the `shelves` table, which retrieves unnecessary data and couples the code to the table schema. Explicitly list the required columns, e.g., `dsl.select(shelves.ID, shelves.SHELF_NAME)`."
cycastic-cumberland_libmanage-backend,Poor Man's Search Engine,src/main/java/com/cycastic/library_management/services/ShelvesService.java,78,78,"DSL.upper(shelves.SHELF_NAME).like(String.format(""%%%s%%"", pattern).toUpperCase())",Using LIKE with wildcards (`%pattern%`) for full-text search is inefficient as it cannot use indexes and performs poorly on large datasets. Consider using a dedicated full-text search solution like MySQL's FULLTEXT index or an external search engine like Elasticsearch.
