Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
deepakborania_revolut-backend-task,ID Required,src/main/java/com/revolut/task/models/tables/Account.java,64,64,"public final TableField<AccountRecord, Integer> ID = createField(""ID"", org.jooq.impl.SQLDataType.INTEGER.nullable(false).identity(true), this, """");","The primary key is named just 'ID' which is a generic, non-descriptive name. Consider renaming it to 'account_id' to make it more meaningful and to avoid ambiguity when joining tables."
deepakborania_revolut-backend-task,Keyless Entry,src/main/java/com/revolut/task/models/tables/Account.java,84,84,"public final TableField<AccountRecord, String> CURRENCY_CODE = createField(""CURRENCY_CODE"", org.jooq.impl.SQLDataType.VARCHAR(10).nullable(false), this, """");",The CURRENCY_CODE column appears to reference the Currency table but lacks a foreign key constraint. Add a foreign key referencing Currency.CODE (CONSTRAINT_50) to ensure referential integrity and prevent orphaned records.
deepakborania_revolut-backend-task,ID Required,src/main/java/com/revolut/task/models/tables/Currency.java,64,64,"public final TableField<CurrencyRecord, Integer> ID = createField(""ID"", org.jooq.impl.SQLDataType.INTEGER.nullable(false).identity(true), this, """");","The table uses a generic 'ID' column as primary key when a natural key already exists via the unique constraint on CODE (CONSTRAINT_50). Currency codes are standardized (e.g., ISO 4217), immutable, and would make a suitable primary key. Consider using CODE as the primary key instead of the synthetic ID column."
deepakborania_revolut-backend-task,ID Required,src/main/java/com/revolut/task/models/tables/Transactions.java,64,64,"public final TableField<TransactionsRecord, Integer> ID = createField(""ID"", org.jooq.impl.SQLDataType.INTEGER.nullable(false).identity(true), this, """");","The primary key is named just 'ID' which is a generic, non-descriptive name that doesn't convey the table context. Consider renaming it to 'transaction_id' to make it more meaningful and to avoid ambiguity in queries with joins."
deepakborania_revolut-backend-task,Keyless Entry,src/main/java/com/revolut/task/models/tables/Transactions.java,69,69,"public final TableField<TransactionsRecord, Integer> FROM_ACCOUNT = createField(""FROM_ACCOUNT"", org.jooq.impl.SQLDataType.INTEGER.defaultValue(org.jooq.impl.DSL.field(""0"", org.jooq.impl.SQLDataType.INTEGER)), this, """");","The FROM_ACCOUNT column appears to reference the Account table but lacks a foreign key constraint, which could lead to orphaned records or invalid references. Add a foreign key constraint referencing Account.ID to ensure referential integrity."
deepakborania_revolut-backend-task,Keyless Entry,src/main/java/com/revolut/task/models/tables/Transactions.java,74,74,"public final TableField<TransactionsRecord, Integer> TO_ACCOUNT = createField(""TO_ACCOUNT"", org.jooq.impl.SQLDataType.INTEGER.defaultValue(org.jooq.impl.DSL.field(""0"", org.jooq.impl.SQLDataType.INTEGER)), this, """");","The TO_ACCOUNT column appears to reference the Account table but lacks a foreign key constraint, which could lead to orphaned records or invalid references. Add a foreign key constraint referencing Account.ID to ensure referential integrity."
deepakborania_revolut-backend-task,Beware of the Unknown,src/main/java/com/revolut/task/models/tables/Transactions.java,69,69,"public final TableField<TransactionsRecord, Integer> FROM_ACCOUNT = createField(""FROM_ACCOUNT"", org.jooq.impl.SQLDataType.INTEGER.defaultValue(org.jooq.impl.DSL.field(""0"", org.jooq.impl.SQLDataType.INTEGER)), this, """");","Using 0 as a default value to represent a missing account is problematic because 0 is not a valid account ID and could cause confusion or errors. Use NULL instead to properly represent missing values, or make the column NOT NULL if a source account is always required."
deepakborania_revolut-backend-task,Beware of the Unknown,src/main/java/com/revolut/task/models/tables/Transactions.java,74,74,"public final TableField<TransactionsRecord, Integer> TO_ACCOUNT = createField(""TO_ACCOUNT"", org.jooq.impl.SQLDataType.INTEGER.defaultValue(org.jooq.impl.DSL.field(""0"", org.jooq.impl.SQLDataType.INTEGER)), this, """");","Using 0 as a default value to represent a missing account is problematic because 0 is not a valid account ID and could cause confusion or errors. Use NULL instead to properly represent missing values, or make the column NOT NULL if a destination account is always required."
deepakborania_revolut-backend-task,Implicit Columns,src/main/java/com/revolut/task/repositories/AccountsRepositoryImpl.java,33,33,AccountRecord accRecord = dbManager.getDSL().selectFrom(ACCOUNT),"Using selectFrom(ACCOUNT) fetches all columns from the ACCOUNT table, which may retrieve unnecessary data. Consider using select() with only the specific columns needed, such as select(ACCOUNT.ID, ACCOUNT.NAME, ...).from(ACCOUNT)."
deepakborania_revolut-backend-task,Implicit Columns,src/main/java/com/revolut/task/repositories/AccountsRepositoryImpl.java,74,74,AccountRecord accRecord = dbManager.getDSL().selectFrom(ACCOUNT),"Using selectFrom(ACCOUNT) fetches all columns from the ACCOUNT table when only the ACTIVE column needs to be updated. Consider selecting only the required columns or using an update statement directly with update(ACCOUNT).set(ACCOUNT.ACTIVE, false).where(ACCOUNT.ID.eq(accountID))."
