Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
dreamPis_oauth,Implicit Columns,src/main/java/club/ndt/oauth/boot/dao/BaseDaoImpl.java,96,96,return DSL.using(getConfiguration()).selectFrom(this.table).where(primaryField.eq(id)).fetchAny();,"Using `selectFrom(this.table)` fetches all columns from the table, which can retrieve unnecessary data and impact performance. Consider using `select()` with only the specific columns needed for your use case."
dreamPis_oauth,Implicit Columns,src/main/java/club/ndt/oauth/boot/dao/BaseDaoImpl.java,103,103,return DSL.using(getConfiguration()).selectFrom(this.table).where(where).fetchOne();,"Using `selectFrom(this.table)` fetches all columns from the table, which may retrieve more data than necessary. Consider selecting only the required columns explicitly."
dreamPis_oauth,Implicit Columns,src/main/java/club/ndt/oauth/boot/dao/BaseDaoImpl.java,109,109,return DSL.using(getConfiguration()).selectFrom(this.table).where(new Condition[]{field.in(values)}).fetch();,"Using `selectFrom(this.table)` retrieves all columns from the table, potentially causing unnecessary data transfer. Specify only the columns you need using `select()`."
dreamPis_oauth,Implicit Columns,src/main/java/club/ndt/oauth/boot/dao/BaseDaoImpl.java,114,114,return DSL.using(getConfiguration()).selectFrom(this.table).where(new Condition[]{field.in(values)}).fetch();,Using `selectFrom(this.table)` fetches all columns from the table. Consider explicitly selecting only the required columns to improve query performance.
dreamPis_oauth,Implicit Columns,src/main/java/club/ndt/oauth/boot/dao/BaseDaoImpl.java,119,119,return DSL.using(getConfiguration()).selectFrom(this.table).where(new Condition[]{field.eq(value)}).fetchOne();,"Using `selectFrom(this.table)` retrieves all columns from the table, which may include unnecessary data. Use `select()` with specific columns instead."
dreamPis_oauth,Implicit Columns,src/main/java/club/ndt/oauth/boot/dao/BaseDaoImpl.java,137,137,"ArrayList<R> arrayList = new ArrayList<>(Arrays.asList(DSL.using(getConfiguration()).selectFrom(this.table).where(conditions).orderBy(sortFields).limit(offsetPagingVo.getOffset(), offsetPagingVo.getSize()).fetchArray()));","Using `selectFrom(this.table)` fetches all columns from the table for pagination, which can be inefficient. Consider selecting only the columns needed for the page results."
dreamPis_oauth,Implicit Columns,src/main/java/club/ndt/oauth/boot/dao/BaseDaoImpl.java,155,155,return DSL.using(getConfiguration()).selectFrom(this.table).where(conditions).orderBy(sortFields).fetch();,Using `selectFrom(this.table)` retrieves all columns from the table. Explicitly specify the required columns using `select()` to avoid fetching unnecessary data.
dreamPis_oauth,Implicit Columns,src/main/java/club/ndt/oauth/boot/dao/BaseDaoImpl.java,160,160,return DSL.using(getConfiguration()).selectFrom(this.table).where(condition).orderBy(sortFields).fetch();,Using `selectFrom(this.table)` fetches all columns from the table. Consider using `select()` with only the columns you need to improve performance.
dreamPis_oauth,Implicit Columns,src/main/java/club/ndt/oauth/boot/dao/BaseDaoImpl.java,165,165,return DSL.using(getConfiguration()).selectFrom(this.table).where(condition).fetch();,Using `selectFrom(this.table)` retrieves all columns from the table. Specify only the required columns explicitly to reduce data transfer overhead.
dreamPis_oauth,Implicit Columns,src/main/java/club/ndt/oauth/boot/dao/BaseDaoImpl.java,206,206,Result<R> fetch = DSL.using(getConfiguration()).selectFrom(this.table),Using `selectFrom(this.table)` fetches all columns from the table for pagination. Consider selecting only the specific columns needed for the page results to improve query efficiency.
dreamPis_oauth,Implicit Columns,src/main/java/club/ndt/oauth/boot/dao/oauth/UserDao.java,37,37,return dsl.selectFrom(T_USER),"Using selectFrom(T_USER) fetches all columns from the T_USER table, which may retrieve unnecessary data and impact performance. Consider using select() with only the specific columns needed, or if all columns are truly required, explicitly list them."
dreamPis_oauth,Keyless Entry,src/main/java/club/ndt/oauth/boot/entity/tables/OauthAccessToken.java,79,79,"public final TableField<OauthAccessTokenRecord, String> CLIENT_ID = createField(""client_id"", org.jooq.impl.SQLDataType.VARCHAR(255), this, """");","The CLIENT_ID column appears to reference the OauthClientDetails table (which has a primary key on CLIENT_ID), but there is no foreign key constraint defined. Add a foreign key constraint referencing OauthClientDetails.CLIENT_ID to ensure referential integrity."
dreamPis_oauth,ID Required,src/main/java/club/ndt/oauth/boot/entity/tables/TPersonalDetail.java,61,61,"public final TableField<TPersonalDetailRecord, BigDecimal> ID = createField(""id"", org.jooq.impl.SQLDataType.NUMERIC.nullable(false), this, """");","The primary key column is named just 'id', which is a generic name that doesn't convey any meaning about the entity it identifies. Consider renaming it to something more descriptive like 'personal_detail_id' to make the column's purpose clearer, especially in JOIN queries."
dreamPis_oauth,ID Required,src/main/java/club/ndt/oauth/boot/entity/tables/TUser.java,61,61,"public final TableField<TUserRecord, BigDecimal> ID = createField(""id"", org.jooq.impl.SQLDataType.NUMERIC.nullable(false), this, """");",The primary key column is generically named 'id' instead of a more descriptive name like 'user_id'. Consider renaming the primary key to 't_user_id' or 'user_id' to make it self-documenting and avoid ambiguity in joins.
dreamPis_oauth,Keyless Entry,src/main/java/club/ndt/oauth/boot/entity/tables/TUser.java,116,116,"public final TableField<TUserRecord, BigDecimal> USER_DETAIL_ID = createField(""user_detail_id"", org.jooq.impl.SQLDataType.NUMERIC, this, ""详情信息ID"");","The column 'user_detail_id' appears to reference the 't_personal_detail' table but lacks a foreign key constraint, which could lead to orphaned records or invalid references. Add a foreign key constraint referencing 't_personal_detail.id' to ensure referential integrity."
