Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
easkarov_repo-caretaker,ID Required,scrapper/src/main/java/ru/tinkoff/edu/java/scrapper/model/jooq/tables/Chat.java,66,66,"public final TableField<ChatRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false), this, """");",The primary key column is named generically as 'id' instead of a more descriptive name like 'chat_id'. Consider renaming the primary key to 'chat_id' to make it self-documenting and easier to understand in queries involving joins.
easkarov_repo-caretaker,ID Required,scrapper/src/main/java/ru/tinkoff/edu/java/scrapper/model/jooq/tables/Link.java,71,71,"public final TableField<LinkRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");",The table has a synthetic primary key named 'id' even though there's already a unique constraint on 'url' (LINK_URL_KEY) which could serve as a natural primary key. Consider using the URL as the primary key or renaming the 'id' column to something more descriptive like 'link_id'.
easkarov_repo-caretaker,Fear of the Unknown,scrapper/src/main/java/ru/tinkoff/edu/java/scrapper/model/jooq/tables/Link.java,81,81,"public final TableField<LinkRecord, OffsetDateTime> UPDATED_AT = createField(DSL.name(""updated_at""), SQLDataType.TIMESTAMPWITHTIMEZONE(6).defaultValue(DSL.field(""now()"", SQLDataType.TIMESTAMPWITHTIMEZONE)), this, """");","The 'updated_at' column has a default value but is marked as NULLABLE (no .nullable(false) specified), which means it can never be NULL in practice due to the default. Consider adding .nullable(false) to explicitly mark the column as NOT NULL."
easkarov_repo-caretaker,Implicit Columns,scrapper/src/main/java/ru/tinkoff/edu/java/scrapper/repository/jooq/JooqChatRepository.java,22,22,dsl.select(CHAT.fields()),"Using CHAT.fields() fetches all columns from the CHAT table, which can retrieve unnecessary data and cause maintenance issues if the table schema changes. Explicitly list only the columns needed, e.g., dsl.select(CHAT.ID, CHAT.OTHER_NEEDED_COLUMN)."
easkarov_repo-caretaker,Implicit Columns,scrapper/src/main/java/ru/tinkoff/edu/java/scrapper/repository/jooq/JooqChatRepository.java,27,27,dsl.select(CHAT.fields()),"Using CHAT.fields() fetches all columns from the CHAT table, which can retrieve unnecessary data and cause maintenance issues if the table schema changes. Explicitly list only the columns needed for the Chat object."
easkarov_repo-caretaker,Implicit Columns,scrapper/src/main/java/ru/tinkoff/edu/java/scrapper/repository/jooq/JooqChatRepository.java,32,32,dsl.select(CHAT.fields()),"Using CHAT.fields() fetches all columns from the CHAT table, which can retrieve unnecessary data and cause maintenance issues if the table schema changes. Explicitly list only the columns needed for the Chat object."
easkarov_repo-caretaker,Implicit Columns,scrapper/src/main/java/ru/tinkoff/edu/java/scrapper/repository/jooq/JooqChatRepository.java,44,44,.returning(CHAT.fields()),"Using CHAT.fields() in the RETURNING clause fetches all columns from the CHAT table, which may return unnecessary data. Explicitly list only the columns needed, e.g., .returning(CHAT.ID)."
easkarov_repo-caretaker,Implicit Columns,scrapper/src/main/java/ru/tinkoff/edu/java/scrapper/repository/jooq/JooqLinkRepository.java,25,25,return dsl.selectFrom(LINK).fetch(this::mapToLink);,"Using `selectFrom(LINK)` fetches all columns from the LINK table, which can retrieve unnecessary data and impact performance. Consider explicitly selecting only the required columns: `dsl.select(LINK.ID, LINK.URL, LINK.UPDATED_AT, LINK.UPDATE_DATA).from(LINK)`."
easkarov_repo-caretaker,Implicit Columns,scrapper/src/main/java/ru/tinkoff/edu/java/scrapper/repository/jooq/JooqLinkRepository.java,31,31,return dsl.select(LINK.fields()),"Using `LINK.fields()` selects all columns from the LINK table, which may include unnecessary data. Consider explicitly listing only the columns needed for the `mapToLink` method."
easkarov_repo-caretaker,Implicit Columns,scrapper/src/main/java/ru/tinkoff/edu/java/scrapper/repository/jooq/JooqLinkRepository.java,42,42,return dsl.selectFrom(LINK),"Using `selectFrom(LINK)` fetches all columns from the LINK table when only specific columns may be needed. Consider using an explicit column selection like `dsl.select(LINK.ID, LINK.URL, LINK.UPDATED_AT, LINK.UPDATE_DATA).from(LINK)`."
easkarov_repo-caretaker,Implicit Columns,scrapper/src/main/java/ru/tinkoff/edu/java/scrapper/repository/jooq/JooqLinkRepository.java,49,49,return dsl.selectFrom(LINK),Using `selectFrom(LINK)` fetches all columns from the LINK table. Consider explicitly selecting only the columns required by the `mapToLink` method.
easkarov_repo-caretaker,Implicit Columns,scrapper/src/main/java/ru/tinkoff/edu/java/scrapper/repository/jooq/JooqLinkRepository.java,56,56,return dsl.selectFrom(LINK),"Using `selectFrom(LINK)` fetches all columns from the LINK table, which may include unnecessary data. Consider selecting only the specific columns needed for the Link object."
easkarov_repo-caretaker,Implicit Columns,scrapper/src/main/java/ru/tinkoff/edu/java/scrapper/repository/jooq/JooqLinkRepository.java,87,87,var ifExists = dsl.selectFrom(CHAT_LINK),Using `selectFrom(CHAT_LINK)` fetches all columns when you only need to check for existence. Consider using `dsl.fetchExists(dsl.selectOne().from(CHAT_LINK).where(...))` instead.
easkarov_repo-caretaker,Implicit Columns,scrapper/src/main/java/ru/tinkoff/edu/java/scrapper/repository/jooq/JooqLinkRepository.java,90,90,"return !ifExists && dsl.insertInto(CHAT_LINK, CHAT_LINK.fields())","Using `CHAT_LINK.fields()` in the INSERT statement implicitly references all columns. Consider explicitly listing only the columns being inserted: `dsl.insertInto(CHAT_LINK, CHAT_LINK.CHAT_ID, CHAT_LINK.LINK_ID)`."
