Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
ebi-gene-expression-group_annotare2,ID Required,app/integration/ae-subs-tracking/src/main/java/uk/ac/ebi/fg/annotare2/autosubs/jooq/tables/DataFiles.java,56,56,"public final TableField<DataFilesRecord, Integer> ID = createField(DSL.name(""id""), SQLDataType.INTEGER.nullable(false).identity(true), this, """");",The primary key column is generically named 'id' instead of a more descriptive name like 'data_file_id'. Consider renaming the primary key to 'data_file_id' to make it self-documenting and to avoid ambiguity when joining tables.
ebi-gene-expression-group_annotare2,ID Required,app/integration/ae-subs-tracking/src/main/java/uk/ac/ebi/fg/annotare2/autosubs/jooq/tables/Experiments.java,56,56,"public final TableField<ExperimentsRecord, Integer> ID = createField(DSL.name(""id""), SQLDataType.INTEGER.nullable(false).identity(true), this, """");",The primary key column is generically named 'id' instead of a more descriptive name like 'experiment_id'. Consider renaming the primary key to 'experiment_id' to make it self-documenting and easier to identify in queries and joins.
ebi-gene-expression-group_annotare2,ID Required,app/integration/ae-subs-tracking/src/main/java/uk/ac/ebi/fg/annotare2/autosubs/jooq/tables/Roles.java,54,54,"public final TableField<RolesRecord, Integer> ID = createField(DSL.name(""id""), SQLDataType.INTEGER.nullable(false).identity(true), this, """");",The table uses a generic 'id' column as the primary key instead of a more descriptive name. Consider renaming it to 'role_id' to make foreign key relationships more self-documenting and to clarify which table the ID belongs to when joining tables.
ebi-gene-expression-group_annotare2,ID Required,app/integration/ae-subs-tracking/src/main/java/uk/ac/ebi/fg/annotare2/autosubs/jooq/tables/Spreadsheets.java,56,56,"public final TableField<SpreadsheetsRecord, Integer> ID = createField(DSL.name(""id""), SQLDataType.INTEGER.nullable(false).identity(true), this, """");",The primary key column is generically named 'id' instead of a more descriptive name like 'spreadsheet_id'. Consider renaming the column to 'spreadsheet_id' to make it self-documenting and avoid ambiguity in JOIN queries.
ebi-gene-expression-group_annotare2,ID Required,app/integration/ae-subs-tracking/src/main/java/uk/ac/ebi/fg/annotare2/autosubs/jooq/tables/Users.java,55,55,"public final TableField<UsersRecord, Integer> ID = createField(DSL.name(""id""), SQLDataType.INTEGER.nullable(false).identity(true), this, """");",The table has a synthetic primary key named 'id' even though there's already a unique constraint on 'login' (KEY_USERS_LOGIN) which could serve as a natural primary key. Consider using 'login' as the primary key since usernames are typically immutable and uniquely identify users.
ebi-gene-expression-group_annotare2,Implicit Columns,app/integration/ae-subs-tracking/src/main/java/uk/ac/ebi/fg/annotare2/autosubs/SubsTracking.java,143,144,"ExperimentsRecord r =
                        getContext(connection).selectFrom(EXPERIMENTS)","Using selectFrom(EXPERIMENTS) fetches all columns from the EXPERIMENTS table into the record, even though only specific fields (IS_DELETED, IN_CURATION, NUM_SUBMISSIONS) are needed. Consider using select() with only the required columns instead."
ebi-gene-expression-group_annotare2,Implicit Columns,app/integration/ae-subs-tracking/src/main/java/uk/ac/ebi/fg/annotare2/autosubs/SubsTracking.java,278,279,"ExperimentsRecord r =
                getContext(connection).selectFrom(EXPERIMENTS)",Using selectFrom(EXPERIMENTS) fetches all columns from the EXPERIMENTS table when only the IN_CURATION field is needed. Consider using select(EXPERIMENTS.IN_CURATION) to fetch only the required column.
ebi-gene-expression-group_annotare2,Implicit Columns,app/integration/ae-subs-tracking/src/main/java/uk/ac/ebi/fg/annotare2/autosubs/SubsTracking.java,296,297,"ExperimentsRecord r =
                getContext(connection).selectFrom(EXPERIMENTS)",Using selectFrom(EXPERIMENTS) fetches all columns from the EXPERIMENTS table when only the ACCESSION field is needed. Consider using select(EXPERIMENTS.ACCESSION) to fetch only the required column.
ebi-gene-expression-group_annotare2,Implicit Columns,app/integration/ae-subs-tracking/src/main/java/uk/ac/ebi/fg/annotare2/autosubs/SubsTracking.java,315,316,"UsersRecord r =
                context.selectFrom(USERS)",Using selectFrom(USERS) fetches all columns from the USERS table when only the ID field is needed. Consider using select(USERS.ID) to fetch only the required column.
ebi-gene-expression-group_annotare2,Implicit Columns,app/integration/ae-subs-tracking/src/main/java/uk/ac/ebi/fg/annotare2/autosubs/SubsTracking.java,432,432,return getContext(connection).selectFrom(EXPERIMENTS),"Using selectFrom(EXPERIMENTS) fetches all columns from the EXPERIMENTS table. If only specific fields are needed for the update operation, consider selecting only those columns to improve performance."
