Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
eclipse_openvsx,ID Required,server/src/main/jooq-gen/org/eclipse/openvsx/jooq/tables/AdminStatistics.java,58,58,"public final TableField<AdminStatisticsRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false), this, """");","The table uses a generic 'id' column as the primary key, but there's already a unique index on (year, month) via UNIQUE_ADMIN_STATISTICS which would serve as a natural composite primary key. Consider using (year, month) as the primary key instead of the synthetic 'id' column."
eclipse_openvsx,ID Required,server/src/main/jooq-gen/org/eclipse/openvsx/jooq/tables/DownloadCountProcessedItem.java,60,60,"public final TableField<DownloadCountProcessedItemRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false), this, """");","The primary key column is generically named 'id' instead of a more descriptive name like 'download_count_processed_item_id'. Consider renaming the primary key to something more meaningful that identifies the entity, such as 'processed_item_id' or 'download_count_processed_item_id'."
eclipse_openvsx,ID Required,server/src/main/jooq-gen/org/eclipse/openvsx/jooq/tables/Extension.java,60,60,"public final TableField<ExtensionRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false), this, """");",The primary key column is generically named 'id' instead of a more descriptive name like 'extension_id'. Consider renaming it to 'extension_id' to make foreign key references self-documenting and avoid ambiguity in queries with multiple joined tables.
eclipse_openvsx,Rounding Errors,server/src/main/jooq-gen/org/eclipse/openvsx/jooq/tables/Extension.java,65,65,"public final TableField<ExtensionRecord, Double> AVERAGE_RATING = createField(DSL.name(""average_rating""), SQLDataType.DOUBLE, this, """");","The 'average_rating' column uses DOUBLE (floating-point), which can introduce rounding errors for rating calculations. Consider using DECIMAL or NUMERIC with appropriate precision (e.g., DECIMAL(3,2)) to ensure accurate fixed-precision storage of ratings."
eclipse_openvsx,ID Required,server/src/main/jooq-gen/org/eclipse/openvsx/jooq/tables/ExtensionReview.java,60,60,"public final TableField<ExtensionReviewRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false), this, """");",The primary key column is generically named 'id' instead of a more descriptive name like 'extension_review_id'. Consider renaming the primary key to 'extension_review_id' to make it self-documenting and easier to identify in queries involving multiple tables.
eclipse_openvsx,ID Required,server/src/main/jooq-gen/org/eclipse/openvsx/jooq/tables/ExtensionVersion.java,60,60,"public final TableField<ExtensionVersionRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false), this, """");","The table uses a generic 'id' column as primary key despite having a natural unique constraint on (extension_id, target_platform, version) via UNIQUE_EXTENSION_VERSION. Consider using the natural key as the primary key or renaming the synthetic key to something more descriptive like 'extension_version_id'."
eclipse_openvsx,ID Required,server/src/main/jooq-gen/org/eclipse/openvsx/jooq/tables/FileResource.java,59,59,"public final TableField<FileResourceRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false), this, """");",The primary key column is generically named 'id' instead of a more descriptive name like 'file_resource_id'. Consider renaming the primary key to 'file_resource_id' to make it self-documenting and avoid ambiguity in joins.
eclipse_openvsx,ID Required,server/src/main/jooq-gen/org/eclipse/openvsx/jooq/tables/JobrunrJobs.java,59,59,"public final TableField<JobrunrJobsRecord, String> ID = createField(DSL.name(""id""), SQLDataType.CHAR(36).nullable(false), this, """");","The primary key column is named just 'id' which is a generic, non-descriptive name that doesn't convey the table context. Consider renaming it to 'job_id' or 'jobrunr_job_id' to make it more meaningful and avoid ambiguity in joins."
eclipse_openvsx,ID Required,server/src/main/jooq-gen/org/eclipse/openvsx/jooq/tables/MigrationItem.java,54,54,"public final TableField<MigrationItemRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false), this, """");",The primary key column is generically named 'id' instead of a more descriptive name like 'migration_item_id'. Consider renaming the primary key to 'migration_item_id' to make it self-documenting and avoid ambiguity in joins.
eclipse_openvsx,ID Required,server/src/main/jooq-gen/org/eclipse/openvsx/jooq/tables/Namespace.java,56,56,"public final TableField<NamespaceRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false), this, """");","The table uses a generic 'id' column as the primary key while having a unique constraint on 'public_id' which could serve as a natural key. Consider renaming the primary key to 'namespace_id' for clarity, or evaluate whether 'public_id' could be used as the primary key instead."
eclipse_openvsx,ID Required,server/src/main/jooq-gen/org/eclipse/openvsx/jooq/tables/NamespaceMembership.java,59,59,"public final TableField<NamespaceMembershipRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false), this, """");","The table uses a generic 'id' column as primary key, but there's already a unique constraint 'UNIQUE_NAMESPACE_MEMBERSHIP' on (USER_DATA, NAMESPACE) which could serve as a natural composite primary key. Consider using the composite key (user_data, namespace) as the primary key instead of the synthetic 'id' column."
eclipse_openvsx,ID Required,server/src/main/jooq-gen/org/eclipse/openvsx/jooq/tables/PersistedLog.java,60,60,"public final TableField<PersistedLogRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false), this, """");",The primary key column is generically named 'id' instead of a more descriptive name like 'persisted_log_id'. Consider renaming the primary key to 'persisted_log_id' to make it self-documenting and avoid ambiguity in joins.
eclipse_openvsx,ID Required,server/src/main/jooq-gen/org/eclipse/openvsx/jooq/tables/PersonalAccessToken.java,58,58,"public final TableField<PersonalAccessTokenRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false), this, """");","The primary key column is generically named 'id' instead of a more descriptive name like 'token_id' or 'personal_access_token_id'. Additionally, there is a unique constraint on the 'value' column (UKJEUD5MSSQBQKID58RD2K1INOF) which could potentially serve as a natural key. Consider renaming the primary key to be more descriptive, such as 'token_id'."
eclipse_openvsx,ID Required,server/src/main/jooq-gen/org/eclipse/openvsx/jooq/tables/SignatureKeyPair.java,57,57,"public final TableField<SignatureKeyPairRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false), this, """");",The table uses a generic 'id' column as the primary key while having a unique constraint on 'public_id' which could serve as a natural key. Consider using 'public_id' as the primary key or renaming 'id' to something more descriptive like 'signature_key_pair_id'.
eclipse_openvsx,ID Required,server/src/main/jooq-gen/org/eclipse/openvsx/jooq/tables/UserData.java,56,56,"public final TableField<UserDataRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false), this, """");","The table uses a generic 'id' column as the primary key while a natural unique constraint 'unique_user_data' exists on (provider, login_name), which could serve as a more meaningful composite primary key. Consider renaming the primary key to 'user_data_id' or using the natural key (provider, login_name) as the primary key."
