Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
ericdriggs_reportcard,Beware of the Unknown,reportcard-server/src/generated/java/io/github/ericdriggs/reportcard/gen/db/tables/BranchTable.java,79,79,"public final TableField<BranchRecord, Instant> LAST_RUN = createField(DSL.name(""last_run""), SQLDataType.INSTANT.defaultValue(DSL.inline(""utc_timestamp()"", SQLDataType.INSTANT)), this, """");","The LAST_RUN column has a default value but is marked as NULLABLE (no .nullable(false) specified), which means it can never be NULL in practice since it defaults to the current timestamp. Consider adding .nullable(false) to the column definition to accurately reflect its intended usage."
ericdriggs_reportcard,ID Required,reportcard-server/src/generated/java/io/github/ericdriggs/reportcard/gen/db/tables/CompanyTable.java,61,61,"public final TableField<CompanyRecord, Integer> COMPANY_ID = createField(DSL.name(""company_id""), SQLDataType.INTEGER.nullable(false).identity(true), this, """");","The table has a synthetic auto-increment primary key (COMPANY_ID) even though there's already a unique constraint on COMPANY_NAME (KEY_COMPANY_COMPANY_NAME_IDX), which could serve as a natural primary key. Consider using COMPANY_NAME as the primary key if it's truly unique and immutable, or rename the primary key to something more descriptive like 'company_id' if the synthetic key is necessary."
ericdriggs_reportcard,Beware of the Unknown,reportcard-server/src/generated/java/io/github/ericdriggs/reportcard/gen/db/tables/CompanyTable.java,66,66,"public final TableField<CompanyRecord, String> COMPANY_NAME = createField(DSL.name(""company_name""), SQLDataType.VARCHAR(255).nullable(false).defaultValue(DSL.inline(""'"", SQLDataType.VARCHAR)), this, """");","The COMPANY_NAME column uses a single quote character (') as a default value instead of NULL to represent missing data. This special default value has no semantic meaning and can cause confusion when querying. Remove the default value and allow NULL, or require a meaningful company name to be provided on insert."
ericdriggs_reportcard,Beware of the Unknown,reportcard-server/src/generated/java/io/github/ericdriggs/reportcard/gen/db/tables/OrgTable.java,68,68,"public final TableField<OrgRecord, String> ORG_NAME = createField(DSL.name(""org_name""), SQLDataType.VARCHAR(255).nullable(false).defaultValue(DSL.inline(""'"", SQLDataType.VARCHAR)), this, """");","The ORG_NAME column uses a single quote character as a default value, which appears to be a special marker rather than a meaningful default. This can lead to confusion and data integrity issues. Consider either using NULL to represent missing values or requiring a meaningful organization name without a default."
ericdriggs_reportcard,Beware of the Unknown,reportcard-server/src/generated/java/io/github/ericdriggs/reportcard/gen/db/tables/StorageTable.java,88,88,"public final TableField<StorageRecord, Integer> STORAGE_TYPE = createField(DSL.name(""storage_type""), SQLDataType.INTEGER, this, """");","The STORAGE_TYPE column is nullable but has a foreign key relationship to the storage_type table (STORAGE_TYPE_FK), suggesting it should always have a valid value. Consider making this column NOT NULL if a storage type is always required, or ensure the nullable state is intentional for cases where storage type is genuinely unknown."
ericdriggs_reportcard,ID Required,reportcard-server/src/generated/java/io/github/ericdriggs/reportcard/gen/db/tables/TestResultTable.java,65,65,"public final TableField<TestResultRecord, Long> TEST_RESULT_ID = createField(DSL.name(""test_result_id""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");","The table has a synthetic auto-increment primary key (test_result_id) even though there's already a unique constraint on STAGE_FK (KEY_TEST_RESULT_STAGE_FK_UNIQUE) which could serve as a natural primary key. Consider using STAGE_FK as the primary key since each test_result is uniquely identified by its stage, eliminating the need for a separate surrogate key."
ericdriggs_reportcard,Implicit Columns,reportcard-server/src/main/java/io/github/ericdriggs/reportcard/persist/BrowseService.java,47,47,dsl.select().from(COMPANY).fetch().into(CompanyPojo.class),"Using select() without specifying columns fetches all columns from the COMPANY table, which can retrieve unnecessary data and hurt performance. Specify only the required columns explicitly, e.g., dsl.select(COMPANY.COMPANY_ID, COMPANY.COMPANY_NAME).from(COMPANY)."
ericdriggs_reportcard,Implicit Columns,reportcard-server/src/main/java/io/github/ericdriggs/reportcard/persist/BrowseService.java,52,52,dsl.select().from(COMPANY).leftJoin(ORG).on(ORG.COMPANY_FK.eq(COMPANY.COMPANY_ID)).fetch(),Using select() without specifying columns fetches all columns from both COMPANY and ORG tables. Specify only the required columns explicitly to avoid fetching unnecessary data.
ericdriggs_reportcard,Implicit Columns,reportcard-server/src/main/java/io/github/ericdriggs/reportcard/persist/BrowseService.java,68,68,dsl.select(),"Using select() without specifying columns fetches all columns from COMPANY, ORG, and REPO tables. Specify only the required columns explicitly to improve query performance."
ericdriggs_reportcard,Implicit Columns,reportcard-server/src/main/java/io/github/ericdriggs/reportcard/persist/BrowseService.java,94,94,dsl.select(),"Using select() without specifying columns fetches all columns from COMPANY, ORG, and REPO tables. Specify only the required columns explicitly to avoid retrieving unnecessary data."
