Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
ge1up_healthy-calories_by_spring,ID Required,healthy-calories/spring-impl/src/main/java/ru/itis/agona/model/jooq/schema/tables/EatenFoods.java,59,59,"public final TableField<EatenFoodsRecord, UUID> ID = createField(DSL.name(""id""), SQLDataType.UUID.nullable(false), this, """");","The primary key column is generically named 'id' instead of a more descriptive name like 'eaten_food_id'. Consider renaming the primary key to something more meaningful that identifies the entity, such as 'eaten_food_id', to improve clarity when joining tables."
ge1up_healthy-calories_by_spring,ID Required,healthy-calories/spring-impl/src/main/java/ru/itis/agona/model/jooq/schema/tables/FavoriteDishes.java,58,58,"public final TableField<FavoriteDishesRecord, UUID> ID = createField(DSL.name(""id""), SQLDataType.UUID.nullable(false), this, """");","The primary key is generically named 'id' instead of a more descriptive name like 'favorite_dish_id'. Consider renaming the primary key to something more meaningful that identifies the entity, such as 'favorite_dish_id'."
ge1up_healthy-calories_by_spring,ID Required,healthy-calories/spring-impl/src/main/java/ru/itis/agona/model/jooq/schema/tables/FoodCategories.java,56,56,"public final TableField<FoodCategoriesRecord, UUID> ID = createField(DSL.name(""id""), SQLDataType.UUID.nullable(false), this, """");",The primary key is named generically 'id' instead of a more descriptive name like 'food_category_id'. Consider renaming the primary key to 'food_category_id' to make it self-documenting and easier to identify in queries and joins.
ge1up_healthy-calories_by_spring,ID Required,healthy-calories/spring-impl/src/main/java/ru/itis/agona/model/jooq/schema/tables/Foods.java,58,58,"public final TableField<FoodsRecord, UUID> ID = createField(DSL.name(""id""), SQLDataType.UUID.nullable(false), this, """");",The primary key column is generically named 'id' instead of a more descriptive name like 'food_id'. Consider renaming the primary key to 'food_id' to make it self-documenting and easier to identify in queries involving multiple tables.
ge1up_healthy-calories_by_spring,Keyless Entry,healthy-calories/spring-impl/src/main/java/ru/itis/agona/model/jooq/schema/tables/Users.java,86,86,"public final TableField<UsersRecord, Short> TYPE_OF_FOOD = createField(DSL.name(""type_of_food""), SQLDataType.SMALLINT, this, """");",The 'type_of_food' column appears to reference a food category or type but lacks a foreign key constraint. Consider adding a foreign key to the FOOD_CATEGORIES table (FOOD_CATEGORIES_PKEY) to ensure referential integrity.
ge1up_healthy-calories_by_spring,Implicit Columns,healthy-calories/spring-impl/src/main/java/ru/itis/agona/repository/eatenFood/EatenFoodJooqRepository.java,48,48,"dsl.fetchOne(EATEN_FOODS_ENTITY, EATEN_FOODS_ENTITY.ID.eq(id))","Using fetchOne with a table reference fetches all columns from the EATEN_FOODS table, which may retrieve unnecessary data. Consider explicitly selecting only the required columns using dsl.select(...).from(EATEN_FOODS_ENTITY).where(...).fetchOne()."
ge1up_healthy-calories_by_spring,Implicit Columns,healthy-calories/spring-impl/src/main/java/ru/itis/agona/repository/eatenFood/EatenFoodJooqRepository.java,54,54,dsl.select().from(EATEN_FOODS_ENTITY),"Using select() without specifying columns fetches all columns from the EATEN_FOODS table. Consider explicitly listing only the columns needed for the EatenFoodEntity mapping, e.g., dsl.select(EATEN_FOODS_ENTITY.ID, EATEN_FOODS_ENTITY.USER_ID, ...)."
ge1up_healthy-calories_by_spring,Implicit Columns,healthy-calories/spring-impl/src/main/java/ru/itis/agona/repository/favoriteDish/FavoriteDishJooqRepository.java,47,47,"dsl.fetchOne(FAVORITE_DISHES_ENTITY, FAVORITE_DISHES_ENTITY.ID.eq(id))","Using fetchOne with a table reference fetches all columns from the FAVORITE_DISHES table, which may retrieve unnecessary data. Consider explicitly selecting only the required columns using dsl.select(...).from(FAVORITE_DISHES_ENTITY).where(...).fetchOne()."
ge1up_healthy-calories_by_spring,Implicit Columns,healthy-calories/spring-impl/src/main/java/ru/itis/agona/repository/favoriteDish/FavoriteDishJooqRepository.java,53,53,dsl.select().from(FAVORITE_DISHES_ENTITY),"Using select() without specifying columns fetches all columns from the FAVORITE_DISHES table. Consider explicitly listing only the columns needed, e.g., dsl.select(FAVORITE_DISHES_ENTITY.ID, FAVORITE_DISHES_ENTITY.USER_ID, ...).from(FAVORITE_DISHES_ENTITY)."
ge1up_healthy-calories_by_spring,Implicit Columns,healthy-calories/spring-impl/src/main/java/ru/itis/agona/repository/food/FoodJooqRepository.java,50,50,"dsl.fetchOne(FOODS_ENTITY, FOODS_ENTITY.ID.eq(id))","Using fetchOne with a table reference fetches all columns from the FOODS_ENTITY table, which may retrieve unnecessary data. Consider using selectFrom with explicit column selection or select specific columns needed for the FoodEntity mapping."
ge1up_healthy-calories_by_spring,Implicit Columns,healthy-calories/spring-impl/src/main/java/ru/itis/agona/repository/food/FoodJooqRepository.java,56,56,dsl.select().from(FOODS_ENTITY),"Using select() without specifying columns fetches all columns from the FOODS_ENTITY table. Explicitly list only the required columns, e.g., dsl.select(FOODS_ENTITY.ID, FOODS_ENTITY.NAME, ...).from(FOODS_ENTITY)."
ge1up_healthy-calories_by_spring,Implicit Columns,healthy-calories/spring-impl/src/main/java/ru/itis/agona/repository/foodCategory/FoodCategoryJooqRepository.java,43,43,"dsl.fetchOne(FOOD_CATEGORIES_ENTITY, FOOD_CATEGORIES_ENTITY.ID.eq(id))","Using fetchOne with a table reference fetches all columns from the FOOD_CATEGORIES_ENTITY table, which may retrieve unnecessary data. Consider explicitly selecting only the required columns using dsl.select(...).from(FOOD_CATEGORIES_ENTITY).where(...).fetchOne()."
ge1up_healthy-calories_by_spring,Implicit Columns,healthy-calories/spring-impl/src/main/java/ru/itis/agona/repository/foodCategory/FoodCategoryJooqRepository.java,49,49,dsl.select().from(FOOD_CATEGORIES_ENTITY),"Using select() without specifying columns fetches all columns from the FOOD_CATEGORIES_ENTITY table. Consider explicitly listing only the columns needed, e.g., dsl.select(FOOD_CATEGORIES_ENTITY.ID, FOOD_CATEGORIES_ENTITY.NAME).from(FOOD_CATEGORIES_ENTITY)."
ge1up_healthy-calories_by_spring,Implicit Columns,healthy-calories/spring-impl/src/main/java/ru/itis/agona/repository/user/UserJooqRepository.java,54,54,"dsl.fetchOne(USERS_ENTITY, USERS_ENTITY.ID.eq(id))","Using fetchOne with a table reference fetches all columns from the USERS_ENTITY table, which may retrieve unnecessary data. Explicitly specify only the required columns using dsl.select(...).from(USERS_ENTITY).where(...).fetchOne()."
ge1up_healthy-calories_by_spring,Implicit Columns,healthy-calories/spring-impl/src/main/java/ru/itis/agona/repository/user/UserJooqRepository.java,60,60,dsl.select().from(USERS_ENTITY),"Using select() without specifying columns fetches all columns from USERS_ENTITY, which can impact performance. Explicitly list only the columns needed for the UserEntity mapping."
ge1up_healthy-calories_by_spring,Implicit Columns,healthy-calories/spring-impl/src/main/java/ru/itis/agona/repository/user/UserJooqRepository.java,65,65,dsl.select().from(EATEN_FOODS_ENTITY),Using select() without specifying columns fetches all columns from EATEN_FOODS_ENTITY. Explicitly specify only the columns required for the EatenFoodEntity mapping.
ge1up_healthy-calories_by_spring,Implicit Columns,healthy-calories/spring-impl/src/main/java/ru/itis/agona/repository/user/UserJooqRepository.java,72,72,dsl.select().from(USERS_ENTITY),Using select() without specifying columns fetches all columns from USERS_ENTITY. Explicitly list only the columns needed for the UserEntity mapping to improve query efficiency.
ge1up_healthy-calories_by_spring,Implicit Columns,healthy-calories/spring-impl/src/main/java/ru/itis/agona/repository/user/UserJooqRepository.java,75,75,dsl.select().from(USERS_ENTITY),Using select() without specifying columns fetches all columns from USERS_ENTITY. Explicitly list only the columns needed for the UserEntity mapping to improve query efficiency.
