Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
gekoramy_uni.web,Implicit Columns,src/main/java/dunder/mifflin/persistence/jdbc/AvatarJDBC.java,54,54,.select(),"Using select() without specifying columns fetches all columns from the AVATAR table, which can retrieve unnecessary data and hurt performance. Specify only the required columns explicitly, e.g., .select(AVATAR.ID, AVATAR.URL)."
gekoramy_uni.web,Implicit Columns,src/main/java/dunder/mifflin/persistence/jdbc/AvatarJDBC.java,63,63,.select(),"Using select() without specifying columns fetches all columns from the AVATAR table, which can retrieve unnecessary data and hurt performance. Specify only the required columns explicitly, e.g., .select(AVATAR.ID, AVATAR.URL)."
gekoramy_uni.web,Implicit Columns,src/main/java/dunder/mifflin/persistence/jdbc/AvatarJDBC.java,72,72,.select(),"Using select() without specifying columns fetches all columns from the AVATAR table, which can retrieve unnecessary data and hurt performance. Specify only the required columns explicitly, e.g., .select(AVATAR.ID, AVATAR.URL)."
gekoramy_uni.web,Implicit Columns,src/main/java/dunder/mifflin/persistence/jdbc/CityJDBC.java,30,30,.select(),"Using select() without specifying columns fetches all columns from the CITY table, which can retrieve unnecessary data and hurt performance. Explicitly list only the columns needed, e.g., .select(CITY.ID, CITY.NAME)."
gekoramy_uni.web,Implicit Columns,src/main/java/dunder/mifflin/persistence/jdbc/CityJDBC.java,39,39,.select(),"Using select() without specifying columns fetches all columns from the CITY table, which can retrieve unnecessary data and hurt performance. Explicitly list only the columns needed, e.g., .select(CITY.ID, CITY.NAME)."
gekoramy_uni.web,Implicit Columns,src/main/java/dunder/mifflin/persistence/jdbc/CityJDBC.java,48,48,.select(),"Using select() without specifying columns fetches all columns from the CITY table, which can retrieve unnecessary data and hurt performance. Explicitly list only the columns needed, e.g., .select(CITY.ID, CITY.NAME)."
gekoramy_uni.web,Implicit Columns,src/main/java/dunder/mifflin/persistence/jdbc/ExamPrescriptionJDBC.java,35,35,.select(),"Using select() without specifying columns fetches all columns from the EXAMINATION table, which may retrieve unnecessary data. Specify only the required columns explicitly, e.g., .select(EXAMINATION.ID, EXAMINATION.NAME, EXAMINATION.INFO)."
gekoramy_uni.web,Implicit Columns,src/main/java/dunder/mifflin/persistence/jdbc/ExamPrescriptionJDBC.java,109,109,.select(),"Using select() without specifying columns fetches all columns from the EXAMINATION table. Specify only the needed columns explicitly, such as .select(EXAMINATION.ID, EXAMINATION.NAME, EXAMINATION.INFO)."
gekoramy_uni.web,Implicit Columns,src/main/java/dunder/mifflin/persistence/jdbc/ExamPrescriptionJDBC.java,135,135,".select(PRESCRIPTION.asterisk(), EXAMINATION.asterisk())","Using asterisk() fetches all columns from PRESCRIPTION and EXAMINATION tables, which may include unnecessary data. List only the specific columns needed for the ExamPrescription class."
gekoramy_uni.web,Implicit Columns,src/main/java/dunder/mifflin/persistence/jdbc/ExamPrescriptionJDBC.java,151,151,".select(PRESCRIPTION.asterisk(), EXAMINATION.asterisk())",Using asterisk() fetches all columns from PRESCRIPTION and EXAMINATION tables. Explicitly specify only the columns required for the ExamPrescription mapping.
gekoramy_uni.web,Implicit Columns,src/main/java/dunder/mifflin/persistence/jdbc/ExamPrescriptionJDBC.java,172,172,".select(PRESCRIPTION.asterisk(), EXAMINATION.asterisk())",Using asterisk() fetches all columns from PRESCRIPTION and EXAMINATION tables. Specify only the columns needed for the ExamPrescription class to improve query efficiency.
gekoramy_uni.web,Implicit Columns,src/main/java/dunder/mifflin/persistence/jdbc/ExamPrescriptionJDBC.java,190,190,".select(PRESCRIPTION.asterisk(), EXAMINATION.asterisk())",Using asterisk() fetches all columns from PRESCRIPTION and EXAMINATION tables. List the specific columns required instead of using asterisk().
gekoramy_uni.web,Implicit Columns,src/main/java/dunder/mifflin/persistence/jdbc/ExamPrescriptionJDBC.java,206,206,".select(PRESCRIPTION.asterisk(), EXAMINATION.asterisk())",Using asterisk() fetches all columns from PRESCRIPTION and EXAMINATION tables. Explicitly enumerate only the necessary columns for better performance and maintainability.
