Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
germinateplatform_gatekeeper-server,Implicit Columns,src/main/java/jhi/gatekeeper/server/Database.java,175,175,DatabaseSystems db = context.selectFrom(DATABASE_SYSTEMS),"Using selectFrom() fetches all columns from the DATABASE_SYSTEMS table, but only the ID is used later. Select only the required columns explicitly, e.g., context.select(DATABASE_SYSTEMS.ID).from(DATABASE_SYSTEMS)."
germinateplatform_gatekeeper-server,Implicit Columns,src/main/java/jhi/gatekeeper/server/Database.java,180,180,UserTypes type = context.selectFrom(USER_TYPES),"Using selectFrom() fetches all columns from the USER_TYPES table, but only the ID is used later. Select only the required columns explicitly, e.g., context.select(USER_TYPES.ID).from(USER_TYPES)."
germinateplatform_gatekeeper-server,Implicit Columns,src/main/java/jhi/gatekeeper/server/Database.java,184,184,UsersRecord user = context.select(),"Using select() without arguments fetches all columns from the joined tables, which is inefficient. Specify only the columns needed, e.g., context.select(USERS.fields()).from(USERS) if you need all user fields."
germinateplatform_gatekeeper-server,ID Required,src/main/java/jhi/gatekeeper/server/database/tables/AccessRequests.java,57,57,"public final TableField<AccessRequestsRecord, Integer> ID = createField(DSL.name(""id""), SQLDataType.INTEGER.nullable(false).identity(true), this, """");",The primary key column is generically named 'id' instead of a more descriptive name like 'access_request_id'. Consider renaming the column to 'access_request_id' to make foreign key references and queries more self-documenting.
germinateplatform_gatekeeper-server,ID Required,src/main/java/jhi/gatekeeper/server/database/tables/DatabaseSystems.java,51,51,"public final TableField<DatabaseSystemsRecord, Integer> ID = createField(DSL.name(""id""), SQLDataType.INTEGER.nullable(false).identity(true), this, """");","The primary key column is generically named 'id' instead of a more descriptive name like 'database_system_id'. Consider renaming the primary key to something more meaningful that identifies the entity, such as 'database_system_id'."
germinateplatform_gatekeeper-server,ID Required,src/main/java/jhi/gatekeeper/server/database/tables/Institutions.java,51,51,"public final TableField<InstitutionsRecord, Integer> ID = createField(DSL.name(""id""), SQLDataType.INTEGER.nullable(false).identity(true), this, """");",The primary key column is generically named 'id' instead of a more descriptive name like 'institution_id'. Consider renaming the column to 'institution_id' to make it self-documenting and easier to identify in queries involving multiple tables.
germinateplatform_gatekeeper-server,ID Required,src/main/java/jhi/gatekeeper/server/database/tables/UnapprovedUsers.java,55,55,"public final TableField<UnapprovedUsersRecord, Integer> ID = createField(DSL.name(""id""), SQLDataType.INTEGER.nullable(false).identity(true), this, """");","The primary key column is generically named 'id' instead of a more descriptive name like 'unapproved_user_id'. Consider renaming the column to something more meaningful that identifies what entity it represents, such as 'unapproved_user_id'."
germinateplatform_gatekeeper-server,ID Required,src/main/java/jhi/gatekeeper/server/database/tables/Users.java,57,57,"public final TableField<UsersRecord, Integer> ID = createField(DSL.name(""id""), SQLDataType.INTEGER.nullable(false).identity(true), this, """");",The primary key column is generically named 'id' instead of a more descriptive name like 'user_id'. Consider renaming the column to 'user_id' to make it self-documenting and avoid ambiguity in queries with joins.
germinateplatform_gatekeeper-server,ID Required,src/main/java/jhi/gatekeeper/server/database/tables/UserTypes.java,51,51,"public final TableField<UserTypesRecord, Integer> ID = createField(DSL.name(""id""), SQLDataType.INTEGER.nullable(false).identity(true), this, """");",The primary key column is generically named 'id' instead of a more descriptive name like 'user_type_id'. Consider renaming the column to 'user_type_id' to make it self-documenting and avoid ambiguity in JOIN queries.
germinateplatform_gatekeeper-server,Implicit Columns,src/main/java/jhi/gatekeeper/server/resource/ActivationRequestResource.java,41,41,UnapprovedUsersRecord userRequest = context.selectFrom(UNAPPROVED_USERS),"Using selectFrom(UNAPPROVED_USERS) fetches all columns from the UNAPPROVED_USERS table, which may retrieve unnecessary data. Consider using select() with only the specific columns needed for this operation."
