Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
gilbertlim_jooq,Fear of the Unknown,src/generated/org/jooq/generated/tables/Customer_.java,120,120,"public final TableField<CustomerRecord, LocalDateTime> LAST_UPDATE = createField(DSL.name(""last_update""), SQLDataType.LOCALDATETIME(0).defaultValue(DSL.field(DSL.raw(""CURRENT_TIMESTAMP""), SQLDataType.LOCALDATETIME)), this, """");","The LAST_UPDATE column has a default value but is marked as NULLABLE, which is inconsistent since a column with a default timestamp should never be NULL in practice. Consider adding .nullable(false) to the column definition to enforce this constraint."
gilbertlim_jooq,31 Flavors,src/generated/org/jooq/generated/tables/Film_.java,137,137,"public final TableField<FilmRecord, FilmRating> RATING = createField(DSL.name(""rating""), SQLDataType.VARCHAR(5).defaultValue(DSL.inline(""G"", SQLDataType.VARCHAR)).asEnumDataType(FilmRating.class), this, """");","The RATING column uses an ENUM type (FilmRating) to restrict allowed values, which makes it difficult to add, remove, or modify rating options without altering the table schema. Consider creating a separate 'film_rating' lookup table with a foreign key reference instead."
gilbertlim_jooq,Keyless Entry,src/generated/org/jooq/generated/tables/FilmText_.java,68,68,"public final TableField<FilmTextRecord, Integer> FILM_ID = createField(DSL.name(""film_id""), SQLDataType.INTEGER.nullable(false), this, """");","The FILM_ID column appears to reference the Film table (based on naming convention and the existence of KEY_FILM_PRIMARY on Film_.FILM.FILM_ID), but there is no foreign key constraint defined. Add a foreign key constraint referencing the Film table's primary key to ensure referential integrity."
gilbertlim_jooq,ID Required,src/generated/org/jooq/generated/tables/Language_.java,73,73,"public final TableField<LanguageRecord, Long> LANGUAGE_ID = createField(DSL.name(""language_id""), SQLDataType.INTEGERUNSIGNED.nullable(false).identity(true), this, """", new AutoConverter<UInteger, Long>(UInteger.class, Long.class));",The table has a synthetic auto-increment primary key (LANGUAGE_ID) when the NAME column could serve as a natural primary key since language names are unique and virtually immutable. Consider using NAME as the primary key or creating a unique constraint on it if a surrogate key is truly needed.
gilbertlim_jooq,Fear of the Unknown,src/generated/org/jooq/generated/tables/Payment_.java,110,110,"public final TableField<PaymentRecord, LocalDateTime> LAST_UPDATE = createField(DSL.name(""last_update""), SQLDataType.LOCALDATETIME(0).defaultValue(DSL.field(DSL.raw(""CURRENT_TIMESTAMP""), SQLDataType.LOCALDATETIME)), this, """");","The LAST_UPDATE column has a default value (CURRENT_TIMESTAMP) but is marked as NULLABLE, which is inconsistent since it will never be NULL in practice. Consider adding .nullable(false) to the column definition to accurately reflect its intended usage."
gilbertlim_jooq,Implicit Columns,src/main/java/com/gilbert/jooq/actor/repository/ActorRepository.java,38,38,return dslContext.selectFrom(ACTOR),"Using selectFrom(ACTOR) fetches all columns from the ACTOR table, which can retrieve unnecessary data and impact performance. Explicitly specify only the required columns using select(ACTOR.ACTOR_ID, ACTOR.FIRST_NAME, ...).from(ACTOR)."
gilbertlim_jooq,Implicit Columns,src/main/java/com/gilbert/jooq/actor/repository/ActorRepository.java,44,44,return dslContext.selectFrom(ACTOR),"Using selectFrom(ACTOR) fetches all columns from the ACTOR table implicitly. Replace with an explicit column selection like select(ACTOR.ACTOR_ID, ACTOR.FIRST_NAME, ACTOR.LAST_NAME).from(ACTOR) to only retrieve needed data."
gilbertlim_jooq,Implicit Columns,src/main/java/com/gilbert/jooq/actor/repository/ActorRepository.java,50,50,return dslContext.selectFrom(ACTOR),Using selectFrom(ACTOR) retrieves all columns from the ACTOR table without explicit specification. Use select() with explicit column names to improve query clarity and performance.
gilbertlim_jooq,Implicit Columns,src/main/java/com/gilbert/jooq/actor/repository/ActorRepository.java,57,58,"row(ACTOR.fields()).as(""actor""),
            row(FILM.fields()).as(""film"")",Using ACTOR.fields() and FILM.fields() fetches all columns from both tables implicitly. Specify only the required columns explicitly to avoid retrieving unnecessary data.
gilbertlim_jooq,Poor Man's Search Engine,src/main/java/com/gilbert/jooq/actor/repository/ActorRepository.java,76,76,"return field.like(""%"" + inputString + ""%"");",Using LIKE with wildcards on both sides ('%value%') for text search prevents index usage and performs poorly on large datasets. Consider using a full-text search solution like PostgreSQL's tsvector/tsquery or a dedicated search engine like Elasticsearch.
gilbertlim_jooq,Implicit Columns,src/main/java/com/gilbert/jooq/actor/repository/ActorRepository.java,154,154,"ActorRecord record = dslContext.fetchOne(ACTOR, ACTOR.ACTOR_ID.eq(actorId));","Using fetchOne(ACTOR, ...) fetches all columns from the ACTOR table into a record. If only specific fields are needed for the update, consider selecting only those columns explicitly."
gilbertlim_jooq,Implicit Columns,src/main/java/com/gilbert/jooq/actor/repository/ActorRepository.java,178,178,"ActorRecord actorRecord = dslContext.fetchOne(ACTOR, ACTOR.ACTOR_ID.eq(actorId));","Using fetchOne(ACTOR, ...) retrieves all columns from the ACTOR table. If only the record reference is needed for deletion, consider a direct delete query instead of fetching the full record first."
gilbertlim_jooq,Implicit Columns,src/main/java/com/gilbert/jooq/actor/repository/ActorRepository.java,191,191,"return dslContext.fetchOne(ACTOR, ACTOR.ACTOR_ID.eq(actorId));","Using fetchOne(ACTOR, ...) fetches all columns from the ACTOR table into an ActorRecord. Specify only the required columns if not all fields are needed."
gilbertlim_jooq,Implicit Columns,src/main/java/com/gilbert/jooq/film/repository/FilmRepository.java,29,29,dslContext.select(FILM.fields()),"Using FILM.fields() selects all columns from the FILM table, which fetches unnecessary data and couples the code to the table schema. Explicitly list only the columns needed for the Film POJO."
gilbertlim_jooq,Implicit Columns,src/main/java/com/gilbert/jooq/film/repository/FilmRepository.java,47,49,"row(FILM.fields()),
row(FILM_ACTOR.fields()),
row(ACTOR.fields())","Using fields() on multiple tables selects all columns from each table, retrieving potentially unnecessary data. Explicitly specify only the columns required for the FilmAndActor mapping."
gilbertlim_jooq,Implicit Columns,src/main/java/com/gilbert/jooq/film/repository/FilmRepository.java,62,62,row(FILM.fields()),Using FILM.fields() selects all columns from the FILM table regardless of what's needed. Specify only the required columns for the FilmAndActors entity.
gilbertlim_jooq,Implicit Columns,src/main/java/com/gilbert/jooq/film/repository/FilmRepository.java,64,64,select(FILM_ACTOR.fields()),Using FILM_ACTOR.fields() in the multiset subquery selects all columns from the FILM_ACTOR table. Explicitly list only the columns needed for the FilmActor POJO.
gilbertlim_jooq,Implicit Columns,src/main/java/com/gilbert/jooq/film/repository/FilmRepository.java,76,77,"row(FILM.fields()).as(""film""),
row(FILM_ACTOR.fields()).as(""film_actor"")",Using fields() on FILM and FILM_ACTOR tables selects all columns from both tables. Specify only the columns required for the Film and FilmActor POJOs.
gilbertlim_jooq,Poor Man's Search Engine,src/main/java/com/gilbert/jooq/film/repository/FilmRepository.java,113,113,"FILM.TITLE.like(""%"" + filmTitle + ""%"")",Using LIKE with wildcards on both sides performs a full-text search that cannot use indexes efficiently. Consider using a full-text search engine or database-native full-text search capabilities like PostgreSQL's tsvector/tsquery.
gilbertlim_jooq,Implicit Columns,src/main/java/com/gilbert/jooq/film/repository/FilmRepository.java,146,146,dslContext.select(row(FILM.fields())),Using FILM.fields() selects all columns from the FILM table. Explicitly list only the columns needed for the Film POJO.
