Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
giovene44_Cinemanager_Software_Engineering_project,Implicit Columns,Codes/CineManager/src/main/database/AutenticazioneManager.java,58,58,Record result=ctx.select(Utenti.UTENTI.asterisk()),"Using asterisk() selects all columns from the UTENTI table, which can lead to unnecessary data transfer and maintenance issues if the table schema changes. Instead, explicitly select only the columns needed for authentication (e.g., ID, EMAIL, USER, PASSWORD)."
giovene44_Cinemanager_Software_Engineering_project,Implicit Columns,Codes/CineManager/src/main/database/AutenticazioneManager.java,77,77,Record result = ctx.select(Utenti.UTENTI.asterisk()),"Using asterisk() fetches all columns when only checking if a password matches, which is inefficient. Use fetchExists() or select only a single column like the primary key since you only need to verify the record exists."
giovene44_Cinemanager_Software_Engineering_project,Implicit Columns,Codes/CineManager/src/main/database/AutenticazioneManager.java,94,94,Record result = ctx.select(Utenti.UTENTI.asterisk()),"Using asterisk() fetches all columns when only checking if a user exists, which wastes resources. Use fetchExists() instead, which is more efficient for existence checks and doesn't require selecting any columns."
giovene44_Cinemanager_Software_Engineering_project,Implicit Columns,Codes/CineManager/src/main/database/BigliettiManager.java,68,68,Result<Record> result=ctx.select(Biglietti.BIGLIETTI.asterisk()),"Using asterisk() selects all columns from the BIGLIETTI table, which can lead to performance issues and fragile code if the table schema changes. Replace with explicit column selection, e.g., ctx.select(Biglietti.BIGLIETTI.ID_BIGLIETTO, Biglietti.BIGLIETTI.ID_UTENTE, ...)."
giovene44_Cinemanager_Software_Engineering_project,Implicit Columns,Codes/CineManager/src/main/database/BigliettiManager.java,168,168,Result<Record> result=ctx.select(Biglietti.BIGLIETTI.asterisk()),"Using asterisk() selects all columns from the BIGLIETTI table, which retrieves unnecessary data and makes the code brittle to schema changes. Explicitly list only the columns needed, such as ctx.select(Biglietti.BIGLIETTI.ID_BIGLIETTO, Biglietti.BIGLIETTI.CODICE_PROIEZIONE, ...)."
giovene44_Cinemanager_Software_Engineering_project,Implicit Columns,Codes/CineManager/src/main/database/FilmManager.java,48,48,Result<Record> result=ctx.select(Films.FILMS.asterisk()),"Using asterisk() selects all columns from the Films table, which can lead to performance issues and fragile code if the table schema changes. Explicitly list only the columns needed for creating Film objects."
giovene44_Cinemanager_Software_Engineering_project,Poor Man's Search Engine,Codes/CineManager/src/main/database/FilmManager.java,69,70,"Films.FILMS.TITOLO.contains(titolo)
                    .or(Films.FILMS.REGISTA.contains(titolo))","The contains() method generates a LIKE '%value%' pattern for full-text search, which cannot use indexes and performs poorly on large datasets. Consider using a dedicated full-text search engine or database-native full-text search capabilities."
giovene44_Cinemanager_Software_Engineering_project,Poor Man's Search Engine,Codes/CineManager/src/main/database/FilmManager.java,74,74,condition = condition.and(Films.FILMS.ANNO_PUBBLICAZIONE.contains(annoPubblicazione));,Using contains() on a year field generates a LIKE pattern search which is inefficient and semantically incorrect for numeric comparisons. Use an equality check (eq()) or range comparison instead.
giovene44_Cinemanager_Software_Engineering_project,Implicit Columns,Codes/CineManager/src/main/database/FilmManager.java,79,79,ctx.select(),"Using select() without arguments selects all columns from the Films table, which can cause performance issues and makes the code fragile to schema changes. Explicitly specify only the columns required for the Film entity."
giovene44_Cinemanager_Software_Engineering_project,Implicit Columns,Codes/CineManager/src/main/database/FilmManager.java,112,112,Record result=ctx.select(Films.FILMS.asterisk()),"Using asterisk() selects all columns from the Films table, which can lead to unnecessary data transfer and fragile code. Explicitly list only the columns needed for creating the Film object."
giovene44_Cinemanager_Software_Engineering_project,Keyless Entry,Codes/CineManager/src/main/database/generated/tables/Biglietti.java,61,61,"public final TableField<BigliettiRecord, Integer> ID_POSTO = createField(DSL.name(""ID_POSTO""), SQLDataType.INTEGER, this, """");","The column ID_POSTO appears to reference the POSTI table but lacks a foreign key constraint, which could lead to orphaned records or invalid references. Add a foreign key constraint referencing POSTI.ID to ensure referential integrity."
giovene44_Cinemanager_Software_Engineering_project,Keyless Entry,Codes/CineManager/src/main/database/generated/tables/Biglietti.java,66,66,"public final TableField<BigliettiRecord, Integer> CODICE_PROIEZIONE = createField(DSL.name(""CODICE_PROIEZIONE""), SQLDataType.INTEGER, this, """");","The column CODICE_PROIEZIONE appears to reference the PROIEZIONI table but lacks a foreign key constraint, risking data integrity issues. Add a foreign key constraint referencing PROIEZIONI.ID to enforce valid references."
giovene44_Cinemanager_Software_Engineering_project,Keyless Entry,Codes/CineManager/src/main/database/generated/tables/Biglietti.java,71,71,"public final TableField<BigliettiRecord, Integer> ID_UTENTE = createField(DSL.name(""ID_UTENTE""), SQLDataType.INTEGER, this, """");","The column ID_UTENTE appears to reference the UTENTI table but lacks a foreign key constraint, which could allow invalid user references. Add a foreign key constraint referencing UTENTI.ID_UTENTE to maintain referential integrity."
giovene44_Cinemanager_Software_Engineering_project,ID Required,Codes/CineManager/src/main/database/generated/tables/Films.java,56,56,"public final TableField<FilmsRecord, Integer> ID = createField(DSL.name(""ID""), SQLDataType.INTEGER.identity(true), this, """");","The primary key column is named just 'ID', which is a generic name that doesn't convey any meaning about the table it belongs to. Consider renaming it to something more descriptive like 'FILM_ID' or 'ID_FILM' to make foreign key references and queries more readable."
giovene44_Cinemanager_Software_Engineering_project,ID Required,Codes/CineManager/src/main/database/generated/tables/Posti.java,56,56,"public final TableField<PostiRecord, Integer> ID = createField(DSL.name(""ID""), SQLDataType.INTEGER.identity(true), this, """");","The primary key is named just 'ID' which is a generic, non-descriptive name that doesn't convey the table context. Consider renaming it to something more meaningful like 'ID_POSTO' or 'POSTO_ID' to improve clarity when used in joins and queries."
giovene44_Cinemanager_Software_Engineering_project,Keyless Entry,Codes/CineManager/src/main/database/generated/tables/Posti.java,61,61,"public final TableField<PostiRecord, Integer> COD_SALA = createField(DSL.name(""COD_SALA""), SQLDataType.INTEGER, this, """");","The column 'COD_SALA' appears to reference the 'SALE' table but lacks a foreign key constraint, which could lead to orphaned records or invalid references. Add a foreign key constraint referencing 'SALE.ID' to ensure referential integrity."
giovene44_Cinemanager_Software_Engineering_project,Keyless Entry,Codes/CineManager/src/main/database/generated/tables/Premi.java,76,76,"public final TableField<PremiRecord, Integer> COD_TESSERA = createField(DSL.name(""COD_TESSERA""), SQLDataType.INTEGER, this, """");",The column COD_TESSERA appears to reference the TESSERE table (which has primary key TESSERE.CODICE) but lacks a foreign key constraint. Add a foreign key constraint referencing TESSERE.CODICE to ensure referential integrity.
