Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
hiddenswitch_Spellsource,Implicit Columns,spellsource-server/src/main/java/com/hiddenswitch/framework/Accounts.java,107,107,var record = await(dao.findOneById(userId));,"The UserEntityDao.findOneById() method fetches all columns from the user_entity table, which may include unnecessary data. Consider using a custom query that selects only the specific columns needed (e.g., id, username, email)."
hiddenswitch_Spellsource,Implicit Columns,spellsource-server/src/main/java/com/hiddenswitch/framework/Accounts.java,238,239,"var userEntityRes = (new UserEntityDao(Environment.jooqAkaDaoConfiguration(), Environment.sqlClient()))
                            .findOneById(userId);","The UserEntityDao.findOneById() fetches all columns from the user_entity table when only a few fields are used to build the response. Consider writing a custom query that selects only the required columns (id, username, email)."
hiddenswitch_Spellsource,Implicit Columns,spellsource-server/src/main/java/com/hiddenswitch/framework/Accounts.java,292,293,".compose(v -> (new UserEntityDao(Environment.jooqAkaDaoConfiguration(), Environment.sqlClient()).findOneById(userId)))","The UserEntityDao.findOneById() retrieves all columns from the user_entity table when only id, username, and email are used in the response. Consider using a targeted query that selects only the necessary columns."
hiddenswitch_Spellsource,Implicit Columns,spellsource-server/src/main/java/com/hiddenswitch/framework/Accounts.java,332,333,"return (new UserEntityDao(Environment.jooqAkaDaoConfiguration(), Environment.sqlClient()))
                          .findManyByIds(request.getIdsList())","The UserEntityDao.findManyByIds() fetches all columns from the user_entity table when only id, username, and optionally email are used. Consider writing a custom query that projects only the required columns."
hiddenswitch_Spellsource,Implicit Columns,spellsource-server/src/main/java/com/hiddenswitch/framework/Accounts.java,408,409,"var users = new UserEntityDao(Environment.jooqAkaDaoConfiguration(), Environment.sqlClient());
return users.findOneById(userRepresentation.getId());",The UserEntityDao.findOneById() retrieves all columns from the user_entity table. Consider using a custom query that selects only the columns actually needed by the caller.
hiddenswitch_Spellsource,Implicit Columns,spellsource-server/src/main/java/com/hiddenswitch/framework/Bots.java,15,15,dsl.select(asterisk()),"Using asterisk() selects all columns from all joined tables, which retrieves unnecessary data and creates fragile code that breaks when table schemas change. Replace asterisk() with explicit column references like USER_ENTITY.fields() or list only the specific columns needed."
hiddenswitch_Spellsource,Implicit Columns,spellsource-server/src/main/java/com/hiddenswitch/framework/Environment.java,209,209,return executor.executeAny(dsl -> dsl.select(DSL.asterisk()).from(called)),"Using DSL.asterisk() selects all columns from the table, which can lead to performance issues and fragile code if the table schema changes. Replace DSL.asterisk() with explicit column references for only the columns needed by the mapper function."
hiddenswitch_Spellsource,Implicit Columns,spellsource-server/src/main/java/com/hiddenswitch/framework/impl/SqlCachedCardCatalogue.java,101,101,var cardDbRecords = await(cardsDao.findManyByCondition(CARDS.IS_PUBLISHED.eq(true).and(CARDS.IS_ARCHIVED.eq(false))));,"Using a generated DAO's findManyByCondition fetches all columns from the CARDS table, which may retrieve unnecessary data. Consider using a custom jOOQ query that selects only the specific columns needed (id, card_script, created_by, is_published, is_archived)."
hiddenswitch_Spellsource,Implicit Columns,spellsource-server/src/main/java/com/hiddenswitch/framework/impl/SqlCachedCardCatalogue.java,273,273,var getCards = cardsDao.findManyByCondition(CARDS.ID.in(toFetch).and(CARDS.IS_PUBLISHED.eq(true)).and(CARDS.IS_ARCHIVED.eq(false)));,"Using a generated DAO's findManyByCondition fetches all columns from the CARDS table when only specific columns are used. Consider using a custom jOOQ query that explicitly selects only the required columns (id, card_script, created_by, is_published, is_archived)."
hiddenswitch_Spellsource,Implicit Columns,spellsource-server/src/main/java/com/hiddenswitch/framework/Legacy.java,501,502,"deckSharesDao.queryExecutor()
                            .findOne(dsl -> dsl.selectFrom(DECK_SHARES)","Using `selectFrom(DECK_SHARES)` fetches all columns from the DECK_SHARES table, which may retrieve unnecessary data. Consider explicitly selecting only the columns needed, such as `select(DECK_SHARES.SHARE_RECIPIENT_ID, DECK_SHARES.DECK_ID)`."
