Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
jOOQ_jOOQ-mcve,ID Required,jOOQ-mcve-java-h2/src/main/java/org/jooq/mcve/java/h2/tables/Test.java,55,55,"public final TableField<TestRecord, Integer> ID = createField(DSL.name(""ID""), SQLDataType.INTEGER.nullable(false).identity(true), this, """");",The primary key column is generically named 'ID' which doesn't convey any meaning about the entity it identifies. Consider renaming it to something more descriptive like 'test_id' to make the schema self-documenting and avoid ambiguity in joins.
jOOQ_jOOQ-mcve,Implicit Columns,jOOQ-mcve-java-h2/src/test/java/org/jooq/mcve/test/java/h2/JavaTest.java,45,45,"TestRecord record = ctx.fetchOne(TEST, TEST.CD.eq(42));","Using fetchOne with a table reference fetches all columns from the TEST table into a TestRecord, which may retrieve unnecessary data. Consider explicitly selecting only the required columns using ctx.select(...).from(TEST).where(...).fetchOne()."
jOOQ_jOOQ-mcve,ID Required,jOOQ-mcve-java-mariadb/src/main/java/org/jooq/mcve/java/mariadb/tables/Test.java,55,55,"public final TableField<TestRecord, Integer> ID = createField(DSL.name(""id""), SQLDataType.INTEGER.nullable(false).identity(true), this, """");",The primary key column is generically named 'id' which doesn't convey any meaning about the entity it identifies. Consider renaming it to something more descriptive like 'test_id' to make the column's purpose clearer and avoid ambiguity in joins.
jOOQ_jOOQ-mcve,Implicit Columns,jOOQ-mcve-java-mariadb/src/test/java/org/jooq/mcve/test/java/mariadb/JavaTest.java,85,85,"TestRecord record = ctx.fetchOne(TEST, TEST.CD.eq(42));","Using `ctx.fetchOne(TEST, ...)` fetches all columns from the TEST table into a TestRecord. If only specific columns are needed (like `id`), explicitly select only those columns using `ctx.select(TEST.ID).from(TEST).where(TEST.CD.eq(42)).fetchOne()`."
jOOQ_jOOQ-mcve,Implicit Columns,jOOQ-mcve-java-mysql/src/test/java/org/jooq/mcve/test/java/mysql/JavaTest.java,85,85,"TestRecord record = ctx.fetchOne(TEST, TEST.CD.eq(42));","Using `ctx.fetchOne(TEST, ...)` fetches all columns from the TEST table into a TestRecord. If only specific columns are needed (like `id`), explicitly select only those columns using `ctx.select(TEST.ID).from(TEST).where(TEST.CD.eq(42)).fetchOne()`."
jOOQ_jOOQ-mcve,ID Required,jOOQ-mcve-java-oracle/src/main/java/org/jooq/mcve/java/oracle/tables/Test.java,55,55,"public final TableField<TestRecord, Integer> ID = createField(DSL.name(""ID""), SQLDataType.INTEGER.nullable(false).identity(true), this, """");",The primary key column is generically named 'ID' which doesn't convey any meaning about the entity it identifies. Consider renaming it to something more descriptive like 'TEST_ID' to make foreign key relationships clearer and avoid ambiguity in queries with multiple tables.
jOOQ_jOOQ-mcve,Implicit Columns,jOOQ-mcve-java-oracle/src/test/java/org/jooq/mcve/test/java/oracle/JavaTest.java,105,105,"TestRecord record = ctx.fetchOne(TEST, TEST.CD.eq(42));","Using `fetchOne(TEST, ...)` fetches all columns from the TEST table into a TestRecord, which may retrieve unnecessary data. Consider explicitly selecting only the required columns, e.g., `ctx.select(TEST.ID, TEST.CD).from(TEST).where(TEST.CD.eq(42)).fetchOne()`."
jOOQ_jOOQ-mcve,ID Required,jOOQ-mcve-java-postgres/src/main/java/org/jooq/mcve/java/postgres/tables/Test.java,55,55,"public final TableField<TestRecord, Integer> ID = createField(DSL.name(""id""), SQLDataType.INTEGER.nullable(false).identity(true), this, """");","The primary key column is generically named 'id' instead of a more descriptive name like 'test_id'. Consider renaming the column to something more meaningful that identifies what entity it represents, such as 'test_id', which also helps avoid ambiguity in JOIN queries."
jOOQ_jOOQ-mcve,Implicit Columns,jOOQ-mcve-java-postgres/src/test/java/org/jooq/mcve/test/java/postgres/JavaTest.java,92,92,"TestRecord record = ctx.fetchOne(TEST, TEST.CD.eq(42));","Using `fetchOne(TEST, ...)` fetches all columns from the TEST table into a TestRecord, which may retrieve unnecessary data. Consider explicitly selecting only the required columns using `ctx.select(...).from(TEST).where(...).fetchOne()`."
jOOQ_jOOQ-mcve,ID Required,jOOQ-mcve-java-sqlite/src/main/java/org/jooq/mcve/java/h2/tables/Test.java,55,55,"public final TableField<TestRecord, Integer> ID = createField(DSL.name(""ID""), SQLDataType.INTEGER.nullable(false).identity(true), this, """");","The primary key column is generically named 'ID' which doesn't convey any meaning about the entity it identifies. Consider renaming it to something more descriptive like 'TEST_ID' to make the column's purpose clearer, especially when used in joins."
