Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
jasontran320_texera_compose,ID Required,core/amber/src/main/scala/edu/uci/ics/texera/web/model/jooq/generated/tables/File.java,61,61,"public final TableField<FileRecord, UInteger> FID = createField(DSL.name(""fid""), org.jooq.impl.SQLDataType.INTEGERUNSIGNED.nullable(false).identity(true), this, """");","The table has a synthetic auto-increment primary key 'fid' even though a natural unique key already exists on (owner_uid, name) via KEY_FILE_OWNER_UID. Consider using the composite key (owner_uid, name) as the primary key since file names are unique per owner and these columns are relatively stable."
jasontran320_texera_compose,ID Required,core/amber/src/main/scala/edu/uci/ics/texera/web/model/jooq/generated/tables/Project.java,56,56,"public final TableField<ProjectRecord, UInteger> PID = createField(DSL.name(""pid""), org.jooq.impl.SQLDataType.INTEGERUNSIGNED.nullable(false).identity(true), this, """");","The table has a synthetic auto-increment primary key 'pid' even though there's already a natural unique constraint on (owner_id, name) via KEY_PROJECT_OWNER_ID that could serve as a composite primary key. Consider using the natural key (owner_id, name) as the primary key instead of the synthetic 'pid' column."
jasontran320_texera_compose,31 Flavors,core/amber/src/main/scala/edu/uci/ics/texera/web/model/jooq/generated/tables/ProjectUserAccess.java,65,65,"public final TableField<ProjectUserAccessRecord, ProjectUserAccessPrivilege> PRIVILEGE = createField(DSL.name(""privilege""), org.jooq.impl.SQLDataType.VARCHAR(5).nullable(false).defaultValue(org.jooq.impl.DSL.inline(""NONE"", org.jooq.impl.SQLDataType.VARCHAR)).asEnumDataType(edu.uci.ics.texera.web.model.jooq.generated.enums.ProjectUserAccessPrivilege.class), this, """");","The PRIVILEGE column uses an ENUM type (ProjectUserAccessPrivilege) to restrict allowed values, which makes adding or removing privilege types difficult and requires schema changes. Consider creating a separate lookup table for privilege types that can be modified without altering the table structure."
jasontran320_texera_compose,Keyless Entry,core/amber/src/main/scala/edu/uci/ics/texera/web/model/jooq/generated/tables/PublicProject.java,59,59,"public final TableField<PublicProjectRecord, UInteger> UID = createField(DSL.name(""uid""), org.jooq.impl.SQLDataType.INTEGERUNSIGNED, this, """");","The UID column appears to reference the User table but lacks a foreign key constraint, which could lead to orphaned records or invalid user references. Add a foreign key constraint referencing the User table's primary key (KEY_USER_PRIMARY)."
jasontran320_texera_compose,31 Flavors,core/amber/src/main/scala/edu/uci/ics/texera/web/model/jooq/generated/tables/User.java,81,81,"public final TableField<UserRecord, UserRole> ROLE = createField(DSL.name(""role""), org.jooq.impl.SQLDataType.VARCHAR(10).nullable(false).defaultValue(org.jooq.impl.DSL.inline(""INACTIVE"", org.jooq.impl.SQLDataType.VARCHAR)).asEnumDataType(edu.uci.ics.texera.web.model.jooq.generated.enums.UserRole.class), this, """");","The ROLE column uses an ENUM type to restrict allowed values, which makes adding or removing roles difficult and requires schema changes. Consider creating a separate 'user_role' lookup table with a foreign key reference instead."
jasontran320_texera_compose,31 Flavors,core/amber/src/main/scala/edu/uci/ics/texera/web/model/jooq/generated/tables/UserFileAccess.java,65,65,"public final TableField<UserFileAccessRecord, UserFileAccessPrivilege> PRIVILEGE = createField(DSL.name(""privilege""), org.jooq.impl.SQLDataType.VARCHAR(5).nullable(false).defaultValue(org.jooq.impl.DSL.inline(""NONE"", org.jooq.impl.SQLDataType.VARCHAR)).asEnumDataType(edu.uci.ics.texera.web.model.jooq.generated.enums.UserFileAccessPrivilege.class), this, """");","The PRIVILEGE column uses an ENUM type (UserFileAccessPrivilege) to restrict allowed values, which makes adding or removing privilege types difficult and requires schema changes. Consider creating a separate lookup table for privilege types that can be modified without altering the table structure."
jasontran320_texera_compose,Fear of the Unknown,core/amber/src/main/scala/edu/uci/ics/texera/web/model/jooq/generated/tables/WorkflowExecutions.java,91,91,"public final TableField<WorkflowExecutionsRecord, Byte> BOOKMARKED = createField(DSL.name(""bookmarked""), org.jooq.impl.SQLDataType.TINYINT.defaultValue(org.jooq.impl.DSL.inline(""0"", org.jooq.impl.SQLDataType.TINYINT)), this, """");","The BOOKMARKED column has a default value of 0 but is marked as NULLABLE, which is inconsistent since a column with a default value should typically not allow NULL. Consider adding .nullable(false) to the column definition to prevent NULL values."
jasontran320_texera_compose,31 Flavors,core/amber/src/main/scala/edu/uci/ics/texera/web/model/jooq/generated/tables/WorkflowUserAccess.java,65,65,"public final TableField<WorkflowUserAccessRecord, WorkflowUserAccessPrivilege> PRIVILEGE = createField(DSL.name(""privilege""), org.jooq.impl.SQLDataType.VARCHAR(5).nullable(false).defaultValue(org.jooq.impl.DSL.inline(""NONE"", org.jooq.impl.SQLDataType.VARCHAR)).asEnumDataType(edu.uci.ics.texera.web.model.jooq.generated.enums.WorkflowUserAccessPrivilege.class), this, """");","The PRIVILEGE column uses an ENUM type (WorkflowUserAccessPrivilege) to restrict allowed values, which makes adding or removing privilege types require schema changes. Consider creating a separate lookup table for privilege types that can be modified without altering the table structure."
jasontran320_texera_compose,ID Required,core/archive/old-engine/dataflow/src/main/java/edu/uci/ics/texera/dataflow/jooq/generated/tables/File.java,60,60,"public final TableField<FileRecord, UInteger> FID = createField(DSL.name(""fid""), org.jooq.impl.SQLDataType.INTEGERUNSIGNED.nullable(false).identity(true), this, """");","The table has a synthetic auto-increment primary key 'fid' even though a natural unique constraint exists on (uid, name) via KEY_FILE_UID, which could serve as a composite primary key. Consider using the composite key (uid, name) as the primary key instead, since files are naturally identified by their owner and name."
jasontran320_texera_compose,ID Required,core/archive/old-engine/dataflow/src/main/java/edu/uci/ics/texera/dataflow/jooq/generated/tables/KeywordDictionary.java,60,60,"public final TableField<KeywordDictionaryRecord, UInteger> KID = createField(DSL.name(""kid""), org.jooq.impl.SQLDataType.INTEGERUNSIGNED.nullable(false).identity(true), this, """");","The table has a synthetic auto-increment primary key (KID) even though a natural unique constraint exists on (UID, NAME) which could serve as a composite primary key. Consider using the composite key (UID, NAME) as the primary key instead, since it uniquely identifies keyword dictionaries per user."
jasontran320_texera_compose,ID Required,core/archive/old-engine/dataflow/src/main/java/edu/uci/ics/texera/dataflow/jooq/generated/tables/User.java,60,60,"public final TableField<UserRecord, UInteger> UID = createField(DSL.name(""uid""), org.jooq.impl.SQLDataType.INTEGERUNSIGNED.nullable(false).identity(true), this, """");","The table has a synthetic auto-increment primary key 'uid' even though there's already a unique constraint on 'name' (KEY_USER_NAME) which could serve as a natural primary key. Consider using 'name' as the primary key if usernames are immutable and unique, eliminating the need for the synthetic 'uid' column."
jasontran320_texera_compose,Implicit Columns,core/archive/old-engine/web/src/main/java/edu/uci/ics/texera/web/resource/WorkflowResource.java,96,96,.select(WORKFLOW.fields()),"Using WORKFLOW.fields() selects all columns from the WORKFLOW table, which can retrieve unnecessary data and cause maintenance issues if the table schema changes. Consider explicitly listing only the required columns in the select clause."
