Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
jiangtj_jc-platform,Implicit Columns,micro-sql-jooq/src/main/java/com/jiangtj/platform/sql/jooq/PageUtils.java,69,69,SelectSelectStep<Record1<R>> listStep = create.select(table);,"Selecting an entire table object fetches all columns from that table, which can retrieve unnecessary data and impact performance. Consider explicitly specifying only the required columns using `create.select(field1, field2, ...)` instead."
jiangtj_jc-platform,ID Required,micro-sql-jooq/src/test/java/com/jiangtj/platform/sql/jooq/jooq/tables/SystemOperateRecord.java,47,47,"public final TableField<SystemOperateRecordRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");",The primary key column is generically named 'id' instead of a more descriptive name like 'operate_record_id' or 'system_operate_record_id'. Consider renaming the column to include the table name or entity it represents to improve clarity when joining tables.
jiangtj_jc-platform,Keyless Entry,micro-sql-jooq/src/test/java/com/jiangtj/platform/sql/jooq/jooq/tables/SystemOperateRecord.java,57,57,"public final TableField<SystemOperateRecordRecord, Long> OPERATOR = createField(DSL.name(""operator""), SQLDataType.BIGINT.nullable(false), this, """");","The 'operator' column appears to reference a user (likely from the SystemUser table which has a primary key), but there is no foreign key constraint defined. Add a foreign key constraint referencing SystemUser.ID to ensure referential integrity and prevent orphaned records."
jiangtj_jc-platform,ID Required,micro-sql-jooq/src/test/java/com/jiangtj/platform/sql/jooq/jooq/tables/SystemUser.java,43,43,"public final TableField<SystemUserRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");",The primary key column is generically named 'id' instead of a more descriptive name like 'system_user_id'. Consider renaming the column to 'system_user_id' or another meaningful name that identifies what entity this ID represents.
jiangtj_jc-platform,Keyless Entry,micro-sql-jooq/src/test/java/com/jiangtj/platform/sql/jooq/jooq/tables/SystemUserRole.java,43,43,"public final TableField<SystemUserRoleRecord, Long> USER_ID = createField(DSL.name(""user_id""), SQLDataType.BIGINT.nullable(false), this, """");","The USER_ID column appears to reference the SystemUser table but lacks a foreign key constraint, which could lead to orphaned records or referential integrity issues. Add a foreign key constraint referencing SystemUser.ID to ensure data consistency."
jiangtj_jc-platform,Implicit Columns,micro-sql-jooq/src/test/java/com/jiangtj/platform/sql/jooq/PageUtilsTest.java,52,52,"PageUtils.FromStep<Record1<SystemUserRecord>> step = PageUtils.selectFrom(create, SYSTEM_USER);",Using selectFrom with SYSTEM_USER fetches all columns from the table into a SystemUserRecord. Consider explicitly selecting only the columns you need using select() with specific fields.
jiangtj_jc-platform,ID Required,system-server/src/main/java/com/jiangtj/platform/system/jooq/tables/SystemOperateRecord.java,61,61,"public final TableField<SystemOperateRecordRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");",The primary key is named generically 'id' rather than a more descriptive name like 'operate_record_id' or 'system_operate_record_id'. Consider renaming the column to something more meaningful that identifies what entity it represents.
jiangtj_jc-platform,Keyless Entry,system-server/src/main/java/com/jiangtj/platform/system/jooq/tables/SystemOperateRecord.java,71,71,"public final TableField<SystemOperateRecordRecord, Long> OPERATOR = createField(DSL.name(""operator""), SQLDataType.BIGINT.nullable(false), this, """");","The 'operator' column appears to reference a user (likely from the SystemUser table which has a primary key), but there is no foreign key constraint defined. Add a foreign key constraint referencing SystemUser.ID to ensure referential integrity."
jiangtj_jc-platform,ID Required,system-server/src/main/java/com/jiangtj/platform/system/jooq/tables/SystemUser.java,56,56,"public final TableField<SystemUserRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");","The primary key is named generically 'id' instead of a more descriptive name like 'system_user_id'. Consider renaming the primary key to include the table name (e.g., 'system_user_id') to make foreign key references more self-documenting and avoid ambiguity in joins."
jiangtj_jc-platform,Keyless Entry,system-server/src/main/java/com/jiangtj/platform/system/jooq/tables/SystemUserRole.java,55,55,"public final TableField<SystemUserRoleRecord, Long> USER_ID = createField(DSL.name(""user_id""), SQLDataType.BIGINT.nullable(false), this, """");","The USER_ID column appears to reference the SystemUser table but lacks a foreign key constraint, which could lead to orphaned records or referential integrity issues. Add a foreign key constraint referencing the SystemUser.ID primary key to ensure data consistency."
