Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
jklingsporn_vertx-jooq,31 Flavors,vertx-jooq-generate/src/test/java/generated/classic/reactive/dataobject/tables/Something.java,106,106,"public final TableField<SomethingRecord, Someenum> SOMEENUM = createField(DSL.name(""someEnum""), SQLDataType.VARCHAR.defaultValue(DSL.field(""'FOO'::""someEnum"""", SQLDataType.VARCHAR)).asEnumDataType(generated.classic.reactive.dataobject.enums.Someenum.class), this, """");","The column uses an ENUM type to restrict allowed values, which makes adding or removing values difficult and requires schema changes. Consider using a separate lookup table with a foreign key reference instead."
jklingsporn_vertx-jooq,31 Flavors,vertx-jooq-generate/src/test/java/generated/classic/reactive/guice/tables/Something.java,106,106,"public final TableField<SomethingRecord, Someenum> SOMEENUM = createField(DSL.name(""someEnum""), SQLDataType.VARCHAR.defaultValue(DSL.field(""'FOO'::""someEnum"""", SQLDataType.VARCHAR)).asEnumDataType(generated.classic.reactive.guice.enums.Someenum.class), this, """");","Using an ENUM type for the 'someEnum' column restricts allowed values in the column definition, making it difficult to add or modify values without altering the schema. Consider replacing the ENUM with a separate lookup table that can be easily updated without schema changes."
jklingsporn_vertx-jooq,Fear of the Unknown,vertx-jooq-generate/src/test/java/generated/classic/reactive/guice/tables/Somethingwithoutjson.java,60,60,"public final TableField<SomethingwithoutjsonRecord, String> SOMESTRING = createField(DSL.name(""someString""), SQLDataType.VARCHAR(45).defaultValue(DSL.field(""NULL::character varying"", SQLDataType.VARCHAR)), this, """");","The column SOMESTRING has a default value of NULL but is not explicitly marked as nullable, which can lead to confusion about whether the column accepts NULL values. Consider explicitly marking the column as nullable with `.nullable(true)` or using a meaningful default value if NULL is not intended."
jklingsporn_vertx-jooq,31 Flavors,vertx-jooq-generate/src/test/java/generated/classic/reactive/regular/tables/Something.java,106,106,"public final TableField<SomethingRecord, Someenum> SOMEENUM = createField(DSL.name(""someEnum""), SQLDataType.VARCHAR.defaultValue(DSL.field(""'FOO'::""someEnum"""", SQLDataType.VARCHAR)).asEnumDataType(generated.classic.reactive.regular.enums.Someenum.class), this, """");","Using an ENUM type to restrict allowed values embeds business logic in the database schema, making it difficult to add or remove values without schema changes. Consider using a separate lookup table to store the allowed values, which can be modified without altering the table structure."
jklingsporn_vertx-jooq,Fear of the Unknown,vertx-jooq-generate/src/test/java/generated/classic/reactive/regular/tables/Somethingwithoutjson.java,60,60,"public final TableField<SomethingwithoutjsonRecord, String> SOMESTRING = createField(DSL.name(""someString""), SQLDataType.VARCHAR(45).defaultValue(DSL.field(""NULL::character varying"", SQLDataType.VARCHAR)), this, """");","The column SOMESTRING has a default value of NULL but is not explicitly marked as nullable, which can lead to confusion about whether the column accepts NULL values. Consider explicitly marking the column as nullable with `.nullable(true)` or using a meaningful default value if NULL is not intended."
jklingsporn_vertx-jooq,31 Flavors,vertx-jooq-generate/src/test/java/generated/mutiny/reactive/guice/tables/Something.java,106,106,"public final TableField<SomethingRecord, Someenum> SOMEENUM = createField(DSL.name(""someEnum""), SQLDataType.VARCHAR.defaultValue(DSL.field(""'FOO'::""someEnum"""", SQLDataType.VARCHAR)).asEnumDataType(generated.mutiny.reactive.guice.enums.Someenum.class), this, """");","Using an ENUM type to restrict allowed values makes it difficult to add, remove, or modify values without altering the database schema. Consider creating a separate lookup table to store the allowed values and reference it with a foreign key."
jklingsporn_vertx-jooq,Fear of the Unknown,vertx-jooq-generate/src/test/java/generated/mutiny/reactive/guice/tables/Somethingwithoutjson.java,60,60,"public final TableField<SomethingwithoutjsonRecord, String> SOMESTRING = createField(DSL.name(""someString""), SQLDataType.VARCHAR(45).defaultValue(DSL.field(""NULL::character varying"", SQLDataType.VARCHAR)), this, """");","The column SOMESTRING has a default value of NULL but is not explicitly marked as nullable, which can lead to confusion about whether the column accepts NULL values. Consider explicitly marking the column as nullable with `.nullable(true)` or using a meaningful default value if NULL is not intended."
jklingsporn_vertx-jooq,31 Flavors,vertx-jooq-generate/src/test/java/generated/mutiny/reactive/regular/tables/Something.java,106,106,"public final TableField<SomethingRecord, Someenum> SOMEENUM = createField(DSL.name(""someEnum""), SQLDataType.VARCHAR.defaultValue(DSL.field(""'FOO'::""someEnum"""", SQLDataType.VARCHAR)).asEnumDataType(generated.mutiny.reactive.regular.enums.Someenum.class), this, """");",Using an ENUM type to restrict allowed values limits flexibility and makes adding or removing values difficult without schema changes. Consider creating a separate lookup table to store the allowed values and reference it with a foreign key.
jklingsporn_vertx-jooq,31 Flavors,vertx-jooq-generate/src/test/java/generated/rx/reactive/guice/tables/Something.java,106,106,"public final TableField<SomethingRecord, Someenum> SOMEENUM = createField(DSL.name(""someEnum""), SQLDataType.VARCHAR.defaultValue(DSL.field(""'FOO'::""someEnum"""", SQLDataType.VARCHAR)).asEnumDataType(generated.rx.reactive.guice.enums.Someenum.class), this, """");","The column 'someEnum' uses an ENUM type to restrict allowed values, which makes adding or removing values difficult and database-specific. Consider replacing this with a lookup table that stores the allowed values, allowing for easier maintenance and portability."
jklingsporn_vertx-jooq,31 Flavors,vertx-jooq-generate/src/test/java/generated/rx/reactive/regular/tables/Something.java,106,106,"public final TableField<SomethingRecord, Someenum> SOMEENUM = createField(DSL.name(""someEnum""), SQLDataType.VARCHAR.defaultValue(DSL.field(""'FOO'::""someEnum"""", SQLDataType.VARCHAR)).asEnumDataType(generated.rx.reactive.regular.enums.Someenum.class), this, """");","The column 'someEnum' uses an ENUM type to restrict allowed values, which makes adding or removing values difficult and requires schema changes. Consider using a separate lookup table with a foreign key reference instead."
