Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
jordanamr_Divarena-old,ID Required,src/generated/org/divarena/database/generated/tables/Accounts.java,52,52,"public final TableField<AccountsRecord, Integer> ID = createField(DSL.name(""id""), org.jooq.impl.SQLDataType.INTEGER.nullable(false).identity(true), this, """");","The table uses a generic 'id' column as the primary key while a unique constraint on 'username' already exists, which could serve as a natural primary key since usernames are typically immutable and unique. Consider using 'username' as the primary key or renaming the synthetic key to something more descriptive like 'account_id'."
jordanamr_Divarena-old,ID Required,src/generated/org/divarena/database/generated/tables/CoachCards.java,52,52,"public final TableField<CoachCardsRecord, Integer> ID = createField(DSL.name(""id""), org.jooq.impl.SQLDataType.INTEGER.nullable(false).identity(true), this, """");",The primary key is named generically 'id' instead of a more descriptive name like 'coach_card_id'. Consider renaming the column to 'coach_card_id' to make it self-documenting and avoid ambiguity in joins.
jordanamr_Divarena-old,Keyless Entry,src/generated/org/divarena/database/generated/tables/Coaches.java,57,57,"public final TableField<CoachesRecord, Integer> ACCOUNT_ID = createField(DSL.name(""account_id""), org.jooq.impl.SQLDataType.INTEGER.nullable(false), this, """");","The 'account_id' column appears to reference the Accounts table but lacks a foreign key constraint, which could lead to orphaned records or invalid references. Add a foreign key constraint referencing the Accounts table's primary key (KEY_ACCOUNTS_PRIMARY)."
jordanamr_Divarena-old,ID Required,src/generated/org/divarena/database/generated/tables/Counts.java,51,51,"public final TableField<CountsRecord, Integer> ID = createField(DSL.name(""id""), org.jooq.impl.SQLDataType.INTEGER.nullable(false), this, """");","The table has a synthetic primary key 'id' even though there's already a unique constraint on 'name' (KEY_COUNTS_NAME) which could serve as a natural primary key. Consider using 'name' as the primary key since it's already unique and immutable by nature, eliminating the need for the synthetic 'id' column."
jordanamr_Divarena-old,ID Required,src/generated/org/divarena/database/generated/tables/Effects.java,52,52,"public final TableField<EffectsRecord, Integer> ID = createField(DSL.name(""id""), org.jooq.impl.SQLDataType.INTEGER.nullable(false).identity(true), this, """");","The primary key is named just 'id' which is a generic, non-descriptive name that doesn't convey the table context. Consider renaming it to 'effect_id' to make it more meaningful and to avoid ambiguity in JOIN queries."
jordanamr_Divarena-old,Beware of the Unknown,src/generated/org/divarena/database/generated/tables/Effects.java,112,112,"public final TableField<EffectsRecord, String> END_TRIGGERS = createField(DSL.name(""end_triggers""), org.jooq.impl.SQLDataType.VARCHAR(255).nullable(false).defaultValue(org.jooq.impl.DSL.field(""''"", org.jooq.impl.SQLDataType.VARCHAR)), this, """");",The column 'end_triggers' uses an empty string as a default value to represent missing data instead of using NULL. This makes it harder to distinguish between intentionally empty values and missing values. Consider making the column nullable and using NULL to represent missing values.
jordanamr_Divarena-old,ID Required,src/generated/org/divarena/database/generated/tables/FighterCards.java,52,52,"public final TableField<FighterCardsRecord, Integer> ID = createField(DSL.name(""id""), org.jooq.impl.SQLDataType.INTEGER.nullable(false).identity(true), this, """");",The primary key column is generically named 'id' instead of a more descriptive name like 'fighter_card_id'. Consider renaming the column to 'fighter_card_id' to make foreign key references self-documenting and avoid ambiguity in queries with multiple tables.
jordanamr_Divarena-old,ID Required,src/generated/org/divarena/database/generated/tables/Spells.java,51,51,"public final TableField<SpellsRecord, Integer> ID = createField(DSL.name(""id""), org.jooq.impl.SQLDataType.INTEGER.nullable(false), this, """");",The primary key column is generically named 'id' instead of a more descriptive name like 'spell_id'. Consider renaming the column to 'spell_id' to make foreign key references more self-documenting and to avoid ambiguity in queries with multiple joined tables.
jordanamr_Divarena-old,Implicit Columns,src/main/java/org/divarena/Divarena.java,69,69,database.getCoachCardsDao().findAll(),"The DAO's findAll() method fetches all columns from the CoachCards table, even though only specific fields (id, name, type, value, typeParameters, requiredLevel) are used. Consider using a custom query that selects only the required columns."
jordanamr_Divarena-old,Implicit Columns,src/main/java/org/divarena/network/frames/InitialFrame.java,40,40,Accounts accountPojo = DivarenaDatabase.getInstance().getAccountsDao().fetchOneByUsername(msg.getUsername());,"The DAO's fetchOneByUsername method fetches all columns from the Accounts table into a POJO, even though only the id, username, and password fields are used. Consider using a custom query that selects only the required columns (id, username, password)."
jordanamr_Divarena-old,Implicit Columns,src/main/java/org/divarena/network/frames/InitialFrame.java,55,55,"Coaches coachPojo = DivarenaDatabase.getInstance().getCoachesDao().fetchOne(COACHES.ACCOUNT_ID, client.getAccountId());","The DAO's fetchOne method fetches all columns from the Coaches table into a POJO, which may retrieve more data than necessary. Consider using a custom query that selects only the columns needed for creating the Coach object and retrieving the instance."
