Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
juanhaugaard_H2-sakila,Beware of the Unknown,jooq-generated-sakila/src/main/java/org/tayrona/sakila/data/tables/Address.java,73,73,"public final TableField<AddressRecord, String> DISTRICT = createField(DSL.name(""DISTRICT""), SQLDataType.VARCHAR(50).defaultValue(DSL.field(""'N/A'"", SQLDataType.VARCHAR)), this, """");",The DISTRICT column uses 'N/A' as a default value to represent missing data instead of using NULL. This special marker value complicates queries and comparisons. Consider making the column nullable and using NULL to represent missing district information.
juanhaugaard_H2-sakila,ID Required,jooq-generated-sakila/src/main/java/org/tayrona/sakila/data/tables/Category.java,58,58,"public final TableField<CategoryRecord, Long> CATEGORY_ID = createField(DSL.name(""CATEGORY_ID""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");","The table has a synthetic auto-generated primary key (CATEGORY_ID) even though there's already a unique constraint on NAME (IDX_CATEGORY_NAME), which is a natural key suitable for identifying categories. Consider using NAME as the primary key since category names are inherently unique and immutable, eliminating the need for a surrogate key."
juanhaugaard_H2-sakila,31 Flavors,jooq-generated-sakila/src/main/java/org/tayrona/sakila/data/tables/Film.java,126,126,"public final TableField<FilmRecord, MpaaRating> RATING = createField(DSL.name(""RATING""), SQLDataType.VARCHAR.defaultValue(DSL.field(""'G'"", SQLDataType.VARCHAR)).asEnumDataType(org.tayrona.sakila.data.enums.MpaaRating.class), this, ""MPAA Rating ENUM (G,PG,PG-13,R,NC-17)"");","The RATING column uses an ENUM type to restrict values to a fixed set (G, PG, PG-13, R, NC-17), which makes it difficult to add or modify ratings without schema changes. Consider creating a separate 'mpaa_rating' lookup table and referencing it via a foreign key."
juanhaugaard_H2-sakila,Keyless Entry,jooq-generated-sakila/src/main/java/org/tayrona/sakila/data/tables/FilmText.java,58,58,"public final TableField<FilmTextRecord, Long> FILM_ID = createField(DSL.name(""FILM_ID""), SQLDataType.BIGINT.nullable(false), this, """");",The FILM_ID column appears to reference the Film table but lacks a foreign key constraint to enforce referential integrity. Add a foreign key constraint referencing Film.FILM_ID (PK_FILM) to ensure data consistency.
juanhaugaard_H2-sakila,Implicit Columns,sakila-data-generator/src/main/java/org/tayrona/sakila/data/generators/AddressGenerator.java,66,66,.selectFrom(Country.COUNTRY),"Using selectFrom() fetches all columns from the COUNTRY table, which may retrieve unnecessary data. Consider using select() with only the specific columns needed, such as COUNTRY_ and COUNTRY_ID."
juanhaugaard_H2-sakila,Implicit Columns,sakila-data-generator/src/main/java/org/tayrona/sakila/data/generators/AddressGenerator.java,72,72,.selectFrom(Country.COUNTRY),Using selectFrom() retrieves all columns from the COUNTRY table when only specific fields may be needed. Consider selecting only the required columns explicitly.
juanhaugaard_H2-sakila,Implicit Columns,sakila-data-generator/src/main/java/org/tayrona/sakila/data/generators/AddressGenerator.java,132,132,.selectFrom(City.CITY),"Using selectFrom() fetches all columns from the CITY table. Consider using select() with only the columns actually needed, such as CITY_, CITY_ID, and COUNTRY_ID."
juanhaugaard_H2-sakila,Implicit Columns,sakila-data-generator/src/main/java/org/tayrona/sakila/data/generators/AddressGenerator.java,138,138,.selectFrom(City.CITY),Using selectFrom() retrieves all columns from the CITY table when only specific fields may be required. Consider selecting only the necessary columns explicitly.
juanhaugaard_H2-sakila,Implicit Columns,sakila-data-generator/src/main/java/org/tayrona/sakila/data/generators/FilmGenerator.java,60,60,return dslContext.selectFrom(Tables.FILM).where(Tables.FILM.TITLE.eq(title)).fetch();,"Using `selectFrom(Tables.FILM)` fetches all columns from the FILM table, which may retrieve unnecessary data and impact performance. Consider explicitly selecting only the required columns using `select(...).from(Tables.FILM)`."
juanhaugaard_H2-sakila,Implicit Columns,sakila-data-generator/src/main/java/org/tayrona/sakila/data/generators/FilmGenerator.java,64,64,return dslContext.selectFrom(Tables.ACTOR),"Using `selectFrom(Tables.ACTOR)` fetches all columns from the ACTOR table, which may retrieve unnecessary data. Consider explicitly selecting only the required columns using `select(...).from(Tables.ACTOR)`."
juanhaugaard_H2-sakila,Implicit Columns,sakila-data-generator/src/main/java/org/tayrona/sakila/data/generators/FilmGenerator.java,71,71,return dslContext.selectFrom(Tables.FILM).where(Tables.FILM.BARCODE.eq(barcode)).fetch();,"Using `selectFrom(Tables.FILM)` fetches all columns from the FILM table, which may retrieve unnecessary data and impact performance. Consider explicitly selecting only the required columns using `select(...).from(Tables.FILM)`."
juanhaugaard_H2-sakila,Implicit Columns,sakila-data-generator/src/main/java/org/tayrona/sakila/data/generators/FilmGenerator.java,102,102,return dslContext.selectFrom(Language.LANGUAGE).fetch();,Using `selectFrom(Language.LANGUAGE)` fetches all columns from the LANGUAGE table. Consider explicitly selecting only the required columns using `select(...).from(Language.LANGUAGE)`.
juanhaugaard_H2-sakila,Implicit Columns,sakila-data-generator/src/main/java/org/tayrona/sakila/data/generators/FilmGenerator.java,293,294,"return dslContext
                .selectFrom(Tables.FILM_CATEGORY)",Using `selectFrom(Tables.FILM_CATEGORY)` fetches all columns from the FILM_CATEGORY table when only checking for existence. Consider using `fetchExists()` or selecting only the required columns.
juanhaugaard_H2-sakila,Implicit Columns,sakila-data-generator/src/main/java/org/tayrona/sakila/data/generators/FilmGenerator.java,302,303,"return dslContext
                .selectFrom(Tables.FILM_ACTOR)",Using `selectFrom(Tables.FILM_ACTOR)` fetches all columns from the FILM_ACTOR table when only checking for existence. Consider using `fetchExists()` or selecting only the required columns.
juanhaugaard_H2-sakila,Implicit Columns,sakila-data-generator/src/main/java/org/tayrona/sakila/data/generators/StoreGenerator.java,41,41,.selectFrom(Store.STORE),"Using selectFrom() fetches all columns from the STORE table, which may retrieve unnecessary data. Consider using an explicit select() with only the required columns, such as STORE_ID and ADDRESS_ID."
juanhaugaard_H2-sakila,Implicit Columns,sakila-data-generator/src/main/java/org/tayrona/sakila/data/generators/StoreGenerator.java,56,56,.selectFrom(Store.STORE),Using selectFrom() fetches all columns from the STORE table when only specific fields may be needed. Consider selecting only the required columns explicitly.
juanhaugaard_H2-sakila,Implicit Columns,sakila-data-generator/src/main/java/org/tayrona/sakila/data/generators/StoreGenerator.java,106,106,.selectFrom(Staff.STAFF),"Using selectFrom() retrieves all columns from the STAFF table, including potentially large or unnecessary fields. Consider using select() with only the columns you need."
