Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
justhecool_SmallWorlds-Forever,Implicit Columns,Database/dbMods/dao/avatar.java,25,25,ctx.select().from(AVATARS).fetch(),Selecting all columns from AVATARS table when only specific columns are needed. Replace `select()` with `select(AVATARS.AVATAR_ID)` to fetch only the required column.
justhecool_SmallWorlds-Forever,Implicit Columns,Database/dbMods/dao/avatar.java,27,27,ctx.select().from(XP_TYPE).fetch(),Selecting all columns from XP_TYPE table when only the ID column is used. Replace `select()` with `select(XP_TYPE.ID)` to fetch only the required column.
justhecool_SmallWorlds-Forever,Implicit Columns,Database/dbMods/dao/avatar.java,54,54,ctx.select().from(AVATAR_ITEMS).where(AVATAR_ITEMS.RESETTIME.notEqual(Double.parseDouble(String.valueOf(0)))).fetch(),Selecting all columns from AVATAR_ITEMS table when only ITEM_ID is used. Replace `select()` with `select(AVATAR_ITEMS.ITEM_ID)` to fetch only the required column.
justhecool_SmallWorlds-Forever,Implicit Columns,Database/dbMods/dao/avatar.java,67,67,ctx.select().from(AVATARS).fetch(),Selecting all columns from AVATARS table when only AVATAR_ID is used. Replace `select()` with `select(AVATARS.AVATAR_ID)` to fetch only the required column.
justhecool_SmallWorlds-Forever,Implicit Columns,Database/dbMods/dao/avatar.java,84,84,ctx.select().from(AVATARS).fetch(),"Selecting all columns from AVATARS table when only AVATAR_ID and OWNER_ID are used. Replace `select()` with `select(AVATARS.AVATAR_ID, AVATARS.OWNER_ID)` to fetch only the required columns."
justhecool_SmallWorlds-Forever,Implicit Columns,Database/dbMods/dao/avatar.java,117,117,ctx.select().from(SPACE_MODELS).fetch(),"Selecting all columns from SPACE_MODELS table when only specific columns are used. Replace `select()` with explicit column selection like `select(SPACE_MODELS.MODEL_DETAILS, SPACE_MODELS.MODEL_ID, SPACE_MODELS.MODEL_DESC, SPACE_MODELS.MODEL_PRICE, SPACE_MODELS.MODEL_PRICE_TOKENS)`."
justhecool_SmallWorlds-Forever,Implicit Columns,Database/dbMods/dao/avatar.java,142,142,"ctx.select().from(AVATAR_ITEMS,ITEMS).where(AVATAR_ITEMS.MODEL_ID.eq(ITEMS.MODEL_ID)).and(ITEMS.MODEL_TAGS.notLike(""%admin%"")).and(AVATAR_ITEMS.SPACE_ID.eq(spaceId)).fetch()","Selecting all columns from AVATAR_ITEMS and ITEMS tables when only specific columns are used. Replace `select()` with explicit column selection like `select(AVATAR_ITEMS.ITEM_ID, ITEMS.MODEL_PRICE_GOLD, ITEMS.MODEL_PRICE_TOKENS)`."
justhecool_SmallWorlds-Forever,Poor Man's Search Engine,Database/dbMods/dao/avatar.java,142,142,"ITEMS.MODEL_TAGS.notLike(""%admin%"")",Using LIKE with wildcards on both sides for searching within MODEL_TAGS is inefficient for text searching. Consider using a full-text search index or storing tags in a separate normalized table with proper indexing.
justhecool_SmallWorlds-Forever,Implicit Columns,Database/dbMods/dao/avatar.java,159,159,ctx.select().from(AVATARS).fetch(),Selecting all columns from AVATARS table when only AVATAR_ID is used. Replace `select()` with `select(AVATARS.AVATAR_ID)` to fetch only the required column.
justhecool_SmallWorlds-Forever,Implicit Columns,Database/dbMods/dao/catalog.java,30,30,ctx.select().from(ITEMS).where(ITEMS.MODEL_TAGS.containsIgnoreCase(tagName)),"Using `select()` without specifying columns fetches all columns from the ITEMS table, which wastes bandwidth and memory. Explicitly list only the required columns like `ctx.select(ITEMS.MODEL_ID, ITEMS.MODEL_TAGS, ITEMS.MODEL_PRICE_GOLD)`."
justhecool_SmallWorlds-Forever,Implicit Columns,Database/dbMods/dao/items.java,28,28,ctx.select().from(ITEMS).fetch().forEach(record -> {,"Using `select()` without specifying columns fetches all columns from the ITEMS table, which wastes bandwidth and memory. Specify only the required columns, such as `select(ITEMS.MODEL_ID, ITEMS.BASEITEMID)` since those are the only fields used in this method."
justhecool_SmallWorlds-Forever,Implicit Columns,Database/dbMods/dao/items.java,65,65,ctx.select().from(AVATAR_PETS).fetch().forEach(record -> {,"Using `select()` without specifying columns fetches all columns from the AVATAR_PETS table, which is inefficient. Specify only the required columns, such as `select(AVATAR_PETS.ID, AVATAR_PETS.STRINGID)` since those are the only fields used in this method."
justhecool_SmallWorlds-Forever,Implicit Columns,Database/dbMods/dao/user.java,34,34,ctx.select().from(AVATAR_ITEMS).where(AVATAR_ITEMS.USER_ID.eq(uid)).fetch(),"Using select() without specifying columns fetches all columns from AVATAR_ITEMS, but only USER_ID is needed. Replace with ctx.select(AVATAR_ITEMS.USER_ID).from(AVATAR_ITEMS) to fetch only the required column."
justhecool_SmallWorlds-Forever,Implicit Columns,Database/dbMods/dao/user.java,42,42,ctx.select().from(AVATAR_OUTFITS).where(AVATAR_OUTFITS.AVATAR_ID.eq(avatarId)).fetch(),"Using select() without specifying columns fetches all columns from AVATAR_OUTFITS, but only AVATAR_ID is needed. Replace with ctx.select(AVATAR_OUTFITS.AVATAR_ID).from(AVATAR_OUTFITS) to fetch only the required column."
justhecool_SmallWorlds-Forever,Implicit Columns,Database/dbMods/dao/user.java,49,49,ctx.select().from(AVATAR_SPACES).where(AVATAR_SPACES.USER_ID.eq(uid)).fetch(),"Using select() without specifying columns fetches all columns from AVATAR_SPACES, but only ID and USER_ID are used. Replace with ctx.select(AVATAR_SPACES.ID, AVATAR_SPACES.USER_ID).from(AVATAR_SPACES) to fetch only the required columns."
justhecool_SmallWorlds-Forever,Implicit Columns,Database/dbMods/dao/user.java,52,52,ctx.select().from(AVATAR_ITEMS).where(AVATAR_ITEMS.SPACE_ID.eq(space.get(AVATAR_SPACES.ID))).fetch(),"Using select() without specifying columns fetches all columns from AVATAR_ITEMS, but only SPACE_ID is needed. Replace with ctx.select(AVATAR_ITEMS.SPACE_ID).from(AVATAR_ITEMS) to fetch only the required column."
justhecool_SmallWorlds-Forever,Implicit Columns,Database/dbMods/dao/user.java,62,62,ctx.select().from(XP).where(XP.AVATAR_ID.eq(avatarId)).fetch(),"Using select() without specifying columns fetches all columns from XP, but only AVATAR_ID is needed. Replace with ctx.select(XP.AVATAR_ID).from(XP) to fetch only the required column."
justhecool_SmallWorlds-Forever,Implicit Columns,Database/dbMods/dao/user.java,88,88,"ctx.select().from(AVATAR_SPACES).where(AVATAR_SPACES.CONFIG.eq("""")).fetch()","Using select() without specifying columns fetches all columns from AVATAR_SPACES, but only ID is needed. Replace with ctx.select(AVATAR_SPACES.ID).from(AVATAR_SPACES) to fetch only the required column."
justhecool_SmallWorlds-Forever,Implicit Columns,Database/dbMods/dao/user.java,105,105,ctx.select().from(USERS).fetch(),"Using select() without specifying columns fetches all columns from USERS, but only ID and SECONDARYGROUPIDS are needed. Replace with ctx.select(USERS.ID, USERS.SECONDARYGROUPIDS).from(USERS) to fetch only the required columns."
justhecool_SmallWorlds-Forever,Implicit Columns,Database/dbMods/dao/user.java,130,130,ctx.select().from(USERS).fetch(),"Using select() without specifying columns fetches all columns from USERS, but only ID and SECONDARYGROUPIDS are needed. Replace with ctx.select(USERS.ID, USERS.SECONDARYGROUPIDS).from(USERS) to fetch only the required columns."
justhecool_SmallWorlds-Forever,ID Required,Database/dbMods/db/api/tables/Ai.java,57,57,"public final TableField<AiRecord, ULong> ID = createField(DSL.name(""id""), SQLDataType.BIGINTUNSIGNED.nullable(false).identity(true), this, """");","The table uses a generic 'id' column as the primary key, but it already has unique constraints on 'item_id' and 'avatar_id' columns that could serve as natural keys. Consider using one of these existing unique columns (e.g., ITEM_ID or AVATAR_ID) as the primary key instead of adding a synthetic auto-increment ID."
