Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
justmasyan_vkhomeworks,ID Required,homework6/JooqGenerated/src/main/java/generated/tables/InvoiceData.java,54,54,"public final TableField<InvoiceDataRecord, Integer> ID = createField(DSL.name(""id""), SQLDataType.INTEGER.nullable(false).identity(true), this, """");","The primary key column is generically named 'id' instead of a more descriptive name like 'invoice_data_id'. Consider renaming the primary key to something more meaningful that identifies the entity, such as 'invoice_data_id', which also helps avoid ambiguity in JOIN queries."
justmasyan_vkhomeworks,ID Required,homework6/JooqGenerated/src/main/java/generated/tables/InvoiceInfo.java,55,55,"public final TableField<InvoiceInfoRecord, Integer> ID = createField(DSL.name(""id""), SQLDataType.INTEGER.nullable(false).identity(true), this, """");","The primary key column is named just 'id', which is a generic name that doesn't convey meaning about the entity it identifies. Consider renaming it to 'invoice_info_id' or another descriptive name that clarifies its purpose and avoids ambiguity in joins."
justmasyan_vkhomeworks,ID Required,homework6/JooqGenerated/src/main/java/generated/tables/Products.java,51,51,"public final TableField<ProductsRecord, Integer> ID = createField(DSL.name(""id""), SQLDataType.INTEGER.nullable(false).identity(true), this, """");",The primary key column is generically named 'id' instead of a more descriptive name like 'product_id'. Consider renaming the column to 'product_id' to make it self-documenting and avoid ambiguity when joining tables.
justmasyan_vkhomeworks,ID Required,homework6/JooqGenerated/src/main/java/generated/tables/Providers.java,51,51,"public final TableField<ProvidersRecord, Integer> ID = createField(DSL.name(""id""), SQLDataType.INTEGER.nullable(false).identity(true), this, """");",The primary key is named generically 'id' instead of a more descriptive name like 'provider_id'. Consider renaming the column to 'provider_id' to make it self-documenting and avoid ambiguity in queries with joins.
justmasyan_vkhomeworks,Implicit Columns,homework6/ProductRepository/src/main/java/dao/DAOInvoiceData.java,19,19,.selectFrom(INVOICE_DATA),"Using selectFrom() fetches all columns from the INVOICE_DATA table, even though only specific columns (invoice_id, product, price, amount) are used in the mapper. Replace with an explicit select() specifying only the required columns: INVOICE_DATA.INVOICE_ID, INVOICE_DATA.PRODUCT, INVOICE_DATA.PRICE, INVOICE_DATA.AMOUNT."
justmasyan_vkhomeworks,Implicit Columns,homework6/ProductRepository/src/main/java/dao/DAOInvoiceData.java,38,38,.selectFrom(INVOICE_DATA),"Using selectFrom() fetches all columns from the INVOICE_DATA table, but only four specific columns are actually used. Replace with an explicit select() listing only the needed columns: INVOICE_DATA.INVOICE_ID, INVOICE_DATA.PRODUCT, INVOICE_DATA.PRICE, INVOICE_DATA.AMOUNT."
justmasyan_vkhomeworks,Implicit Columns,homework6/ProductRepository/src/main/java/dao/DAOInvoiceInfo.java,19,19,.selectFrom(INVOICE_INFO),"Using selectFrom() fetches all columns from the INVOICE_INFO table, but only 'date' and 'provider' columns are used in the mapper. Replace with an explicit select() specifying only the required columns: INVOICE_INFO.DATE and INVOICE_INFO.PROVIDER."
justmasyan_vkhomeworks,Implicit Columns,homework6/ProductRepository/src/main/java/dao/DAOInvoiceInfo.java,38,38,.selectFrom(INVOICE_INFO),"Using selectFrom() fetches all columns from the INVOICE_INFO table, but only 'date' and 'provider' columns are used in the mapper. Replace with an explicit select() specifying only the required columns: INVOICE_INFO.DATE and INVOICE_INFO.PROVIDER."
justmasyan_vkhomeworks,Implicit Columns,homework6/ProductRepository/src/main/java/dao/DaoProduct.java,20,20,.selectFrom(PRODUCTS),"Using selectFrom(PRODUCTS) fetches all columns from the PRODUCTS table, even though only 'title' and 'variety' are used. Replace with an explicit select statement: select(PRODUCTS.TITLE, PRODUCTS.VARIETY).from(PRODUCTS)."
justmasyan_vkhomeworks,Implicit Columns,homework6/ProductRepository/src/main/java/dao/DaoProduct.java,40,40,.selectFrom(PRODUCTS),"Using selectFrom(PRODUCTS) retrieves all columns from the PRODUCTS table when only 'title' and 'variety' are needed. Use an explicit column selection: select(PRODUCTS.TITLE, PRODUCTS.VARIETY).from(PRODUCTS)."
justmasyan_vkhomeworks,Implicit Columns,homework6/ProductRepository/src/main/java/dao/DaoProvider.java,20,20,.selectFrom(PROVIDERS),"Using selectFrom(PROVIDERS) fetches all columns from the PROVIDERS table, even though only 'title', 'TIN', and 'payment_account' are used. Explicitly select only the required columns using .select(PROVIDERS.TITLE, PROVIDERS.TIN, PROVIDERS.PAYMENT_ACCOUNT).from(PROVIDERS)."
justmasyan_vkhomeworks,Implicit Columns,homework6/ProductRepository/src/main/java/dao/DaoProvider.java,40,40,.selectFrom(PROVIDERS),"Using selectFrom(PROVIDERS) retrieves all columns from the PROVIDERS table when only three columns are needed. Replace with .select(PROVIDERS.TITLE, PROVIDERS.TIN, PROVIDERS.PAYMENT_ACCOUNT).from(PROVIDERS) to fetch only the required data."
justmasyan_vkhomeworks,Implicit Columns,homework7/httpserver/src/main/java/repositoryies/ProductRepository.java,19,19,.selectFrom(PRODUCTS),"Using selectFrom(PRODUCTS) fetches all columns from the PRODUCTS table, which can retrieve unnecessary data and impact performance. Consider explicitly selecting only the required columns: context.select(PRODUCTS.TITLE, PRODUCTS.COMPANY, PRODUCTS.AMOUNT).from(PRODUCTS)."
