Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
k55k32_learn-jooq,ID Required,section-1/src/main/java/com/diamondfsd/jooq/learn/codegen/tables/S1User.java,64,64,"public final TableField<S1UserRecord, Integer> ID = createField(DSL.name(""id""), org.jooq.impl.SQLDataType.INTEGER.nullable(false).identity(true), this, ""ID"");","The primary key column is named generically 'id' instead of a more descriptive name like 'user_id' or 's1_user_id'. Consider renaming the column to something more meaningful that identifies the entity it belongs to, which improves clarity when joining tables."
k55k32_learn-jooq,Implicit Columns,section-1/src/main/java/com/diamondfsd/jooq/learn/Main.java,28,28,Result<Record> recordResult = dslContext.select().from(S1User.S1_USER).fetch();,"Using `select()` without specifying columns fetches all columns from the S1_USER table, which can lead to unnecessary data transfer and maintenance issues. Explicitly list only the required columns, e.g., `dslContext.select(S1User.S1_USER.ID, S1User.S1_USER.USERNAME).from(S1User.S1_USER).fetch()`."
k55k32_learn-jooq,Implicit Columns,section-1/src/main/java/com/diamondfsd/jooq/learn/Main.java,48,48,List<S1UserRecord> fetchIntoClassResultList = dslContext.select().from(S1User.S1_USER).fetchInto(S1UserRecord.class);,"Using `select()` without specifying columns fetches all columns from the S1_USER table, which wastes bandwidth and couples the code to the table schema. Specify only the needed columns explicitly in the select clause."
k55k32_learn-jooq,Implicit Columns,section-1/src/main/java/com/diamondfsd/jooq/learn/Main.java,49,49,Result<S1UserRecord> fetchIntoTableResultList = dslContext.select().from(S1User.S1_USER).fetchInto(S1User.S1_USER);,"Using `select()` without specifying columns fetches all columns from the S1_USER table, which can cause performance issues and maintenance problems if the table schema changes. Explicitly list only the columns you need in the select clause."
k55k32_learn-jooq,Keyless Entry,section-10/src/main/java/com/diamondfsd/jooq/learn/jooq/tables/daos/S2UserMessageDao.java,80,88,TS2UserMessage.S2_USER_MESSAGE.USER_ID,"The 'user_id' column appears to reference the S1_USER table (based on the naming convention and the existence of KEY_S1_USER_PRIMARY), but no foreign key constraint is defined. Add a foreign key constraint referencing the S1_USER table's primary key to ensure referential integrity."
k55k32_learn-jooq,ID Required,section-10/src/main/java/com/diamondfsd/jooq/learn/jooq/tables/TS1User.java,64,64,"public final TableField<S1UserRecord, Integer> ID = createField(DSL.name(""id""), org.jooq.impl.SQLDataType.INTEGER.nullable(false).identity(true), this, ""ID"");","The primary key column is named generically 'id' instead of a more descriptive name like 's1_user_id'. Consider renaming the column to include the table name (e.g., 'user_id' or 's1_user_id') to make joins more readable and avoid ambiguity when joining multiple tables."
k55k32_learn-jooq,ID Required,section-10/src/main/java/com/diamondfsd/jooq/learn/jooq/tables/TS2UserMessage.java,64,64,"public final TableField<S2UserMessageRecord, Integer> ID = createField(DSL.name(""id""), org.jooq.impl.SQLDataType.INTEGER.nullable(false).identity(true), this, """");",The primary key column is generically named 'id' instead of a more descriptive name like 'user_message_id'. Consider renaming the column to include the table name or entity context to improve clarity when joining tables.
k55k32_learn-jooq,Keyless Entry,section-10/src/main/java/com/diamondfsd/jooq/learn/jooq/tables/TS2UserMessage.java,69,69,"public final TableField<S2UserMessageRecord, Integer> USER_ID = createField(DSL.name(""user_id""), org.jooq.impl.SQLDataType.INTEGER.nullable(false), this, """");","The 'user_id' column appears to reference the 's1_user' table but lacks a foreign key constraint, which could lead to orphaned records and data integrity issues. Add a foreign key constraint referencing the 's1_user' table's primary key (KEY_S1_USER_PRIMARY)."
k55k32_learn-jooq,ID Required,section-10/src/main/java/com/diamondfsd/jooq/learn/jooq/tables/TS4ColumenGt22.java,63,63,"public final TableField<S4ColumenGt22Record, Integer> ID = createField(DSL.name(""id""), org.jooq.impl.SQLDataType.INTEGER.nullable(false).identity(true), this, ""id"");",The primary key column is generically named 'id' which doesn't convey any meaning about the entity it identifies. Consider renaming it to something more descriptive like 's4_columen_gt22_id' or 'columen_gt22_id' to make the schema more self-documenting and avoid ambiguity in joins.
k55k32_learn-jooq,Beware of the Unknown,section-10/src/main/java/com/diamondfsd/jooq/learn/jooq/tables/TS4UnionKey.java,73,73,"public final TableField<S4UnionKeyRecord, Timestamp> CREATE_TIME = createField(DSL.name(""create_time""), org.jooq.impl.SQLDataType.TIMESTAMP.defaultValue(org.jooq.impl.DSL.field(""CURRENT_TIMESTAMP"", org.jooq.impl.SQLDataType.TIMESTAMP)), this, ""创建时间"");","The CREATE_TIME column has a default value but is marked as NULLABLE, which is inconsistent since a creation timestamp should never be NULL in practice. Consider adding .nullable(false) to the column definition to enforce this constraint."
k55k32_learn-jooq,Beware of the Unknown,section-10/src/main/java/com/diamondfsd/jooq/learn/jooq/tables/TS4UnionKey.java,78,78,"public final TableField<S4UnionKeyRecord, Timestamp> UPDATE_TIME = createField(DSL.name(""update_time""), org.jooq.impl.SQLDataType.TIMESTAMP.defaultValue(org.jooq.impl.DSL.field(""CURRENT_TIMESTAMP"", org.jooq.impl.SQLDataType.TIMESTAMP)), this, ""更新时间"");","The UPDATE_TIME column has a default value but is marked as NULLABLE, which is inconsistent since an update timestamp should never be NULL in practice. Consider adding .nullable(false) to the column definition to enforce this constraint."
k55k32_learn-jooq,ID Required,section-10/src/main/java/com/diamondfsd/jooq/learn/jooq/tables/TS9News.java,64,64,"public final TableField<S9NewsRecord, Integer> ID = createField(DSL.name(""id""), org.jooq.impl.SQLDataType.INTEGER.nullable(false).identity(true), this, ""ID"");",The primary key column is named generically 'id' instead of a more descriptive name like 'news_id'. Consider renaming the column to 's9_news_id' or 'news_id' to make it self-documenting and avoid ambiguity in joins.
k55k32_learn-jooq,ID Required,section-2/src/main/java/com/diamondfsd/jooq/learn/codegen/tables/TS1User.java,64,64,"public final TableField<S1UserRecord, Integer> ID = createField(DSL.name(""id""), org.jooq.impl.SQLDataType.INTEGER.nullable(false).identity(true), this, ""ID"");","The primary key column is named generically as 'id' rather than a more descriptive name like 'user_id' or 's1_user_id'. Consider renaming the column to something more meaningful that identifies the entity it belongs to, which improves clarity when joining tables."
k55k32_learn-jooq,ID Required,section-2/src/main/java/com/diamondfsd/jooq/learn/codegen/tables/TS2UserMessage.java,64,64,"public final TableField<S2UserMessageRecord, Integer> ID = createField(DSL.name(""id""), org.jooq.impl.SQLDataType.INTEGER.nullable(false).identity(true), this, """");","The primary key column is generically named 'id' instead of a more descriptive name like 's2_user_message_id'. Consider renaming the primary key to include the table name (e.g., 'user_message_id') to make joins more readable and avoid ambiguity when joining multiple tables."
