Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
kaeru61_chat_app,Implicit Columns,src/main/java/com/chatapp/internal/adapter/adapterImpl/ChatRoomDBAdapterImpl.java,51,51,ChatRoomsRecord record = dsl.selectFrom(CHAT_ROOMS),"Using selectFrom(CHAT_ROOMS) fetches all columns from the ChatRooms table, which may retrieve unnecessary data. Consider using an explicit select() with only the required columns, such as dsl.select(CHAT_ROOMS.ID, CHAT_ROOMS.NAME, ...).from(CHAT_ROOMS)."
kaeru61_chat_app,Implicit Columns,src/main/java/com/chatapp/internal/adapter/adapterImpl/ChatRoomDBAdapterImpl.java,59,59,dsl.selectFrom(CHAT_ROOMS),Using selectFrom(CHAT_ROOMS) fetches all columns from the ChatRooms table when listing chat rooms. Consider explicitly selecting only the columns needed for the ChatRoomModel mapping.
kaeru61_chat_app,Implicit Columns,src/main/java/com/chatapp/internal/adapter/adapterImpl/ChatRoomDBAdapterImpl.java,74,74,Boolean isMember = dsl.selectFrom(ChatRoomUsers.CHAT_ROOM_USERS),Using selectFrom fetches all columns when only checking for existence. Replace with dsl.fetchExists(dsl.selectOne().from(ChatRoomUsers.CHAT_ROOM_USERS).where(...)) for better performance.
kaeru61_chat_app,Implicit Columns,src/main/java/com/chatapp/internal/adapter/adapterImpl/MessageDBAdapterImpl.java,36,36,dsl.selectFrom(MESSAGES),"Using selectFrom(MESSAGES) fetches all columns from the Messages table, which may retrieve unnecessary data and reduce query performance. Consider using select() with only the specific columns needed, such as select(MESSAGES.ID, MESSAGES.MESSAGE, MESSAGES.USER_ID, MESSAGES.CHAT_ROOM_ID, MESSAGES.CREATED_AT)."
kaeru61_chat_app,Implicit Columns,src/main/java/com/chatapp/internal/adapter/adapterImpl/UserDBAdapterImpl.java,22,22,UsersRecord record = dsl.selectFrom(USERS),"Using `selectFrom(USERS)` fetches all columns from the Users table, even though only a subset may be needed. Consider using an explicit column selection like `dsl.select(USERS.ID, USERS.EMAIL, USERS.USERNAME, USERS.CREATED_AT).from(USERS)` to fetch only the required columns."
kaeru61_chat_app,Implicit Columns,src/main/java/com/chatapp/internal/adapter/adapterImpl/UserDBAdapterImpl.java,44,44,UsersRecord record = dsl.selectFrom(USERS),"Using `selectFrom(USERS)` fetches all columns from the Users table when only specific fields are used in `mapToUserModel`. Consider selecting only the columns you need: `dsl.select(USERS.ID, USERS.EMAIL, USERS.USERNAME, USERS.CREATED_AT).from(USERS)`."
kaeru61_chat_app,ID Required,src/main/java/com/chatapp/jooq/com/chatapp/jooq/tables/ChatRooms.java,61,61,"public final TableField<ChatRoomsRecord, Integer> ID = createField(DSL.name(""id""), SQLDataType.INTEGER.nullable(false).identity(true), this, """");",The primary key column is generically named 'id' instead of a more descriptive name like 'chat_room_id'. Consider renaming the column to 'chat_room_id' to make it self-documenting and avoid ambiguity when joining tables.
kaeru61_chat_app,Fear of the Unknown,src/main/java/com/chatapp/jooq/com/chatapp/jooq/tables/ChatRooms.java,71,71,"public final TableField<ChatRoomsRecord, LocalDateTime> CREATED_AT = createField(DSL.name(""created_at""), SQLDataType.LOCALDATETIME(6).defaultValue(DSL.field(DSL.raw(""CURRENT_TIMESTAMP""), SQLDataType.LOCALDATETIME)), this, """");","The 'created_at' column has a default value but is marked as NULLABLE, even though it should never be NULL in practice since it always gets a default timestamp. Add a NOT NULL constraint to this column to enforce data integrity."
kaeru61_chat_app,Fear of the Unknown,src/main/java/com/chatapp/jooq/com/chatapp/jooq/tables/ChatRooms.java,76,76,"public final TableField<ChatRoomsRecord, Boolean> IS_DELETED = createField(DSL.name(""is_deleted""), SQLDataType.BOOLEAN.defaultValue(DSL.field(DSL.raw(""false""), SQLDataType.BOOLEAN)), this, """");","The 'is_deleted' column has a default value of 'false' but is marked as NULLABLE, even though it should never be NULL in practice. Add a NOT NULL constraint to ensure the column always has a meaningful boolean value."
kaeru61_chat_app,Fear of the Unknown,src/main/java/com/chatapp/jooq/com/chatapp/jooq/tables/ChatRooms.java,81,81,"public final TableField<ChatRoomsRecord, Boolean> IS_PRIVATE = createField(DSL.name(""is_private""), SQLDataType.BOOLEAN.defaultValue(DSL.field(DSL.raw(""false""), SQLDataType.BOOLEAN)), this, """");","The 'is_private' column has a default value of 'false' but is marked as NULLABLE, even though it should never be NULL in practice. Add a NOT NULL constraint to ensure the column always has a meaningful boolean value."
