Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
kanki6315_racing-analysis,Implicit Columns,api/src/main/java/com/arjunakankipati/racingstatanalysis/repository/impl/BaseRepositoryImpl.java,32,32,Result<Record> result = dsl.select(),"Using `select()` without specifying columns fetches all columns from the table, which can retrieve unnecessary data and impact performance. Explicitly list only the required columns, e.g., `dsl.select(field1, field2, ...)`."
kanki6315_racing-analysis,Implicit Columns,api/src/main/java/com/arjunakankipati/racingstatanalysis/repository/impl/BaseRepositoryImpl.java,41,41,Record record = dsl.select(),"Using `select()` without specifying columns fetches all columns from the table, which retrieves unnecessary data even when only specific fields are needed. Explicitly specify the required columns, e.g., `dsl.select(field1, field2, ...)`"
kanki6315_racing-analysis,Implicit Columns,api/src/main/java/com/arjunakankipati/racingstatanalysis/repository/impl/CarDriverRepositoryImpl.java,77,77,return dsl.select(),"Using select() without specifying columns fetches all columns from the CAR_DRIVERS table, which can retrieve unnecessary data and impact performance. Explicitly list only the required columns, e.g., dsl.select(Tables.CAR_DRIVERS.ID, Tables.CAR_DRIVERS.CAR_ID, Tables.CAR_DRIVERS.DRIVER_ID, Tables.CAR_DRIVERS.DRIVER_NUMBER)."
kanki6315_racing-analysis,Implicit Columns,api/src/main/java/com/arjunakankipati/racingstatanalysis/repository/impl/CarDriverRepositoryImpl.java,86,86,Record record = dsl.select(),"Using select() without specifying columns fetches all columns from the CAR_DRIVERS table, which may include unnecessary data. Explicitly specify the columns needed, e.g., dsl.select(Tables.CAR_DRIVERS.ID, Tables.CAR_DRIVERS.CAR_ID, Tables.CAR_DRIVERS.DRIVER_ID, Tables.CAR_DRIVERS.DRIVER_NUMBER)."
kanki6315_racing-analysis,Implicit Columns,api/src/main/java/com/arjunakankipati/racingstatanalysis/repository/impl/CarDriverRepositoryImpl.java,98,98,Record record = dsl.select(),"Using select() without specifying columns fetches all columns from the CAR_DRIVERS table, potentially retrieving more data than needed. Explicitly list the required columns, e.g., dsl.select(Tables.CAR_DRIVERS.ID, Tables.CAR_DRIVERS.CAR_ID, Tables.CAR_DRIVERS.DRIVER_ID, Tables.CAR_DRIVERS.DRIVER_NUMBER)."
kanki6315_racing-analysis,Implicit Columns,api/src/main/java/com/arjunakankipati/racingstatanalysis/repository/impl/CarEntryRepositoryImpl.java,83,83,return dsl.select(),"Using select() without specifying columns fetches all columns from the CAR_ENTRIES table, which can retrieve unnecessary data and impact performance. Explicitly list only the required columns, e.g., dsl.select(Tables.CAR_ENTRIES.ID, Tables.CAR_ENTRIES.SESSION_ID, ...)."
kanki6315_racing-analysis,Implicit Columns,api/src/main/java/com/arjunakankipati/racingstatanalysis/repository/impl/CarEntryRepositoryImpl.java,93,93,return dsl.selectDistinct(Tables.CAR_ENTRIES.asterisk()),"Using asterisk() fetches all columns from the CAR_ENTRIES table, which retrieves unnecessary data and reduces query efficiency. Replace with explicit column selection, e.g., dsl.selectDistinct(Tables.CAR_ENTRIES.ID, Tables.CAR_ENTRIES.SESSION_ID, ...)."
kanki6315_racing-analysis,Implicit Columns,api/src/main/java/com/arjunakankipati/racingstatanalysis/repository/impl/CarEntryRepositoryImpl.java,104,104,Record record = dsl.select(),"Using select() without specifying columns fetches all columns from the table, potentially retrieving more data than needed. Explicitly specify the required columns in the select statement."
kanki6315_racing-analysis,Implicit Columns,api/src/main/java/com/arjunakankipati/racingstatanalysis/repository/impl/CarModelRepositoryImpl.java,74,74,Record record = dsl.select(),"Using `select()` without specifying columns fetches all columns from the CAR_MODELS table, which can retrieve unnecessary data and impact performance. Explicitly list only the required columns, e.g., `dsl.select(Tables.CAR_MODELS.ID, Tables.CAR_MODELS.NAME, Tables.CAR_MODELS.FULL_NAME, Tables.CAR_MODELS.YEAR_MODEL, Tables.CAR_MODELS.DESCRIPTION)`."
kanki6315_racing-analysis,Implicit Columns,api/src/main/java/com/arjunakankipati/racingstatanalysis/repository/impl/CircuitRepositoryImpl.java,85,85,Record record = dsl.select(),"Using select() without specifying columns fetches all columns from the CIRCUITS table, which can retrieve unnecessary data and impact performance. Explicitly list only the required columns, e.g., dsl.select(Tables.CIRCUITS.ID, Tables.CIRCUITS.NAME, ...)."
kanki6315_racing-analysis,Implicit Columns,api/src/main/java/com/arjunakankipati/racingstatanalysis/repository/impl/CircuitRepositoryImpl.java,96,96,return dsl.select(),"Using select() without specifying columns fetches all columns from the CIRCUITS table. Explicitly specify the columns needed for the Circuit entity, such as dsl.select(Tables.CIRCUITS.ID, Tables.CIRCUITS.NAME, Tables.CIRCUITS.LENGTH_METERS, Tables.CIRCUITS.COUNTRY, Tables.CIRCUITS.LOCATION, Tables.CIRCUITS.DESCRIPTION)."
kanki6315_racing-analysis,Poor Man's Search Engine,api/src/main/java/com/arjunakankipati/racingstatanalysis/repository/impl/CircuitRepositoryImpl.java,98,98,".where(Tables.CIRCUITS.NAME.likeIgnoreCase(""%"" + namePart + ""%""))",Using LIKE with wildcards on both sides for substring matching prevents index usage and performs poorly on large datasets. Consider using a full-text search solution like PostgreSQL's tsvector/tsquery or a dedicated search engine like Elasticsearch.
kanki6315_racing-analysis,Implicit Columns,api/src/main/java/com/arjunakankipati/racingstatanalysis/repository/impl/ClassRepositoryImpl.java,77,77,Record record = dsl.select(),"Using select() without specifying columns fetches all columns from the table, which can retrieve unnecessary data and impact performance. Explicitly list only the required columns: Tables.CLASSES.ID, Tables.CLASSES.SERIES_ID, Tables.CLASSES.NAME, Tables.CLASSES.DESCRIPTION."
kanki6315_racing-analysis,Implicit Columns,api/src/main/java/com/arjunakankipati/racingstatanalysis/repository/impl/ClassRepositoryImpl.java,88,88,return dsl.select(),"Using select() without specifying columns fetches all columns from the table, which wastes bandwidth and memory. Explicitly specify the needed columns: Tables.CLASSES.ID, Tables.CLASSES.SERIES_ID, Tables.CLASSES.NAME, Tables.CLASSES.DESCRIPTION."
kanki6315_racing-analysis,Implicit Columns,api/src/main/java/com/arjunakankipati/racingstatanalysis/repository/impl/ClassRepositoryImpl.java,97,97,Record record = dsl.select(),"Using select() without specifying columns retrieves all columns from the table unnecessarily. Explicitly list the required columns: Tables.CLASSES.ID, Tables.CLASSES.SERIES_ID, Tables.CLASSES.NAME, Tables.CLASSES.DESCRIPTION."
kanki6315_racing-analysis,Implicit Columns,api/src/main/java/com/arjunakankipati/racingstatanalysis/repository/impl/ClassRepositoryImpl.java,109,109,return dsl.selectDistinct(Tables.CLASSES.asterisk()),"Using asterisk() fetches all columns from the CLASSES table, which can retrieve unnecessary data. Explicitly specify only the columns needed: Tables.CLASSES.ID, Tables.CLASSES.SERIES_ID, Tables.CLASSES.NAME, Tables.CLASSES.DESCRIPTION."
kanki6315_racing-analysis,Implicit Columns,api/src/main/java/com/arjunakankipati/racingstatanalysis/repository/impl/DriverRepositoryImpl.java,90,90,Record record = dsl.select(),"Using select() without specifying columns fetches all columns from the DRIVERS table, which can retrieve unnecessary data and impact performance. Explicitly list only the required columns, e.g., dsl.select(Tables.DRIVERS.ID, Tables.DRIVERS.FIRST_NAME, ...)."
kanki6315_racing-analysis,Implicit Columns,api/src/main/java/com/arjunakankipati/racingstatanalysis/repository/impl/DriverRepositoryImpl.java,102,102,Record record = dsl.select(),"Using select() without specifying columns fetches all columns from the DRIVERS table, which retrieves unnecessary data. Explicitly specify the columns needed, e.g., dsl.select(Tables.DRIVERS.ID, Tables.DRIVERS.FIRST_NAME, ...)."
kanki6315_racing-analysis,Implicit Columns,api/src/main/java/com/arjunakankipati/racingstatanalysis/repository/impl/EventRepositoryImpl.java,93,93,return dsl.select(),"Using select() without specifying columns fetches all columns from the EVENTS table, which can retrieve unnecessary data and impact performance. Explicitly list only the required columns, e.g., dsl.select(Tables.EVENTS.ID, Tables.EVENTS.SERIES_ID, ...)."
kanki6315_racing-analysis,Implicit Columns,api/src/main/java/com/arjunakankipati/racingstatanalysis/repository/impl/EventRepositoryImpl.java,102,102,return dsl.select(),"Using select() without specifying columns fetches all columns from the EVENTS table, retrieving potentially unnecessary data. Explicitly specify the columns needed, e.g., dsl.select(Tables.EVENTS.ID, Tables.EVENTS.NAME, ...)."
kanki6315_racing-analysis,Implicit Columns,api/src/main/java/com/arjunakankipati/racingstatanalysis/repository/impl/EventRepositoryImpl.java,112,112,Record record = dsl.select(),Using select() without specifying columns fetches all columns from the EVENTS table. Explicitly list the required columns to improve query efficiency and clarity.
kanki6315_racing-analysis,Implicit Columns,api/src/main/java/com/arjunakankipati/racingstatanalysis/repository/impl/ImportJobRepositoryImpl.java,44,44,Record record = dsl.select(),"Using `select()` without specifying columns fetches all columns from the IMPORT_JOBS table, which can retrieve unnecessary data and impact performance. Explicitly list only the required columns, e.g., `dsl.select(Tables.IMPORT_JOBS.ID, Tables.IMPORT_JOBS.STATUS, ...)`."
kanki6315_racing-analysis,Implicit Columns,api/src/main/java/com/arjunakankipati/racingstatanalysis/repository/impl/ImportJobRepositoryImpl.java,118,118,return dsl.selectFrom(Tables.IMPORT_JOBS),"Using `selectFrom()` fetches all columns from the IMPORT_JOBS table, which may include columns not needed by the application. Explicitly specify only the required columns using `select(...).from(Tables.IMPORT_JOBS)`."
kanki6315_racing-analysis,Implicit Columns,api/src/main/java/com/arjunakankipati/racingstatanalysis/repository/impl/LapRepositoryImpl.java,102,102,var query = dsl.select(),"Using `select()` without specifying columns fetches all columns from all joined tables, which is inefficient and retrieves unnecessary data. Specify only the required columns from the LAPS table, e.g., `dsl.select(Tables.LAPS.fields())`."
kanki6315_racing-analysis,Implicit Columns,api/src/main/java/com/arjunakankipati/racingstatanalysis/repository/impl/LapRepositoryImpl.java,290,290,SelectJoinStep<?> baseQuery = dsl.select(),"Using `select()` without specifying columns fetches all columns from all joined tables. Since this query is defined but the variable `baseQuery` appears unused, either remove it or specify only the needed columns if it's intended to be used."
kanki6315_racing-analysis,Implicit Columns,api/src/main/java/com/arjunakankipati/racingstatanalysis/repository/impl/ResultRepositoryImpl.java,107,107,Record record = dsl.select(),"Using `select()` without specifying columns fetches all columns from the table, which can retrieve unnecessary data and hurt performance. Explicitly list the required columns, e.g., `dsl.select(RESULTS.ID, RESULTS.SESSION_ID, ...)`."
kanki6315_racing-analysis,Implicit Columns,api/src/main/java/com/arjunakankipati/racingstatanalysis/repository/impl/ResultRepositoryImpl.java,116,116,return dsl.select(),"Using `select()` without specifying columns fetches all columns from the table, which wastes bandwidth and memory if not all columns are needed. Explicitly specify the columns to select, e.g., `dsl.select(RESULTS.ID, RESULTS.SESSION_ID, ...)`."
kanki6315_racing-analysis,Implicit Columns,api/src/main/java/com/arjunakankipati/racingstatanalysis/repository/impl/SectorRepositoryImpl.java,87,87,return dsl.select(),"Using select() without specifying columns fetches all columns from the SECTORS table, which can retrieve unnecessary data and impact performance. Replace with explicit column selection like dsl.select(Tables.SECTORS.ID, Tables.SECTORS.LAP_ID, ...) to fetch only the required fields."
kanki6315_racing-analysis,Implicit Columns,api/src/main/java/com/arjunakankipati/racingstatanalysis/repository/impl/SectorRepositoryImpl.java,96,96,Record record = dsl.select(),"Using select() without specifying columns fetches all columns from the SECTORS table. Specify only the columns needed for the Sector entity, e.g., dsl.select(Tables.SECTORS.ID, Tables.SECTORS.LAP_ID, Tables.SECTORS.SECTOR_NUMBER, ...)."
kanki6315_racing-analysis,Implicit Columns,api/src/main/java/com/arjunakankipati/racingstatanalysis/repository/impl/SectorRepositoryImpl.java,108,108,return dsl.select(),"Using select() without specifying columns retrieves all columns from the table, potentially fetching unnecessary data. Explicitly list the required columns to improve query efficiency."
kanki6315_racing-analysis,Implicit Columns,api/src/main/java/com/arjunakankipati/racingstatanalysis/repository/impl/SectorRepositoryImpl.java,118,118,return dsl.select(),Using select() without specifying columns fetches all columns from the SECTORS table. Specify the exact columns needed for mapping to the Sector entity to avoid unnecessary data transfer.
kanki6315_racing-analysis,Implicit Columns,api/src/main/java/com/arjunakankipati/racingstatanalysis/repository/impl/SectorRepositoryImpl.java,128,128,return dsl.select(),Using select() without specifying columns retrieves all columns from the table. Replace with explicit column selection to fetch only the data required for the Sector entity.
kanki6315_racing-analysis,Implicit Columns,api/src/main/java/com/arjunakankipati/racingstatanalysis/repository/impl/SeriesRepositoryImpl.java,34,34,Record record = dsl.select(),"Using select() without specifying columns fetches all columns from the table, which can retrieve unnecessary data and impact performance. Specify only the required columns explicitly, e.g., dsl.select(Tables.SERIES.ID, Tables.SERIES.NAME, Tables.SERIES.DESCRIPTION)."
kanki6315_racing-analysis,Implicit Columns,api/src/main/java/com/arjunakankipati/racingstatanalysis/repository/impl/SessionRepositoryImpl.java,84,84,return dsl.select(),"Using `select()` without specifying columns fetches all columns from the SESSIONS table, which can retrieve unnecessary data and impact performance. Specify only the required columns explicitly, e.g., `dsl.select(Tables.SESSIONS.ID, Tables.SESSIONS.EVENT_ID, Tables.SESSIONS.NAME, ...)`."
kanki6315_racing-analysis,Implicit Columns,api/src/main/java/com/arjunakankipati/racingstatanalysis/repository/impl/SessionRepositoryImpl.java,64,64,.returning(),"Using `returning()` without specifying columns returns all columns from the inserted row, which may include unnecessary data. Specify only the needed columns, e.g., `.returning(Tables.SESSIONS.ID, Tables.SESSIONS.EVENT_ID, ...)`."
kanki6315_racing-analysis,Implicit Columns,api/src/main/java/com/arjunakankipati/racingstatanalysis/repository/impl/TeamRepositoryImpl.java,78,78,Record record = dsl.select(),"Using select() without specifying columns fetches all columns from the TEAMS table, which retrieves unnecessary data and reduces query efficiency. Explicitly list only the required columns, e.g., dsl.select(Tables.TEAMS.ID, Tables.TEAMS.NAME, Tables.TEAMS.DESCRIPTION)."
kanki6315_racing-analysis,Implicit Columns,api/src/main/java/com/arjunakankipati/racingstatanalysis/repository/impl/TeamRepositoryImpl.java,94,94,Result<Record> records = dsl.select(),"Using select() without specifying columns fetches all columns from all joined tables (TEAMS, CAR_ENTRIES, SESSIONS, CAR_MODELS, CAR_DRIVERS, DRIVERS), retrieving much more data than needed. Explicitly select only the columns used in the processing loop, such as Tables.TEAMS.ID, Tables.TEAMS.NAME, Tables.CAR_ENTRIES.ID, etc."
kanki6315_racing-analysis,ID Required,api/src/main/java/jooq/com/arjunakankipati/racingstatanalysis/jooq/tables/CarDrivers.java,66,66,"public final TableField<CarDriversRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");",The primary key is named just 'id' which is a generic name that doesn't convey meaning about the entity. Consider renaming it to 'car_driver_id' to make it more descriptive and avoid ambiguity in joins.
kanki6315_racing-analysis,ID Required,api/src/main/java/jooq/com/arjunakankipati/racingstatanalysis/jooq/tables/CarEntries.java,53,53,"public final TableField<CarEntriesRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");","The table uses a generic 'id' column as the primary key, but there's already a unique constraint on (session_id, number) which could serve as a natural composite primary key. Consider using the existing unique constraint as the primary key or renaming the column to 'car_entry_id' for better clarity."
kanki6315_racing-analysis,ID Required,api/src/main/java/jooq/com/arjunakankipati/racingstatanalysis/jooq/tables/CarModels.java,44,44,"public final TableField<CarModelsRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");",The primary key column is generically named 'id' instead of a more descriptive name like 'car_model_id'. Consider renaming the primary key to 'car_model_id' to make it self-documenting and easier to identify in queries and foreign key relationships.
kanki6315_racing-analysis,ID Required,api/src/main/java/jooq/com/arjunakankipati/racingstatanalysis/jooq/tables/Circuits.java,45,45,"public final TableField<CircuitsRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");",The primary key column is generically named 'id' instead of a more descriptive name like 'circuit_id'. Consider renaming the column to 'circuit_id' to make it self-documenting and avoid ambiguity when joining tables.
kanki6315_racing-analysis,ID Required,api/src/main/java/jooq/com/arjunakankipati/racingstatanalysis/jooq/tables/Classes.java,66,66,"public final TableField<ClassesRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");",The primary key column is generically named 'id' instead of a more descriptive name like 'class_id'. Consider renaming the column to 'class_id' to make it self-documenting and avoid ambiguity in joins.
kanki6315_racing-analysis,ID Required,api/src/main/java/jooq/com/arjunakankipati/racingstatanalysis/jooq/tables/Drivers.java,45,45,"public final TableField<DriversRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");",The primary key column is generically named 'id' instead of a more descriptive name like 'driver_id'. Consider renaming the primary key to 'driver_id' to make it self-documenting and easier to understand in queries and foreign key references.
kanki6315_racing-analysis,ID Required,api/src/main/java/jooq/com/arjunakankipati/racingstatanalysis/jooq/tables/Events.java,50,50,"public final TableField<EventsRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");",The primary key column is generically named 'id' instead of a more descriptive name like 'event_id'. Consider renaming the primary key to 'event_id' to make it self-documenting and easier to identify in queries and joins.
kanki6315_racing-analysis,ID Required,api/src/main/java/jooq/com/arjunakankipati/racingstatanalysis/jooq/tables/ImportJobs.java,48,48,"public final TableField<ImportJobsRecord, Integer> ID = createField(DSL.name(""id""), SQLDataType.INTEGER.nullable(false).identity(true), this, """");",The primary key column is named generically 'id' instead of a more descriptive name like 'import_job_id'. Consider renaming the column to 'import_job_id' to make foreign key references more self-documenting and to avoid ambiguity in queries with multiple joined tables.
kanki6315_racing-analysis,ID Required,api/src/main/java/jooq/com/arjunakankipati/racingstatanalysis/jooq/tables/Laps.java,50,50,"public final TableField<LapsRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");",The primary key column is generically named 'id' instead of a more descriptive name like 'lap_id'. Consider renaming the column to 'lap_id' to make it self-documenting and avoid ambiguity in joins.
kanki6315_racing-analysis,ID Required,api/src/main/java/jooq/com/arjunakankipati/racingstatanalysis/jooq/tables/Results.java,49,49,"public final TableField<ResultsRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");",The primary key column is generically named 'id' instead of a more descriptive name like 'result_id'. Consider renaming the column to 'result_id' to make it self-documenting and avoid ambiguity in queries with joins.
kanki6315_racing-analysis,ID Required,api/src/main/java/jooq/com/arjunakankipati/racingstatanalysis/jooq/tables/Sectors.java,48,48,"public final TableField<SectorsRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");",The primary key is named generically 'id' instead of a more descriptive name like 'sector_id'. Consider renaming the primary key to 'sector_id' to make it more meaningful and to avoid ambiguity when joining tables.
kanki6315_racing-analysis,ID Required,api/src/main/java/jooq/com/arjunakankipati/racingstatanalysis/jooq/tables/Series.java,62,62,"public final TableField<SeriesRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");",The primary key column is generically named 'id' instead of a more descriptive name like 'series_id'. Consider renaming the column to 'series_id' to make it self-documenting and avoid ambiguity in joins.
kanki6315_racing-analysis,ID Required,api/src/main/java/jooq/com/arjunakankipati/racingstatanalysis/jooq/tables/Sessions.java,51,51,"public final TableField<SessionsRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");",The primary key column is named just 'id' which is a generic name that doesn't convey any meaning about the table it belongs to. Consider renaming it to 'session_id' to make it more descriptive and self-documenting when used in queries and foreign key references.
kanki6315_racing-analysis,ID Required,api/src/main/java/jooq/com/arjunakankipati/racingstatanalysis/jooq/tables/Teams.java,61,61,"public final TableField<TeamsRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");",The primary key column is generically named 'id' instead of a more descriptive name like 'team_id'. Consider renaming the primary key to 'team_id' to make it self-documenting and easier to identify in queries and joins.
