Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
keeleinstituut_ekilex,Implicit Columns,ekilex-app/src/main/java/eki/ekilex/cli/runner/DatasetExporterRunner.java,63,63,"private static final String SQL_SELECT_DATASET = ""select * from "" + DATASET + "" where code = :datasetCode"";","Using SELECT * fetches all columns from the DATASET table, which can retrieve unnecessary data and break if the table schema changes. Replace with an explicit column list specifying only the columns needed for the export."
keeleinstituut_ekilex,Implicit Columns,ekilex-app/src/main/java/eki/ekilex/cli/runner/MaintenanceRunner.java,38,38,List<WordRecord> wordRecords = maintenanceDbService.getWordRecords();,"Fetching all columns into WordRecord objects retrieves every column from the word table, even though only 'value' and 'valueAsWord' fields are used. Consider creating a projection that selects only the required columns (id, value, valueAsWord) to reduce memory usage and improve query performance."
keeleinstituut_ekilex,ID Required,ekilex-app/src/main/java/eki/ekilex/data/db/arch/tables/ActivityLogBulk.java,55,55,"public final TableField<ActivityLogBulkRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");",The primary key column is generically named 'id' which doesn't convey any meaning about the table it belongs to. Consider renaming it to 'activity_log_bulk_id' to make it self-documenting and avoid ambiguity in joins.
keeleinstituut_ekilex,ID Required,ekilex-app/src/main/java/eki/ekilex/data/db/main/tables/ActivityLog.java,56,56,"public final TableField<ActivityLogRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");","The primary key column is named just 'id', which is a generic name that doesn't convey any meaning about the table it belongs to. Consider renaming it to 'activity_log_id' to make it more descriptive and avoid ambiguity in JOIN queries."
keeleinstituut_ekilex,ID Required,ekilex-app/src/main/java/eki/ekilex/data/db/main/tables/ApiErrorCount.java,54,54,"public final TableField<ApiErrorCountRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");","The table has a synthetic auto-generated primary key named 'id' even though a natural unique constraint exists on (AUTH_NAME, GENERIC_PATH, MESSAGE) which could serve as the primary key. Consider using the composite natural key as the primary key instead of the surrogate 'id' column."
keeleinstituut_ekilex,ID Required,ekilex-app/src/main/java/eki/ekilex/data/db/main/tables/ApiRequestCount.java,54,54,"public final TableField<ApiRequestCountRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");","The table has a synthetic auto-generated primary key named 'id' even though a natural unique constraint exists on (auth_name, generic_path) which could serve as the primary key. Consider using the composite key (auth_name, generic_path) as the primary key instead of the surrogate 'id' column."
keeleinstituut_ekilex,ID Required,ekilex-app/src/main/java/eki/ekilex/data/db/main/tables/Collocation.java,55,55,"public final TableField<CollocationRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");","The primary key column is named just 'id', which is a generic name that doesn't convey any meaning about the table it belongs to. Consider renaming it to 'collocation_id' to make it more descriptive and avoid ambiguity in queries with joins."
keeleinstituut_ekilex,ID Required,ekilex-app/src/main/java/eki/ekilex/data/db/main/tables/CollocationMember.java,55,55,"public final TableField<CollocationMemberRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");","The primary key column is named just 'id', which is a generic name that doesn't convey any meaning about the table it belongs to. Consider renaming it to 'collocation_member_id' to make it more descriptive and avoid ambiguity in queries with joins."
keeleinstituut_ekilex,ID Required,ekilex-app/src/main/java/eki/ekilex/data/db/main/tables/DataRequest.java,55,55,"public final TableField<DataRequestRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");",The primary key column is named just 'id' which is a generic name that doesn't convey any meaning about the table it belongs to. Consider renaming it to 'data_request_id' to make it more descriptive and avoid ambiguity in queries with joins.
keeleinstituut_ekilex,Fear of the Unknown,ekilex-app/src/main/java/eki/ekilex/data/db/main/tables/Dataset.java,74,74,"public final TableField<DatasetRecord, Boolean> IS_VISIBLE = createField(DSL.name(""is_visible""), SQLDataType.BOOLEAN.defaultValue(DSL.field(""true"", SQLDataType.BOOLEAN)), this, """");","The column 'is_visible' has a default value but is marked as NULLABLE, which can lead to ambiguity between NULL and the default value 'true'. Consider adding .nullable(false) to explicitly require a value or document why NULL is a valid state distinct from the default."
keeleinstituut_ekilex,Fear of the Unknown,ekilex-app/src/main/java/eki/ekilex/data/db/main/tables/Dataset.java,79,79,"public final TableField<DatasetRecord, Boolean> IS_PUBLIC = createField(DSL.name(""is_public""), SQLDataType.BOOLEAN.defaultValue(DSL.field(""true"", SQLDataType.BOOLEAN)), this, """");","The column 'is_public' has a default value but is marked as NULLABLE, which can lead to ambiguity between NULL and the default value 'true'. Consider adding .nullable(false) to explicitly require a value or document why NULL is a valid state distinct from the default."
keeleinstituut_ekilex,Fear of the Unknown,ekilex-app/src/main/java/eki/ekilex/data/db/main/tables/Dataset.java,89,89,"public final TableField<DatasetRecord, Boolean> IS_SUPERIOR = createField(DSL.name(""is_superior""), SQLDataType.BOOLEAN.defaultValue(DSL.field(""false"", SQLDataType.BOOLEAN)), this, """");","The column 'is_superior' has a default value but is marked as NULLABLE, which can lead to ambiguity between NULL and the default value 'false'. Consider adding .nullable(false) to explicitly require a value or document why NULL is a valid state distinct from the default."
keeleinstituut_ekilex,ID Required,ekilex-app/src/main/java/eki/ekilex/data/db/main/tables/DatasetFreeformType.java,54,54,"public final TableField<DatasetFreeformTypeRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");","The table uses a generic 'id' column as primary key while a natural unique constraint already exists on (dataset_code, freeform_owner, freeform_type_code). Consider using this composite natural key as the primary key, or rename the synthetic key to something more descriptive like 'dataset_freeform_type_id'."
keeleinstituut_ekilex,ID Required,ekilex-app/src/main/java/eki/ekilex/data/db/main/tables/DatasetPermission.java,54,54,"public final TableField<DatasetPermissionRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");","The table uses a generic 'id' column as primary key while a natural unique constraint already exists on (dataset_code, user_id, auth_operation, auth_item, auth_lang). Consider using this composite key as the primary key, or rename the 'id' column to something more descriptive like 'dataset_permission_id'."
keeleinstituut_ekilex,ID Required,ekilex-app/src/main/java/eki/ekilex/data/db/main/tables/Definition.java,54,54,"public final TableField<DefinitionRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");","The primary key column is named just 'id', which is a generic name that doesn't convey any meaning about the table it belongs to. Consider renaming it to 'definition_id' to make it more descriptive and avoid ambiguity in queries with joins."
keeleinstituut_ekilex,Fear of the Unknown,ekilex-app/src/main/java/eki/ekilex/data/db/main/tables/Definition.java,89,89,"public final TableField<DefinitionRecord, Boolean> IS_PUBLIC = createField(DSL.name(""is_public""), SQLDataType.BOOLEAN.defaultValue(DSL.field(""true"", SQLDataType.BOOLEAN)), this, """");","The IS_PUBLIC column has a default value of 'true' but is marked as NULLABLE (no .nullable(false) specified). Since it has a default value, it will never be NULL in practice, so it should be explicitly marked as NOT NULL to prevent accidental NULL values and improve data integrity."
keeleinstituut_ekilex,ID Required,ekilex-app/src/main/java/eki/ekilex/data/db/main/tables/DefinitionFreeform.java,54,54,"public final TableField<DefinitionFreeformRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");","The table uses a generic 'id' column as primary key while a natural unique constraint on (definition_id, freeform_id) already exists and would serve as a suitable composite primary key. Consider using the existing unique constraint DEFINITION_FREEFORM_DEFINITION_ID_FREEFORM_ID_KEY as the primary key instead."
keeleinstituut_ekilex,ID Required,ekilex-app/src/main/java/eki/ekilex/data/db/main/tables/DefinitionNote.java,55,55,"public final TableField<DefinitionNoteRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");","The primary key column is named just 'id', which is a generic name that doesn't convey any meaning about the table it belongs to. Consider renaming it to 'definition_note_id' to make it more descriptive and avoid ambiguity in queries with joins."
keeleinstituut_ekilex,ID Required,ekilex-app/src/main/java/eki/ekilex/data/db/main/tables/DefinitionNoteSourceLink.java,54,54,"public final TableField<DefinitionNoteSourceLinkRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");","The primary key column is named just 'id', which is a generic name that doesn't convey any meaning about the table it belongs to. Consider renaming it to 'definition_note_source_link_id' to make it more descriptive and avoid ambiguity in queries with joins."
keeleinstituut_ekilex,ID Required,ekilex-app/src/main/java/eki/ekilex/data/db/main/tables/DefinitionSourceLink.java,54,54,"public final TableField<DefinitionSourceLinkRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");","The primary key column is named just 'id', which is a generic name that doesn't convey any meaning about the table it belongs to. Consider renaming it to 'definition_source_link_id' to make it more descriptive and avoid ambiguity in queries with joins."
keeleinstituut_ekilex,ID Required,ekilex-app/src/main/java/eki/ekilex/data/db/main/tables/Domain.java,79,79,"public final TableField<DomainRecord, Long> ORDER_BY = createField(DSL.name(""order_by""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");","The table has a synthetic auto-increment column 'order_by' used as an identity, while a natural composite primary key already exists on (code, origin) as shown by DOMAIN_PKEY. Consider removing the synthetic identity column and using the natural composite key, or if ordering is needed, make 'order_by' a regular non-identity column."
keeleinstituut_ekilex,ID Required,ekilex-app/src/main/java/eki/ekilex/data/db/main/tables/EkiUser.java,55,55,"public final TableField<EkiUserRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");","The primary key is named just 'id' which is a generic name that doesn't convey meaning about the table it belongs to. Additionally, the table has a unique constraint on EMAIL (EKI_USER_EMAIL_KEY) which could serve as a natural primary key since email addresses are inherently unique and immutable for user identification. Consider renaming to 'eki_user_id' or using 'email' as the primary key."
keeleinstituut_ekilex,ID Required,ekilex-app/src/main/java/eki/ekilex/data/db/main/tables/EkiUserApplication.java,55,55,"public final TableField<EkiUserApplicationRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");","The primary key column is named just 'id', which is a generic name that doesn't convey any meaning about the table it belongs to. Consider renaming it to 'eki_user_application_id' or similar to make it more descriptive and avoid ambiguity in joins."
keeleinstituut_ekilex,ID Required,ekilex-app/src/main/java/eki/ekilex/data/db/main/tables/EkiUserProfile.java,54,54,"public final TableField<EkiUserProfileRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");","The primary key column is named just 'id', which is a generic name that doesn't convey any meaning about the table it belongs to. Consider renaming it to 'eki_user_profile_id' or 'user_profile_id' to make it more descriptive and avoid ambiguity in queries with joins."
keeleinstituut_ekilex,ID Required,ekilex-app/src/main/java/eki/ekilex/data/db/main/tables/FeedbackLog.java,55,55,"public final TableField<FeedbackLogRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");","The primary key column is named just 'id', which is a generic name that doesn't convey any meaning about the table it belongs to. Consider renaming it to 'feedback_log_id' to make it more descriptive and avoid ambiguity in JOIN queries."
keeleinstituut_ekilex,ID Required,ekilex-app/src/main/java/eki/ekilex/data/db/main/tables/FeedbackLogAttr.java,54,54,"public final TableField<FeedbackLogAttrRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");",The primary key column is named just 'id' which is a generic name that doesn't convey meaning about the table's domain. Consider renaming it to 'feedback_log_attr_id' to make it more descriptive and avoid ambiguity in queries with joins.
keeleinstituut_ekilex,ID Required,ekilex-app/src/main/java/eki/ekilex/data/db/main/tables/FeedbackLogComment.java,55,55,"public final TableField<FeedbackLogCommentRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");","The primary key column is named just 'id', which is a generic name that doesn't convey any meaning about the table it belongs to. Consider renaming it to 'feedback_log_comment_id' to make it more descriptive and avoid ambiguity in queries with joins."
keeleinstituut_ekilex,ID Required,ekilex-app/src/main/java/eki/ekilex/data/db/main/tables/Form.java,54,54,"public final TableField<FormRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");","The primary key column is named just 'id', which is a generic name that doesn't convey any meaning about the table it belongs to. Consider renaming it to 'form_id' to make it more descriptive and avoid ambiguity in queries with joins."
keeleinstituut_ekilex,ID Required,ekilex-app/src/main/java/eki/ekilex/data/db/main/tables/FormFreq.java,55,55,"public final TableField<FormFreqRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");","The table has a synthetic primary key named 'id' even though a natural unique constraint exists on (freq_corp_id, form_id) which could serve as the primary key. Consider using the composite key (freq_corp_id, form_id) as the primary key instead of the synthetic 'id' column."
keeleinstituut_ekilex,ID Required,ekilex-app/src/main/java/eki/ekilex/data/db/main/tables/Freeform.java,55,55,"public final TableField<FreeformRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");","The primary key column is named just 'id', which is a generic name that doesn't convey any meaning about the table it belongs to. Consider renaming it to 'freeform_id' to make it more descriptive and to avoid ambiguity in queries with joins."
keeleinstituut_ekilex,ID Required,ekilex-app/src/main/java/eki/ekilex/data/db/main/tables/FreeformSourceLink.java,54,54,"public final TableField<FreeformSourceLinkRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");","The primary key column is named just 'id', which is a generic name that doesn't convey any meaning about the table it belongs to. Consider renaming it to 'freeform_source_link_id' to make it more descriptive and avoid ambiguity in queries with joins."
keeleinstituut_ekilex,ID Required,ekilex-app/src/main/java/eki/ekilex/data/db/main/tables/FreqCorp.java,55,55,"public final TableField<FreqCorpRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");","The table uses a synthetic auto-generated 'id' column as the primary key, but there is already a unique constraint on the 'name' column (FREQ_CORP_NAME_KEY) which could serve as a natural primary key. Consider using 'name' as the primary key instead of the generic 'id' column."
keeleinstituut_ekilex,ID Required,ekilex-app/src/main/java/eki/ekilex/data/db/main/tables/GameNonword.java,54,54,"public final TableField<GameNonwordRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");","The table has a synthetic auto-generated primary key named 'id' even though a natural unique constraint exists on (word, lang) via GAME_NONWORD_WORD_LANG_KEY. Consider using the composite (word, lang) as the primary key instead, as these columns naturally identify a game nonword entry."
keeleinstituut_ekilex,ID Required,ekilex-app/src/main/java/eki/ekilex/data/db/main/tables/Government.java,55,55,"public final TableField<GovernmentRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");","The primary key column is named just 'id', which is a generic name that doesn't convey any meaning about the table it belongs to. Consider renaming it to 'government_id' to make it more descriptive and avoid ambiguity in queries with joins."
keeleinstituut_ekilex,ID Required,ekilex-app/src/main/java/eki/ekilex/data/db/main/tables/GovernmentType.java,64,64,"public final TableField<GovernmentTypeRecord, Long> ORDER_BY = createField(DSL.name(""order_by""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");","The table has a synthetic auto-increment primary key column (ORDER_BY with identity) while the CODE column already has a unique constraint (GOVERNMENT_TYPE_PKEY) that would serve as a natural primary key. The CODE column is a stable, immutable identifier suitable as a primary key. Consider using CODE as the primary key instead of maintaining a separate synthetic key."
keeleinstituut_ekilex,ID Required,ekilex-app/src/main/java/eki/ekilex/data/db/main/tables/Grammar.java,55,55,"public final TableField<GrammarRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");","The primary key column is named just 'id', which is a generic name that doesn't convey any meaning about the table it belongs to. Consider renaming it to 'grammar_id' to make it more descriptive and avoid ambiguity in queries with joins."
keeleinstituut_ekilex,ID Required,ekilex-app/src/main/java/eki/ekilex/data/db/main/tables/LearnerComment.java,55,55,"public final TableField<LearnerCommentRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");","The primary key column is named just 'id', which is a generic name that doesn't convey any meaning about the table it belongs to. Consider renaming it to 'learner_comment_id' to make it more descriptive and avoid ambiguity in JOIN queries."
keeleinstituut_ekilex,ID Required,ekilex-app/src/main/java/eki/ekilex/data/db/main/tables/LexColloc.java,55,55,"public final TableField<LexCollocRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");","The table uses a generic 'id' column as the primary key while a natural unique constraint exists on (lexeme_id, collocation_id) that could serve as a composite primary key. Consider renaming the primary key to 'lex_colloc_id' or using the existing unique constraint as the primary key."
keeleinstituut_ekilex,ID Required,ekilex-app/src/main/java/eki/ekilex/data/db/main/tables/LexCollocPosGroup.java,54,54,"public final TableField<LexCollocPosGroupRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");","The primary key column is named just 'id' which is a generic, non-descriptive name that doesn't convey the table context. Consider renaming it to 'lex_colloc_pos_group_id' to make it more meaningful and to avoid ambiguity in queries with joins."
keeleinstituut_ekilex,ID Required,ekilex-app/src/main/java/eki/ekilex/data/db/main/tables/LexCollocRelGroup.java,55,55,"public final TableField<LexCollocRelGroupRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");","The primary key column is named just 'id', which is a generic name that doesn't convey any meaning about the table it belongs to. Consider renaming it to something more descriptive like 'lex_colloc_rel_group_id' to make it self-documenting and avoid ambiguity in joins."
keeleinstituut_ekilex,ID Required,ekilex-app/src/main/java/eki/ekilex/data/db/main/tables/Lexeme.java,55,55,"public final TableField<LexemeRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");","The primary key column is named just 'id', which is a generic name that doesn't convey any meaning about the table it belongs to. Consider renaming it to 'lexeme_id' to make it more descriptive and avoid ambiguity in JOIN queries."
keeleinstituut_ekilex,Fear of the Unknown,ekilex-app/src/main/java/eki/ekilex/data/db/main/tables/Lexeme.java,95,95,"public final TableField<LexemeRecord, BigDecimal> WEIGHT = createField(DSL.name(""weight""), SQLDataType.NUMERIC(5, 4).defaultValue(DSL.field(""1"", SQLDataType.NUMERIC)), this, """");","The WEIGHT column has a default value but is marked as NULLABLE, which can lead to confusion about whether NULL represents a missing value or has a different meaning from the default. Consider making the column NOT NULL since it has a meaningful default value of 1."
keeleinstituut_ekilex,ID Required,ekilex-app/src/main/java/eki/ekilex/data/db/main/tables/LexemeActivityLog.java,54,54,"public final TableField<LexemeActivityLogRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");","The table uses a generic 'id' column as primary key while a natural unique constraint already exists on (lexeme_id, activity_log_id) which could serve as a composite primary key. Consider using the composite key LEXEME_ACTIVITY_LOG_LEXEME_ID_ACTIVITY_LOG_ID_KEY as the primary key instead of the synthetic 'id' column."
keeleinstituut_ekilex,ID Required,ekilex-app/src/main/java/eki/ekilex/data/db/main/tables/LexemeDeriv.java,54,54,"public final TableField<LexemeDerivRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");","The table uses a generic 'id' column as the primary key, but there's already a natural unique constraint on (lexeme_id, deriv_code) that could serve as the primary key. Consider using the composite key (lexeme_id, deriv_code) as the primary key instead of the synthetic 'id' column."
keeleinstituut_ekilex,ID Required,ekilex-app/src/main/java/eki/ekilex/data/db/main/tables/LexemeFreeform.java,54,54,"public final TableField<LexemeFreeformRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");","The table uses a generic 'id' column as the primary key, but there's already a unique constraint on (lexeme_id, freeform_id) which could serve as a natural composite primary key. Consider using the combination of LEXEME_ID and FREEFORM_ID as the primary key instead of the synthetic 'id' column."
keeleinstituut_ekilex,ID Required,ekilex-app/src/main/java/eki/ekilex/data/db/main/tables/LexemeNote.java,55,55,"public final TableField<LexemeNoteRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");","The primary key column is named just 'id', which is a generic name that doesn't convey any meaning about the table it belongs to. Consider renaming it to 'lexeme_note_id' to make it more descriptive and avoid ambiguity in queries with joins."
keeleinstituut_ekilex,ID Required,ekilex-app/src/main/java/eki/ekilex/data/db/main/tables/LexemeNoteSourceLink.java,54,54,"public final TableField<LexemeNoteSourceLinkRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");","The primary key column is named just 'id', which is a generic name that doesn't convey any meaning about the table it belongs to. Consider renaming it to 'lexeme_note_source_link_id' to make it more descriptive and avoid ambiguity in queries with joins."
keeleinstituut_ekilex,ID Required,ekilex-app/src/main/java/eki/ekilex/data/db/main/tables/LexemePos.java,54,54,"public final TableField<LexemePosRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");","The table uses a generic 'id' column as primary key while a natural unique constraint on (lexeme_id, pos_code) already exists (LEXEME_POS_LEXEME_ID_POS_CODE_KEY). Consider using the composite key (lexeme_id, pos_code) as the primary key instead, which better represents the business domain."
keeleinstituut_ekilex,ID Required,ekilex-app/src/main/java/eki/ekilex/data/db/main/tables/LexemeRegion.java,54,54,"public final TableField<LexemeRegionRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");","The table uses a synthetic auto-generated primary key named 'id' even though a natural unique constraint exists on (lexeme_id, region_code) which could serve as the primary key. Consider using the composite key (lexeme_id, region_code) as the primary key instead of the synthetic 'id' column."
keeleinstituut_ekilex,ID Required,ekilex-app/src/main/java/eki/ekilex/data/db/main/tables/LexemeRegister.java,54,54,"public final TableField<LexemeRegisterRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");","The table uses a generic 'id' column as primary key while a natural unique constraint on (lexeme_id, register_code) already exists (LEXEME_REGISTER_LEXEME_ID_REGISTER_CODE_KEY). Consider using the composite key (lexeme_id, register_code) as the primary key instead, which would better represent the entity's identity."
