Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
kehuka11_graphql_sample,Keyless Entry,backend/jooq/src/main/java/jooq/gen/tables/Book.java,65,65,"public final TableField<BookRecord, String> AUTHORID = createField(DSL.name(""authorId""), SQLDataType.VARCHAR(255), this, """");","The 'authorId' column appears to reference the Author table but lacks a foreign key constraint, which could lead to orphaned records or invalid references. Add a foreign key constraint referencing the Author table's primary key (AUTHORID)."
kehuka11_graphql_sample,Keyless Entry,backend/jooq/src/main/java/jooq/gen/tables/LoanHistory.java,61,61,"public final TableField<LoanHistoryRecord, String> BOOK_ID = createField(DSL.name(""book_id""), SQLDataType.VARCHAR(255).nullable(false), this, """");","The BOOK_ID column appears to reference the Book table but lacks a foreign key constraint, which could lead to orphaned records or invalid references. Add a foreign key constraint referencing Book.ID to ensure referential integrity."
kehuka11_graphql_sample,Keyless Entry,backend/jooq/src/main/java/jooq/gen/tables/LoanHistory.java,66,66,"public final TableField<LoanHistoryRecord, String> USER_ID = createField(DSL.name(""user_id""), SQLDataType.VARCHAR(255).nullable(false), this, """");","The USER_ID column appears to reference the User table but lacks a foreign key constraint, risking data integrity issues with invalid user references. Add a foreign key constraint referencing User.USER_ID to maintain referential integrity."
kehuka11_graphql_sample,Fear of the Unknown,backend/jooq/src/main/java/jooq/gen/tables/LoanHistory.java,71,71,"public final TableField<LoanHistoryRecord, LocalDateTime> LOAN_DATETIME = createField(DSL.name(""loan_datetime""), SQLDataType.LOCALDATETIME(0).defaultValue(DSL.field(""CURRENT_TIMESTAMP"", SQLDataType.LOCALDATETIME)), this, """");","The LOAN_DATETIME column has a default value but is still marked as NULLABLE, which is inconsistent since it will always have a value in practice. Mark this column as NOT NULL to accurately reflect its intended usage."
kehuka11_graphql_sample,Fear of the Unknown,backend/jooq/src/main/java/jooq/gen/tables/LoanHistory.java,81,81,"public final TableField<LoanHistoryRecord, LocalDateTime> CREATED_AT = createField(DSL.name(""created_at""), SQLDataType.LOCALDATETIME(0).defaultValue(DSL.field(""CURRENT_TIMESTAMP"", SQLDataType.LOCALDATETIME)), this, """");","The CREATED_AT column has a default value but is still marked as NULLABLE, which is misleading since it will always have a value. Mark this column as NOT NULL to enforce the constraint at the database level."
kehuka11_graphql_sample,Fear of the Unknown,backend/jooq/src/main/java/jooq/gen/tables/LoanHistory.java,86,86,"public final TableField<LoanHistoryRecord, LocalDateTime> UPDATED_AT = createField(DSL.name(""updated_at""), SQLDataType.LOCALDATETIME(0).defaultValue(DSL.field(""CURRENT_TIMESTAMP"", SQLDataType.LOCALDATETIME)), this, """");","The UPDATED_AT column has a default value but is still marked as NULLABLE, which allows NULL values even though the column should always have a timestamp. Mark this column as NOT NULL to ensure data consistency."
kehuka11_graphql_sample,Keyless Entry,backend/jooq/src/main/java/jooq/gen/tables/ReturnHistory.java,61,61,"public final TableField<ReturnHistoryRecord, String> BOOK_ID = createField(DSL.name(""book_id""), SQLDataType.VARCHAR(255).nullable(false), this, """");","The BOOK_ID column appears to reference the Book table but lacks a foreign key constraint, which could lead to orphaned records or invalid references. Add a foreign key constraint referencing Book.ID to ensure referential integrity."
kehuka11_graphql_sample,Keyless Entry,backend/jooq/src/main/java/jooq/gen/tables/ReturnHistory.java,66,66,"public final TableField<ReturnHistoryRecord, String> USER_ID = createField(DSL.name(""user_id""), SQLDataType.VARCHAR(255).nullable(false), this, """");","The USER_ID column appears to reference the User table but lacks a foreign key constraint, risking data integrity issues with invalid user references. Add a foreign key constraint referencing User.USER_ID to maintain referential integrity."
kehuka11_graphql_sample,Keyless Entry,backend/jooq/src/main/java/jooq/gen/tables/ReturnHistory.java,86,86,"public final TableField<ReturnHistoryRecord, String> LOAN_ID = createField(DSL.name(""loan_id""), SQLDataType.VARCHAR(255).nullable(false), this, """");","The LOAN_ID column appears to reference the LoanHistory table but lacks a foreign key constraint, which could result in return records pointing to non-existent loans. Add a foreign key constraint referencing LoanHistory.LOAN_ID to ensure data consistency."
kehuka11_graphql_sample,Fear of the Unknown,backend/jooq/src/main/java/jooq/gen/tables/ReturnHistory.java,71,71,"public final TableField<ReturnHistoryRecord, LocalDateTime> RETURN_DATETIME = createField(DSL.name(""return_datetime""), SQLDataType.LOCALDATETIME(0).defaultValue(DSL.field(""CURRENT_TIMESTAMP"", SQLDataType.LOCALDATETIME)), this, """");","The RETURN_DATETIME column has a default value but is marked as NULLABLE, which is inconsistent since a return record should always have a return datetime. Either mark the column as NOT NULL or remove the default value if NULL is a valid state."
