Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
khanactl_mcorpus,31 Flavors,mcorpus-db/src/main/java/com/tll/mcorpus/db/tables/Maddress.java,60,60,"public final TableField<MaddressRecord, Addressname> ADDRESS_NAME = createField(DSL.name(""address_name""), org.jooq.impl.SQLDataType.VARCHAR.nullable(false).asEnumDataType(com.tll.mcorpus.db.enums.Addressname.class), this, """");","The ADDRESS_NAME column uses an ENUM type (Addressname) to restrict allowed values, which makes it difficult to add or remove address types without schema changes. Consider creating a separate lookup table for address names that can be modified without DDL changes."
khanactl_mcorpus,31 Flavors,mcorpus-db/src/main/java/com/tll/mcorpus/db/tables/Mbenefits.java,70,70,"public final TableField<MbenefitsRecord, Beli> BELI = createField(DSL.name(""beli""), org.jooq.impl.SQLDataType.VARCHAR.nullable(false).asEnumDataType(com.tll.mcorpus.db.enums.Beli.class), this, """");","The BELI column uses an ENUM type to restrict allowed values, which makes adding or removing valid values difficult and requires schema changes. Consider creating a separate lookup table for benefit eligibility types and referencing it with a foreign key."
khanactl_mcorpus,31 Flavors,mcorpus-db/src/main/java/com/tll/mcorpus/db/tables/Mcuser.java,91,91,"public final TableField<McuserRecord, McuserStatus> STATUS = createField(DSL.name(""status""), org.jooq.impl.SQLDataType.VARCHAR.nullable(false).defaultValue(org.jooq.impl.DSL.field(""'ACTIVE'::mcuser_status"", org.jooq.impl.SQLDataType.VARCHAR)).asEnumDataType(com.tll.mcorpus.db.enums.McuserStatus.class), this, """");","The STATUS column uses an ENUM type (McuserStatus) to restrict allowed values, which makes adding or removing status values difficult without schema changes. Consider creating a separate lookup table for user statuses that can be modified without DDL changes."
khanactl_mcorpus,31 Flavors,mcorpus-db/src/main/java/com/tll/mcorpus/db/tables/Mcuser.java,96,96,"public final TableField<McuserRecord, McuserRole[]> ROLES = createField(DSL.name(""roles""), org.jooq.impl.SQLDataType.VARCHAR.asEnumDataType(com.tll.mcorpus.db.enums.McuserRole.class).getArrayDataType(), this, """");","The ROLES column uses an ENUM array type (McuserRole[]) to restrict allowed values, which makes adding or removing roles difficult without schema changes. Consider creating a separate roles lookup table and a many-to-many relationship table to associate users with roles."
khanactl_mcorpus,31 Flavors,mcorpus-db/src/main/java/com/tll/mcorpus/db/tables/McuserAudit.java,68,68,"public final TableField<McuserAuditRecord, McuserAuditType> TYPE = createField(DSL.name(""type""), org.jooq.impl.SQLDataType.VARCHAR.nullable(false).asEnumDataType(com.tll.mcorpus.db.enums.McuserAuditType.class), this, """");","The 'type' column uses an ENUM type (McuserAuditType) to restrict allowed values, which makes adding or removing valid values difficult and database-dependent. Consider creating a separate lookup table for audit types that can be referenced via a foreign key."
khanactl_mcorpus,31 Flavors,mcorpus-db/src/main/java/com/tll/mcorpus/db/tables/McuserAudit.java,93,93,"public final TableField<McuserAuditRecord, JwtIdStatus> JWT_ID_STATUS = createField(DSL.name(""jwt_id_status""), org.jooq.impl.SQLDataType.VARCHAR.nullable(false).asEnumDataType(com.tll.mcorpus.db.enums.JwtIdStatus.class), this, """");","The 'jwt_id_status' column uses an ENUM type (JwtIdStatus) to restrict allowed values, which limits flexibility when status values need to change. Consider creating a separate lookup table for JWT ID statuses that can be referenced via a foreign key."
khanactl_mcorpus,31 Flavors,mcorpus-db/src/main/java/com/tll/mcorpus/db/tables/Member.java,76,76,"public final TableField<MemberRecord, Location> LOCATION = createField(DSL.name(""location""), org.jooq.impl.SQLDataType.VARCHAR.nullable(false).asEnumDataType(com.tll.mcorpus.db.enums.Location.class), this, """");","The 'location' column uses an ENUM type to restrict allowed values, which makes it difficult to add, remove, or modify values without altering the table schema. Consider using a separate lookup table for locations that can be referenced via a foreign key."
khanactl_mcorpus,31 Flavors,mcorpus-db/src/main/java/com/tll/mcorpus/db/tables/Member.java,101,101,"public final TableField<MemberRecord, MemberStatus> STATUS = createField(DSL.name(""status""), org.jooq.impl.SQLDataType.VARCHAR.nullable(false).defaultValue(org.jooq.impl.DSL.field(""'ACTIVE'::member_status"", org.jooq.impl.SQLDataType.VARCHAR)).asEnumDataType(com.tll.mcorpus.db.enums.MemberStatus.class), this, """");","The 'status' column uses an ENUM type (MemberStatus) to define allowed values, which limits flexibility when business requirements change. Consider creating a 'member_status' lookup table and referencing it with a foreign key instead."
khanactl_mcorpus,31 Flavors,mcorpus-db/src/main/java/com/tll/mcorpus/db/tables/MemberAudit.java,65,65,"public final TableField<MemberAuditRecord, MemberAuditType> TYPE = createField(DSL.name(""type""), org.jooq.impl.SQLDataType.VARCHAR.nullable(false).asEnumDataType(com.tll.mcorpus.db.enums.MemberAuditType.class), this, """");","The 'type' column uses an ENUM type (MemberAuditType) to restrict allowed values, which makes adding or removing audit types difficult without schema changes. Consider creating a separate lookup table for member audit types that can be modified without DDL changes."
khanactl_mcorpus,Implicit Columns,mcorpus-gql/src/main/java/com/tll/mcorpus/repo/MCorpusRepo.java,409,410,"final List<Maddress> maddressList = dsl
    .select()
    .from(MADDRESS)","Using `select()` without specifying columns fetches all columns from the MADDRESS table, which can retrieve unnecessary data and hurt performance. Explicitly list only the required columns in the select clause."
