Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
kushtrimh_tomorr,Implicit Columns,src/main/java/com/kushtrimh/tomorr/album/repository/AlbumJooqRepository.java,32,32,"return create.fetchOne(ALBUM, ALBUM.ID.eq(id));","The fetchOne method on a table fetches all columns from the ALBUM table, which may retrieve unnecessary data. Consider using selectFrom with explicit column selection or select specific columns needed for the operation."
kushtrimh_tomorr,Implicit Columns,src/main/java/com/kushtrimh/tomorr/album/repository/AlbumJooqRepository.java,44,44,return create.select().from(ALBUM),"Using select() without specifying columns fetches all columns from the joined tables, which can impact performance. Specify only the required columns explicitly, e.g., create.select(ALBUM.ID, ALBUM.NAME, ...)."
kushtrimh_tomorr,Implicit Columns,src/main/java/com/kushtrimh/tomorr/artist/repository/ArtistJooqRepository.java,32,32,"return create.fetchOne(ARTIST, ARTIST.ID.eq(id));","Using fetchOne with a table reference fetches all columns from the ARTIST table, which may retrieve unnecessary data. Consider using selectFrom with explicit column selection or select specific columns needed."
kushtrimh_tomorr,Implicit Columns,src/main/java/com/kushtrimh/tomorr/artist/repository/ArtistJooqRepository.java,37,37,"return create.fetchOne(ARTIST, ARTIST.NAME.eq(name));",Using fetchOne with a table reference fetches all columns from the ARTIST table. Specify only the required columns using select() to improve query efficiency.
kushtrimh_tomorr,Implicit Columns,src/main/java/com/kushtrimh/tomorr/artist/repository/ArtistJooqRepository.java,43,43,.select(),Using select() without specifying columns fetches all columns from the ARTIST table. Explicitly list the required columns in the select clause to avoid retrieving unnecessary data.
kushtrimh_tomorr,Implicit Columns,src/main/java/com/kushtrimh/tomorr/artist/repository/ArtistJooqRepository.java,59,59,"return create.fetch(ARTIST, ARTIST.NAME.startsWithIgnoreCase(name));",Using fetch with a table reference retrieves all columns from the ARTIST table. Use selectFrom with explicit column selection to fetch only the necessary data.
kushtrimh_tomorr,ID Required,src/main/java/com/kushtrimh/tomorr/dal/tables/Artist.java,53,53,"public final TableField<ArtistRecord, String> ID = createField(DSL.name(""id""), SQLDataType.VARCHAR(32).nullable(false), this, """");",The primary key column is generically named 'id' instead of a more descriptive name like 'artist_id'. Consider renaming the column to 'artist_id' to make it self-documenting and avoid ambiguity in queries with joins.
kushtrimh_tomorr,Keyless Entry,src/main/java/com/kushtrimh/tomorr/dal/tables/ArtistAlbum.java,49,49,"public final TableField<ArtistAlbumRecord, String> ARTIST_ID = createField(DSL.name(""artist_id""), SQLDataType.VARCHAR(32).nullable(false), this, """");","The ARTIST_ID column appears to reference the Artist table but lacks a foreign key constraint, which could allow orphaned records with invalid artist references. Add a foreign key constraint referencing the Artist.ID primary key to ensure referential integrity."
kushtrimh_tomorr,Keyless Entry,src/main/java/com/kushtrimh/tomorr/dal/tables/ArtistAlbum.java,54,54,"public final TableField<ArtistAlbumRecord, String> ALBUM_ID = createField(DSL.name(""album_id""), SQLDataType.VARCHAR(32).nullable(false), this, """");","The ALBUM_ID column appears to reference the Album table but lacks a foreign key constraint, which could allow orphaned records with invalid album references. Add a foreign key constraint referencing the Album.ID primary key to ensure referential integrity."
kushtrimh_tomorr,Keyless Entry,src/main/java/com/kushtrimh/tomorr/dal/tables/ArtistAppUser.java,52,52,"public final TableField<ArtistAppUserRecord, String> ARTIST_ID = createField(DSL.name(""artist_id""), SQLDataType.VARCHAR(32).nullable(false), this, """");","The ARTIST_ID column appears to reference the Artist table but lacks a foreign key constraint, which could allow orphaned records with invalid artist references. Add a foreign key constraint referencing the ARTIST_PKEY primary key on the Artist table."
kushtrimh_tomorr,Keyless Entry,src/main/java/com/kushtrimh/tomorr/dal/tables/ArtistAppUser.java,57,57,"public final TableField<ArtistAppUserRecord, String> APP_USER_ID = createField(DSL.name(""app_user_id""), SQLDataType.VARCHAR(32).nullable(false), this, """");","The APP_USER_ID column appears to reference the AppUser table but lacks a foreign key constraint, which could allow orphaned records with invalid user references. Add a foreign key constraint referencing the APP_USER_PKEY primary key on the AppUser table."
kushtrimh_tomorr,Implicit Columns,src/main/java/com/kushtrimh/tomorr/user/repository/UserJooqRepository.java,31,31,"return create.fetchOne(APP_USER, APP_USER.ID.eq(id));",The fetchOne method on a table fetches all columns from the APP_USER table. Consider using a select statement with explicit column names to fetch only the required fields.
kushtrimh_tomorr,Implicit Columns,src/main/java/com/kushtrimh/tomorr/user/repository/UserJooqRepository.java,36,36,"return create.fetchOne(APP_USER, APP_USER.ADDRESS.eq(address));",The fetchOne method on a table fetches all columns from the APP_USER table. Consider using a select statement with explicit column names to fetch only the required fields.
kushtrimh_tomorr,Implicit Columns,src/main/java/com/kushtrimh/tomorr/user/repository/UserJooqRepository.java,41,41,return create.select().from(APP_USER),Using select() without specifying columns fetches all columns from the APP_USER table. Consider explicitly listing only the columns you need in the select clause.
kushtrimh_tomorr,Implicit Columns,src/test/java/com/kushtrimh/tomorr/album/AlbumJooqRepositoryIntegrationTest.java,144,144,var artistAlbumRecord = create.selectFrom(ARTIST_ALBUM),"Using selectFrom() fetches all columns from the ARTIST_ALBUM table, which may retrieve unnecessary data. Consider using select() with only the specific columns needed, or use fetchExists() if you only need to verify the record exists."
