Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
lamarios_mmath,Implicit Columns,domain-dao/src/main/java/com/ftpix/mmath/dao/mysql/EventDAO.java,59,59,return getDsl().select().from(EVENTS),"Using select() without specifying columns fetches all columns from the EVENTS table, which can retrieve unnecessary data and impact performance. Explicitly list only the required columns, e.g., select(EVENTS.SHERDOGURL, EVENTS.DATE, EVENTS.ORGANIZATION_ID, EVENTS.NAME, EVENTS.LASTUPDATE, EVENTS.CONTENTHASH, EVENTS.LASTCONTENTCHECK)."
lamarios_mmath,Implicit Columns,domain-dao/src/main/java/com/ftpix/mmath/dao/mysql/EventDAO.java,66,66,return getDsl().select().from(EVENTS),"Using select() without specifying columns fetches all columns from the EVENTS table, which can retrieve unnecessary data and impact performance. Explicitly list only the required columns needed by the recordMapper."
lamarios_mmath,Implicit Columns,domain-dao/src/main/java/com/ftpix/mmath/dao/mysql/EventDAO.java,74,74,return getDsl().select().from(EVENTS),Using select() without specifying columns fetches all columns from the EVENTS table. Explicitly specify the columns needed to avoid fetching unnecessary data.
lamarios_mmath,Implicit Columns,domain-dao/src/main/java/com/ftpix/mmath/dao/mysql/EventDAO.java,80,80,return getDsl().select().from(EVENTS),Using select() without specifying columns fetches all columns from the EVENTS table. Explicitly specify only the columns required by the recordMapper.
lamarios_mmath,Implicit Columns,domain-dao/src/main/java/com/ftpix/mmath/dao/mysql/EventDAO.java,102,102,SelectConditionStep<Record> select = getDsl().select().from(EVENTS),Using select() without specifying columns fetches all columns from the EVENTS table. Explicitly list the required columns to improve query efficiency.
lamarios_mmath,Implicit Columns,domain-dao/src/main/java/com/ftpix/mmath/dao/mysql/EventDAO.java,157,157,return getDsl().select().from(EVENTS),Using select() without specifying columns fetches all columns from the EVENTS table. Explicitly specify only the columns needed by the recordMapper to avoid unnecessary data transfer.
lamarios_mmath,Implicit Columns,domain-dao/src/main/java/com/ftpix/mmath/dao/mysql/FightDAO.java,75,75,return getDsl().select().from(FIGHTS),"Using select() without specifying columns fetches all columns from the FIGHTS table, which can retrieve unnecessary data and impact performance. Explicitly list only the required columns, e.g., select(FIGHTS.ID, FIGHTS.FIGHTER1_ID, ...)."
lamarios_mmath,Implicit Columns,domain-dao/src/main/java/com/ftpix/mmath/dao/mysql/FightDAO.java,82,82,return getDsl().select().from(FIGHTS).fetch(recordMapper);,Using select() without specifying columns fetches all columns from the FIGHTS table. Specify only the columns needed by the recordMapper to improve query efficiency.
lamarios_mmath,Implicit Columns,domain-dao/src/main/java/com/ftpix/mmath/dao/mysql/FightDAO.java,87,87,return getDsl().select().from(FIGHTS),Using select() without specifying columns fetches all columns from the FIGHTS table. Explicitly list the required columns to avoid fetching unnecessary data.
lamarios_mmath,Implicit Columns,domain-dao/src/main/java/com/ftpix/mmath/dao/mysql/FightDAO.java,94,94,return getDsl().select().from(FIGHTS),Using select() without specifying columns fetches all columns from the FIGHTS table. Specify only the columns needed for the query to improve performance.
