Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
lelup24_spring-boot-websocket,Implicit Columns,websocket/src/main/java/de/kipper/websocket/common/CurrentUser.java,27,27,"userEntityDao
.fetchOptionalByUsername(username)","The generated DAO's fetchOptionalByUsername method fetches all columns of the UserEntity table, even though only specific fields may be needed. Consider using a custom jOOQ query that selects only the required columns."
lelup24_spring-boot-websocket,Implicit Columns,websocket/src/main/java/de/kipper/websocket/configs/security/SessionService.java,43,44,"userEntityDao
            .fetchOptionalByUsername(jwtTokenUtil.getUsername(token))","The DAO's fetchOptionalByUsername method fetches all columns of the UserEntity table when only the user ID is needed. Consider using a custom query that selects only the required columns (e.g., id)."
lelup24_spring-boot-websocket,Implicit Columns,websocket/src/main/java/de/kipper/websocket/configs/security/SessionService.java,47,47,final List<Session> oldSessions = sessionDao.fetchByUserId(userEntity.getId());,The DAO's fetchByUserId method fetches all columns of the Session table when the records are only used for deletion. Consider using a direct DELETE query with a WHERE clause on user_id instead.
lelup24_spring-boot-websocket,Implicit Columns,websocket/src/main/java/de/kipper/websocket/configs/security/SessionService.java,72,72,final Optional<Session> sessionOptional = sessionDao.fetchOptionalByToken(oldToken);,The DAO's fetchOptionalByToken method fetches all columns of the Session table into a POJO. Consider using a custom query that selects only the columns needed for the update operation.
lelup24_spring-boot-websocket,Implicit Columns,websocket/src/main/java/de/kipper/websocket/configs/security/SessionService.java,95,95,final Optional<Session> sessionOptional = sessionDao.fetchOptionalByToken(token);,"The DAO's fetchOptionalByToken method fetches all columns of the Session table. Consider using a custom query that selects only the columns needed for validation (e.g., expires_at, revoked, remote_address)."
lelup24_spring-boot-websocket,Implicit Columns,websocket/src/main/java/de/kipper/websocket/configs/security/SessionService.java,99,100,"final Optional<UserEntity> userEntity =
            userEntityDao.fetchOptionalByUsername(jwtTokenUtil.getUsername(token));",The DAO's fetchOptionalByUsername method fetches all columns of the UserEntity table when only the user ID is needed. Consider using a custom query that selects only the id column.
lelup24_spring-boot-websocket,Implicit Columns,websocket/src/main/java/de/kipper/websocket/configs/security/SessionService.java,106,106,final List<Session> sessions = sessionDao.fetchByUserId(userEntity.get().getId());,The DAO's fetchByUserId method fetches all columns of the Session table when only the id and revoked columns are needed for the update. Consider using a custom query or a direct UPDATE statement.
lelup24_spring-boot-websocket,Implicit Columns,websocket/src/main/java/de/kipper/websocket/configs/security/SessionService.java,134,134,final List<Session> sessions = sessionDao.fetchByUserId(currentUser.getId());,The DAO's fetchByUserId method fetches all columns of the Session table when the records are only used for deletion. Consider using a direct DELETE query with a WHERE clause on user_id instead.
lelup24_spring-boot-websocket,Implicit Columns,websocket/src/main/java/de/kipper/websocket/configs/security/UserDetailsServiceImpl.java,32,32,final Optional<UserEntity> userEntityOptional = userEntityDao.fetchOptionalByUsername(username);,"The generated DAO method `fetchOptionalByUsername` fetches all columns of the UserEntity table, even though only `id`, `username`, and `password` are used. Consider using a custom query that selects only the required columns."
lelup24_spring-boot-websocket,Implicit Columns,websocket/src/main/java/de/kipper/websocket/configs/security/UserLoginFilter.java,51,52,"userEntityDao
                .fetchOptionalByUsername(userLoginModel.getUsername())","The generated DAO method `fetchOptionalByUsername` fetches all columns from the UserEntity table, even though only the salt field appears to be needed. Consider using a custom jOOQ query that selects only the required columns (e.g., salt) instead of fetching the entire entity."
lelup24_spring-boot-websocket,Implicit Columns,websocket/src/main/java/de/kipper/websocket/user/UserFinder.java,23,23,dsl.select(ROLE.asterisk()),"Using `ROLE.asterisk()` selects all columns from the ROLE table, which can fetch unnecessary data and break if the schema changes. Replace with explicit column selection, e.g., `dsl.select(ROLE.ID, ROLE.NAME, ...)`."
lelup24_spring-boot-websocket,ID Required,websocket/src/main/java/generated/data/de/kipper/websocket/data/tables/Post.java,59,59,"public final TableField<PostRecord, UUID> ID = createField(DSL.name(""id""), SQLDataType.UUID.nullable(false), this, """");",The primary key column is named just 'id' which is a generic name that doesn't convey meaning about the entity it identifies. Consider renaming it to 'post_id' to make it more descriptive and avoid ambiguity in queries with joins.
lelup24_spring-boot-websocket,ID Required,websocket/src/main/java/generated/data/de/kipper/websocket/data/tables/Role.java,59,59,"public final TableField<RoleRecord, UUID> ID = createField(DSL.name(""id""), SQLDataType.UUID.nullable(false), this, """");","The table has a synthetic primary key named 'id' even though there's already a unique constraint on 'name' (ROLE_NAME_KEY) which could serve as a natural primary key. Consider using the 'name' column as the primary key since role names are inherently unique and immutable, or rename the primary key to something more descriptive like 'role_id'."
lelup24_spring-boot-websocket,ID Required,websocket/src/main/java/generated/data/de/kipper/websocket/data/tables/Session.java,59,59,"public final TableField<SessionRecord, UUID> ID = createField(DSL.name(""id""), SQLDataType.UUID.nullable(false), this, """");",The primary key column is generically named 'id' instead of a more descriptive name like 'session_id'. Consider renaming the column to 'session_id' to make it self-documenting and avoid ambiguity in joins.
lelup24_spring-boot-websocket,ID Required,websocket/src/main/java/generated/data/de/kipper/websocket/data/tables/UserEntity.java,59,59,"public final TableField<UserEntityRecord, UUID> ID = createField(DSL.name(""id""), SQLDataType.UUID.nullable(false), this, """");","The primary key column is generically named 'id' instead of a more descriptive name like 'user_entity_id' or 'user_id'. Additionally, the table has unique constraints on 'username' and 'email' which could serve as natural keys. Consider renaming the primary key to 'user_entity_id' or using 'username' as a natural primary key."
