Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
liuzheming_merchant-feecal-mvp,ID Required,src/main/java/com/merchant/dao/tables/FeeCalBatch.java,64,64,"public final TableField<FeeCalBatchRecord, Long> ID = createField(DSL.name(""id""), org.jooq.impl.SQLDataType.BIGINT.nullable(false).identity(true), this, """");","The table uses a generic 'id' column as the primary key, but there's already a unique constraint on 'batch_no' (KEY_FEE_CAL_BATCH_UK_BATCH_NO) which could serve as a natural primary key. Consider using 'batch_no' as the primary key since it's a unique business identifier, or rename the synthetic key to something more descriptive like 'fee_cal_batch_id'."
liuzheming_merchant-feecal-mvp,ID Required,src/main/java/com/merchant/dao/tables/FeeCalBillingSnapshot.java,67,67,"public final TableField<FeeCalBillingSnapshotRecord, Long> ID = createField(DSL.name(""id""), org.jooq.impl.SQLDataType.BIGINT.nullable(false).identity(true), this, ""主键ID"");","The primary key is named just 'id' which is a generic, non-descriptive name that doesn't convey the table context. Consider renaming it to something more meaningful like 'billing_snapshot_id' to improve clarity when joining tables and reading queries."
liuzheming_merchant-feecal-mvp,Keyless Entry,src/main/java/com/merchant/dao/tables/FeeCalBillingSnapshot.java,72,72,"public final TableField<FeeCalBillingSnapshotRecord, String> BATCH_NO = createField(DSL.name(""batch_no""), org.jooq.impl.SQLDataType.VARCHAR(64).nullable(false), this, ""清算批次号"");","The 'batch_no' column appears to reference the FeeCalBatch table (which has a unique key on BATCH_NO), but no foreign key constraint is defined. Add a foreign key constraint referencing fee_cal_batch.batch_no to ensure referential integrity."
liuzheming_merchant-feecal-mvp,Keyless Entry,src/main/java/com/merchant/dao/tables/FeeCalBillingSnapshot.java,77,77,"public final TableField<FeeCalBillingSnapshotRecord, String> TERM_CODE = createField(DSL.name(""term_code""), org.jooq.impl.SQLDataType.VARCHAR(64).nullable(false), this, ""费用项 code"");","The 'term_code' column appears to reference the FeeCalTermDef table (which has CODE as its primary key), but no foreign key constraint is defined. Add a foreign key constraint referencing fee_cal_term_def.code to ensure referential integrity."
liuzheming_merchant-feecal-mvp,ID Required,src/main/java/com/merchant/dao/tables/FeeCalFundInstruction.java,67,67,"public final TableField<FeeCalFundInstructionRecord, Long> ID = createField(DSL.name(""id""), org.jooq.impl.SQLDataType.BIGINT.nullable(false).identity(true), this, ""指令主键ID"");",The primary key column is generically named 'id' instead of a more descriptive name like 'fund_instruction_id'. Consider renaming the column to include the table name or entity it represents to improve clarity when joining tables.
liuzheming_merchant-feecal-mvp,Keyless Entry,src/main/java/com/merchant/dao/tables/FeeCalFundInstruction.java,77,77,"public final TableField<FeeCalFundInstructionRecord, Long> TERM_INST_ID = createField(DSL.name(""term_inst_id""), org.jooq.impl.SQLDataType.BIGINT, this, ""来源费用项ID；整体退款可为空"");",The column 'term_inst_id' appears to reference the 'fee_cal_term_inst' table (which has KEY_FEE_CAL_TERM_INST_PRIMARY on its ID column) but lacks a foreign key constraint. Add a foreign key constraint to ensure referential integrity and prevent orphaned records.
liuzheming_merchant-feecal-mvp,ID Required,src/main/java/com/merchant/dao/tables/FeeCalMerchant.java,65,65,"public final TableField<FeeCalMerchantRecord, Long> ID = createField(DSL.name(""id""), org.jooq.impl.SQLDataType.BIGINT.nullable(false).identity(true), this, """");","The primary key is named just 'id' which is a generic, non-descriptive name that doesn't convey any meaning about the table it belongs to. Consider renaming it to something more descriptive like 'fee_cal_merchant_id' to make joins and queries more readable and self-documenting."
liuzheming_merchant-feecal-mvp,Keyless Entry,src/main/java/com/merchant/dao/tables/FeeCalMerchant.java,70,70,"public final TableField<FeeCalMerchantRecord, String> BATCH_NO = createField(DSL.name(""batch_no""), org.jooq.impl.SQLDataType.VARCHAR(64).nullable(false), this, ""清算批次号"");","The 'batch_no' column appears to reference the 'fee_cal_batch' table (which has a unique key on 'batch_no' via KEY_FEE_CAL_BATCH_UK_BATCH_NO), but there is no foreign key constraint defined. Add a foreign key constraint referencing 'fee_cal_batch.batch_no' to ensure referential integrity."
liuzheming_merchant-feecal-mvp,ID Required,src/main/java/com/merchant/dao/tables/FeeCalTermInst.java,66,66,"public final TableField<FeeCalTermInstRecord, Long> ID = createField(DSL.name(""id""), org.jooq.impl.SQLDataType.BIGINT.nullable(false).identity(true), this, """");",The primary key column is generically named 'id' which doesn't convey any domain meaning. Consider renaming it to something more descriptive like 'fee_cal_term_inst_id' or 'term_inst_id' to better communicate its purpose and avoid ambiguity in joins.
liuzheming_merchant-feecal-mvp,Keyless Entry,src/main/java/com/merchant/dao/tables/FeeCalTermInst.java,76,76,"public final TableField<FeeCalTermInstRecord, Long> MERCHANT_ID = createField(DSL.name(""merchant_id""), org.jooq.impl.SQLDataType.BIGINT.nullable(false), this, ""清算主体ID"");",The 'merchant_id' column appears to reference the 'fee_cal_merchant' table (which has KEY_FEE_CAL_MERCHANT_PRIMARY) but lacks a foreign key constraint. Add a foreign key constraint referencing 'fee_cal_merchant.id' to ensure referential integrity.
liuzheming_merchant-feecal-mvp,Keyless Entry,src/main/java/com/merchant/dao/tables/FeeCalTermInst.java,81,81,"public final TableField<FeeCalTermInstRecord, String> TERM_CODE = createField(DSL.name(""term_code""), org.jooq.impl.SQLDataType.VARCHAR(64).nullable(false), this, ""费用项 code"");",The 'term_code' column appears to reference the 'fee_cal_term_def' table (which has KEY_FEE_CAL_TERM_DEF_PRIMARY on the 'code' column) but lacks a foreign key constraint. Add a foreign key constraint referencing 'fee_cal_term_def.code' to ensure referential integrity.
liuzheming_merchant-feecal-mvp,Beware of the Unknown,src/main/java/com/merchant/dao/tables/FeeCalTermInst.java,91,91,"public final TableField<FeeCalTermInstRecord, BigDecimal> UNPAID_AMOUNT = createField(DSL.name(""unpaid_amount""), org.jooq.impl.SQLDataType.DECIMAL(18, 2).defaultValue(org.jooq.impl.DSL.inline(""0.00"", org.jooq.impl.SQLDataType.DECIMAL)), this, ""欠付金额"");","The 'unpaid_amount' column has a default value but is marked as NULLABLE, which can lead to ambiguity between NULL and 0.00 as valid values. Either mark the column as NOT NULL since it has a default value, or remove the default if NULL is a meaningful state."
liuzheming_merchant-feecal-mvp,Beware of the Unknown,src/main/java/com/merchant/dao/tables/FeeCalTermInst.java,96,96,"public final TableField<FeeCalTermInstRecord, Byte> DEDUCT_FLAG = createField(DSL.name(""deduct_flag""), org.jooq.impl.SQLDataType.TINYINT.defaultValue(org.jooq.impl.DSL.inline(""0"", org.jooq.impl.SQLDataType.TINYINT)), this, ""是否抵扣: 0 否 / 1 是"");","The 'deduct_flag' column has a default value of 0 but is marked as NULLABLE, creating ambiguity between NULL and 0. Since this is a boolean flag with a default, mark it as NOT NULL to prevent confusion."
liuzheming_merchant-feecal-mvp,Beware of the Unknown,src/main/java/com/merchant/dao/tables/FeeCalTermInst.java,101,101,"public final TableField<FeeCalTermInstRecord, BigDecimal> DEDUCT_AMOUNT = createField(DSL.name(""deduct_amount""), org.jooq.impl.SQLDataType.DECIMAL(18, 2).defaultValue(org.jooq.impl.DSL.inline(""0.00"", org.jooq.impl.SQLDataType.DECIMAL)), this, ""抵扣金额"");","The 'deduct_amount' column has a default value of 0.00 but is marked as NULLABLE, which can cause confusion between NULL and zero amounts. Mark the column as NOT NULL since it has a meaningful default value."
liuzheming_merchant-feecal-mvp,Beware of the Unknown,src/main/java/com/merchant/dao/tables/FeeCalTermInst.java,116,116,"public final TableField<FeeCalTermInstRecord, LocalDateTime> CTIME = createField(DSL.name(""ctime""), org.jooq.impl.SQLDataType.LOCALDATETIME.defaultValue(org.jooq.impl.DSL.field(""CURRENT_TIMESTAMP"", org.jooq.impl.SQLDataType.LOCALDATETIME)), this, """");","The 'ctime' column has a default value of CURRENT_TIMESTAMP but is marked as NULLABLE. Since creation time should always be set and has a default, mark it as NOT NULL to ensure data integrity."
liuzheming_merchant-feecal-mvp,Beware of the Unknown,src/main/java/com/merchant/dao/tables/FeeCalTermInst.java,121,121,"public final TableField<FeeCalTermInstRecord, LocalDateTime> MTIME = createField(DSL.name(""mtime""), org.jooq.impl.SQLDataType.LOCALDATETIME.defaultValue(org.jooq.impl.DSL.field(""CURRENT_TIMESTAMP"", org.jooq.impl.SQLDataType.LOCALDATETIME)), this, """");","The 'mtime' column has a default value of CURRENT_TIMESTAMP but is marked as NULLABLE. Since modification time should always be tracked and has a default, mark it as NOT NULL to ensure data integrity."
liuzheming_merchant-feecal-mvp,ID Required,src/main/java/com/merchant/dao/tables/FeeCalTermInstAlloc.java,66,66,"public final TableField<FeeCalTermInstAllocRecord, Long> ID = createField(DSL.name(""id""), org.jooq.impl.SQLDataType.BIGINT.nullable(false).identity(true), this, ""主键"");","The primary key is named 'id' which is a generic name that doesn't convey meaning about the entity. Additionally, a synthetic auto-increment primary key exists even though there's a unique constraint (UK_TERM_SNAPSHOT on TERM_INST_ID and BILLING_SNAPSHOT_ID) that could serve as a natural composite primary key. Consider renaming to 'fee_cal_term_inst_alloc_id' or using the existing unique constraint as the primary key."
liuzheming_merchant-feecal-mvp,Keyless Entry,src/main/java/com/merchant/dao/tables/FeeCalTermInstAlloc.java,76,76,"public final TableField<FeeCalTermInstAllocRecord, Long> TERM_INST_ID = createField(DSL.name(""term_inst_id""), org.jooq.impl.SQLDataType.BIGINT.nullable(false), this, ""费用项实例ID"");","The column 'term_inst_id' references the fee_cal_term_inst table but lacks a foreign key constraint, which could lead to orphaned records and data integrity issues. Add a foreign key constraint referencing KEY_FEE_CAL_TERM_INST_PRIMARY."
liuzheming_merchant-feecal-mvp,Keyless Entry,src/main/java/com/merchant/dao/tables/FeeCalTermInstAlloc.java,86,86,"public final TableField<FeeCalTermInstAllocRecord, Long> BILLING_SNAPSHOT_ID = createField(DSL.name(""billing_snapshot_id""), org.jooq.impl.SQLDataType.BIGINT.nullable(false), this, ""快照ID"");","The column 'billing_snapshot_id' references the fee_cal_billing_snapshot table but lacks a foreign key constraint, risking referential integrity violations. Add a foreign key constraint referencing KEY_FEE_CAL_BILLING_SNAPSHOT_PRIMARY."
liuzheming_merchant-feecal-mvp,Implicit Columns,src/main/java/com/merchant/feecal/repo/FeeCalBatchRepo.java,25,25,return dslContext.selectFrom(FEE_CAL_BATCH),"Using selectFrom() fetches all columns from the FEE_CAL_BATCH table, which may retrieve unnecessary data and impact performance. Consider using select() with only the specific columns needed for the FeeCalBatchEntity."
liuzheming_merchant-feecal-mvp,Implicit Columns,src/main/java/com/merchant/feecal/repo/FeeCalBillingSnapshotRepo.java,62,62,return dslContext.selectFrom(FEE_CAL_BILLING_SNAPSHOT),"Using selectFrom() fetches all columns from the FEE_CAL_BILLING_SNAPSHOT table, which may retrieve unnecessary data. Consider using select() with only the specific columns needed for the FeeCalBillingSnapshotEntity."
liuzheming_merchant-feecal-mvp,Implicit Columns,src/main/java/com/merchant/feecal/repo/FeeCalBillingSnapshotRepo.java,71,71,return dslContext.selectFrom(FEE_CAL_BILLING_SNAPSHOT),"Using selectFrom() fetches all columns from the FEE_CAL_BILLING_SNAPSHOT table, which may retrieve unnecessary data. Consider using select() with only the specific columns needed for the FeeCalBillingSnapshotEntity."
