Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
ljk0071_side-project-back,ID Required,infrastructure/jooq/repository/src/main/java/com/side/infrastructure/jooq/generated/tables/LoginAttemptLog.java,53,54,"public final TableField<LoginAttemptLogRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false)
 .identity(true), this, """");","The primary key is named generically 'id' instead of a more descriptive name like 'login_attempt_log_id'. Consider renaming the column to something more meaningful that identifies the entity, such as 'login_attempt_log_id' or 'attempt_id'."
ljk0071_side-project-back,ID Required,infrastructure/jooq/repository/src/main/java/com/side/infrastructure/jooq/generated/tables/Notice.java,60,61,"public final TableField<NoticeRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false)
 .identity(true), this, ""공지사항id"");",The primary key column is named generically as 'id' instead of a more descriptive name like 'notice_id'. Consider renaming the column to 'notice_id' to make it self-documenting and avoid ambiguity in joins.
ljk0071_side-project-back,ID Required,infrastructure/jooq/repository/src/main/java/com/side/infrastructure/jooq/generated/tables/NoticeComment.java,61,62,"public final TableField<NoticeCommentRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false)
.identity(true), this, ""공지사항댓글id"");",The primary key column is generically named 'id' instead of a more descriptive name like 'notice_comment_id'. Consider renaming the column to 'notice_comment_id' to make it self-documenting and avoid ambiguity in joins.
ljk0071_side-project-back,Keyless Entry,infrastructure/jooq/repository/src/main/java/com/side/infrastructure/jooq/generated/tables/NoticeModifyLog.java,60,60,"public final TableField<NoticeModifyLogRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false), this, ""공지사항id"");",The 'ID' column appears to reference the Notice table (공지사항id) but lacks a foreign key constraint to enforce referential integrity. Add a foreign key constraint referencing Keys.KEY_NOTICE_PRIMARY to ensure data consistency.
ljk0071_side-project-back,ID Required,infrastructure/jooq/repository/src/main/java/com/side/infrastructure/jooq/generated/tables/Notification.java,53,54,"public final TableField<NotificationRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false)
 .identity(true), this, ""알림id"");","The primary key column is named just 'id', which is a generic name that doesn't convey meaning about the entity it identifies. Consider renaming it to 'notification_id' to make it self-documenting and avoid ambiguity in JOIN queries."
ljk0071_side-project-back,Keyless Entry,infrastructure/jooq/repository/src/main/java/com/side/infrastructure/jooq/generated/tables/Notification.java,58,58,"public final TableField<NotificationRecord, Long> USER_UNIQUE_ID = createField(DSL.name(""user_unique_id""), SQLDataType.BIGINT.nullable(false), this, ""수신자"");","The 'user_unique_id' column appears to reference the User table (KEY_USER_PRIMARY on User.UNIQUE_ID exists) but lacks a foreign key constraint, which could lead to orphaned records or invalid references. Add a foreign key constraint referencing the User table's UNIQUE_ID column."
ljk0071_side-project-back,Keyless Entry,infrastructure/jooq/repository/src/main/java/com/side/infrastructure/jooq/generated/tables/Notification.java,100,100,"public final TableField<NotificationRecord, Long> CREATED_BY = createField(DSL.name(""created_by""), SQLDataType.BIGINT.nullable(false), this, ""생성자"");",The 'created_by' column likely references a user who created the notification but has no foreign key constraint to the User table. Add a foreign key constraint referencing User.UNIQUE_ID to ensure referential integrity.
ljk0071_side-project-back,Keyless Entry,infrastructure/jooq/repository/src/main/java/com/side/infrastructure/jooq/generated/tables/Notification.java,108,108,"public final TableField<NotificationRecord, Long> DELETED_BY = createField(DSL.name(""deleted_by""), SQLDataType.BIGINT, this, ""삭제자"");",The 'deleted_by' column likely references a user who deleted the notification but has no foreign key constraint to the User table. Add a foreign key constraint referencing User.UNIQUE_ID to ensure referential integrity.
ljk0071_side-project-back,ID Required,infrastructure/jooq/repository/src/main/java/com/side/infrastructure/jooq/generated/tables/PartyApplication.java,59,60,"public final TableField<PartyApplicationRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false)
.identity(true), this, ""파티모집글과이력서매핑id"");","The table has a synthetic auto-increment primary key named 'id' even though a natural unique key exists on (PARTY_RECRUIT_ID, RESUME_ID) which could serve as the primary key. Consider using the composite unique key as the primary key instead, as it represents the natural identity of a party application."
ljk0071_side-project-back,Keyless Entry,infrastructure/jooq/repository/src/main/java/com/side/infrastructure/jooq/generated/tables/PartyApplicationModifyLog.java,61,61,"public final TableField<PartyApplicationModifyLogRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false), this, ""파티모집글과이력서매핑id"");","The 'ID' column references the PartyApplication table (파티모집글과이력서매핑id) but lacks a foreign key constraint, which could lead to orphaned records or invalid references. Add a foreign key constraint referencing Keys.KEY_PARTY_APPLICATION_PRIMARY."
ljk0071_side-project-back,ID Required,infrastructure/jooq/repository/src/main/java/com/side/infrastructure/jooq/generated/tables/PartyRecruit.java,62,63,"public final TableField<PartyRecruitRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false)
.identity(true), this, ""파티모집글id"");","The primary key column is named just 'id', which is a generic name that doesn't convey the table's context and can cause ambiguity in joins. Consider renaming it to 'party_recruit_id' or a similar descriptive name that reflects the entity."
ljk0071_side-project-back,Keyless Entry,infrastructure/jooq/repository/src/main/java/com/side/infrastructure/jooq/generated/tables/PartyRecruitModifyLog.java,59,61,"public final TableField<PartyRecruitModifyLogRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false), this, ""파티모집글id"");",The 'ID' column appears to reference the 'party_recruit' table (파티모집글id) but lacks a foreign key constraint. This can lead to orphaned records and data integrity issues. Consider adding a foreign key constraint referencing Keys.KEY_PARTY_RECRUIT_PRIMARY.
ljk0071_side-project-back,Keyless Entry,infrastructure/jooq/repository/src/main/java/com/side/infrastructure/jooq/generated/tables/PartyRecruitModifyLog.java,67,70,"public final TableField<PartyRecruitModifyLogRecord, Long> USER_UNIQUE_ID = createField(DSL.name(""user_unique_id""), SQLDataType.BIGINT.nullable(false), this, ""유저고유id"");",The 'USER_UNIQUE_ID' column references a user (유저고유id) but lacks a foreign key constraint to the User table. This can result in invalid user references. Consider adding a foreign key constraint referencing Keys.KEY_USER_PRIMARY.
ljk0071_side-project-back,Keyless Entry,infrastructure/jooq/repository/src/main/java/com/side/infrastructure/jooq/generated/tables/PartyRecruitModifyLog.java,103,105,"public final TableField<PartyRecruitModifyLogRecord, Long> CREATED_BY = createField(DSL.name(""created_by""), SQLDataType.BIGINT.nullable(false), this, ""생성자"");",The 'CREATED_BY' column represents a user who created the record (생성자) but lacks a foreign key constraint. This can lead to referencing non-existent users. Consider adding a foreign key constraint referencing Keys.KEY_USER_PRIMARY.
ljk0071_side-project-back,ID Required,infrastructure/jooq/repository/src/main/java/com/side/infrastructure/jooq/generated/tables/Resume.java,62,63,"public final TableField<ResumeRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false)
 .identity(true), this, ""이력서id"");","The primary key column is named just 'id', which is a generic name that doesn't convey meaning about the entity it identifies. Consider renaming it to 'resume_id' to make it self-documenting and avoid ambiguity in joins."
ljk0071_side-project-back,Keyless Entry,infrastructure/jooq/repository/src/main/java/com/side/infrastructure/jooq/generated/tables/ResumeModifyLog.java,68,68,"public final TableField<ResumeModifyLogRecord, Long> USER_UNIQUE_ID = createField(DSL.name(""user_unique_id""), SQLDataType.BIGINT.nullable(false), this, ""유저고유id"");","The USER_UNIQUE_ID column references the User table but lacks a foreign key constraint, which could lead to orphaned records or invalid references. Add a foreign key constraint referencing Keys.KEY_USER_PRIMARY (User.UNIQUE_ID)."
ljk0071_side-project-back,ID Required,infrastructure/jooq/repository/src/main/java/com/side/infrastructure/jooq/generated/tables/Role.java,56,57,"public final TableField<RoleRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false)
 .identity(true), this, ""역할id"");","The primary key is named just 'id' which is a generic, non-descriptive name. Consider renaming it to something more meaningful like 'role_id' to clearly identify which table it belongs to when used in joins or foreign key references."
ljk0071_side-project-back,Keyless Entry,infrastructure/jooq/repository/src/main/java/com/side/infrastructure/jooq/generated/tables/Role.java,80,80,"public final TableField<RoleRecord, Long> CREATED_BY = createField(DSL.name(""created_by""), SQLDataType.BIGINT.nullable(false), this, ""생성자"");",The 'created_by' column appears to reference a user but lacks a foreign key constraint to enforce referential integrity. Consider adding a foreign key constraint referencing the User table's primary key (UNIQUE_ID) to ensure data consistency.
ljk0071_side-project-back,Keyless Entry,infrastructure/jooq/repository/src/main/java/com/side/infrastructure/jooq/generated/tables/Role.java,88,88,"public final TableField<RoleRecord, Long> MODIFIED_BY = createField(DSL.name(""modified_by""), SQLDataType.BIGINT, this, ""수정자"");",The 'modified_by' column appears to reference a user but lacks a foreign key constraint to enforce referential integrity. Consider adding a foreign key constraint referencing the User table's primary key (UNIQUE_ID) to ensure data consistency.
ljk0071_side-project-back,ID Required,infrastructure/jooq/repository/src/main/java/com/side/infrastructure/jooq/generated/tables/RoleHierarchy.java,56,57,"public final TableField<RoleHierarchyRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false)
 .identity(true), this, ""역할관계id"");","The primary key is generically named 'id' instead of a more descriptive name like 'role_hierarchy_id'. Additionally, this table has a natural composite key candidate (higher_role_id, lower_role_id) that could serve as the primary key, making the synthetic 'id' column unnecessary. Consider renaming to 'role_hierarchy_id' or using the composite unique constraint as the primary key."
