Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
lsfoster64_gymhelper,Implicit Columns,src/main/java/com/bluejayfit/gymhelper/infrastructure/adapter/output/persistence/repository/ExerciseRepository.java,87,87,"Result<ExerciseRecord> exerciseRecords = this.dslContext.fetch(EXERCISE, EXERCISE.ID.in(ids));","Using `dslContext.fetch(EXERCISE, ...)` fetches all columns from the EXERCISE table into ExerciseRecord objects. Consider using `selectFrom(EXERCISE).where(...)` with explicit column selection if not all columns are needed."
lsfoster64_gymhelper,Implicit Columns,src/main/java/com/bluejayfit/gymhelper/infrastructure/adapter/output/persistence/repository/ExerciseRepository.java,92,92,"Result<ExerciseRecord> exerciseRecords = this.dslContext.fetch(EXERCISE, EXERCISE.PLAN_ID.eq(id));","Using `dslContext.fetch(EXERCISE, ...)` fetches all columns from the EXERCISE table. Specify only the required columns explicitly to improve query performance and reduce data transfer."
lsfoster64_gymhelper,Implicit Columns,src/main/java/com/bluejayfit/gymhelper/infrastructure/adapter/output/persistence/repository/ExerciseRepository.java,97,97,"Result<ExerciseRecord> exerciseRecords = this.dslContext.fetch(EXERCISE, EXERCISE.PLAN_ID.in(workoutPlanIds));","Using `dslContext.fetch(EXERCISE, ...)` fetches all columns from the EXERCISE table. Select only the columns you need to avoid unnecessary data retrieval."
lsfoster64_gymhelper,Implicit Columns,src/main/java/com/bluejayfit/gymhelper/infrastructure/adapter/output/persistence/repository/ExerciseRepository.java,110,112,"Result<ExerciseRecord> exerciseRecords = this.dslContext.fetch(EXERCISE, EXERCISE.PLAN_ID.in(
                select(PLAN.ID).from(PLAN).where(PLAN.PARENT_PLAN_ID.eq(parentPlanId)
                )));","Using `dslContext.fetch(EXERCISE, ...)` fetches all columns from the EXERCISE table. Explicitly specify the columns needed to optimize the query and reduce memory usage."
lsfoster64_gymhelper,Implicit Columns,src/main/java/com/bluejayfit/gymhelper/infrastructure/adapter/output/persistence/repository/WorkoutPlanRepository.java,42,42,List<PlanRecord> plans = dslContext.selectFrom(PLAN).where(,"Using selectFrom(PLAN) fetches all columns from the PLAN table into PlanRecord objects, which may retrieve unnecessary data. Consider using an explicit select() with only the columns needed for the WorkoutPlan mapping."
lsfoster64_gymhelper,Implicit Columns,src/main/java/com/bluejayfit/gymhelper/infrastructure/adapter/output/persistence/repository/WorkoutPlanRepository.java,53,53,PlanRecord plan = dslContext.selectFrom(PLAN).where(,"Using selectFrom(PLAN) fetches all columns from the PLAN table, which may include columns not needed for the WorkoutPlan domain object. Consider explicitly selecting only the required columns."
lsfoster64_gymhelper,ID Required,src/main/jooq/com/bluejayfit/gymhelper/jooq/tables/CanonicalExercise.java,56,56,"public final TableField<CanonicalExerciseRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");",The primary key column is generically named 'id' instead of a more descriptive name like 'canonical_exercise_id'. Consider renaming it to 'canonical_exercise_id' to make foreign key references more self-documenting and to avoid ambiguity in joins.
lsfoster64_gymhelper,Keyless Entry,src/main/jooq/com/bluejayfit/gymhelper/jooq/tables/CanonicalExercise.java,76,76,"public final TableField<CanonicalExerciseRecord, Long> ALIAS_OF = createField(DSL.name(""alias_of""), SQLDataType.BIGINT, this, """");","The 'alias_of' column appears to reference another canonical_exercise record (self-referential) but lacks a foreign key constraint, which could lead to orphaned references or invalid data. Add a foreign key constraint referencing CANONICAL_EXERCISE_PKEY to ensure referential integrity."
lsfoster64_gymhelper,ID Required,src/main/jooq/com/bluejayfit/gymhelper/jooq/tables/Exercise.java,63,63,"public final TableField<ExerciseRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");",The primary key column is generically named 'id' instead of a more descriptive name like 'exercise_id'. Consider renaming it to 'exercise_id' to make foreign key references more self-documenting and to avoid ambiguity in joins.
lsfoster64_gymhelper,Keyless Entry,src/main/jooq/com/bluejayfit/gymhelper/jooq/tables/Exercise.java,83,83,"public final TableField<ExerciseRecord, Long> CANONICAL = createField(DSL.name(""canonical""), SQLDataType.BIGINT, this, """");","The 'canonical' column appears to reference the 'canonical_exercise' table (based on CANONICAL_EXERCISE_PKEY in Keys), but no foreign key constraint is defined for it. Add a foreign key constraint referencing the canonical_exercise table to ensure referential integrity."
lsfoster64_gymhelper,ID Required,src/main/jooq/com/bluejayfit/gymhelper/jooq/tables/Plan.java,62,62,"public final TableField<PlanRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");",The primary key column is generically named 'id' instead of a more descriptive name like 'plan_id'. Consider renaming it to 'plan_id' to make the column's purpose clearer when used in joins and queries.
lsfoster64_gymhelper,Keyless Entry,src/main/jooq/com/bluejayfit/gymhelper/jooq/tables/Plan.java,82,82,"public final TableField<PlanRecord, Long> PARENT_PLAN_ID = createField(DSL.name(""parent_plan_id""), SQLDataType.BIGINT, this, """");","The 'parent_plan_id' column appears to reference the Plan table's primary key but lacks a foreign key constraint, which could lead to orphaned records or invalid references. Add a foreign key constraint referencing the Plan table's primary key (PLAN_PKEY)."
lsfoster64_gymhelper,Keyless Entry,src/main/jooq/com/bluejayfit/gymhelper/jooq/tables/Plan.java,87,87,"public final TableField<PlanRecord, Long> COPIED_FROM_PLAN_ID = createField(DSL.name(""copied_from_plan_id""), SQLDataType.BIGINT, this, """");","The 'copied_from_plan_id' column appears to reference the Plan table's primary key but lacks a foreign key constraint, risking referential integrity issues. Add a foreign key constraint referencing the Plan table's primary key (PLAN_PKEY)."
