Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
lzbkln_java-course-tinkoff-spring-2024,ID Required,scrapper/src/main/java/edu/java/domain/jooq/tables/Chats.java,64,65,"public final TableField<ChatsRecord, Long> ID =
    createField(DSL.name(""ID""), SQLDataType.BIGINT.nullable(false), this, """");",The primary key column is generically named 'ID' instead of a more descriptive name like 'chat_id'. Consider renaming the column to 'chat_id' to make it self-documenting and avoid ambiguity when joining tables.
lzbkln_java-course-tinkoff-spring-2024,ID Required,scrapper/src/main/java/edu/java/domain/jooq/tables/Links.java,67,68,"public final TableField<LinksRecord, Long> ID =
    createField(DSL.name(""ID""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");","The table uses a generic 'ID' column as primary key despite having a unique constraint on 'URL' which could serve as a natural key. Consider renaming the primary key to 'link_id' for clarity, or if URLs are stable identifiers, consider using 'URL' as the primary key instead."
lzbkln_java-course-tinkoff-spring-2024,Fear of the Unknown,scrapper/src/main/java/edu/java/domain/jooq/tables/Links.java,79,80,"public final TableField<LinksRecord, OffsetDateTime> LAST_UPDATED_AT =
    createField(DSL.name(""LAST_UPDATED_AT""), SQLDataType.TIMESTAMPWITHTIMEZONE(6), this, """");","The 'LAST_UPDATED_AT' column is marked as NULLABLE but likely should always have a value for a link tracking system. Consider adding a NOT NULL constraint with a default value like CURRENT_TIMESTAMP, or document why NULL is a valid state for this column."
lzbkln_java-course-tinkoff-spring-2024,Implicit Columns,scrapper/src/main/java/edu/java/repository/jooq/JooqGithubBranchesRepository.java,22,22,return dslContext.selectFrom(GITHUB_BRANCHES),"Using `selectFrom(GITHUB_BRANCHES)` fetches all columns from the table, which can retrieve unnecessary data and reduce performance. Replace with an explicit column selection like `select(GITHUB_BRANCHES.LINK_ID, GITHUB_BRANCHES.BRANCHES).from(GITHUB_BRANCHES)` to fetch only the required columns."
lzbkln_java-course-tinkoff-spring-2024,Implicit Columns,scrapper/src/main/java/edu/java/repository/jooq/JooqLinkageRepository.java,23,23,return dslContext.selectFrom(LINKAGE),"Using selectFrom(LINKAGE) fetches all columns from the LINKAGE table, which may retrieve unnecessary data. Consider using select() with only the specific columns needed, e.g., dslContext.select(LINKAGE.CHAT_ID, LINKAGE.LINK_ID).from(LINKAGE)."
lzbkln_java-course-tinkoff-spring-2024,Implicit Columns,scrapper/src/main/java/edu/java/repository/jooq/JooqLinkageRepository.java,30,30,return dslContext.selectFrom(LINKAGE),"Using selectFrom(LINKAGE) fetches all columns from the LINKAGE table, which may retrieve unnecessary data. Consider using select() with only the specific columns needed, e.g., dslContext.select(LINKAGE.CHAT_ID, LINKAGE.LINK_ID).from(LINKAGE)."
lzbkln_java-course-tinkoff-spring-2024,Implicit Columns,scrapper/src/main/java/edu/java/repository/jooq/JooqLinkRepository.java,25,25,dslContext.select(LINKS.fields()),"Using LINKS.fields() fetches all columns from the LINKS table, which can retrieve unnecessary data and reduce performance. Instead, explicitly select only the columns needed, such as dslContext.select(LINKS.ID, LINKS.URL, LINKS.LAST_UPDATED_AT)."
lzbkln_java-course-tinkoff-spring-2024,Implicit Columns,scrapper/src/main/java/edu/java/repository/jooq/JooqLinkRepository.java,33,33,dslContext.select(LINKS.fields()),"Using LINKS.fields() fetches all columns from the LINKS table, which can retrieve unnecessary data and reduce performance. Instead, explicitly select only the columns needed, such as dslContext.select(LINKS.ID, LINKS.URL, LINKS.LAST_UPDATED_AT)."
lzbkln_java-course-tinkoff-spring-2024,Implicit Columns,scrapper/src/main/java/edu/java/repository/jooq/JooqLinkRepository.java,63,63,dslContext.select(LINKS.fields()),"Using LINKS.fields() fetches all columns from the LINKS table, which can retrieve unnecessary data and reduce performance. Instead, explicitly select only the columns needed, such as dslContext.select(LINKS.ID, LINKS.URL, LINKS.LAST_UPDATED_AT)."
lzbkln_java-course-tinkoff-spring-2024,Implicit Columns,scrapper/src/main/java/edu/java/repository/jooq/JooqStackOverflowQuestionRepository.java,22,22,return dslContext.selectFrom(STACKOVERFLOW_QUESTION),"Using selectFrom() fetches all columns from the STACKOVERFLOW_QUESTION table, which may retrieve unnecessary data. Consider using select() with explicit column names like select(STACKOVERFLOW_QUESTION.LINK_ID, STACKOVERFLOW_QUESTION.ANSWER_COUNT) to fetch only the required columns."
