Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
magicswissweed_MagicSwissWeed2.0,ID Required,backend/src/generated/jooq/com/aa/msw/gen/jooq/tables/ForecastTable.java,60,60,"public final TableField<ForecastTableRecord, UUID> ID = createField(DSL.name(""id""), SQLDataType.UUID.nullable(false), this, """");","The table has a synthetic primary key named 'id' while a natural unique constraint 'unique_forecast' exists on (timestamp, stationid) that could serve as the primary key. Consider using the composite key (timestamp, stationid) as the primary key instead of the synthetic 'id' column."
magicswissweed_MagicSwissWeed2.0,Keyless Entry,backend/src/generated/jooq/com/aa/msw/gen/jooq/tables/HistoricalYearsDataTable.java,62,62,"public final TableField<HistoricalYearsDataTableRecord, Integer> STATION_ID = createField(DSL.name(""station_id""), SQLDataType.INTEGER.nullable(false), this, """");","The STATION_ID column appears to reference the StationTable but lacks a foreign key constraint, which could lead to orphaned records or invalid references. Add a foreign key constraint referencing StationTable.STATION_TABLE.DB_ID to ensure referential integrity."
magicswissweed_MagicSwissWeed2.0,Keyless Entry,backend/src/generated/jooq/com/aa/msw/gen/jooq/tables/Last_40DaysSamplesTable.java,62,62,"public final TableField<Last_40DaysSamplesTableRecord, Integer> STATION_ID = createField(DSL.name(""station_id""), SQLDataType.INTEGER.nullable(false), this, """");","The STATION_ID column appears to reference the station_table but lacks a foreign key constraint, which could lead to orphaned records or invalid references. Add a foreign key constraint referencing StationTable.STATION_TABLE.DB_ID to ensure referential integrity."
magicswissweed_MagicSwissWeed2.0,ID Required,backend/src/generated/jooq/com/aa/msw/gen/jooq/tables/NotificationSubscriptionTable.java,64,64,"public final TableField<NotificationSubscriptionTableRecord, UUID> ID = createField(DSL.name(""id""), SQLDataType.UUID.nullable(false), this, """");","The table uses a generic 'id' column as the primary key, but there's already a unique constraint 'UNIQUE_USER_SUBSCRIPTION' on (user_id, subscription_token) that could serve as a natural composite primary key. Consider using this natural key as the primary key or renaming the synthetic key to something more descriptive like 'notification_subscription_id'."
magicswissweed_MagicSwissWeed2.0,ID Required,backend/src/generated/jooq/com/aa/msw/gen/jooq/tables/SampleTable.java,59,59,"public final TableField<SampleTableRecord, UUID> ID = createField(DSL.name(""id""), SQLDataType.UUID.nullable(false), this, """");","The table uses a generic 'id' column as primary key while a natural unique constraint 'UNIQUE_SAMPLE' exists on (TIMESTAMP, STATIONID) that could serve as a composite primary key. Consider using the natural key as the primary key or renaming the synthetic key to something more descriptive like 'sample_id'."
magicswissweed_MagicSwissWeed2.0,ID Required,backend/src/generated/jooq/com/aa/msw/gen/jooq/tables/SpotCurrentInfoTable.java,64,64,"public final TableField<SpotCurrentInfoTableRecord, UUID> ID = createField(DSL.name(""id""), SQLDataType.UUID.nullable(false), this, """");","The primary key column is generically named 'id' instead of a more descriptive name like 'spot_current_info_id'. Consider renaming the primary key to something more meaningful that identifies the entity, such as 'spot_current_info_id'."
magicswissweed_MagicSwissWeed2.0,31 Flavors,backend/src/generated/jooq/com/aa/msw/gen/jooq/tables/SpotCurrentInfoTable.java,74,74,"public final TableField<SpotCurrentInfoTableRecord, Flowstatus> CURRENTFLOWSTATUS = createField(DSL.name(""currentflowstatus""), SQLDataType.VARCHAR.nullable(false).asEnumDataType(Flowstatus.class), this, """");","The 'currentflowstatus' column uses an ENUM type (Flowstatus) to restrict allowed values, which makes it difficult to add, remove, or modify status values without altering the schema. Consider creating a separate 'flow_status' lookup table and referencing it with a foreign key instead."
magicswissweed_MagicSwissWeed2.0,ID Required,backend/src/generated/jooq/com/aa/msw/gen/jooq/tables/SpotTable.java,63,63,"public final TableField<SpotTableRecord, UUID> ID = createField(DSL.name(""id""), SQLDataType.UUID.nullable(false), this, """");",The primary key column is generically named 'id' instead of a more descriptive name like 'spot_id'. Consider renaming the primary key to 'spot_id' or another name that clearly identifies what entity it belongs to.
magicswissweed_MagicSwissWeed2.0,31 Flavors,backend/src/generated/jooq/com/aa/msw/gen/jooq/tables/SpotTable.java,68,68,"public final TableField<SpotTableRecord, Spottype> TYPE = createField(DSL.name(""type""), SQLDataType.VARCHAR.nullable(false).asEnumDataType(Spottype.class), this, """");","The 'type' column uses an ENUM type (Spottype) to restrict allowed values, which makes adding or removing spot types difficult without schema changes. Consider creating a separate 'spot_type' lookup table and referencing it with a foreign key."
magicswissweed_MagicSwissWeed2.0,Keyless Entry,backend/src/generated/jooq/com/aa/msw/gen/jooq/tables/SpotTable.java,73,73,"public final TableField<SpotTableRecord, Integer> STATIONID = createField(DSL.name(""stationid""), SQLDataType.INTEGER.nullable(false), this, """");","The 'stationid' column appears to reference the station_table but lacks a foreign key constraint, which could lead to orphaned records or invalid references. Add a foreign key constraint referencing STATION_TABLE_PKEY to ensure referential integrity."
magicswissweed_MagicSwissWeed2.0,Fear of the Unknown,backend/src/generated/jooq/com/aa/msw/gen/jooq/tables/SpotTable.java,78,78,"public final TableField<SpotTableRecord, String> NAME = createField(DSL.name(""name""), SQLDataType.VARCHAR(255), this, """");","The 'name' column is marked as NULLABLE but has no clear semantic reason for allowing NULL values for a spot's name. Consider making this column NOT NULL if a name is always required, or document why NULL is a valid state for this field."
magicswissweed_MagicSwissWeed2.0,ID Required,backend/src/generated/jooq/com/aa/msw/gen/jooq/tables/StationTable.java,56,56,"public final TableField<StationTableRecord, UUID> DB_ID = createField(DSL.name(""db_id""), SQLDataType.UUID.nullable(false), this, """");","The table has a synthetic primary key (DB_ID) even though STATIONID appears to be a natural unique identifier for stations that could serve as the primary key. Consider using STATIONID as the primary key if it uniquely identifies stations, or rename DB_ID to something more meaningful like 'station_uuid'."
