Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
mbto_funnyranks,ID Required,src/main/java/com/github/mbto/funnyranks/common/model/funnyranks_stats/tables/History.java,68,68,"public final TableField<HistoryRecord, UInteger> ID = createField(DSL.name(""id""), SQLDataType.INTEGERUNSIGNED.nullable(false).identity(true), this, """");",The primary key column is generically named 'id' instead of a more descriptive name like 'history_id'. Consider renaming the primary key to 'history_id' to make it self-documenting and avoid ambiguity in JOIN queries.
mbto_funnyranks,ID Required,src/main/java/com/github/mbto/funnyranks/common/model/funnyranks_stats/tables/Player.java,71,71,"public final TableField<PlayerRecord, UInteger> ID = createField(DSL.name(""id""), SQLDataType.INTEGERUNSIGNED.nullable(false).identity(true), this, """");",The primary key column is generically named 'id' instead of a more descriptive name like 'player_id'. Consider renaming the column to 'player_id' to make it self-documenting and avoid ambiguity in queries with joins.
mbto_funnyranks,ID Required,src/main/java/com/github/mbto/funnyranks/common/model/funnyranks_stats/tables/PlayerIp.java,67,67,"public final TableField<PlayerIpRecord, UInteger> ID = createField(DSL.name(""id""), SQLDataType.INTEGERUNSIGNED.nullable(false).identity(true), this, """");","The table uses a generic 'id' column as primary key despite having a natural unique constraint on (player_id, ip) via KEY_PLAYER_IP_UQX_IP that could serve as a composite primary key. Consider using the composite key (player_id, ip) as the primary key instead of the synthetic 'id' column."
mbto_funnyranks,ID Required,src/main/java/com/github/mbto/funnyranks/common/model/funnyranks_stats/tables/PlayerName.java,67,67,"public final TableField<PlayerNameRecord, UInteger> ID = createField(DSL.name(""id""), SQLDataType.INTEGERUNSIGNED.nullable(false).identity(true), this, """");","The table uses a generic 'id' column as the primary key, but there's already a unique constraint (KEY_PLAYER_NAME_UQX_NAME) on (player_id, name) which could serve as a natural composite primary key. Consider using the composite key (player_id, name) as the primary key instead of the synthetic 'id' column."
mbto_funnyranks,ID Required,src/main/java/com/github/mbto/funnyranks/common/model/funnyranks_stats/tables/PlayerSteamid.java,67,67,"public final TableField<PlayerSteamidRecord, UInteger> ID = createField(DSL.name(""id""), SQLDataType.INTEGERUNSIGNED.nullable(false).identity(true), this, """");","The table uses a generic 'id' column as primary key while having a unique constraint on (player_id, steamid64) that could serve as a natural composite primary key. Consider using the existing unique constraint KEY_PLAYER_STEAMID_UQX_STEAMID as the primary key instead of the synthetic 'id' column."
mbto_funnyranks,ID Required,src/main/java/com/github/mbto/funnyranks/common/model/funnyranks_stats/tables/Rank.java,65,65,"public final TableField<RankRecord, UInteger> ID = createField(DSL.name(""id""), SQLDataType.INTEGERUNSIGNED.nullable(false).identity(true), this, """");","The table has a synthetic auto-increment primary key named 'id' even though it has a unique constraint on 'level' (KEY_RANK_RANK_LEVEL_UNIQUE) which could serve as a natural primary key. Consider using 'level' as the primary key since it's already unique and is used as the reference target for foreign keys from other tables (HISTORY_NEW_LEVEL_FK, HISTORY_OLD_LEVEL_FK, PLAYER_RANK_LEVEL_FK_IDX)."
mbto_funnyranks,ID Required,src/main/java/com/github/mbto/funnyranks/common/model/funnyranks/tables/Broker.java,65,65,"public final TableField<BrokerRecord, UInteger> ID = createField(DSL.name(""id""), SQLDataType.INTEGERUNSIGNED.nullable(false).identity(true), this, """");","The table uses a generic 'id' column as the primary key, but there's already a unique constraint on 'name' (KEY_BROKER_BROKER_NAME_UNIQUE) which could serve as a natural primary key since broker names are unique and immutable by nature. Consider using 'name' as the primary key or renaming 'id' to 'broker_id' for clarity."
mbto_funnyranks,ID Required,src/main/java/com/github/mbto/funnyranks/common/model/funnyranks/tables/DriverProperty.java,67,67,"public final TableField<DriverPropertyRecord, UInteger> ID = createField(DSL.name(""id""), SQLDataType.INTEGERUNSIGNED.nullable(false).identity(true), this, """");",The primary key column is generically named 'id' instead of a more descriptive name like 'driver_property_id'. Consider renaming the column to 'driver_property_id' to make it self-documenting and avoid ambiguity in joins.
mbto_funnyranks,ID Required,src/main/java/com/github/mbto/funnyranks/common/model/funnyranks/tables/Manager.java,62,62,"public final TableField<ManagerRecord, UInteger> ID = createField(DSL.name(""id""), SQLDataType.INTEGERUNSIGNED.nullable(false).identity(true), this, """");","The table uses a generic 'id' column as the primary key, even though there's already a unique constraint on 'username' which could serve as a natural primary key. Consider using 'username' as the primary key or renaming the synthetic key to something more descriptive like 'manager_id'."
mbto_funnyranks,31 Flavors,src/main/java/com/github/mbto/funnyranks/common/model/funnyranks/tables/Manager.java,83,83,"public final TableField<ManagerRecord, ManagerRole> ROLE = createField(DSL.name(""role""), SQLDataType.VARCHAR(7).nullable(false).defaultValue(DSL.inline(""project"", SQLDataType.VARCHAR)).asEnumDataType(ManagerRole.class), this, """");","The 'role' column uses an ENUM type to restrict allowed values, which makes it difficult to add, remove, or modify roles without altering the table schema. Consider creating a separate 'role' lookup table and referencing it with a foreign key."
