Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
metaloom_loom,31 Flavors,db/jooq/src/jooq/java/io/metaloom/loom/db/jooq/tables/JooqAnnotation.java,67,67,"public final TableField<JooqAnnotationRecord, JooqAnnotationType> TYPE = createField(DSL.name(""type""), SQLDataType.VARCHAR.nullable(false).asEnumDataType(io.metaloom.loom.db.jooq.enums.JooqAnnotationType.class), this, """");",The TYPE column uses an ENUM data type (JooqAnnotationType) which embeds allowed values in the column definition. This makes adding or removing annotation types difficult as it requires schema changes. Consider creating a separate lookup table for annotation types.
metaloom_loom,Keyless Entry,db/jooq/src/jooq/java/io/metaloom/loom/db/jooq/tables/JooqAnnotation.java,72,72,"public final TableField<JooqAnnotationRecord, java.util.UUID> ASSET_UUID = createField(DSL.name(""asset_uuid""), SQLDataType.UUID.nullable(false), this, """");","The ASSET_UUID column appears to reference the asset table but lacks a foreign key constraint, which could lead to orphaned records or invalid references. Add a foreign key constraint referencing the asset table's primary key (ASSET_PKEY)."
metaloom_loom,Keyless Entry,db/jooq/src/jooq/java/io/metaloom/loom/db/jooq/tables/JooqAnnotationAsset.java,63,63,"public final TableField<JooqAnnotationAssetRecord, UUID> ASSET_UUID = createField(DSL.name(""asset_uuid""), SQLDataType.UUID.nullable(false), this, """");","The column 'asset_uuid' appears to reference the Asset table but lacks a foreign key constraint, which could lead to orphaned records or invalid references. Add a foreign key constraint referencing the Asset table's primary key (ASSET_PKEY)."
metaloom_loom,ID Required,db/jooq/src/jooq/java/io/metaloom/loom/db/jooq/tables/JooqAsset.java,58,58,"public final TableField<JooqAssetRecord, java.util.UUID> UUID = createField(DSL.name(""uuid""), SQLDataType.UUID.defaultValue(DSL.field(""uuid_generate_v4()"", SQLDataType.UUID)), this, """");","The table has a synthetic UUID primary key column even though the SHA512SUM column already serves as the actual primary key (as shown in Keys.ASSET_PKEY). Since SHA512SUM is immutable by nature (a hash value never changes for the same content), the UUID column is redundant. Consider removing the UUID column and using SHA512SUM as the sole identifier."
metaloom_loom,Keyless Entry,db/jooq/src/jooq/java/io/metaloom/loom/db/jooq/tables/JooqAssetLocation.java,70,70,"public final TableField<JooqAssetLocationRecord, java.util.UUID> ASSET_UUID = createField(DSL.name(""asset_uuid""), SQLDataType.UUID.nullable(false), this, ""Reference to the media asset for the asset_location."");","The ASSET_UUID column references the asset table but lacks a foreign key constraint, which could lead to orphaned records or invalid references. Add a foreign key constraint referencing the ASSET_PKEY (JooqAsset.ASSET.SHA512SUM) or the asset's UUID column if one exists."
metaloom_loom,Keyless Entry,db/jooq/src/jooq/java/io/metaloom/loom/db/jooq/tables/JooqAssetRemix.java,93,93,"public final TableField<JooqAssetRemixRecord, UUID> EDITOR_UUID = createField(DSL.name(""editor_uuid""), SQLDataType.UUID.nullable(false), this, """");","The `editor_uuid` column appears to reference the user table but lacks a foreign key constraint, which could lead to orphaned references or invalid data. Add a foreign key constraint referencing the `user` table's primary key, similar to the existing `ASSET_REMIX__ASSET_REMIX_CREATOR_UUID_FKEY` for `creator_uuid`."
metaloom_loom,Keyless Entry,db/jooq/src/jooq/java/io/metaloom/loom/db/jooq/tables/JooqAssetTask.java,58,58,"public final TableField<JooqAssetTaskRecord, UUID> ASSET_UUID = createField(DSL.name(""asset_uuid""), SQLDataType.UUID.nullable(false), this, """");","The column 'asset_uuid' appears to reference the 'asset' table but lacks a foreign key constraint, which could lead to orphaned records and data integrity issues. Add a foreign key constraint referencing the ASSET_PKEY (SHA512SUM) or the appropriate asset identifier."
metaloom_loom,Keyless Entry,db/jooq/src/jooq/java/io/metaloom/loom/db/jooq/tables/JooqAssetUserMeta.java,60,60,"public final TableField<JooqAssetUserMetaRecord, UUID> ASSET_UUID = createField(DSL.name(""asset_uuid""), SQLDataType.UUID.nullable(false), this, """");","The ASSET_UUID column appears to reference the asset table but lacks a foreign key constraint, which could lead to orphaned records or invalid references. Add a foreign key constraint referencing the asset table's primary key (ASSET_PKEY on SHA512SUM) or the appropriate asset identifier."
metaloom_loom,Keyless Entry,db/jooq/src/jooq/java/io/metaloom/loom/db/jooq/tables/JooqAttachment.java,78,78,"public final TableField<JooqAttachmentRecord, java.util.UUID> ASSET_UUID = createField(DSL.name(""asset_uuid""), SQLDataType.UUID, this, """");","The column 'asset_uuid' appears to reference the asset table but lacks a foreign key constraint, which could lead to orphaned records or invalid references. Add a foreign key constraint referencing the ASSET_PKEY (JooqAsset.ASSET.SHA512SUM) or if this should reference an asset by UUID, ensure the appropriate primary key exists and add the foreign key."
metaloom_loom,31 Flavors,db/jooq/src/jooq/java/io/metaloom/loom/db/jooq/tables/JooqAttachment.java,88,88,"public final TableField<JooqAttachmentRecord, JooqAttachmentType> TYPE = createField(DSL.name(""type""), SQLDataType.VARCHAR.nullable(false).asEnumDataType(io.metaloom.loom.db.jooq.enums.JooqAttachmentType.class), this, """");","The 'type' column uses an ENUM type to restrict allowed values, which makes adding or removing attachment types difficult without schema changes. Consider creating a separate lookup table for attachment types that can be modified without DDL changes."
