Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
modlix-india_nocode-saas,Implicit Columns,commons-core/src/main/java/com/fincity/saas/commons/core/dao/CoreTokenDAO.java,30,30,.selectFrom(CORE_TOKENS),"Using selectFrom() fetches all columns from the CORE_TOKENS table, but only TOKEN and EXPIRES_AT are used. Replace with an explicit select() specifying only the required columns: .select(CORE_TOKENS.TOKEN, CORE_TOKENS.EXPIRES_AT).from(CORE_TOKENS)."
modlix-india_nocode-saas,Implicit Columns,commons-core/src/main/java/com/fincity/saas/commons/core/dao/CoreTokenDAO.java,42,42,.selectFrom(CORE_TOKENS),Using selectFrom() fetches all columns from the CORE_TOKENS table when mapping to CoreToken. Consider using an explicit select() with only the columns needed for the CoreToken DTO.
modlix-india_nocode-saas,Implicit Columns,commons-core/src/main/java/com/fincity/saas/commons/core/dao/CoreTokenDAO.java,56,56,.selectFrom(CORE_TOKENS),Using selectFrom() fetches all columns from the CORE_TOKENS table when mapping to CoreToken. Consider using an explicit select() with only the columns needed for the CoreToken DTO.
modlix-india_nocode-saas,Implicit Columns,commons-core/src/main/java/com/fincity/saas/commons/core/dao/RemoteRepositoryDAO.java,27,27,.selectFrom(CORE_REMOTE_REPOSITORIES),"Using selectFrom() fetches all columns from the CORE_REMOTE_REPOSITORIES table, but only one record is needed. Consider using .select() with only the required columns instead of selectFrom()."
modlix-india_nocode-saas,Implicit Columns,commons-core/src/main/java/com/fincity/saas/commons/core/dao/RemoteRepositoryDAO.java,36,36,.selectFrom(CORE_REMOTE_REPOSITORIES),"Using selectFrom() fetches all columns from the table, but only the REPO_NAME column is actually used. Replace selectFrom() with .select(CORE_REMOTE_REPOSITORIES.REPO_NAME) to fetch only the needed column."
modlix-india_nocode-saas,ID Required,commons-core/src/main/java/com/fincity/saas/commons/core/jooq/tables/CoreRemoteRepositories.java,59,59,"public final TableField<CoreRemoteRepositoriesRecord, ULong> ID = createField(DSL.name(""ID""), SQLDataType.BIGINTUNSIGNED.nullable(false).identity(true), this, ""Primary key"");",The primary key is named just 'ID' which is a generic name that doesn't convey any meaning about the entity it identifies. Consider renaming it to something more descriptive like 'remote_repository_id' to make the schema more self-documenting and avoid ambiguity in joins.
modlix-india_nocode-saas,31 Flavors,commons-core/src/main/java/com/fincity/saas/commons/core/jooq/tables/CoreRemoteRepositories.java,82,82,"public final TableField<CoreRemoteRepositoriesRecord, CoreRemoteRepositoriesRepoName> REPO_NAME = createField(DSL.name(""REPO_NAME""), SQLDataType.VARCHAR(9).nullable(false).asEnumDataType(CoreRemoteRepositoriesRepoName.class), this, ""Repository name"");","The REPO_NAME column uses an ENUM type to restrict allowed values, which makes it difficult to add, remove, or modify repository names without altering the table schema. Consider creating a separate lookup table (e.g., 'repository_types') and referencing it via a foreign key for better flexibility."
modlix-india_nocode-saas,ID Required,commons-core/src/main/java/com/fincity/saas/commons/core/jooq/tables/CoreTokens.java,65,65,"public final TableField<CoreTokensRecord, ULong> ID = createField(DSL.name(""ID""), SQLDataType.BIGINTUNSIGNED.nullable(false).identity(true), this, ""Primary key"");",The primary key column is generically named 'ID' which doesn't convey any meaning about the entity it identifies. Consider renaming it to something more descriptive like 'token_id' to better communicate its purpose.
modlix-india_nocode-saas,31 Flavors,commons-core/src/main/java/com/fincity/saas/commons/core/jooq/tables/CoreTokens.java,97,97,"public final TableField<CoreTokensRecord, CoreTokensTokenType> TOKEN_TYPE = createField(DSL.name(""TOKEN_TYPE""), SQLDataType.VARCHAR(7).nullable(false).asEnumDataType(CoreTokensTokenType.class), this, ""Type of token that is generated"");","The TOKEN_TYPE column uses an ENUM type to restrict allowed values, which makes adding or removing token types difficult without schema changes. Consider creating a separate lookup table (e.g., 'token_types') to store the allowed values, allowing easier maintenance and extensibility."
modlix-india_nocode-saas,Poor Man's Search Engine,commons-jooq/src/main/java/com/fincity/saas/commons/jooq/dao/AbstractDAO.java,265,265,case LIKE -> field.like(fc.getValue().toString());,Using LIKE with a user-provided value may perform full-text search if the value contains wildcards (%). Consider using a proper full-text search engine like Elasticsearch or database-native full-text search capabilities instead of LIKE patterns.
modlix-india_nocode-saas,Poor Man's Search Engine,commons-jooq/src/main/java/com/fincity/saas/commons/jooq/dao/AbstractDAO.java,266,266,"case STRING_LOOSE_EQUAL -> field.like(""%"" + fc.getValue() + ""%"");","Using LIKE with wildcards on both sides ('%value%') performs inefficient full-text search that cannot use indexes. Consider using database full-text search features (e.g., PostgreSQL's tsvector/tsquery) or a dedicated search engine like Elasticsearch."
modlix-india_nocode-saas,Poor Man's Search Engine,commons2-jooq/src/main/java/com/modlix/saas/commons2/jooq/dao/AbstractDAO.java,265,265,"case STRING_LOOSE_EQUAL -> field.like(""%"" + fc.getValue() + ""%"");","Using LIKE with wildcards on both sides ('%value%') performs a full-text search that cannot use indexes efficiently, leading to full table scans. Consider using a dedicated full-text search solution like PostgreSQL's tsvector/tsquery, Elasticsearch, or database-specific full-text indexes."
modlix-india_nocode-saas,Implicit Columns,entity-collector/src/main/java/com/fincity/saas/entity/collector/dao/EntityIntegrationDAO.java,32,32,.selectFrom(ENTITY_INTEGRATIONS),"Using selectFrom() fetches all columns from the ENTITY_INTEGRATIONS table, which retrieves unnecessary data and impacts performance. Consider using select() with only the specific columns needed for the EntityIntegration DTO."
modlix-india_nocode-saas,ID Required,entity-collector/src/main/java/com/fincity/saas/entity/collector/jooq/tables/EntityCollectorLog.java,70,70,"public final TableField<EntityCollectorLogRecord, ULong> ID = createField(DSL.name(""ID""), SQLDataType.BIGINTUNSIGNED.nullable(false).identity(true), this, ""Primary key"");",The primary key column is generically named 'ID' which doesn't convey any meaning about the entity it identifies. Consider renaming it to something more descriptive like 'entity_collector_log_id' to make joins and queries more self-documenting.
modlix-india_nocode-saas,31 Flavors,entity-collector/src/main/java/com/fincity/saas/entity/collector/jooq/tables/EntityCollectorLog.java,103,103,"public final TableField<EntityCollectorLogRecord, EntityCollectorLogStatus> STATUS = createField(DSL.name(""STATUS""), SQLDataType.VARCHAR(16).asEnumDataType(EntityCollectorLogStatus.class), this, ""Status of the entity transfer"");","The STATUS column uses an ENUM type to restrict allowed values, which makes it difficult to add, remove, or modify status values without altering the table schema. Consider creating a separate lookup table (e.g., 'entity_collector_log_status') to store status values, allowing for easier maintenance and the ability to add metadata to each status."
modlix-india_nocode-saas,ID Required,entity-collector/src/main/java/com/fincity/saas/entity/collector/jooq/tables/EntityIntegrations.java,69,69,"public final TableField<EntityIntegrationsRecord, ULong> ID = createField(DSL.name(""ID""), SQLDataType.BIGINTUNSIGNED.nullable(false).identity(true), this, ""Primary key, unique identifier for each entity integration"");","The primary key is named just 'ID', which is a generic name that doesn't convey meaning about the entity it identifies. Consider renaming it to 'entity_integration_id' or similar to make foreign key relationships more self-documenting."
modlix-india_nocode-saas,31 Flavors,entity-collector/src/main/java/com/fincity/saas/entity/collector/jooq/tables/EntityIntegrations.java,115,115,"public final TableField<EntityIntegrationsRecord, EntityIntegrationsInSourceType> IN_SOURCE_TYPE = createField(DSL.name(""IN_SOURCE_TYPE""), SQLDataType.VARCHAR(13).nullable(false).asEnumDataType(EntityIntegrationsInSourceType.class), this, ""Type of source that integration is generated"");","The IN_SOURCE_TYPE column uses an ENUM type to restrict allowed values, which makes adding or removing values difficult and requires schema changes. Consider creating a separate lookup table for source types that can be modified without DDL changes."
modlix-india_nocode-saas,31 Flavors,entity-collector/src/main/java/com/fincity/saas/entity/collector/jooq/tables/EntityIntegrations.java,135,135,"public final TableField<EntityIntegrationsRecord, EntityIntegrationsStatus> STATUS = createField(DSL.name(""STATUS""), SQLDataType.VARCHAR(7).nullable(false).defaultValue(DSL.inline(""ACTIVE"", SQLDataType.VARCHAR)).asEnumDataType(EntityIntegrationsStatus.class), this, ""Integration status"");","The STATUS column uses an ENUM type to restrict allowed values, which makes adding new statuses difficult and requires schema changes. Consider creating a separate status lookup table that can be modified without DDL changes."
modlix-india_nocode-saas,Implicit Columns,entity-processor/src/main/java/com/fincity/saas/entity/processor/dao/base/BaseUpdatableDAO.java,150,150,this.dslContext.selectFrom(this.table).where(this.idField.eq(id)),"Using `selectFrom(table)` fetches all columns from the table, which can retrieve unnecessary data and impact performance. Consider explicitly selecting only the required columns using `select(...).from(table)`."
modlix-india_nocode-saas,Implicit Columns,entity-processor/src/main/java/com/fincity/saas/entity/processor/dao/base/BaseUpdatableDAO.java,157,157,this.dslContext.selectFrom(this.table).where(jCondition),"Using `selectFrom(table)` fetches all columns from the table, which can retrieve unnecessary data and impact performance. Consider explicitly selecting only the required columns using `select(...).from(table)`."
modlix-india_nocode-saas,Implicit Columns,entity-processor/src/main/java/com/fincity/saas/entity/processor/dao/base/BaseUpdatableDAO.java,164,164,this.dslContext.selectFrom(this.table).where(jCondition),"Using `selectFrom(table)` fetches all columns from the table, which can retrieve unnecessary data and impact performance. Consider explicitly selecting only the required columns using `select(...).from(table)`."
modlix-india_nocode-saas,Implicit Columns,entity-processor/src/main/java/com/fincity/saas/entity/processor/dao/base/BaseValueDAO.java,80,80,"this.dslContext
                        .selectFrom(this.table)","Using selectFrom(this.table) fetches all columns from the table, which can retrieve unnecessary data and impact performance. Consider explicitly selecting only the required columns using select(field1, field2, ...).from(this.table)."
modlix-india_nocode-saas,Implicit Columns,entity-processor/src/main/java/com/fincity/saas/entity/processor/dao/base/BaseValueDAO.java,90,90,"this.dslContext
                        .selectFrom(this.table)","Using selectFrom(this.table) fetches all columns from the table, which retrieves more data than may be needed. Consider explicitly listing only the columns required for the DTO mapping."
modlix-india_nocode-saas,Implicit Columns,entity-processor/src/main/java/com/fincity/saas/entity/processor/dao/CampaignDAO.java,22,22,.selectFrom(this.table),"Using selectFrom() fetches all columns from the ENTITY_PROCESSOR_CAMPAIGNS table, which may retrieve unnecessary data. Consider using select() with only the specific columns needed for the Campaign DTO."
modlix-india_nocode-saas,Implicit Columns,entity-processor/src/main/java/com/fincity/saas/entity/processor/dao/form/BaseWalkInFromDAO.java,29,29,.selectFrom(this.table),"Using selectFrom() fetches all columns from the table, which can retrieve unnecessary data and impact performance. Consider using select() with only the specific columns needed for the BaseWalkInFormDto."
modlix-india_nocode-saas,Implicit Columns,entity-processor/src/main/java/com/fincity/saas/entity/processor/dao/OwnerDAO.java,24,24,.selectFrom(this.table),"Using selectFrom() fetches all columns from the table, which retrieves unnecessary data and impacts performance. Replace with an explicit select() specifying only the columns needed for the Owner DTO."
modlix-india_nocode-saas,Implicit Columns,entity-processor/src/main/java/com/fincity/saas/entity/processor/dao/PartnerDAO.java,36,36,this.dslContext.selectFrom(this.table).where(jCondition)),"Using selectFrom() fetches all columns from the table, which can retrieve unnecessary data and impact performance. Consider using an explicit select() with only the required columns instead."
modlix-india_nocode-saas,Implicit Columns,entity-processor/src/main/java/com/fincity/saas/entity/processor/dao/PartnerDAO.java,52,52,this.dslContext.selectFrom(this.table).where(jCondition)),"Using selectFrom() fetches all columns from the table, which can retrieve unnecessary data and impact performance. Consider using an explicit select() with only the required columns instead."
modlix-india_nocode-saas,Implicit Columns,entity-processor/src/main/java/com/fincity/saas/entity/processor/dao/PartnerDAO.java,67,67,this.dslContext.selectFrom(this.table).where(jCondition)),"Using selectFrom() fetches all columns from the table, which can retrieve unnecessary data and impact performance. Consider using an explicit select() with only the required columns instead."
modlix-india_nocode-saas,Implicit Columns,entity-processor/src/main/java/com/fincity/saas/entity/processor/dao/PartnerDAO.java,81,81,Flux.from(this.dslContext.selectFrom(this.table).where(jCondition))),"Using selectFrom() fetches all columns from the table, which can retrieve unnecessary data and impact performance. Consider using an explicit select() with only the required columns instead."
modlix-india_nocode-saas,Implicit Columns,entity-processor/src/main/java/com/fincity/saas/entity/processor/dao/product/ProductCommDAO.java,34,34,.selectFrom(ENTITY_PROCESSOR_PRODUCT_COMMS),"Using selectFrom() fetches all columns from the ENTITY_PROCESSOR_PRODUCT_COMMS table, which may retrieve unnecessary data. Consider explicitly selecting only the required columns using select(...).from(ENTITY_PROCESSOR_PRODUCT_COMMS)."
modlix-india_nocode-saas,Implicit Columns,entity-processor/src/main/java/com/fincity/saas/entity/processor/dao/product/ProductCommDAO.java,51,51,.selectFrom(ENTITY_PROCESSOR_PRODUCT_COMMS),"Using selectFrom() fetches all columns from the ENTITY_PROCESSOR_PRODUCT_COMMS table, which may retrieve unnecessary data. Consider explicitly selecting only the required columns using select(...).from(ENTITY_PROCESSOR_PRODUCT_COMMS)."
modlix-india_nocode-saas,Implicit Columns,entity-processor/src/main/java/com/fincity/saas/entity/processor/dao/product/ProductCommDAO.java,67,67,.selectFrom(ENTITY_PROCESSOR_PRODUCT_COMMS),"Using selectFrom() fetches all columns from the ENTITY_PROCESSOR_PRODUCT_COMMS table, which may retrieve unnecessary data. Consider explicitly selecting only the required columns using select(...).from(ENTITY_PROCESSOR_PRODUCT_COMMS)."
modlix-india_nocode-saas,Implicit Columns,entity-processor/src/main/java/com/fincity/saas/entity/processor/dao/product/ProductCommDAO.java,78,78,.selectFrom(ENTITY_PROCESSOR_PRODUCT_COMMS),"Using selectFrom() fetches all columns from the ENTITY_PROCESSOR_PRODUCT_COMMS table, which may retrieve unnecessary data. Consider explicitly selecting only the required columns using select(...).from(ENTITY_PROCESSOR_PRODUCT_COMMS)."
modlix-india_nocode-saas,Implicit Columns,entity-processor/src/main/java/com/fincity/saas/entity/processor/dao/product/ProductCommDAO.java,96,96,.selectFrom(ENTITY_PROCESSOR_PRODUCT_COMMS),"Using selectFrom() fetches all columns from the ENTITY_PROCESSOR_PRODUCT_COMMS table, which may retrieve unnecessary data. Consider explicitly selecting only the required columns using select(...).from(ENTITY_PROCESSOR_PRODUCT_COMMS)."
modlix-india_nocode-saas,Implicit Columns,entity-processor/src/main/java/com/fincity/saas/entity/processor/dao/product/ProductDAO.java,53,53,this.dslContext.selectFrom(this.table).where(jCondition),"Using `selectFrom(this.table)` fetches all columns from the table, which can retrieve unnecessary data and impact performance. Consider explicitly selecting only the required columns using `select(...).from(this.table)`."
modlix-india_nocode-saas,Implicit Columns,entity-processor/src/main/java/com/fincity/saas/entity/processor/dao/product/ProductTicketRuRuleDAO.java,57,57,.select(this.table.fields()),"Selecting all columns from a table using `this.table.fields()` fetches every column regardless of actual need, which can hurt performance and maintainability. Explicitly list only the columns required for the `ProductTicketRuRule` DTO."
modlix-india_nocode-saas,Implicit Columns,entity-processor/src/main/java/com/fincity/saas/entity/processor/dao/rule/BaseRuleDAO.java,41,41,dslContext.selectFrom(this.table).where(jCondition.and(super.isActiveTrue())),"Using selectFrom() fetches all columns from the table, which can retrieve unnecessary data and impact performance. Consider using select() with only the specific columns needed for the BaseRuleDto."
