Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
neptunejing_SkillUp-Ecom-Plat,Implicit Columns,commodity-service/src/main/java/com/skillup/infrastructure/repoImpl/JooqCommodityRepo.java,27,27,dslContext.selectFrom(COMMODITY_T),"Using selectFrom() fetches all columns from the COMMODITY table, which retrieves unnecessary data and impacts performance. Consider using select() with only the specific columns needed for the toDomain mapping (COMMODITY_ID, COMMODITY_NAME, DESCRIPTION, PRICE, IMAGE_URL)."
neptunejing_SkillUp-Ecom-Plat,Implicit Columns,order-service-1.2/src/main/java/com/skillup/infrastructure/repoImpl/JooqOrderRepo.java,32,32,dslContext.selectFrom(ORDER_T),"Using selectFrom() fetches all columns from the ORDER table, which retrieves unnecessary data and reduces query performance. Consider using select() with only the specific columns needed for the OrderDomain mapping."
neptunejing_SkillUp-Ecom-Plat,Implicit Columns,order-service-1/src/main/java/com/skillup/infrastructure/repoImpl/JooqOrderRepo.java,32,32,dslContext.selectFrom(ORDER_T),"Using selectFrom() fetches all columns from the ORDER table, which retrieves unnecessary data and impacts performance. Consider using select() with only the specific columns needed for the OrderDomain mapping."
neptunejing_SkillUp-Ecom-Plat,Implicit Columns,order-service-2.2/src/main/java/com/skillup/infrastructure/repoImpl/JooqOrderRepo.java,32,32,dslContext.selectFrom(ORDER_T),"Using selectFrom() fetches all columns from the ORDER table, which retrieves unnecessary data and impacts performance. Consider using select() with only the specific columns needed for the OrderDomain mapping."
neptunejing_SkillUp-Ecom-Plat,Implicit Columns,order-service-2/src/main/java/com/skillup/infrastructure/repoImpl/JooqOrderRepo.java,32,32,return dslContext.selectFrom(ORDER_T).where(ORDER_T.ORDER_NUMBER.eq(orderId)).forUpdate().fetchOptional(this::toDomain).orElse(null);,"Using `selectFrom(ORDER_T)` fetches all columns from the Order table, which can retrieve unnecessary data and impact performance. Consider explicitly selecting only the required columns using `select(ORDER_T.ORDER_NUMBER, ORDER_T.ORDER_STATUS, ...).from(ORDER_T)`."
neptunejing_SkillUp-Ecom-Plat,Fear of the Unknown,promotion-service/src/main/java/com/skillup/infrastructure/jooq/tables/Promotion.java,91,91,"public final TableField<PromotionRecord, Integer> STATUS = createField(DSL.name(""status""), SQLDataType.INTEGER, this, """");","The STATUS column is marked as NULLABLE without an explicit NOT NULL constraint, but status fields typically should always have a value in practice. Consider adding a NOT NULL constraint with a meaningful default value, or document why NULL is a valid state for this column."
neptunejing_SkillUp-Ecom-Plat,Keyless Entry,promotion-service/src/main/java/com/skillup/infrastructure/jooq/tables/PromotionLog.java,66,66,"public final TableField<PromotionLogRecord, String> PROMOTION_ID = createField(DSL.name(""promotion_id""), SQLDataType.VARCHAR(36).nullable(false), this, """");","The 'promotion_id' column appears to reference the 'promotion' table but lacks a foreign key constraint, which could lead to orphaned records or invalid references. Add a foreign key constraint referencing Keys.KEY_PROMOTION_PRIMARY to ensure referential integrity."
neptunejing_SkillUp-Ecom-Plat,Implicit Columns,promotion-service/src/main/java/com/skillup/infrastructure/repoImpl/JooqPromotionRepo.java,33,33,dslContext.selectFrom(PROMOTION_T),"Using selectFrom() fetches all columns from the PROMOTION_T table, which retrieves unnecessary data and impacts performance. Consider using select() with only the specific columns needed for the PromotionDomain mapping."
neptunejing_SkillUp-Ecom-Plat,Implicit Columns,promotion-service/src/main/java/com/skillup/infrastructure/repoImpl/JooqPromotionRepo.java,39,39,dslContext.selectFrom(PROMOTION_T),Using selectFrom() fetches all columns from the PROMOTION_T table when querying by status. Specify only the required columns using select() to improve query efficiency and reduce data transfer.
neptunejing_SkillUp-Ecom-Plat,Implicit Columns,promotion-service/src/main/java/com/skillup/infrastructure/repoImpl/JooqPromotionStockLog.java,35,35,dslContext.selectFrom(PROMOTION_LOG_T),"Using selectFrom() fetches all columns from the PROMOTION_LOG table, which retrieves more data than may be necessary. Consider using select() with explicit column names to fetch only the required columns."
neptunejing_SkillUp-Ecom-Plat,ID Required,user-service/src/main/java/com/skillup/infrastructure/jooq/tables/User.java,53,53,"public final TableField<UserRecord, String> USER_ID = createField(DSL.name(""user_id""), SQLDataType.VARCHAR(36).nullable(false), this, """");","The table has a synthetic primary key 'user_id' even though 'user_name' already has a unique constraint (KEY_USER_USER_NAME) that could serve as a natural primary key. Consider using 'user_name' as the primary key if it is immutable and meaningful, or rename 'user_id' to something more descriptive if a surrogate key is truly needed."
neptunejing_SkillUp-Ecom-Plat,Implicit Columns,user-service/src/main/java/com/skillup/infrastructure/repoImpl/JooqUserRepo.java,27,27,dslContext.selectFrom(USER_T),"Using selectFrom(USER_T) fetches all columns from the User table, which may retrieve unnecessary data. Consider using an explicit select with only the required columns, e.g., dslContext.select(USER_T.USER_ID, USER_T.USER_NAME, USER_T.PASSWORD).from(USER_T)."
neptunejing_SkillUp-Ecom-Plat,Implicit Columns,user-service/src/main/java/com/skillup/infrastructure/repoImpl/JooqUserRepo.java,33,33,dslContext.selectFrom(USER_T),"Using selectFrom(USER_T) fetches all columns from the User table, which may retrieve unnecessary data. Consider using an explicit select with only the required columns, e.g., dslContext.select(USER_T.USER_ID, USER_T.USER_NAME, USER_T.PASSWORD).from(USER_T)."
