Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
nianien_jooq-tutorial,Beware of the Unknown,jooq-entity-audit/src/main/java/com/katana/jooq/entity/audit/tables/UserInfo.java,91,91,"public final TableField<UserInfoRecord, String> ENV = createField(DSL.name(""env""), SQLDataType.VARCHAR(8).nullable(false).defaultValue(DSL.field(""''"", SQLDataType.VARCHAR)), this, ""环境"");","The 'env' column uses an empty string as a default value instead of NULL to represent missing data, which can lead to ambiguity between intentionally empty values and missing values. Consider making the column nullable and using NULL to represent missing environment values, or ensure the empty string has a defined semantic meaning."
nianien_jooq-tutorial,ID Required,jooq-entity-audit/src/main/java/com/katana/jooq/entity/audit/tables/UserInfoConfig.java,58,58,"public final TableField<UserInfoConfigRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false).identity(true), this, ""主键"");",The table has a synthetic primary key named 'id' even though there's already a unique constraint on 'userid' (USER_INFO_CONFIG_USERID) which could serve as a natural primary key. Consider using 'userid' as the primary key instead of adding a redundant 'id' column.
nianien_jooq-tutorial,Keyless Entry,jooq-entity-audit/src/main/java/com/katana/jooq/entity/audit/tables/UserInfoConfig.java,63,63,"public final TableField<UserInfoConfigRecord, Long> USERID = createField(DSL.name(""userid""), SQLDataType.BIGINT.nullable(false), this, ""用户id"");","The 'userid' column references the UserInfo table but lacks a foreign key constraint, which could lead to orphaned records or referential integrity issues. Add a foreign key constraint referencing USER_INFO.USERID to ensure data consistency."
nianien_jooq-tutorial,Beware of the Unknown,jooq-entity-audit/src/main/java/com/katana/jooq/entity/audit/tables/UserInfoConfig.java,101,101,"public final TableField<UserInfoConfigRecord, String> ENV = createField(DSL.name(""env""), SQLDataType.VARCHAR(8).nullable(false).defaultValue(DSL.field(""''"", SQLDataType.VARCHAR)), this, ""环境"");","The 'env' column uses an empty string as a default value to represent missing data instead of using NULL. Consider making the column nullable and using NULL to represent unknown/missing environment values, or ensure the empty string has a defined semantic meaning."
nianien_jooq-tutorial,ID Required,jooq-entity-uc/src/main/java/com/katana/jooq/entity/uc/tables/Account.java,54,54,"public final TableField<AccountRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false).identity(true), this, ""账户ID"");",The primary key column is generically named 'id' instead of a more descriptive name like 'account_id'. Consider renaming the column to 'account_id' to make it self-documenting and avoid ambiguity when joining tables.
nianien_jooq-tutorial,Beware of the Unknown,jooq-entity-uc/src/main/java/com/katana/jooq/entity/uc/tables/Account.java,59,59,"public final TableField<AccountRecord, String> NAME = createField(DSL.name(""name""), SQLDataType.VARCHAR(16).nullable(false).defaultValue(DSL.field(""''"", SQLDataType.VARCHAR)), this, ""账户名称"");","The 'name' column uses an empty string as a default value instead of allowing NULL to represent missing data. If a name is truly optional, make the column nullable; otherwise, remove the default and require a meaningful value."
nianien_jooq-tutorial,Beware of the Unknown,jooq-entity-uc/src/main/java/com/katana/jooq/entity/uc/tables/Account.java,64,64,"public final TableField<AccountRecord, String> PHONE = createField(DSL.name(""phone""), SQLDataType.VARCHAR(13).nullable(false).defaultValue(DSL.field(""''"", SQLDataType.VARCHAR)), this, ""电话"");",The 'phone' column uses an empty string as a default value instead of NULL to represent missing phone numbers. Consider making the column nullable to properly distinguish between 'no phone provided' and an actual empty value.
nianien_jooq-tutorial,Beware of the Unknown,jooq-entity-uc/src/main/java/com/katana/jooq/entity/uc/tables/Account.java,69,69,"public final TableField<AccountRecord, String> EMAIL = createField(DSL.name(""email""), SQLDataType.VARCHAR(16).nullable(false).defaultValue(DSL.field(""''"", SQLDataType.VARCHAR)), this, ""邮箱"");",The 'email' column uses an empty string as a default value instead of NULL to represent missing email addresses. Consider making the column nullable to properly represent the absence of an email address.
nianien_jooq-tutorial,Beware of the Unknown,jooq-entity-uc/src/main/java/com/katana/jooq/entity/uc/tables/Account.java,84,84,"public final TableField<AccountRecord, String> TENANT_CODE = createField(DSL.name(""tenant_code""), SQLDataType.VARCHAR(8).nullable(false).defaultValue(DSL.field(""''"", SQLDataType.VARCHAR)), this, ""租户编码"");",The 'tenant_code' column uses an empty string as a default value instead of NULL to represent missing tenant codes. Consider making the column nullable or requiring a valid tenant code without a default.
nianien_jooq-tutorial,Beware of the Unknown,jooq-entity-uc/src/main/java/com/katana/jooq/entity/uc/tables/Account.java,89,89,"public final TableField<AccountRecord, String> ENV = createField(DSL.name(""env""), SQLDataType.VARCHAR(8).nullable(false).defaultValue(DSL.field(""''"", SQLDataType.VARCHAR)), this, ""环境"");",The 'env' column uses an empty string as a default value instead of NULL to represent missing environment values. Consider making the column nullable or requiring a valid environment value without a default.
