Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
nianien_katana,Keyless Entry,katana-test/katana-entity/src/main/java/com/katana/demo/entity/uc/tables/UserAudit.java,55,55,"public final TableField<UserAuditRecord, Long> USERID = createField(DSL.name(""userid""), SQLDataType.BIGINT.nullable(false), this, ""用户ID"");",The 'userid' column appears to reference the UserInfo table (based on the comment '用户ID' meaning 'User ID') but lacks a foreign key constraint. Add a foreign key constraint referencing UserInfo.ID to ensure referential integrity.
nianien_katana,Beware of the Unknown,katana-test/katana-entity/src/main/java/com/katana/demo/entity/uc/tables/UserAudit.java,86,86,"public final TableField<UserAuditRecord, String> ENV = createField(DSL.name(""env""), SQLDataType.VARCHAR(8).nullable(false).defaultValue(DSL.field(DSL.raw(""''""), SQLDataType.VARCHAR)), this, ""环境标"");","The 'env' column uses an empty string as a default value to represent missing data instead of using NULL. Consider making the column nullable and using NULL to represent missing values, or ensure the empty string has a specific semantic meaning in your domain."
nianien_katana,ID Required,katana-test/katana-entity/src/main/java/com/katana/demo/entity/uc/tables/UserInfo.java,58,58,"public final TableField<UserInfoRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false).identity(true), this, ""账户ID"");",The primary key column is generically named 'id' instead of a more descriptive name like 'user_info_id'. Consider renaming it to 'user_info_id' or another meaningful name that identifies the entity it represents.
nianien_katana,Beware of the Unknown,katana-test/katana-entity/src/main/java/com/katana/demo/entity/uc/tables/UserInfo.java,63,63,"public final TableField<UserInfoRecord, String> NAME = createField(DSL.name(""name""), SQLDataType.VARCHAR(16).nullable(false).defaultValue(DSL.field(DSL.raw(""''""), SQLDataType.VARCHAR)), this, ""账户名称"");",The 'name' column uses an empty string as a default value instead of allowing NULL for missing values. This makes it difficult to distinguish between intentionally empty names and missing data. Consider allowing NULL or using a meaningful default value.
nianien_katana,Beware of the Unknown,katana-test/katana-entity/src/main/java/com/katana/demo/entity/uc/tables/UserInfo.java,68,68,"public final TableField<UserInfoRecord, String> PHONE = createField(DSL.name(""phone""), SQLDataType.VARCHAR(20).nullable(false).defaultValue(DSL.field(DSL.raw(""''""), SQLDataType.VARCHAR)), this, ""电话"");",The 'phone' column uses an empty string as a default value instead of allowing NULL for missing values. This makes it impossible to distinguish between a user who has no phone and one whose phone is unknown. Consider allowing NULL instead.
nianien_katana,Beware of the Unknown,katana-test/katana-entity/src/main/java/com/katana/demo/entity/uc/tables/UserInfo.java,73,73,"public final TableField<UserInfoRecord, String> EMAIL = createField(DSL.name(""email""), SQLDataType.VARCHAR(20).nullable(false).defaultValue(DSL.field(DSL.raw(""''""), SQLDataType.VARCHAR)), this, ""邮箱"");",The 'email' column uses an empty string as a default value instead of allowing NULL for missing values. This conflates 'no email provided' with 'email is unknown'. Consider allowing NULL to properly represent missing data.
nianien_katana,Beware of the Unknown,katana-test/katana-entity/src/main/java/com/katana/demo/entity/uc/tables/UserInfo.java,78,78,"public final TableField<UserInfoRecord, String> CONTACT = createField(DSL.name(""contact""), SQLDataType.VARCHAR(20).nullable(false).defaultValue(DSL.field(DSL.raw(""''""), SQLDataType.VARCHAR)), this, ""联系人"");",The 'contact' column uses an empty string as a default value instead of allowing NULL for missing values. This makes it difficult to distinguish between an intentionally empty contact and missing contact information. Consider allowing NULL instead.
nianien_katana,Beware of the Unknown,katana-test/katana-entity/src/main/java/com/katana/demo/entity/uc/tables/UserInfo.java,93,93,"public final TableField<UserInfoRecord, String> TENANT_CODE = createField(DSL.name(""tenant_code""), SQLDataType.VARCHAR(16).nullable(false).defaultValue(DSL.field(DSL.raw(""''""), SQLDataType.VARCHAR)), this, ""租户编码"");",The 'tenant_code' column uses an empty string as a default value instead of allowing NULL for missing values. This makes it impossible to distinguish between a user with no tenant and one whose tenant is unknown. Consider allowing NULL or requiring a valid tenant code.
nianien_katana,Beware of the Unknown,katana-test/katana-entity/src/main/java/com/katana/demo/entity/uc/tables/UserInfo.java,98,98,"public final TableField<UserInfoRecord, String> ENV = createField(DSL.name(""env""), SQLDataType.VARCHAR(8).nullable(false).defaultValue(DSL.field(DSL.raw(""''""), SQLDataType.VARCHAR)), this, ""环境"");",The 'env' column uses an empty string as a default value instead of allowing NULL for missing values. This conflates 'no environment specified' with 'environment is unknown'. Consider allowing NULL or requiring a valid environment value.
nianien_katana,ID Required,katana-test/katana-entity/src/main/java/com/katana/demo/entity/uc/tables/UserTag.java,58,58,"public final TableField<UserTagRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false).identity(true), this, ""主键"");",The primary key is named just 'id' which is a generic name that doesn't convey any meaning about the table it belongs to. Consider renaming it to 'user_tag_id' to make it more descriptive and avoid ambiguity in queries with joins.
nianien_katana,Keyless Entry,katana-test/katana-entity/src/main/java/com/katana/demo/entity/uc/tables/UserTag.java,63,63,"public final TableField<UserTagRecord, Long> USERID = createField(DSL.name(""userid""), SQLDataType.BIGINT.nullable(false), this, ""用户id"");","The 'userid' column appears to reference the user_info table but lacks a foreign key constraint, which could lead to orphaned records or invalid references. Add a foreign key constraint referencing UserInfo.ID to ensure referential integrity."
nianien_katana,Implicit Columns,katana-test/katana-repository/src/main/java/com/katana/repository/dao/UserDao.java,32,32,return dslContext.select().from(USER_INFO),"Using select() without specifying columns fetches all columns from USER_INFO table, which can retrieve unnecessary data and hurt performance. Specify only the required columns explicitly, e.g., select(USER_INFO.ID, USER_INFO.NAME, ...)."
nianien_katana,Implicit Columns,katana-test/katana-repository/src/main/java/com/katana/repository/dao/UserDao.java,43,43,return dslContext.select(ta.asterisk()).from(ta),"Using asterisk() fetches all columns from the aliased USER_INFO table, which may include unnecessary data. Explicitly list only the columns needed for the query."
nianien_katana,Implicit Columns,katana-test/katana-repository/src/main/java/com/katana/repository/dao/UserDao.java,45,45,dslContext.select(tb.asterisk()).from(tb),"Using asterisk() in the subquery fetches all columns from USER_AUDIT table, which is inefficient. Select only the columns needed for the join condition (e.g., tb.USERID)."
nianien_katana,Implicit Columns,katana-test/katana-repository/src/main/java/com/katana/repository/dao/UserDao.java,52,52,.union(dslContext.select().from(USER_INFO),"Using select() without columns in the union fetches all columns from USER_INFO, which retrieves unnecessary data. Specify only the required columns to match the main query's projection."
nianien_katana,Implicit Columns,katana-test/katana-repository/src/main/java/com/katana/repository/dao/UserDao.java,59,59,return dslContext.select().from(USER_INFO),Using select() without specifying columns fetches all columns from USER_INFO table. Explicitly list only the columns needed for the UserInfo class.
nianien_katana,Poor Man's Search Engine,katana-test/katana-repository/src/main/java/com/katana/repository/dao/UserDao.java,60,60,.where(DSL.val(name).like(USER_INFO.NAME)),"Using LIKE with a parameter value that may contain wildcards for pattern matching is inefficient for full-text search. If searching for text within strings, consider using a full-text search index; if doing exact matching, use eq() instead of like()."
