Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
nortal_GovStack-IM-BB-PubSub-Component,Implicit Columns,management-api/adapter/jdbc/src/main/java/com/govstack/information_mediator/pubsub/management/jdbc/EventDetailsGateway.java,46,46,"Optional.ofNullable(dsl.fetchOne(EVENTS, condition))","Using `dsl.fetchOne(EVENTS, condition)` fetches all columns from the EVENTS table into a record, even though only specific fields are needed. Consider using `dsl.select(...).from(EVENTS).where(condition).fetchOne()` to explicitly specify only the required columns."
nortal_GovStack-IM-BB-PubSub-Component,Implicit Columns,management-api/adapter/jdbc/src/main/java/com/govstack/information_mediator/pubsub/management/jdbc/EventDetailsGateway.java,84,84,"Optional.ofNullable(dsl.fetchOne(EVENT_TYPES, condition))","Using `dsl.fetchOne(EVENT_TYPES, condition)` fetches all columns from the EVENT_TYPES table. Consider using an explicit select statement with only the columns needed (id, identifier, deletedAt) to improve query efficiency."
nortal_GovStack-IM-BB-PubSub-Component,Implicit Columns,management-api/adapter/jdbc/src/main/java/com/govstack/information_mediator/pubsub/management/jdbc/EventDetailsGateway.java,97,97,"Optional.ofNullable(dsl.fetchOne(EVENT_TYPE_VERSIONS, condition))","Using `dsl.fetchOne(EVENT_TYPE_VERSIONS, condition)` fetches all columns from the EVENT_TYPE_VERSIONS table. Consider using an explicit select statement specifying only the required columns (id, version, jsonSchema, deletedAt)."
nortal_GovStack-IM-BB-PubSub-Component,Implicit Columns,management-api/adapter/jdbc/src/main/java/com/govstack/information_mediator/pubsub/management/jdbc/EventDetailsGateway.java,111,111,"Optional.ofNullable(dsl.fetchOne(PUBLISHERS, condition))","Using `dsl.fetchOne(PUBLISHERS, condition)` fetches all columns from the PUBLISHERS table. Consider using `dsl.select(...).from(PUBLISHERS).where(condition).fetchOne()` to explicitly select only the needed columns (id, identifier, identifierType, deletedAt)."
nortal_GovStack-IM-BB-PubSub-Component,Implicit Columns,management-api/adapter/jdbc/src/main/java/com/govstack/information_mediator/pubsub/management/jdbc/EventDetailsGateway.java,126,126,dsl.selectFrom(SUBSCRIPTIONS),"Using `selectFrom(SUBSCRIPTIONS)` fetches all columns from the SUBSCRIPTIONS table. Consider using `dsl.select(...)` with explicit column references to fetch only the required fields (id, identifier, identifierType, deletedAt)."
nortal_GovStack-IM-BB-PubSub-Component,Implicit Columns,management-api/adapter/jdbc/src/main/java/com/govstack/information_mediator/pubsub/management/jdbc/EventDetailsGateway.java,142,142,dsl.selectFrom(PUBLISHED_MESSAGES),"Using `selectFrom(PUBLISHED_MESSAGES)` fetches all columns from the PUBLISHED_MESSAGES table. Consider using `dsl.select(PUBLISHED_MESSAGES.SUBSCRIPTION_ID, PUBLISHED_MESSAGES.PUBLISHED_AT, PUBLISHED_MESSAGES.DELIVERED_AT)` to fetch only the columns needed for grouping and mapping."
nortal_GovStack-IM-BB-PubSub-Component,Implicit Columns,management-api/adapter/jdbc/src/main/java/com/govstack/information_mediator/pubsub/management/jdbc/EventDetailsGateway.java,156,156,dsl.selectFrom(SUBSCRIPTION_STATUS),Using `selectFrom(SUBSCRIPTION_STATUS)` fetches all columns from the SUBSCRIPTION_STATUS table when only the status column is needed. Consider using `dsl.select(SUBSCRIPTION_STATUS.STATUS).from(SUBSCRIPTION_STATUS)` to fetch only the required column.
nortal_GovStack-IM-BB-PubSub-Component,Poor Man's Search Engine,management-api/adapter/jdbc/src/main/java/com/govstack/information_mediator/pubsub/management/jdbc/EventsViewGateway.java,111,111,condition = condition.and(PUBLISHERS.IDENTIFIER.containsIgnoreCase(publisherIdentifier));,"Using `containsIgnoreCase` performs a full-text search with LIKE '%...%' which cannot use indexes efficiently and causes full table scans. Consider using a dedicated full-text search engine like PostgreSQL's tsvector/tsquery, Elasticsearch, or if exact matching is acceptable, use an equality check instead."
nortal_GovStack-IM-BB-PubSub-Component,Poor Man's Search Engine,management-api/adapter/jdbc/src/main/java/com/govstack/information_mediator/pubsub/management/jdbc/EventsViewGateway.java,114,114,condition = condition.and(EVENT_TYPES.IDENTIFIER.containsIgnoreCase(eventTypeIdentifier));,"Using `containsIgnoreCase` performs a full-text search with LIKE '%...%' which cannot leverage database indexes and results in slow queries on large tables. Consider using a proper full-text search solution or, if partial matching isn't required, switch to exact equality matching."
nortal_GovStack-IM-BB-PubSub-Component,Implicit Columns,management-api/adapter/jdbc/src/main/java/com/govstack/information_mediator/pubsub/management/jdbc/EventTypesGateway.java,210,210,var record = dsl.select(EVENT_TYPE_VERSIONS.asterisk()),"Using `asterisk()` fetches all columns from the EVENT_TYPE_VERSIONS table, which can retrieve unnecessary data and break if the schema changes. Instead, explicitly select only the required columns: `EVENT_TYPE_VERSIONS.ID`, `EVENT_TYPE_VERSIONS.VERSION`, and `EVENT_TYPE_VERSIONS.JSON_SCHEMA`."
