Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
northcoder-repo_jooqSakilaDemo,Fear of the Unknown,jooq/generated-sources/org/northcoder/sakila/jooq/tables/CustomerListTable.java,87,87,"public final TableField<CustomerListRecord, String> NOTES = createField(DSL.name(""notes""), SQLDataType.VARCHAR(6).nullable(false).defaultValue(DSL.inline("""", SQLDataType.VARCHAR)), this, """");","The NOTES column uses an empty string as a default value to represent missing data instead of using NULL. This makes it difficult to distinguish between intentionally empty notes and missing values. Consider allowing NULL values and removing the empty string default, or use a meaningful default if the empty string has semantic meaning."
northcoder-repo_jooqSakilaDemo,Fear of the Unknown,jooq/generated-sources/org/northcoder/sakila/jooq/tables/CustomerTable.java,108,108,"public final TableField<CustomerRecord, LocalDateTime> LAST_UPDATE = createField(DSL.name(""last_update""), SQLDataType.LOCALDATETIME(0).defaultValue(DSL.field(DSL.raw(""CURRENT_TIMESTAMP""), SQLDataType.LOCALDATETIME)), this, """");","The LAST_UPDATE column has a default value (CURRENT_TIMESTAMP) but is marked as NULLABLE, which means it can never be NULL in practice since the database will always provide a value. Consider adding .nullable(false) to the column definition to accurately reflect its non-null nature."
northcoder-repo_jooqSakilaDemo,Fear of the Unknown,jooq/generated-sources/org/northcoder/sakila/jooq/tables/FilmTable.java,132,132,"public final TableField<FilmRecord, LocalDateTime> LAST_UPDATE = createField(DSL.name(""last_update""), SQLDataType.LOCALDATETIME(0).nullable(false).defaultValue(DSL.field(DSL.raw(""CURRENT_TIMESTAMP""), SQLDataType.LOCALDATETIME)), this, """");","The LAST_UPDATE column has a default value but is marked as nullable(false), which is correct. However, this column can never be NULL in practice since it has a default value of CURRENT_TIMESTAMP, yet the column definition doesn't explicitly prevent NULL values from being inserted. Consider ensuring the NOT NULL constraint is enforced at the database level."
northcoder-repo_jooqSakilaDemo,Keyless Entry,jooq/generated-sources/org/northcoder/sakila/jooq/tables/FilmTextTable.java,58,58,"public final TableField<FilmTextRecord, Integer> FILM_ID = createField(DSL.name(""film_id""), SQLDataType.INTEGER.nullable(false), this, """");","The FILM_ID column appears to reference the Film table (based on naming convention and the existence of KEY_FILM_PRIMARY on FilmTable.FILM.FILM_ID), but there is no foreign key constraint defined to enforce referential integrity. Consider adding a foreign key constraint from film_text.film_id to film.film_id to ensure data consistency."
northcoder-repo_jooqSakilaDemo,ID Required,jooq/generated-sources/org/northcoder/sakila/jooq/tables/LanguageTable.java,61,61,"public final TableField<LanguageRecord, Integer> LANGUAGE_ID = createField(DSL.name(""language_id""), SQLDataType.INTEGER.nullable(false).identity(true), this, """");",The table has a synthetic auto-increment primary key (language_id) when the 'name' column could serve as a natural primary key since language names are unique and immutable. Consider using 'name' as the primary key or renaming 'language_id' to something more descriptive like 'language_code'.
northcoder-repo_jooqSakilaDemo,Fear of the Unknown,jooq/generated-sources/org/northcoder/sakila/jooq/tables/PaymentTable.java,98,98,"public final TableField<PaymentRecord, LocalDateTime> LAST_UPDATE = createField(DSL.name(""last_update""), SQLDataType.LOCALDATETIME(0).defaultValue(DSL.field(DSL.raw(""CURRENT_TIMESTAMP""), SQLDataType.LOCALDATETIME)), this, """");","The LAST_UPDATE column has a default value (CURRENT_TIMESTAMP) but is marked as NULLABLE, which means it can never be NULL in practice since the database will always provide a value. Consider adding .nullable(false) to the column definition to accurately reflect its non-null nature."
northcoder-repo_jooqSakilaDemo,Implicit Columns,src/main/java/org/northcoder/sakila/Dao.java,35,35,"return dsl.fetch(table, cndtn);","Using `dsl.fetch(table, cndtn)` fetches all columns from the table, which retrieves unnecessary data and impacts performance. Specify only the required columns using `dsl.select(...).from(table).where(cndtn).fetch()`."
northcoder-repo_jooqSakilaDemo,Implicit Columns,src/main/java/org/northcoder/sakila/Dao.java,44,44,"return dsl.fetchSingle(tbl, cndtn);","Using `dsl.fetchSingle(tbl, cndtn)` fetches all columns from the table, which may retrieve more data than needed. Specify only the required columns using `dsl.select(...).from(tbl).where(cndtn).fetchSingle()`."
northcoder-repo_jooqSakilaDemo,Implicit Columns,src/main/java/org/northcoder/sakila/Dao.java,48,48,"Optional<R> optional = dsl.fetchOptional(tbl, cndtn);","Using `dsl.fetchOptional(tbl, cndtn)` fetches all columns from the table, which may retrieve unnecessary data. Specify only the required columns using `dsl.select(...).from(tbl).where(cndtn).fetchOptional()`."
northcoder-repo_jooqSakilaDemo,Implicit Columns,src/main/java/org/northcoder/sakila/Dao.java,103,103,return dsl.fetch(table).sortAsc(cmprtr);,"Using `dsl.fetch(table)` fetches all columns from the table, which retrieves unnecessary data and impacts performance. Specify only the required columns using `dsl.select(...).from(table).fetch()`."
